date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600004,14.0900,14.3300,14.0900,14.2900,14.0900,4107092,58569557.0000,0.357118,1,1.419445,0,1.545373
2017-01-04,sh.600004,14.2800,14.4300,14.2700,14.3900,14.2900,6627299,95211187.0000,0.576255,1,0.699793,0,1.556187
2017-01-05,sh.600004,14.4100,14.5200,14.3200,14.3500,14.3900,5044270,72830150.0000,0.438608,1,-0.277971,0,1.551861
2017-01-06,sh.600004,14.3100,14.4300,14.2700,14.3500,14.3500,3351562,48071400.0000,0.291424,1,0.000000,0,1.551861
2017-01-09,sh.600004,14.3300,14.4800,14.3300,14.4700,14.3500,3177596,45783238.0000,0.276297,1,0.836236,0,1.564838
2017-01-10,sh.600004,14.4600,14.5400,14.3600,14.4600,14.4700,3198967,46290202.0000,0.278155,1,-0.069110,0,1.563757
2017-01-11,sh.600004,14.4500,14.4500,14.3100,14.3400,14.4600,4459747,64180868.0000,0.387782,1,-0.829875,0,1.550780
2017-01-12,sh.600004,14.3400,14.3700,14.1500,14.1600,14.3400,3637391,51815115.0000,0.316277,1,-1.255232,0,1.531314
2017-01-13,sh.600004,14.2400,14.2400,14.0700,14.1300,14.1600,3002532,42449636.0000,0.261075,1,-0.211863,0,1.528070
2017-01-16,sh.600004,14.1000,14.1500,13.6800,13.9700,14.1300,12019647,167585146.0000,1.045128,1,-1.132342,0,1.510767
2017-01-17,sh.600004,13.9100,14.0300,13.8700,13.9300,13.9700,5050698,70520783.0000,0.439167,1,-0.286328,0,1.506441
2017-01-18,sh.600004,13.9700,14.0500,13.9300,14.0000,13.9300,6033338,84488189.0000,0.524609,1,0.502510,0,1.514011
2017-01-19,sh.600004,13.9900,14.0700,13.9500,14.0100,14.0000,3665457,51344763.0000,0.318718,1,0.071430,0,1.515092
2017-01-20,sh.600004,13.9900,14.1800,13.9400,14.1700,14.0100,3496520,49272449.0000,0.304028,1,1.142040,0,1.532395
2017-01-23,sh.600004,14.1600,14.3000,14.1500,14.2300,14.1700,3680163,52428727.0000,0.319996,1,0.423426,0,1.538884
2017-01-24,sh.600004,14.2500,14.2900,14.1500,14.2600,14.2300,3104957,44180264.0000,0.269981,1,0.210827,0,1.542128
2017-01-25,sh.600004,14.2400,14.4400,14.2100,14.4300,14.2600,4876146,70036836.0000,0.423989,1,1.192146,0,1.560513
2017-01-26,sh.600004,14.4600,14.5200,14.3600,14.4400,14.4300,3183355,45966371.0000,0.276798,1,0.069295,0,1.561594
2017-02-03,sh.600004,14.3800,14.4400,14.1700,14.2500,14.4400,5703293,81481513.0000,0.495911,1,-1.315787,0,1.541047
2017-02-06,sh.600004,14.2500,14.3300,14.1700,14.3200,14.2500,4380304,62351574.0000,0.380875,1,0.491226,0,1.548617
2017-02-07,sh.600004,14.3100,14.4400,14.2700,14.4300,14.3200,5451583,78368723.0000,0.474024,1,0.768161,0,1.560513
2017-02-08,sh.600004,14.4200,14.4900,14.3100,14.4700,14.4300,3386493,48832295.0000,0.294461,1,0.277200,0,1.564838
2017-02-09,sh.600004,14.4700,14.5000,14.4100,14.4900,14.4700,3456748,49968408.0000,0.300570,1,0.138214,0,1.567001
2017-02-10,sh.600004,14.4900,14.6000,14.4600,14.5600,14.4900,3823025,55667511.0000,0.332418,1,0.483096,0,1.574571
2017-02-13,sh.600004,14.5700,14.6600,14.5300,14.6000,14.5600,3770590,55033912.0000,0.327859,1,0.274725,0,1.578897
2017-02-14,sh.600004,14.6000,14.6500,14.5000,14.5500,14.6000,3962113,57720769.0000,0.344512,1,-0.342467,0,1.573490
2017-02-15,sh.600004,14.5200,14.5600,14.4300,14.4400,14.5500,6775016,98254361.0000,0.589099,1,-0.756018,0,1.561594
2017-02-16,sh.600004,14.4600,14.5200,14.4200,14.4800,14.4400,4211315,60940627.0000,0.366181,1,0.277008,0,1.565920
2017-02-17,sh.600004,14.4800,14.5100,14.3200,14.3300,14.4800,4926788,70978480.0000,0.428392,1,-1.035909,0,1.549698
2017-02-20,sh.600004,14.3600,14.7500,14.3400,14.7300,14.3300,9577726,139577456.0000,0.832799,1,2.791344,0,1.592956
