date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600048,9.1200,9.2100,9.0800,9.1900,9.1300,34928055,319791664.0000,0.324643,1,0.657168,0,1.296079
2017-01-04,sh.600048,9.1700,9.2400,9.1200,9.2100,9.1900,38420678,352661536.0000,0.357106,1,0.217633,0,1.298900
2017-01-05,sh.600048,9.2200,9.2800,9.1800,9.1900,9.2100,35343982,325709728.0000,0.328509,1,-0.217160,0,1.296079
2017-01-06,sh.600048,9.1900,9.2400,9.1300,9.1600,9.1900,29980126,275013376.0000,0.278654,1,-0.326439,0,1.291848
2017-01-09,sh.600048,9.1500,9.2100,9.1400,9.1800,9.1600,19815392,181701056.0000,0.184177,1,0.218346,0,1.294669
2017-01-10,sh.600048,9.1700,9.2100,9.1500,9.2000,9.1800,29668708,272209024.0000,0.275759,1,0.217860,0,1.297489
2017-01-11,sh.600048,9.2000,9.2000,9.1300,9.1300,9.2000,23284915,213228114.0000,0.216424,1,-0.760866,0,1.287617
2017-01-12,sh.600048,9.1000,9.1400,9.0400,9.0500,9.1300,32031956,291204208.0000,0.297725,1,-0.876231,0,1.276335
2017-01-13,sh.600048,9.1000,9.2000,9.0500,9.1000,9.0500,41303916,376448352.0000,0.383904,1,0.552488,0,1.283386
2017-01-16,sh.600048,9.0800,9.2900,8.9300,9.2100,9.1000,120606257,1101138544.0000,1.120989,1,1.208787,0,1.298900
2017-01-17,sh.600048,9.1800,9.1900,9.0900,9.1400,9.2100,25788142,235522178.0000,0.239691,1,-0.760040,0,1.289028
2017-01-18,sh.600048,9.1500,9.2300,9.1200,9.1700,9.1400,23022237,211575346.0000,0.213983,1,0.328225,0,1.293258
2017-01-19,sh.600048,9.1600,9.2700,9.1300,9.1900,9.1700,25836970,238008055.0000,0.240145,1,0.218097,0,1.296079
2017-01-20,sh.600048,9.1800,9.2900,9.1600,9.2700,9.1900,34461015,318782304.0000,0.320302,1,0.870521,0,1.307362
2017-01-23,sh.600048,9.2900,9.3200,9.2400,9.2800,9.2700,32685553,303231056.0000,0.303800,1,0.107867,0,1.308772
2017-01-24,sh.600048,9.2800,9.2900,9.1700,9.2100,9.2800,44689701,411795664.0000,0.415374,1,-0.754307,0,1.298900
2017-01-25,sh.600048,9.1500,9.2300,9.1400,9.2100,9.2100,21285607,195719301.0000,0.197842,1,0.000000,0,1.298900
2017-01-26,sh.600048,9.2200,9.2500,9.1900,9.2200,9.2100,22763922,209899612.0000,0.211582,1,0.108580,0,1.300310
2017-02-03,sh.600048,9.2300,9.2600,9.1500,9.1800,9.2200,18700147,171762034.0000,0.173811,1,-0.433839,0,1.294669
2017-02-06,sh.600048,9.1800,9.1800,9.1100,9.1600,9.1800,26964559,246710502.0000,0.250625,1,-0.217870,0,1.291848
2017-02-07,sh.600048,9.1600,9.1900,9.1500,9.1600,9.1600,21541839,197535600.0000,0.200212,1,0.000000,0,1.291917
2017-02-08,sh.600048,9.1700,9.3000,9.1200,9.2900,9.1600,44698337,411633152.0000,0.415430,1,1.419215,0,1.310252
2017-02-09,sh.600048,9.3000,9.6500,9.2900,9.4900,9.2900,88005615,837225952.0000,0.817931,1,2.152850,0,1.338460
2017-02-10,sh.600048,9.4900,9.5600,9.4000,9.4700,9.4900,37734307,357568240.0000,0.350706,1,-0.210743,0,1.335639
2017-02-13,sh.600048,9.4700,9.5500,9.4000,9.5100,9.4700,33492358,317962000.0000,0.311281,1,0.422386,0,1.341280
2017-02-14,sh.600048,9.5000,9.5400,9.4600,9.5200,9.5100,21441391,203671700.0000,0.199278,1,0.105155,0,1.342691
2017-02-15,sh.600048,9.5200,9.5300,9.3600,9.3700,9.5200,45366298,428687184.0000,0.421638,1,-1.575636,0,1.321535
2017-02-16,sh.600048,9.3700,9.4700,9.3400,9.4500,9.3700,29946882,281664096.0000,0.278329,1,0.853788,0,1.332818
2017-02-17,sh.600048,9.4500,9.5100,9.3000,9.3100,9.4500,43958851,412890736.0000,0.408557,1,-1.481475,0,1.313073
2017-02-20,sh.600048,9.3200,9.6000,9.3100,9.5800,9.3100,67061414,635703984.0000,0.623274,1,2.900102,0,1.351153
2017-02-21,sh.600048,9.5700,9.7600,9.5700,9.7100,9.5800,98132643,952680912.0000,0.912052,1,1.356995,0,1.369488
2017-02-22,sh.600048,9.6700,9.7300,9.6300,9.6900,9.7100,45395383,439347792.0000,0.421908,1,-0.205978,0,1.366667
2017-02-23,sh.600048,9.7100,9.7500,9.5600,9.6300,9.6900,37740435,363866000.0000,0.350763,1,-0.619190,0,1.358205
2017-02-24,sh.600048,9.5900,9.6300,9.4600,9.5800,9.6300,37744905,359066800.0000,0.350804,1,-0.519213,0,1.351153
2017-02-27,sh.600048,9.5400,9.5400,9.4100,9.4400,9.5800,30566922,289401696.0000,0.284091,1,-1.461381,0,1.331408
2017-02-28,sh.600048,9.4400,9.5100,9.4300,9.4700,9.4400,19549605,185269245.0000,0.181696,1,0.317804,0,1.335639
2017-03-01,sh.600048,9.5300,9.5800,9.4800,9.5300,9.4700,34051134,324163280.0000,0.316474,1,0.633574,0,1.344101
2017-03-02,sh.600048,9.5400,9.5700,9.4200,9.4300,9.5300,24311151,230330552.0000,0.225950,1,-1.049312,0,1.329997
2017-03-03,sh.600048,9.4100,9.4700,9.2800,9.4300,9.4300,37696731,352574832.0000,0.350356,1,0.000000,0,1.329997
