date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600845,17.6300,18.2000,17.6300,18.1800,17.6400,2701263,48679676.0000,0.542244,1,3.061230,0,3.495255
2017-01-04,sh.600845,18.3100,18.6000,18.1500,18.5700,18.1800,2461004,45380346.0000,0.494015,1,2.145211,0,3.570235
2017-01-05,sh.600845,18.5700,18.8700,18.4300,18.7000,18.5700,2311695,43211489.0000,0.464043,1,0.700060,0,3.595229
2017-01-06,sh.600845,18.8000,18.8000,18.4800,18.5200,18.7000,1300806,24135241.0000,0.261120,1,-0.962569,0,3.560622
2017-01-09,sh.600845,18.5200,18.5200,18.2600,18.4900,18.5200,1422932,26153230.0000,0.285635,1,-0.161991,0,3.554855
2017-01-10,sh.600845,18.4800,18.6000,18.3100,18.3400,18.4900,1010013,18559432.0000,0.202747,1,-0.811247,0,3.526016
2017-01-11,sh.600845,18.3600,18.5300,18.2200,18.3600,18.3400,918660,16867064.0000,0.184409,1,0.109054,0,3.529861
2017-01-12,sh.600845,18.2800,18.3800,17.8500,17.8600,18.3600,1570549,28334402.0000,0.315267,1,-2.723311,0,3.433732
2017-01-13,sh.600845,17.7600,17.9800,17.4300,17.4600,17.8600,2216168,39062562.0000,0.444867,1,-2.239650,0,3.356829
2017-01-16,sh.600845,17.3000,17.5500,16.2000,17.3300,17.4600,2582499,43970392.0000,0.518403,1,-0.744554,0,3.331835
2017-01-17,sh.600845,17.1800,18.7900,16.7900,17.8300,17.3300,5235802,93069992.0000,1.051020,1,2.885170,0,3.427964
2017-01-18,sh.600845,17.4100,17.7600,17.3100,17.3700,17.8300,2519942,43956465.0000,0.505846,1,-2.579916,0,3.339525
2017-01-19,sh.600845,17.2900,17.3000,16.9400,16.9800,17.3700,1814539,30943545.0000,0.364245,1,-2.245258,0,3.264545
2017-01-20,sh.600845,16.9800,17.4900,16.9800,17.3400,16.9800,1973851,34197824.0000,0.396225,1,2.120145,0,3.333758
2017-01-23,sh.600845,17.3600,17.6900,17.2900,17.5400,17.3400,1947260,34145114.0000,0.390887,1,1.153407,0,3.372209
2017-01-24,sh.600845,17.4900,17.6500,17.2100,17.2400,17.5400,1275089,22090003.0000,0.255958,1,-1.710383,0,3.314532
2017-01-25,sh.600845,17.2600,17.5500,17.2500,17.4000,17.2400,1252163,21778607.0000,0.251356,1,0.928073,0,3.345293
2017-01-26,sh.600845,17.3800,17.5700,17.3800,17.5200,17.4000,910375,15939726.0000,0.182746,1,0.689660,0,3.368364
2017-02-03,sh.600845,17.5800,17.7900,17.2100,17.4500,17.5200,1406318,24510248.0000,0.282300,1,-0.399542,0,3.354906
2017-02-06,sh.600845,17.4000,17.5900,17.3100,17.5200,17.4500,1489529,26013905.0000,0.299004,1,0.401144,0,3.368364
2017-02-07,sh.600845,17.5200,17.5500,17.1400,17.2400,17.5200,2054459,35579707.0000,0.412406,1,-1.598177,0,3.314532
2017-02-08,sh.600845,17.2400,17.3500,17.0300,17.3400,17.2400,1762405,30298809.0000,0.353780,1,0.580049,0,3.333758
2017-02-09,sh.600845,17.3400,17.5900,17.3000,17.5600,17.3400,2292504,40054170.0000,0.460191,1,1.268739,0,3.376054
2017-02-10,sh.600845,17.5600,17.5900,17.4100,17.4800,17.5600,1677655,29347218.0000,0.336768,1,-0.455580,0,3.360674
2017-02-13,sh.600845,17.4800,17.8600,17.3900,17.8400,17.4800,2806186,49479045.0000,0.563306,1,2.059500,0,3.429887
2017-02-14,sh.600845,19.2500,19.6200,18.9800,19.6200,17.8400,20139393,390369088.0000,4.042723,1,9.977582,0,3.772106
2017-02-15,sh.600845,19.1600,21.4500,19.0400,20.5600,19.6200,20969850,419462640.0000,4.209426,1,4.791022,0,3.952829
2017-02-16,sh.600845,20.0000,20.5000,19.8000,20.0900,20.5600,13283760,267022584.0000,2.666543,1,-2.285989,0,3.862468
2017-02-17,sh.600845,20.2900,20.2900,19.3000,19.4500,20.0900,9460438,186117024.0000,1.899061,1,-3.185662,0,3.739422
2017-02-20,sh.600845,19.4600,19.8000,19.1700,19.6600,19.4500,6147035,119739876.0000,1.233938,1,1.079687,0,3.779797
2017-02-21,sh.600845,19.5200,19.9500,19.4900,19.6400,19.6600,7105999,140089652.0000,1.426437,1,-0.101732,0,3.775952
2017-02-22,sh.600845,19.5000,19.5500,19.2200,19.4600,19.6400,4807411,93062936.0000,0.965026,1,-0.916498,0,3.741345
2017-02-23,sh.600845,19.4400,19.8700,19.3800,19.7900,19.4600,6806215,133951941.0000,1.366260,1,1.695796,0,3.804790
2017-02-24,sh.600845,19.7500,19.8500,19.4100,19.6400,19.7900,4144394,81192764.0000,0.831934,1,-0.757966,0,3.775952
2017-02-27,sh.600845,19.6700,19.7000,19.0900,19.1700,19.6400,3786554,73231781.0000,0.760102,1,-2.393072,0,3.685590
2017-02-28,sh.600845,19.2700,19.2900,18.8300,19.1600,19.1700,3344734,63739396.0000,0.671412,1,-0.052166,0,3.683668
2017-03-01,sh.600845,19.2000,19.2600,18.9900,19.0000,19.1600,3730501,71229761.0000,0.748850,1,-0.835072,0,3.652906
2017-03-02,sh.600845,19.0100,19.0700,18.3900,18.4500,19.0000,6182404,115183812.0000,1.241038,1,-2.894733,0,3.547164
2017-03-03,sh.600845,18.4500,18.6700,18.3500,18.6500,18.4500,2687540,49852842.0000,0.539489,1,1.084005,0,3.585616
2017-03-06,sh.600845,18.5300,19.0700,18.5000,18.9800,18.6500,3423613,64547244.0000,0.687246,1,1.769437,0,3.649061
2017-03-07,sh.600845,18.8500,18.9700,18.5700,18.8500,18.9800,3866485,72384888.0000,0.737975,1,-0.684927,0,3.558489
2017-03-08,sh.600845,18.7900,19.0200,18.6700,18.7500,18.8500,3572226,67362347.0000,0.681811,1,-0.530506,0,3.539611
2017-03-09,sh.600845,18.7800,18.8400,18.4000,18.4200,18.7500,2407867,44604141.0000,0.459576,1,-1.760000,0,3.477314
2017-03-10,sh.600845,18.4500,18.7700,18.4500,18.6200,18.4200,2043303,38077998.0000,0.389994,1,1.085781,0,3.515070
2017-03-13,sh.600845,18.6200,18.9300,18.4400,18.9000,18.6200,2853407,53548861.0000,0.544614,1,1.503753,0,3.567928
2017-03-14,sh.600845,18.8900,19.0500,18.7200,18.8000,18.9000,2066863,38969101.0000,0.394491,1,-0.529103,0,3.549050
2017-03-15,sh.600845,18.7500,18.8700,18.4500,18.7700,18.8000,2245878,41769714.0000,0.428658,1,-0.159568,0,3.543387
2017-03-16,sh.600845,18.7700,19.0200,18.7700,18.9500,18.7700,3411513,64541561.0000,0.651137,1,0.958979,0,3.577367
2017-03-17,sh.600845,18.8100,18.9600,18.6400,18.8000,18.9500,3641913,68447758.0000,0.695112,1,-0.791565,0,3.549050
2017-03-20,sh.600845,18.8000,18.8200,18.4400,18.6200,18.8000,2052226,38115942.0000,0.391697,1,-0.957438,0,3.515070
2017-03-21,sh.600845,18.5300,18.7300,18.5000,18.5700,18.6200,1655320,30776436.0000,0.315942,1,-0.268535,0,3.505631
2017-03-22,sh.600845,18.4900,18.4900,18.0700,18.0900,18.5700,3389195,61754018.0000,0.646877,1,-2.584812,0,3.415017
2017-03-23,sh.600845,17.9800,18.3200,17.9000,18.1500,18.0900,2721167,49292040.0000,0.519374,1,0.331672,0,3.426344
2017-03-24,sh.600845,18.1500,18.1800,17.9400,18.1100,18.1500,2060753,37286846.0000,0.393325,1,-0.220380,0,3.418792
2017-03-27,sh.600845,18.1100,18.2500,17.9900,18.1300,18.1100,2007473,36350799.0000,0.383155,1,0.110428,0,3.422568
2017-03-28,sh.600845,18.1600,18.1600,17.9600,18.1200,18.1300,1316009,23762474.0000,0.251179,1,-0.055148,0,3.420680
2017-03-29,sh.600845,18.1400,18.2200,17.8700,18.0600,18.1200,2212566,39835799.0000,0.422300,1,-0.331133,0,3.409354
2017-03-30,sh.600845,18.0700,18.0700,17.3500,17.6000,18.0600,3313955,58460186.0000,0.632516,1,-2.547060,0,3.322515
2017-03-31,sh.600845,17.6000,17.7700,17.5000,17.7700,17.6000,1721187,30357128.0000,0.328513,1,0.965909,0,3.354608
2017-04-05,sh.600845,17.7800,18.3100,17.7700,18.2700,17.7700,2454520,44497077.0000,0.468481,1,2.813731,0,3.448997
2017-04-06,sh.600845,18.2600,18.3500,18.0500,18.2100,18.2700,1962918,35782771.0000,0.374651,1,-0.328415,0,3.437670
