date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002371,26.6800,27.0600,26.5000,26.6600,26.6000,2864953,76652369.0000,1.752007,1,0.225562,0,3.883830
2017-01-04,sz.002371,26.8000,28.4100,26.6800,28.3800,26.6600,12098215,336721088.0000,7.398430,1,6.451611,0,4.134400
2017-01-05,sz.002371,28.0000,28.3200,27.7800,28.0100,28.3800,6821171,190768854.0000,4.171356,1,-1.303731,0,4.080498
2017-01-06,sz.002371,27.7200,28.1900,27.6600,27.9800,28.0100,5488285,153204956.0000,3.356255,1,-0.107107,0,4.076128
2017-01-09,sz.002371,27.9900,29.2000,27.7700,28.9400,27.9800,7959187,228523489.0000,4.867287,1,3.431026,0,4.215980
2017-01-10,sz.002371,28.7500,29.0700,28.3900,28.3900,28.9400,4839261,138973836.0000,2.959357,1,-1.900488,0,4.135856
2017-01-11,sz.002371,28.3200,28.9700,28.0800,28.4200,28.3900,4150953,118384339.0000,2.538435,1,0.105673,0,4.140227
2017-01-12,sz.002371,28.2300,28.5000,28.0100,28.0800,28.4200,3156928,89214324.0000,1.930558,1,-1.196341,0,4.090696
2017-01-13,sz.002371,27.9100,28.6900,27.5000,28.1000,28.0800,4213174,118965965.0000,2.576485,1,0.071227,0,4.093609
2017-01-16,sz.002371,28.1000,28.1000,25.2900,26.3000,28.1000,6479672,171198894.0000,3.962518,1,-6.405698,0,3.831385
2017-01-17,sz.002371,26.0100,27.1600,25.8000,26.9700,26.3000,4398809,116122658.0000,2.690007,1,2.547529,0,3.928991
2017-01-18,sz.002371,26.7100,26.9900,26.0000,26.2300,26.9700,3003381,79550599.0000,1.836660,1,-2.743789,0,3.821187
2017-01-19,sz.002371,26.0400,26.2800,25.7100,26.1900,26.2300,2306718,59941985.0000,1.410629,1,-0.152493,0,3.815360
2017-01-20,sz.002371,26.1900,27.4000,26.0500,27.0700,26.1900,4383804,118416179.0000,2.680831,1,3.360058,0,3.943559
2017-01-23,sz.002371,27.1400,27.8000,26.9000,27.1300,27.0700,3708178,101117511.0000,2.267665,1,0.221646,0,3.952299
2017-01-24,sz.002371,27.1100,27.4700,26.8200,27.2800,27.1300,3117721,84456580.0000,1.906582,1,0.552899,0,3.974151
2017-01-25,sz.002371,27.2300,27.5900,26.8400,27.5000,27.2800,3608034,98505639.0000,2.206424,1,0.806449,0,4.006201
2017-01-26,sz.002371,27.6000,28.2000,27.5100,28.1900,27.5000,4939004,137698861.0000,3.020353,1,2.509093,0,4.106720
2017-02-03,sz.002371,28.1300,28.2600,27.7900,27.8400,28.1900,2280862,63764053.0000,1.394817,1,-1.241576,0,4.055732
2017-02-06,sz.002371,27.7900,28.5700,27.6000,28.3400,27.8400,5269570,147843301.0000,3.222504,1,1.795977,0,4.128572
2017-02-07,sz.002371,28.2700,28.3300,27.7000,27.8500,28.3400,3393342,94833430.0000,2.075133,1,-1.729004,0,4.057189
2017-02-08,sz.002371,27.6700,28.3600,27.6700,28.2800,27.8500,4046864,113582216.0000,2.474782,1,1.543987,0,4.119832
2017-02-09,sz.002371,28.1800,28.4200,27.9200,28.3200,28.2800,3883166,109359391.0000,2.374675,1,0.141439,0,4.125659
2017-02-10,sz.002371,28.3600,28.3700,27.7200,27.8200,28.3200,4086357,114547906.0000,2.498933,1,-1.765537,0,4.052819
2017-02-13,sz.002371,27.5600,28.0900,27.3000,28.0900,27.8200,4089420,113409722.0000,2.500806,1,0.970526,0,4.092152
2017-02-14,sz.002371,28.0800,28.1400,27.8200,27.9100,28.0900,2228774,62307079.0000,1.362964,1,-0.640799,0,4.065930
2017-02-15,sz.002371,27.9800,28.0700,26.7600,27.0800,27.9100,3569665,98282264.0000,2.182960,1,-2.973844,0,3.945015
2017-02-16,sz.002371,27.0800,27.2400,26.8200,27.0100,27.0800,3104467,83981124.0000,1.898477,1,-0.258492,0,3.934818
2017-02-17,sz.002371,27.1000,27.1500,26.4800,26.7300,27.0100,3055308,81697500.0000,1.868415,1,-1.036656,0,3.894027
2017-02-20,sz.002371,26.7300,26.8500,26.1800,26.6600,26.7300,2889765,76504269.0000,1.767180,1,-0.261877,0,3.883830
2017-02-21,sz.002371,26.5100,27.0800,26.5100,27.0100,26.6600,3342716,89977119.0000,2.044173,1,1.312830,0,3.934818
2017-02-22,sz.002371,26.9500,28.1600,26.8200,27.7500,27.0100,6369553,175507236.0000,3.895177,1,2.739725,0,4.042621
2017-02-23,sz.002371,27.7000,28.8000,27.5500,28.6700,27.7500,10806185,304243296.0000,6.608314,1,3.315316,0,4.176647
2017-02-24,sz.002371,28.7000,30.1800,28.2100,28.8500,28.6700,15103208,441658848.0000,9.236075,1,0.627835,0,4.202869
