date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000661,113.0000,113.2000,111.7600,113.0000,111.8500,2496662,280836816.0000,1.468317,1,1.028164,0,5.065834
2017-01-04,sz.000661,112.7100,114.1300,112.6000,113.9900,113.0000,1680541,190360159.0000,0.988346,1,0.876104,0,5.110216
2017-01-05,sz.000661,114.0000,114.7500,113.2800,114.3000,113.9900,1206662,137739936.0000,0.709652,1,0.271958,0,5.124114
2017-01-06,sz.000661,114.6000,114.6500,111.8700,112.0000,114.3000,1127821,127994823.0000,0.663285,1,-2.012251,0,5.021004
2017-01-09,sz.000661,112.4700,115.3000,112.1900,115.1500,112.0000,2003779,228845253.0000,1.178446,1,2.812501,0,5.162220
2017-01-10,sz.000661,115.1900,116.0600,114.6500,115.1200,115.1500,1283588,148204703.0000,0.754893,1,-0.026052,0,5.160875
2017-01-11,sz.000661,115.3000,115.9700,112.9500,113.1100,115.1200,1044892,119746522.0000,0.614513,1,-1.746006,0,5.070766
2017-01-12,sz.000661,113.3000,113.8000,112.1800,112.2800,113.1100,956176,107832422.0000,0.562338,1,-0.733800,0,5.033556
2017-01-13,sz.000661,112.2800,112.6800,111.0000,111.1600,112.2800,1638664,183160051.0000,0.963718,1,-0.997502,0,4.983346
2017-01-16,sz.000661,111.0100,111.8600,105.1500,108.9900,111.1600,2058650,225624636.0000,1.210717,1,-1.952146,0,4.886064
2017-01-17,sz.000661,109.0100,110.0000,107.6900,109.0000,108.9900,1153965,125634950.0000,0.678661,1,0.009177,0,4.886513
2017-01-18,sz.000661,109.2100,110.1000,108.5000,109.5000,109.0000,1059648,115960983.0000,0.623192,1,0.458716,0,4.908928
2017-01-19,sz.000661,108.8800,109.6600,108.0900,109.3400,109.5000,580529,63293866.0000,0.341416,1,-0.146122,0,4.901755
2017-01-20,sz.000661,109.3400,110.9300,108.7100,110.0000,109.3400,756880,83411617.0000,0.445130,1,0.603625,0,4.931343
2017-01-23,sz.000661,110.2000,111.2000,108.4000,108.7900,110.0000,1305546,142808199.0000,0.767807,1,-1.099999,0,4.877098
