date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-07-31,sh.603233,29.6600,35.6000,29.6600,35.6000,24.7200,25528,907015.0000,0.063804,1,44.012940,0,9.908829
2017-08-01,sh.603233,39.1600,39.1600,39.1600,39.1600,35.6000,13700,536492.0000,0.034241,1,10.000000,0,10.899711
2017-08-02,sh.603233,43.0800,43.0800,43.0800,43.0800,39.1600,421796,18170972.0000,1.054226,1,10.010220,0,11.990796
2017-08-03,sh.603233,43.0800,46.9900,41.0300,43.9000,43.0800,18957276,814591248.0000,47.381345,1,1.903435,0,12.219033
2017-08-04,sh.603233,42.0000,43.5000,41.7800,41.8500,43.9000,10746520,454349840.0000,26.859585,1,-4.669711,0,11.648440
2017-08-07,sh.603233,42.0500,43.7800,41.8500,42.2900,41.8500,7848904,334366224.0000,19.617356,1,1.051380,0,11.770909
2017-08-08,sh.603233,41.2700,41.2900,39.2300,39.7200,42.2900,8436415,338577680.0000,21.085766,1,-6.077086,0,11.055581
2017-08-09,sh.603233,39.3700,40.1500,38.0300,38.2400,39.7200,5681904,221449553.0000,14.201210,1,-3.726081,0,10.643641
2017-08-10,sh.603233,38.2400,38.8800,37.6300,37.9100,38.2400,3787016,144235433.0000,9.465174,1,-0.862975,0,10.551789
2017-08-11,sh.603233,37.2800,37.2800,36.2900,36.3100,37.9100,4190858,153996213.0000,10.474526,1,-4.220518,0,10.106449
2017-08-14,sh.603233,36.2900,36.7300,36.0000,36.5200,36.3100,2859256,104225543.0000,7.146353,1,0.578350,0,10.164899
2017-08-15,sh.603233,36.5900,37.7900,36.4100,37.6000,36.5200,4576285,171055729.0000,11.437853,1,2.957278,0,10.465504
2017-08-16,sh.603233,37.5000,38.2400,37.3000,37.7600,37.6000,3265385,123785877.0000,8.161422,1,0.425532,0,10.510038
2017-08-17,sh.603233,37.7300,37.7300,36.9000,37.2700,37.7600,2613226,97229861.0000,6.531432,1,-1.297664,0,10.373653
2017-08-18,sh.603233,37.1000,37.1600,36.6100,36.7100,37.2700,1960570,72241710.0000,4.900200,1,-1.502553,0,10.217784
2017-08-21,sh.603233,36.9000,37.4900,36.7400,37.4800,36.7100,2204699,82049222.0000,5.510370,1,2.097522,0,10.432104
2017-08-22,sh.603233,37.5200,39.5000,37.4100,38.9800,37.4800,5105306,196309927.0000,12.760075,1,4.002134,0,10.849611
2017-08-23,sh.603233,38.8600,39.4500,38.1100,38.6200,38.9800,3485112,135064536.0000,8.710602,1,-0.923552,0,10.749409
2017-08-24,sh.603233,38.7200,39.9400,38.5100,38.6900,38.6200,4950027,194358768.0000,12.371975,1,0.181252,0,10.768893
2017-08-25,sh.603233,38.2000,39.9900,38.0600,39.7500,38.6900,5164334,203047416.0000,12.907608,1,2.739730,0,11.063931
2017-08-28,sh.603233,39.9100,41.3800,39.5000,40.9800,39.7500,6287485,254236154.0000,15.714784,1,3.094338,0,11.406286
2017-08-29,sh.603233,40.8600,43.7700,40.1000,41.4200,40.9800,9451707,397387552.0000,23.623362,1,1.073691,0,10.551372
2017-08-30,sh.603233,40.3500,41.2600,39.5100,39.8200,41.4200,5054407,203272421.0000,12.632859,1,-3.862864,0,10.143786
2017-08-31,sh.603233,39.8100,41.3000,39.8000,41.2500,39.8200,4231173,172138740.0000,10.575289,1,3.591161,0,10.508066
