date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002236,13.7000,13.8300,13.6300,13.6900,13.6800,8208847,112686106.0000,0.480413,1,0.073094,0,5.307725
2017-01-04,sz.002236,13.6800,13.7900,13.6000,13.7700,13.6900,7606945,104337867.0000,0.445187,1,0.584375,0,5.338741
2017-01-05,sz.002236,13.6500,13.7600,13.5500,13.5800,13.7700,10041886,137116305.0000,0.587689,1,-1.379815,0,5.265077
2017-01-06,sz.002236,13.5700,13.6200,13.1500,13.3200,13.5800,24008169,319949376.0000,1.405049,1,-1.914582,0,5.164273
2017-01-09,sz.002236,13.3500,13.3600,13.1800,13.2700,13.3200,9049558,120008465.0000,0.529614,1,-0.375370,0,5.144887
2017-01-10,sz.002236,13.2600,13.3600,13.2200,13.2600,13.2700,12002785,159640853.0000,0.702448,1,-0.075360,0,5.141010
2017-01-11,sz.002236,13.2600,13.2800,13.1200,13.1700,13.2600,9500237,125388129.0000,0.555990,1,-0.678734,0,5.106116
2017-01-12,sz.002236,13.1800,13.3000,13.1400,13.1600,13.1700,7132482,94241147.0000,0.417420,1,-0.075932,0,5.102239
2017-01-13,sz.002236,13.1900,13.4100,13.1800,13.2500,13.1600,13355299,177835061.0000,0.781603,1,0.683892,0,5.137133
2017-01-16,sz.002236,13.3200,13.6300,13.0000,13.3600,13.2500,20846252,280334960.0000,1.220001,1,0.830186,0,5.179781
2017-01-17,sz.002236,13.3500,13.6200,13.2800,13.5400,13.3600,13376028,180713174.0000,0.782816,1,1.347308,0,5.249568
2017-01-18,sz.002236,13.6100,13.8300,13.4700,13.6300,13.5400,13608369,186103285.0000,0.796413,1,0.664698,0,5.284462
2017-01-19,sz.002236,13.6400,13.6400,13.4200,13.5400,13.6300,10617867,143567746.0000,0.621398,1,-0.660309,0,5.249568
2017-01-20,sz.002236,13.5800,13.8500,13.5200,13.8100,13.5400,13540418,186436178.0000,0.792436,1,1.994095,0,5.354250
2017-01-23,sz.002236,13.7000,13.8800,13.4300,13.5600,13.8100,34144785,466152592.0000,1.998282,1,-1.810282,0,5.257322
2017-01-24,sz.002236,13.5000,13.6800,13.4600,13.6000,13.5600,14683440,199196932.0000,0.859330,1,0.294985,0,5.272831
2017-01-25,sz.002236,13.5700,13.8900,13.4900,13.7100,13.6000,17796326,243529106.0000,1.041508,1,0.808821,0,5.315479
2017-01-26,sz.002236,13.7900,13.8500,13.6000,13.7000,13.7100,11150686,152622079.0000,0.652580,1,-0.072941,0,5.311602
2017-02-03,sz.002236,13.6800,13.9600,13.5100,13.9000,13.7000,16142132,222716436.0000,0.944699,1,1.459853,0,5.389143
2017-02-06,sz.002236,13.8300,14.1500,13.8200,14.0500,13.9000,18061695,253636863.0000,1.057039,1,1.079141,0,5.447299
2017-02-07,sz.002236,14.0000,14.0800,13.8200,13.9600,14.0500,9273480,129385585.0000,0.542719,1,-0.640571,0,5.412406
2017-02-08,sz.002236,13.9600,14.3200,13.7700,14.2600,13.9600,21517043,303717520.0000,1.259259,1,2.148998,0,5.528718
2017-02-09,sz.002236,14.1900,14.3800,14.1600,14.2700,14.2600,16320854,232879237.0000,0.955158,1,0.070128,0,5.532595
