date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.300073,43.2200,43.5000,42.9200,43.2200,43.0700,3247601,140066458.0000,1.989550,1,0.348274,0,6.065129
2017-01-04,sz.300073,43.5000,47.5400,43.2300,47.5400,43.2200,7707564,355250624.0000,4.721818,1,9.995372,0,6.671362
2017-01-05,sz.300073,49.1100,49.1200,47.7300,47.8800,47.5400,17229860,834499232.0000,10.555380,1,0.715187,0,6.719074
2017-01-06,sz.300073,47.3800,48.3200,46.6800,47.0400,47.8800,10149831,482740176.0000,6.218003,1,-1.754386,0,6.601196
2017-01-09,sz.300073,47.1000,50.3000,47.0800,48.2700,47.0400,12398111,603705696.0000,7.595347,1,2.614795,0,6.773804
2017-01-10,sz.300073,48.0000,48.7800,47.2300,47.5000,48.2700,7164755,342786304.0000,4.389282,1,-1.595195,0,6.665748
2017-01-11,sz.300073,47.2000,48.7900,47.1000,48.4000,47.5000,7790728,375282384.0000,4.772766,1,1.894740,0,6.792047
2017-01-12,sz.300073,48.5000,50.4500,47.8500,49.2500,48.4000,11309700,560039552.0000,6.928563,1,1.756195,0,6.911329
2017-01-13,sz.300073,49.1800,50.4500,48.5800,48.6500,49.2500,9876059,490461856.0000,6.050284,1,-1.218271,0,6.827130
2017-01-16,sz.300073,48.1000,48.6000,44.0500,46.9000,48.6500,9586959,449375136.0000,5.873175,1,-3.597122,0,6.581550
2017-01-17,sz.300073,46.3800,48.5000,45.4100,48.2800,46.9000,8676247,409439744.0000,5.315254,1,2.942425,0,6.775207
2017-01-18,sz.300073,47.8100,49.3300,47.4900,48.2500,48.2800,7295996,352659120.0000,4.469683,1,-0.062135,0,6.770997
2017-01-19,sz.300073,47.6900,48.2100,47.0600,47.7500,48.2500,5580093,265868020.0000,3.418484,1,-1.036269,0,6.700831
2017-01-20,sz.300073,47.5800,49.8600,47.5800,49.6700,47.7500,8417503,411811968.0000,5.156742,1,4.020939,0,6.970268
