date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002008,22.6000,22.7000,22.4100,22.4600,22.6000,5923505,133364398.0000,0.597323,1,-0.619475,0,4.631516
2017-01-04,sz.002008,22.5000,22.9300,22.4300,22.7500,22.4600,9124836,206916628.0000,0.920144,1,1.291188,0,4.691317
2017-01-05,sz.002008,22.7200,22.8500,22.6200,22.6900,22.7500,4332249,98432814.0000,0.436862,1,-0.263734,0,4.678945
2017-01-06,sz.002008,22.7700,22.7900,21.8800,21.9000,22.6900,12472743,276405328.0000,1.257745,1,-3.481714,0,4.516037
2017-01-09,sz.002008,21.9100,22.0600,21.8800,21.9900,21.9000,4848361,106465540.0000,0.488906,1,0.410960,0,4.534596
2017-01-10,sz.002008,22.0200,22.2900,21.9300,22.1500,21.9900,5246939,116470180.0000,0.529099,1,0.727603,0,4.567590
2017-01-11,sz.002008,22.1900,22.2700,21.8300,22.0200,22.1500,4933176,108680823.0000,0.497459,1,-0.586904,0,4.540783
2017-01-12,sz.002008,22.0200,22.1400,21.7800,21.8100,22.0200,4666413,102302401.0000,0.470559,1,-0.953683,0,4.497478
2017-01-13,sz.002008,21.8100,21.8100,21.2500,21.6000,21.8100,7603903,163625986.0000,0.766774,1,-0.962857,0,4.454174
2017-01-16,sz.002008,21.4700,21.7100,21.0000,21.4400,21.6000,9285789,199469372.0000,0.936374,1,-0.740740,0,4.421180
2017-01-17,sz.002008,21.4000,21.9200,21.2800,21.7700,21.4400,6223199,134832558.0000,0.627544,1,1.539179,0,4.489230
2017-01-18,sz.002008,21.7600,21.8300,21.5500,21.7600,21.7700,4328538,93994352.0000,0.436488,1,-0.045936,0,4.487168
2017-01-19,sz.002008,21.6500,21.9100,21.6000,21.7600,21.7600,4608626,100352096.0000,0.464731,1,0.000000,0,4.487168
2017-01-20,sz.002008,21.7600,22.3800,21.6800,22.2500,21.7600,6800766,150672053.0000,0.685786,1,2.251837,0,4.588211
2017-01-23,sz.002008,22.2500,22.5300,22.2500,22.3500,22.2500,6846683,153511062.0000,0.690416,1,0.449440,0,4.608833
2017-01-24,sz.002008,22.1600,22.5700,22.0600,22.5100,22.3500,6981663,156723826.0000,0.704027,1,0.715883,0,4.641826
2017-01-25,sz.002008,22.4600,22.5500,22.3600,22.5000,22.5100,3568726,80164837.0000,0.359868,1,-0.044426,0,4.639764
2017-01-26,sz.002008,22.4200,22.5300,22.3800,22.4100,22.5000,3037559,68232436.0000,0.306306,1,-0.400001,0,4.621205
2017-02-03,sz.002008,22.5000,22.5400,22.2200,22.3000,22.4100,1902560,42495338.0000,0.191853,1,-0.490855,0,4.598522
2017-02-06,sz.002008,22.3000,22.9000,22.2500,22.7500,22.3000,10359234,234978315.0000,1.044620,1,2.017941,0,4.691317
2017-02-07,sz.002008,22.7300,23.3000,22.6600,23.0900,22.7500,14337760,331060880.0000,1.445812,1,1.494506,0,4.761429
2017-02-08,sz.002008,23.0900,23.2700,22.8000,23.0500,23.0900,7875757,181736962.0000,0.794187,1,-0.173239,0,4.753181
2017-02-09,sz.002008,23.0500,23.3300,22.9500,23.0500,23.0500,6083945,141022951.0000,0.613502,1,0.000000,0,4.753181
2017-02-10,sz.002008,23.1000,23.2600,22.9700,23.0300,23.0500,5432211,125516886.0000,0.547781,1,-0.086762,0,4.749057
2017-02-13,sz.002008,23.1200,23.5300,23.0300,23.4100,23.0300,10170590,237717197.0000,1.025597,1,1.650018,0,4.827417
2017-02-14,sz.002008,23.5000,23.6300,23.2900,23.4400,23.4100,9229481,216589246.0000,0.930696,1,0.128153,0,4.833603
2017-02-15,sz.002008,23.4400,23.9100,23.4400,23.4900,23.4400,15826808,374935680.0000,1.595967,1,0.213307,0,4.843914
2017-02-16,sz.002008,23.5000,23.7400,23.3100,23.5100,23.4900,5825191,137239696.0000,0.587409,1,0.085145,0,4.848038
2017-02-17,sz.002008,23.5100,23.7300,23.0900,23.1800,23.5100,5913226,137912895.0000,0.596287,1,-1.403658,0,4.779988
