date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.300059,17.0000,17.2100,16.9900,17.0800,16.9300,38645753,660102480.0000,1.459299,1,0.885999,0,4.805898
2017-01-04,sz.300059,17.0000,17.3100,16.9000,17.2900,17.0800,60292773,1034325824.0000,2.276710,1,1.229514,0,4.864987
2017-01-05,sz.300059,17.3000,17.4000,17.1500,17.2300,17.2900,36712677,633420096.0000,1.386304,1,-0.347029,0,4.848105
2017-01-06,sz.300059,17.2800,17.3000,17.0500,17.0700,17.2300,28628731,489967472.0000,1.081047,1,-0.928612,0,4.803085
2017-01-09,sz.300059,17.0800,17.1500,16.9500,17.1000,17.0700,26894822,458920112.0000,1.015573,1,0.175751,0,4.811526
2017-01-10,sz.300059,17.0600,17.1300,17.0000,17.0000,17.1000,25565754,435882320.0000,0.965386,1,-0.584798,0,4.783388
2017-01-11,sz.300059,16.9300,17.0600,16.6400,16.7900,17.0000,41794481,703950544.0000,1.578198,1,-1.235289,0,4.724299
2017-01-12,sz.300059,16.7500,16.9500,16.7500,16.7700,16.7900,28794361,484763248.0000,1.087301,1,-0.119121,0,4.718672
2017-01-13,sz.300059,16.8000,16.9000,16.4000,16.4200,16.7700,42952687,714869136.0000,1.621933,1,-2.087062,0,4.620190
2017-01-16,sz.300059,16.4600,16.5500,14.8000,15.3900,16.4200,68280342,1079283024.0000,2.578328,1,-6.272836,0,4.330373
2017-01-17,sz.300059,15.3400,16.3000,15.1000,15.9900,15.3900,73057407,1146574928.0000,2.758715,1,3.898632,0,4.499199
2017-01-18,sz.300059,15.8000,15.9900,15.6600,15.7200,15.9900,37482430,591352336.0000,1.415371,1,-1.688552,0,4.423227
2017-01-19,sz.300059,15.6500,15.8500,15.5200,15.7400,15.7200,27984499,439561712.0000,1.056720,1,0.127223,0,4.428855
2017-01-20,sz.300059,15.7400,16.3300,15.6700,16.0100,15.7400,48993122,787124896.0000,1.850025,1,1.715378,0,4.504826
2017-01-23,sz.300059,16.0900,16.2000,16.0000,16.1000,16.0100,31087802,499918384.0000,1.173904,1,0.562150,0,4.530150
2017-01-24,sz.300059,16.0900,16.1000,15.8000,15.8900,16.1000,25011363,397941872.0000,0.944452,1,-1.304348,0,4.471061
2017-01-25,sz.300059,15.8100,16.0100,15.8000,15.8800,15.8900,21827175,347085536.0000,0.824214,1,-0.062934,0,4.468247
2017-01-26,sz.300059,15.8700,16.0600,15.8500,15.9200,15.8800,23103655,368827792.0000,0.872415,1,0.251889,0,4.479502
2017-02-03,sz.300059,15.9500,15.9700,15.5200,15.5900,15.9200,29917623,469063616.0000,1.129717,1,-2.072864,0,4.386648
2017-02-06,sz.300059,15.5700,15.8700,15.5200,15.7500,15.5900,27660548,434096912.0000,1.044488,1,1.026298,0,4.431669
2017-02-07,sz.300059,15.6600,15.7200,15.4900,15.5800,15.7500,25039068,390353616.0000,0.945498,1,-1.079365,0,4.383835
2017-02-08,sz.300059,15.5500,16.0700,15.4900,16.0300,15.5800,54594304,863392576.0000,2.061531,1,2.888323,0,4.510454
2017-02-09,sz.300059,15.9200,16.1800,15.9000,16.0400,16.0300,43502275,697881424.0000,1.642686,1,0.062384,0,4.513268
2017-02-10,sz.300059,16.0200,16.2900,15.9700,16.0600,16.0400,48047055,775059104.0000,1.814301,1,0.124679,0,4.518895
2017-02-13,sz.300059,16.0500,17.1700,15.9700,16.7600,16.0600,95860833,1599638512.0000,3.619793,1,4.358660,0,4.715858
2017-02-14,sz.300059,16.6100,16.7000,16.4300,16.5500,16.7600,44009968,728473488.0000,1.661857,1,-1.252989,0,4.656769
2017-02-15,sz.300059,16.5200,17.1500,16.5100,16.5400,16.5500,71137647,1196404688.0000,2.686223,1,-0.060413,0,4.653955
2017-02-16,sz.300059,16.5000,16.7500,16.3400,16.6600,16.5400,39638277,657120720.0000,1.496778,1,0.725507,0,4.687721
2017-02-17,sz.300059,16.6600,17.1400,16.6000,16.6100,16.6600,64391698,1084338704.0000,2.431490,1,-0.300115,0,4.673652
2017-02-20,sz.300059,16.5500,16.7500,16.2600,16.7400,16.6100,52708813,868511152.0000,1.990333,1,0.782656,0,4.710231
2017-02-21,sz.300059,16.7400,17.1000,16.6100,16.9100,16.7400,57352619,970000880.0000,2.165688,1,1.015532,0,4.758064
2017-02-22,sz.300059,16.8500,16.9800,16.6800,16.8100,16.9100,38673379,649584496.0000,1.460342,1,-0.591368,0,4.729927
2017-02-23,sz.300059,16.8600,16.8600,16.5600,16.7100,16.8100,34734019,578881136.0000,1.311588,1,-0.594886,0,4.701789
2017-02-24,sz.300059,16.7100,16.9600,16.6100,16.7000,16.7100,37530591,629081584.0000,1.417190,1,-0.059834,0,4.698976
2017-02-27,sz.300059,16.6600,16.7000,16.4000,16.4400,16.7000,36029292,596369680.0000,1.360499,1,-1.556888,0,4.625818
2017-02-28,sz.300059,16.4100,16.6400,16.3800,16.5300,16.4400,20810164,343938320.0000,0.785811,1,0.547446,0,4.651142
2017-03-01,sz.300059,16.5500,16.8000,16.4700,16.6100,16.5300,32209681,536491392.0000,1.216267,1,0.483968,0,4.673652
2017-03-02,sz.300059,16.6900,16.8500,16.3900,16.4200,16.6100,36655269,608794512.0000,1.384137,1,-1.143892,0,4.620190
2017-03-03,sz.300059,16.3000,16.3800,16.2000,16.2700,16.4200,30222021,492046720.0000,1.141211,1,-0.913518,0,4.577984
2017-03-06,sz.300059,16.2000,16.5800,16.2000,16.5000,16.2700,41291591,677908256.0000,1.559208,1,1.413642,0,4.577945
2017-03-07,sz.300059,16.5700,16.5800,16.3700,16.4500,16.5000,32893095,541244496.0000,1.242073,1,-0.303026,0,4.564072
2017-03-08,sz.300059,16.4800,16.4900,16.1600,16.2100,16.4500,39095037,636800688.0000,1.476264,1,-1.458977,0,4.497484
2017-03-09,sz.300059,16.2500,16.2500,15.8500,15.9400,16.2100,36389073,581371568.0000,1.374085,1,-1.665636,0,4.422572
2017-03-10,sz.300059,15.9500,16.0400,15.9000,16.0000,15.9400,23365797,373443360.0000,0.882314,1,0.376414,0,4.439219
2017-03-13,sz.300059,15.9800,16.0500,15.7200,16.0000,16.0000,24425490,388575632.0000,0.922329,1,0.000000,0,4.439219
2017-03-14,sz.300059,16.0000,16.0700,15.8200,15.8700,16.0000,24378716,388376368.0000,0.920563,1,-0.812501,0,4.403151
2017-03-15,sz.300059,15.8500,16.0800,15.6800,15.9100,15.8700,43782772,695499232.0000,1.653278,1,0.252048,0,4.414249
2017-03-16,sz.300059,15.8900,16.1500,15.8500,16.1000,15.9100,44058264,706661984.0000,1.663680,1,1.194221,0,4.466964
2017-03-17,sz.300059,16.1700,16.4800,15.8900,15.9000,16.1000,67249927,1088269936.0000,2.539419,1,-1.242241,0,4.411474
2017-03-20,sz.300059,15.8200,15.8600,15.6100,15.7800,15.9000,39954083,628324320.0000,1.508703,1,-0.754716,0,4.378180
2017-03-21,sz.300059,15.8500,15.8500,15.6500,15.7100,15.7800,21772484,342275504.0000,0.822149,1,-0.443598,0,4.358758
2017-03-22,sz.300059,15.6000,15.6700,15.4400,15.4600,15.7100,31318490,486341664.0000,1.182615,1,-1.591343,0,4.289396
2017-03-23,sz.300059,15.5000,15.6500,15.3200,15.4700,15.4600,25759772,399404064.0000,0.972713,1,0.064685,0,4.292170
2017-03-24,sz.300059,15.4700,15.8000,15.3900,15.6200,15.4700,31255894,487062528.0000,1.180251,1,0.969616,0,4.333788
2017-03-27,sz.300059,15.6600,15.7900,15.5200,15.5800,15.6200,30723528,480688592.0000,1.160149,1,-0.256082,0,4.322690
2017-03-28,sz.300059,15.5700,15.6800,15.5500,15.6000,15.5800,15624816,243792664.0000,0.590007,1,0.128373,0,4.328239
2017-03-29,sz.300059,15.6300,15.6800,15.3900,15.4000,15.6000,25960036,403003920.0000,0.980275,1,-1.282056,0,4.272749
2017-03-30,sz.300059,15.3500,15.3700,14.9100,14.9300,15.4000,44066633,665197296.0000,1.663997,1,-3.051944,0,4.142346
2017-03-31,sz.300059,14.9000,15.1000,14.8800,14.9800,14.9300,26554836,397444208.0000,1.002735,1,0.334891,0,4.156219
2017-04-05,sz.300059,14.9700,15.1700,14.7600,15.1200,14.9800,41197083,619926432.0000,1.555640,1,0.934582,0,4.195062
2017-04-06,sz.300059,15.1200,15.1200,14.9700,14.9900,15.1200,26151841,393095744.0000,0.987518,1,-0.859789,0,4.158994
2017-04-07,sz.300059,14.9900,15.0500,14.8300,14.8500,14.9900,29997904,447321200.0000,1.132748,1,-0.933952,0,4.120150
2017-04-10,sz.300059,14.9300,14.9300,14.5900,14.6400,14.8500,33979542,501187408.0000,1.283099,1,-1.414142,0,4.061886
2017-04-11,sz.300059,14.6100,14.8300,14.5200,14.7900,14.6400,36885545,540519168.0000,1.392832,1,1.024588,0,4.103503
2017-04-12,sz.300059,14.8000,14.9800,14.7000,14.8000,14.7900,34510976,512588832.0000,1.302152,1,0.067615,0,4.106278
2017-04-13,sz.300059,14.7800,14.9700,14.7500,14.8300,14.8000,20589723,306158304.0000,0.776882,1,0.202701,0,4.114601
2017-04-14,sz.300059,14.8000,15.1000,14.7700,14.9500,14.8300,36183781,539791600.0000,1.365269,1,0.809170,0,4.147895
2017-04-17,sz.300059,14.9000,14.9200,14.5500,14.6300,14.9500,30343266,446244000.0000,1.144898,1,-2.140466,0,4.059111
2017-04-18,sz.300059,12.1800,12.1900,11.5800,11.6600,12.1600,43387513,515710256.0000,1.364231,1,-4.111842,0,3.882097
2017-04-19,sz.300059,11.6100,11.6100,11.1600,11.3300,11.6600,43993875,497859840.0000,1.383297,1,-2.830188,0,3.772227
2017-04-20,sz.300059,11.2500,11.5000,11.2000,11.4000,11.3300,43234667,490505984.0000,1.359425,1,0.617826,0,3.795532
2017-04-21,sz.300059,11.3500,11.4300,11.1000,11.1400,11.4000,36624491,411404080.0000,1.151582,1,-2.280695,0,3.708968
2017-04-24,sz.300059,11.1000,11.1000,10.5000,10.6800,11.1400,52458101,562831760.0000,1.649437,1,-4.129264,0,3.555815
2017-04-25,sz.300059,10.7000,10.9500,10.6600,10.7000,10.6800,34313493,370568528.0000,1.078917,1,0.187261,0,3.562473
2017-04-26,sz.300059,10.6900,10.8900,10.5900,10.7500,10.7000,34031080,365687616.0000,1.070037,1,0.467292,0,3.579121
2017-04-27,sz.300059,10.7000,11.3400,10.3700,11.1400,10.7500,87032091,948010256.0000,2.736545,1,3.627910,0,3.677537
2017-04-28,sz.300059,11.0400,11.1300,10.9700,11.1000,11.1400,34758370,384231232.0000,1.092905,1,-0.359066,0,3.664332
2017-05-02,sz.300059,11.0800,11.1400,10.9700,11.0200,11.1000,24047931,265691786.0000,0.756138,1,-0.720720,0,3.637922
2017-05-03,sz.300059,10.9800,11.1300,10.9000,11.0300,11.0200,29578748,325677344.0000,0.930043,1,0.090738,0,3.641223
2017-05-04,sz.300059,11.0000,11.0500,10.7500,10.7700,11.0300,36663934,399592832.0000,1.152822,1,-2.357201,0,3.555392
2017-05-05,sz.300059,10.6600,10.7200,10.3800,10.3800,10.7700,50075069,527292832.0000,1.574508,1,-3.621173,0,3.426645
2017-05-08,sz.300059,10.2500,11.2000,10.2300,10.9300,10.3800,109970816,1192486896.0000,3.457806,1,5.298653,0,3.608211
2017-05-09,sz.300059,10.8800,11.2200,10.8100,11.2000,10.9300,84994116,937585040.0000,2.672465,1,2.470261,0,3.697344
2017-05-10,sz.300059,11.1200,11.2300,10.8000,10.8000,11.2000,56154615,618196304.0000,1.765666,1,-3.571425,0,3.565296
2017-05-11,sz.300059,10.7000,11.1400,10.6300,11.0000,10.8000,60111911,657847440.0000,1.890095,1,1.851850,0,3.631320
2017-05-12,sz.300059,10.9100,11.0500,10.7300,10.9000,11.0000,51279769,558641440.0000,1.612387,1,-0.909094,0,3.598308
2017-05-15,sz.300059,10.9200,11.0000,10.5500,10.6300,10.9000,48238758,521967712.0000,1.516769,1,-2.477060,0,3.509175
2017-05-16,sz.300059,10.5800,10.9000,10.3600,10.9000,10.6300,55526708,589328192.0000,1.745923,1,2.539977,0,3.598308
2017-05-17,sz.300059,10.8600,11.9900,10.8300,11.2900,10.9000,176214538,2026829440.0000,5.142292,1,3.577985,0,3.727055
2017-05-18,sz.300059,11.1500,11.6600,11.1200,11.4700,11.2900,114140945,1300465296.0000,3.330861,1,1.594334,0,3.786476
