date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000651,24.7000,25.2400,24.7000,25.0600,24.6200,58392946,1461009056.0000,0.978008,1,1.787159,0,3.030536
2017-01-04,sz.000651,25.0900,25.2300,24.8800,25.1400,25.0600,71662463,1795780768.0000,1.200255,1,0.319234,0,3.040211
2017-01-05,sz.000651,25.1900,25.3800,25.0900,25.2600,25.1400,63084316,1592596960.0000,1.056582,1,0.477330,0,3.054723
2017-01-06,sz.000651,25.2000,25.2100,24.8500,25.0000,25.2600,54112990,1352108272.0000,0.906324,1,-1.029296,0,3.023280
2017-01-09,sz.000651,25.0000,25.0000,24.5000,24.7400,25.0000,56230720,1390066320.0000,0.941793,1,-1.040001,0,2.991838
2017-01-10,sz.000651,24.7400,24.9700,24.5100,24.9300,24.7400,46382688,1148129120.0000,0.776851,1,0.767989,0,3.014815
2017-01-11,sz.000651,24.8600,25.0800,24.5800,24.6800,24.9300,34636462,858835216.0000,0.580117,1,-1.002808,0,2.984583
2017-01-12,sz.000651,24.6200,24.7300,24.2700,24.3100,24.6800,38412942,940257104.0000,0.643368,1,-1.499193,0,2.939838
2017-01-13,sz.000651,24.3700,24.4500,24.1400,24.1600,24.3100,41436082,1005205168.0000,0.694002,1,-0.617028,0,2.921698
2017-01-16,sz.000651,24.1600,24.1600,23.3100,23.7900,24.1600,61220402,1457234416.0000,1.025364,1,-1.531453,0,2.876954
2017-01-17,sz.000651,23.7900,24.1900,23.6900,24.1700,23.7900,38634110,925964112.0000,0.647072,1,1.597306,0,2.922908
2017-01-18,sz.000651,24.2600,25.1500,24.2600,24.9600,24.1700,91867891,2283523984.0000,1.538670,1,3.268511,0,3.018443
2017-01-19,sz.000651,25.0000,25.1500,24.7700,24.8800,24.9600,37953089,946378832.0000,0.635666,1,-0.320512,0,3.008769
2017-01-20,sz.000651,24.8900,25.5500,24.8900,25.3700,24.8800,68414335,1734380416.0000,1.145853,1,1.969460,0,3.068025
2017-01-23,sz.000651,25.5100,25.8400,25.2100,25.2800,25.3700,58959326,1503455632.0000,0.987494,1,-0.354750,0,3.057141
2017-01-24,sz.000651,25.2700,25.4300,25.1000,25.3200,25.2800,39939144,1007975376.0000,0.668930,1,0.158224,0,3.061978
2017-01-25,sz.000651,25.2500,25.5000,25.1300,25.5000,25.3200,32106771,813670352.0000,0.537748,1,0.710902,0,3.083746
2017-01-26,sz.000651,25.5000,25.9400,25.5000,25.7800,25.5000,51972770,1339623040.0000,0.870478,1,1.098042,0,3.117607
2017-02-03,sz.000651,25.7000,25.7700,25.3000,25.3900,25.7800,32540374,828281936.0000,0.545010,1,-1.512806,0,3.070444
2017-02-06,sz.000651,25.3800,25.5400,25.1500,25.2600,25.3900,42327303,1071342672.0000,0.708929,1,-0.512009,0,3.054723
2017-02-07,sz.000651,25.2300,25.2300,24.9900,25.1300,25.2600,45110333,1130717744.0000,0.755541,1,-0.514652,0,3.039002
2017-02-08,sz.000651,25.1700,25.4500,25.0900,25.3500,25.1300,41213856,1041008672.0000,0.690280,1,0.875452,0,3.065606
2017-02-09,sz.000651,25.4000,25.8000,25.4000,25.6200,25.3500,58511631,1498636528.0000,0.979995,1,1.065091,0,3.098258
2017-02-10,sz.000651,25.7000,26.1800,25.6100,25.9700,25.6200,76644327,1987487232.0000,1.283695,1,1.366114,0,3.140584
2017-02-13,sz.000651,25.9700,27.1300,25.9400,27.1000,25.9700,120803896,3225202448.0000,2.023312,1,4.351179,0,3.277236
2017-02-14,sz.000651,27.3000,27.7400,26.7700,26.9000,27.1000,98828803,2681881312.0000,1.655257,1,-0.738010,0,3.253050
2017-02-15,sz.000651,26.9000,27.3500,26.7500,26.9900,26.9000,79556516,2154887216.0000,1.332471,1,0.334573,0,3.263934
2017-02-16,sz.000651,26.9100,27.5900,26.8200,27.5900,26.9900,74533260,2025265248.0000,1.248337,1,2.223047,0,3.336492
2017-02-17,sz.000651,27.7000,27.9000,27.1800,27.4100,27.5900,77363182,2126943424.0000,1.295735,1,-0.652411,0,3.314725
2017-02-20,sz.000651,27.4600,28.6600,27.4500,28.5500,27.4100,132671204,3750275440.0000,2.222074,1,4.159064,0,3.452586
2017-02-21,sz.000651,28.4800,28.6300,28.0600,28.2400,28.5500,89410466,2527256896.0000,1.497512,1,-1.085812,0,3.415098
2017-02-22,sz.000651,28.1000,28.5000,27.9000,28.3200,28.2400,65162077,1843088768.0000,1.091382,1,0.283286,0,3.424772
2017-02-23,sz.000651,28.3100,28.5900,27.8000,27.9100,28.3200,70864493,1988514064.0000,1.186890,1,-1.447740,0,3.375190
2017-02-24,sz.000651,27.9700,28.1400,27.2300,27.8500,27.9100,69085597,1911712208.0000,1.157096,1,-0.214975,0,3.367934
2017-02-27,sz.000651,27.8000,27.8000,27.1000,27.1300,27.8500,71562580,1957749424.0000,1.198582,1,-2.585283,0,3.280864
2017-02-28,sz.000651,27.0900,27.5700,27.0900,27.4400,27.1300,43479851,1188971088.0000,0.728232,1,1.142652,0,3.318353
2017-03-01,sz.000651,27.5000,27.7500,27.3100,27.4600,27.4400,41125794,1132609344.0000,0.688805,1,0.072881,0,3.320771
2017-03-02,sz.000651,27.5000,27.6300,27.2300,27.3100,27.4600,36512242,999655152.0000,0.611534,1,-0.546248,0,3.302632
2017-03-03,sz.000651,27.2800,27.4200,27.0500,27.3000,27.3100,39569673,1077032416.0000,0.662742,1,-0.036617,0,3.301422
2017-03-06,sz.000651,27.3100,28.2500,27.3100,28.1500,27.3000,87432763,2449349232.0000,1.464388,1,3.113555,0,3.404214
2017-03-07,sz.000651,28.2000,28.3600,28.0500,28.2300,28.1500,51419658,1450328128.0000,0.861214,1,0.284192,0,3.413888
2017-03-08,sz.000651,28.2700,28.4800,27.8500,28.0900,28.2300,49569417,1397943472.0000,0.830225,1,-0.495924,0,3.396958
2017-03-09,sz.000651,28.2300,28.8800,28.2300,28.4000,28.0900,73204756,2085704816.0000,1.226087,1,1.103594,0,3.434447
2017-03-10,sz.000651,28.5100,29.0400,28.3000,28.9600,28.4000,94750593,2728650608.0000,1.586952,1,1.971829,0,3.502168
