date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002241,26.7000,27.3500,26.6100,27.2200,26.5200,8288283,224351249.0000,0.655584,1,2.639513,0,4.207981
2017-01-04,sz.002241,27.1700,27.6000,27.1700,27.4200,27.2200,7852834,215301583.0000,0.621141,1,0.734757,0,4.238899
2017-01-05,sz.002241,27.4800,27.6900,27.3400,27.4500,27.4200,5008133,137542733.0000,0.396132,1,0.109412,0,4.243537
2017-01-06,sz.002241,27.3900,27.4500,26.8000,27.0400,27.4500,8932567,241579513.0000,0.706546,1,-1.493624,0,4.180155
2017-01-09,sz.002241,27.0500,27.4900,26.9900,27.3600,27.0400,4958904,135496258.0000,0.392238,1,1.183431,0,4.229624
2017-01-10,sz.002241,27.2700,27.3900,27.1000,27.1600,27.3600,3887260,105760245.0000,0.307473,1,-0.730997,0,4.198706
2017-01-11,sz.002241,27.1600,27.5200,27.1100,27.2400,27.1600,4159575,113801530.0000,0.329013,1,0.294550,0,4.211073
2017-01-12,sz.002241,27.0800,27.4300,26.8800,26.8800,27.2400,4088257,110898423.0000,0.323372,1,-1.321588,0,4.155420
2017-01-13,sz.002241,26.9000,27.1700,26.8600,26.9900,26.8800,5504491,148666712.0000,0.435393,1,0.409228,0,4.172425
2017-01-16,sz.002241,26.9000,27.0400,25.7100,26.6500,26.9900,7390794,196963881.0000,0.584595,1,-1.259726,0,4.119864
2017-01-17,sz.002241,26.5900,27.3700,26.4200,27.3000,26.6500,5530602,149100304.0000,0.437458,1,2.439023,0,4.220348
2017-01-18,sz.002241,27.3300,27.5100,27.2100,27.4200,27.3000,4113560,112636531.0000,0.325373,1,0.439563,0,4.238899
2017-01-19,sz.002241,27.3000,27.4600,27.1800,27.2700,27.4200,2788324,76181812.0000,0.220550,1,-0.547045,0,4.215711
2017-01-20,sz.002241,27.2600,27.6500,27.1800,27.5300,27.2700,3994115,109863951.0000,0.315925,1,0.953430,0,4.255904
2017-01-23,sz.002241,27.5000,27.6600,27.4000,27.6300,27.5300,3947097,108819680.0000,0.312206,1,0.363235,0,4.271364
2017-01-24,sz.002241,27.5200,27.6400,27.0700,27.2600,27.6300,4836791,131950552.0000,0.382579,1,-1.339120,0,4.214165
2017-01-25,sz.002241,27.2000,27.5000,27.0000,27.3300,27.2600,3496397,95467119.0000,0.276557,1,0.256785,0,4.224986
2017-01-26,sz.002241,27.4000,27.7400,27.3400,27.7100,27.3300,8248995,227714356.0000,0.652477,1,1.390410,0,4.283731
2017-02-03,sz.002241,27.7200,27.8100,27.5500,27.6500,27.7100,2890962,80087458.0000,0.228668,1,-0.216526,0,4.274455
2017-02-06,sz.002241,27.6600,28.2700,27.6400,28.0800,27.6500,7886909,220736719.0000,0.623836,1,1.555155,0,4.340930
2017-02-07,sz.002241,28.6000,28.8000,28.1000,28.4000,28.0800,16874986,480705584.0000,1.334773,1,1.139600,0,4.390399
2017-02-08,sz.002241,28.2100,29.1700,28.1500,29.0200,28.4000,14252707,410513472.0000,1.127356,1,2.183101,0,4.486246
2017-02-09,sz.002241,29.0800,29.1800,28.8800,29.0100,29.0200,8871463,257777689.0000,0.701712,1,-0.034460,0,4.484701
2017-02-10,sz.002241,29.0000,29.0000,28.7500,28.9700,29.0100,5887291,169913137.0000,0.465671,1,-0.137887,0,4.478517
2017-02-13,sz.002241,28.8200,29.1500,28.6000,28.6700,28.9700,9065200,261477191.0000,0.717036,1,-1.035551,0,4.432139
2017-02-14,sz.002241,28.7200,29.1600,28.5100,29.0000,28.6700,11361154,329176016.0000,0.898641,1,1.151029,0,4.483155
2017-02-15,sz.002241,29.0300,30.2300,29.0300,29.7200,29.0000,21795197,648797040.0000,1.723949,1,2.482756,0,4.594462
2017-02-16,sz.002241,29.7100,30.4600,29.7000,29.8500,29.7200,14360517,432116592.0000,1.135883,1,0.437420,0,4.614559
2017-02-17,sz.002241,29.8600,30.0800,29.3700,29.3900,29.8500,9409495,278879344.0000,0.744269,1,-1.541042,0,4.543446
2017-02-20,sz.002241,29.5000,30.0400,29.4000,29.9500,29.3900,8599159,256158204.0000,0.680173,1,1.905415,0,4.630018
2017-02-21,sz.002241,29.9000,30.2300,29.8000,30.0900,29.9500,7878096,236554497.0000,0.623139,1,0.467444,0,4.651661
2017-02-22,sz.002241,30.2000,30.4900,30.1100,30.4000,30.0900,10166352,308829776.0000,0.804135,1,1.030241,0,4.699584
2017-02-23,sz.002241,30.4900,30.5800,30.2000,30.2800,30.4000,7267333,220770628.0000,0.574829,1,-0.394733,0,4.681033
2017-02-24,sz.002241,30.1800,30.2700,29.3500,29.8000,30.2800,14408061,427664928.0000,1.139644,1,-1.585210,0,4.606829
2017-02-27,sz.002241,29.7800,30.0400,29.6200,29.8900,29.8000,7810465,233725647.0000,0.617790,1,0.302014,0,4.620742
2017-02-28,sz.002241,29.8000,30.0800,29.6400,29.7700,29.8900,5653783,168845929.0000,0.447201,1,-0.401469,0,4.602191
2017-03-01,sz.002241,29.7800,30.1900,29.7400,30.0400,29.7700,9153852,274476848.0000,0.724048,1,0.906955,0,4.643931
2017-03-02,sz.002241,30.1900,30.4900,29.9200,29.9400,30.0400,7605901,230240180.0000,0.601609,1,-0.332891,0,4.628472
2017-03-03,sz.002241,29.8200,31.0400,29.6500,30.9700,29.9400,16067424,492508304.0000,1.270896,1,3.440209,0,4.787701
2017-03-06,sz.002241,30.8000,32.0900,30.8000,31.9600,30.9700,19550498,620282640.0000,1.546399,1,3.196641,0,4.940747
2017-03-07,sz.002241,31.8600,32.3000,31.5000,31.9600,31.9600,17043967,545666128.0000,1.348138,1,0.000000,0,4.940747
2017-03-08,sz.002241,31.9600,31.9900,31.4200,31.6200,31.9600,6329587,200093032.0000,0.500656,1,-1.063824,0,4.888186
2017-03-09,sz.002241,31.4200,31.6800,31.1400,31.4200,31.6200,6686430,210124488.0000,0.528881,1,-0.632513,0,4.857267
2017-03-10,sz.002241,31.3300,31.5800,31.2100,31.4800,31.4200,5002543,157089033.0000,0.395689,1,0.190960,0,4.866543
2017-03-13,sz.002241,31.4600,32.9900,31.4300,32.6200,31.4800,15581281,506591216.0000,1.232443,1,3.621345,0,5.042777
2017-03-14,sz.002241,32.8400,32.8400,32.2800,32.5500,32.6200,6980613,226722426.0000,0.552150,1,-0.214591,0,5.031956
2017-03-15,sz.002241,32.5000,32.7700,32.0300,32.3900,32.5500,7175036,232344931.0000,0.567529,1,-0.491551,0,5.007221
2017-03-16,sz.002241,32.3900,32.7200,32.1100,32.5000,32.3900,8125366,262456539.0000,0.642697,1,0.339613,0,5.024226
2017-03-17,sz.002241,32.5200,33.0000,31.7600,31.8500,32.5000,10579040,342601728.0000,0.836777,1,-1.999999,0,4.923742
