date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002410,14.5700,14.6600,14.5300,14.6000,14.6000,4768944,69645887.0000,0.550078,1,0.000000,0,5.968510
2017-01-04,sz.002410,14.6100,14.7100,14.5100,14.7100,14.6000,4726163,69140959.0000,0.545143,1,0.753422,0,6.013478
2017-01-05,sz.002410,14.7500,14.9100,14.6800,14.6800,14.7100,6330641,93657858.0000,0.730213,1,-0.203941,0,6.001214
2017-01-06,sz.002410,14.6100,14.6700,14.4800,14.5500,14.6800,4905831,71416698.0000,0.565867,1,-0.885559,0,5.948070
2017-01-09,sz.002410,14.6000,14.6400,14.4500,14.5700,14.5500,3658574,53255842.0000,0.422001,1,0.137454,0,5.956246
2017-01-10,sz.002410,14.5800,14.5900,14.4600,14.5400,14.5700,4020927,58393421.0000,0.463797,1,-0.205901,0,5.943982
2017-01-11,sz.002410,14.5400,14.5600,14.3500,14.3600,14.5400,2776671,40135396.0000,0.320278,1,-1.237966,0,5.870398
2017-01-12,sz.002410,14.3600,14.4400,14.1200,14.1800,14.3600,3001061,42983720.0000,0.346160,1,-1.253477,0,5.796813
2017-01-13,sz.002410,14.2500,14.3500,13.8500,13.9700,14.1800,3862098,54600762.0000,0.445477,1,-1.480959,0,5.710965
2017-01-16,sz.002410,13.8100,14.0500,12.9200,13.2800,13.9700,6859329,93321413.0000,0.791195,1,-4.939159,0,5.428891
2017-01-17,sz.002410,13.2800,13.6000,13.1900,13.5500,13.2800,6196325,82966523.0000,0.714720,1,2.033136,0,5.539268
2017-01-18,sz.002410,13.5700,13.5700,13.3200,13.3500,13.5500,2878437,38730178.0000,0.332016,1,-1.476013,0,5.457508
2017-01-19,sz.002410,13.3600,13.6800,13.3300,13.6300,13.3500,3791664,51356148.0000,0.437353,1,2.097376,0,5.571972
2017-01-20,sz.002410,13.6500,14.0900,13.5600,13.9700,13.6300,4216375,58657359.0000,0.486341,1,2.494498,0,5.710965
2017-01-23,sz.002410,13.9500,14.1800,13.9500,14.0600,13.9700,1812736,25497086.0000,0.209092,1,0.644239,0,5.747757
2017-01-24,sz.002410,14.0000,14.1000,13.8400,13.8600,14.0600,2680057,37261125.0000,0.309133,1,-1.422480,0,5.665997
2017-01-25,sz.002410,13.8600,14.0800,13.7400,13.9500,13.8600,2412172,33540983.0000,0.278234,1,0.649352,0,5.702789
2017-01-26,sz.002410,14.0800,14.0800,13.9000,13.9500,13.9500,2086622,29115697.0000,0.240683,1,0.000000,0,5.702789
2017-02-03,sz.002410,13.9600,14.1400,13.9000,14.0400,13.9500,2986271,41929820.0000,0.344454,1,0.645162,0,5.739581
2017-02-06,sz.002410,13.9800,14.1500,13.9500,14.1500,14.0400,2795751,39377466.0000,0.322478,1,0.783473,0,5.784549
2017-02-07,sz.002410,14.1600,14.3500,14.0700,14.2900,14.1500,4068047,58058595.0000,0.469232,1,0.989402,0,5.841781
2017-02-08,sz.002410,14.2800,14.3100,14.0800,14.2500,14.2900,3908223,55424194.0000,0.450797,1,-0.279916,0,5.825429
2017-02-09,sz.002410,14.2500,14.3500,14.1400,14.2200,14.2500,3979802,56641620.0000,0.459054,1,-0.210524,0,5.813165
2017-02-10,sz.002410,14.2200,14.2900,14.0000,14.0600,14.2200,6187213,87373248.0000,0.713669,1,-1.125175,0,5.747757
2017-02-13,sz.002410,13.9500,14.1400,13.9500,14.0800,14.0600,4001759,56263176.0000,0.461586,1,0.142244,0,5.755933
2017-02-14,sz.002410,14.0700,14.1100,13.9600,14.0800,14.0800,2743908,38551813.0000,0.316498,1,0.000000,0,5.755933
2017-02-15,sz.002410,14.0200,14.2000,13.9400,13.9600,14.0800,3028741,42621763.0000,0.349353,1,-0.852272,0,5.706877
2017-02-16,sz.002410,13.9800,14.2700,13.9800,14.2200,13.9600,4545039,64345560.0000,0.524251,1,1.862466,0,5.813165
2017-02-17,sz.002410,14.2800,14.2800,14.0100,14.0300,14.2200,3532151,49762248.0000,0.407419,1,-1.336150,0,5.735493
2017-02-20,sz.002410,14.0300,14.7800,14.0300,14.6200,14.0300,12405295,179945923.0000,1.430899,1,4.205276,0,5.976686
2017-02-21,sz.002410,14.6500,14.8400,14.5300,14.7400,14.6200,8029482,118098060.0000,0.926168,1,0.820793,0,6.025742
2017-02-22,sz.002410,14.7500,15.0600,14.6600,15.0400,14.7400,8993712,134344767.0000,1.037388,1,2.035280,0,6.148383
2017-02-23,sz.002410,14.9600,15.0800,14.8500,15.0000,15.0400,5313109,79450598.0000,0.612845,1,-0.265957,0,6.132031
2017-02-24,sz.002410,14.9200,15.0700,14.8900,14.9400,15.0000,4037943,60502794.0000,0.465760,1,-0.400003,0,6.107503
2017-02-27,sz.002410,14.8100,15.5000,14.8100,14.9800,14.9400,10469781,159361826.0000,1.207646,1,0.267737,0,6.123855
2017-02-28,sz.002410,15.0000,15.1300,14.8500,15.0000,14.9800,7880717,117943256.0000,0.909008,1,0.133514,0,6.132031
2017-03-01,sz.002410,15.0000,15.0800,14.8500,14.8900,15.0000,4743924,70895220.0000,0.547192,1,-0.733331,0,6.087063
2017-03-02,sz.002410,14.9000,15.0800,14.8700,15.0400,14.8900,5615503,84122389.0000,0.647725,1,1.007385,0,6.148383
2017-03-03,sz.002410,14.9900,15.1700,14.8300,15.1100,15.0400,4439440,66448693.0000,0.512071,1,0.465423,0,6.176999
2017-03-06,sz.002410,15.0400,15.5500,15.0300,15.5500,15.1100,10941357,169000898.0000,1.262040,1,2.911983,0,6.356872
2017-03-07,sz.002410,15.5500,15.7600,15.4100,15.5600,15.5500,9543316,148922417.0000,1.100782,1,0.064310,0,6.360960
2017-03-08,sz.002410,15.5400,15.7300,15.3800,15.6000,15.5600,7157066,111289740.0000,0.825538,1,0.257069,0,6.377312
2017-03-09,sz.002410,15.5200,15.7800,15.4700,15.7300,15.6000,7271144,113899937.0000,0.838696,1,0.833328,0,6.430456
2017-03-10,sz.002410,15.7300,15.8900,15.5600,15.8400,15.7300,5337852,83828905.0000,0.615699,1,0.699305,0,6.475425
2017-03-13,sz.002410,15.8900,15.9600,15.6700,15.6800,15.8400,6155677,97469295.0000,0.710032,1,-1.010100,0,6.410016
2017-03-14,sz.002410,15.6700,15.8100,15.4900,15.5500,15.6800,7047207,110140963.0000,0.812866,1,-0.829082,0,6.356872
2017-03-15,sz.002410,15.5600,15.7500,15.4700,15.6000,15.5500,5791506,90258297.0000,0.668026,1,0.321545,0,6.377312
2017-03-16,sz.002410,15.6000,15.6700,15.3600,15.5900,15.6000,6125783,95164835.0000,0.706584,1,-0.064104,0,6.373224
2017-03-17,sz.002410,15.6000,15.8400,15.5000,15.5700,15.5900,6926724,108609560.0000,0.798969,1,-0.128290,0,6.365048
2017-03-20,sz.002410,15.5500,15.7200,15.5500,15.6400,15.5700,5044440,78832608.0000,0.581855,1,0.449587,0,6.393664
