date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600519,334.2800,337.0000,332.8100,334.5600,334.1500,2076389,695005296.0000,0.165292,1,0.122701,0,6.122620
2017-01-04,sh.600519,334.6200,352.1700,334.6000,351.9100,334.5600,6525738,2245051872.0000,0.519483,1,5.185918,0,6.440133
2017-01-05,sh.600519,350.0000,351.4500,345.4400,346.7400,351.9100,4170448,1449077680.0000,0.331990,1,-1.469129,0,6.345520
2017-01-06,sh.600519,346.6400,359.7800,346.1000,350.7600,346.7400,6809562,2402546304.0000,0.542077,1,1.159376,0,6.419088
2017-01-09,sh.600519,347.8000,352.8800,346.5400,348.5100,350.7600,3540500,1233977968.0000,0.281843,1,-0.641464,0,6.377912
2017-01-10,sh.600519,348.4500,352.0000,346.6000,349.0000,348.5100,3172764,1108100800.0000,0.252569,1,0.140596,0,6.386879
2017-01-11,sh.600519,348.0000,348.0000,343.5000,345.4500,349.0000,2359851,814074640.0000,0.187857,1,-1.017188,0,6.321912
2017-01-12,sh.600519,346.5500,347.4000,344.5100,347.0500,345.4500,1777940,614822048.0000,0.141533,1,0.463157,0,6.351193
2017-01-13,sh.600519,346.9800,347.3900,343.8800,344.8700,347.0500,1828248,631734944.0000,0.145538,1,-0.628149,0,6.311298
2017-01-16,sh.600519,344.1300,344.8000,338.8000,341.4700,344.8700,3685545,1259384864.0000,0.293389,1,-0.985877,0,6.249076
2017-01-17,sh.600519,342.6000,351.5000,342.0000,349.1300,341.4700,3518838,1223967888.0000,0.280118,1,2.243243,0,6.389258
2017-01-18,sh.600519,348.8800,356.7700,347.2100,355.0800,349.1300,4600570,1622110976.0000,0.366230,1,1.704231,0,6.498146
2017-01-19,sh.600519,355.0000,358.4800,351.7000,354.7200,355.0800,2852392,1011320064.0000,0.227066,1,-0.101381,0,6.491558
2017-01-20,sh.600519,354.9000,357.4000,353.0300,354.9900,354.7200,2134417,758416000.0000,0.169911,1,0.076113,0,6.496499
2017-01-23,sh.600519,356.8800,359.8000,349.4600,351.2200,354.9900,3258118,1151869296.0000,0.259363,1,-1.061999,0,6.427506
2017-01-24,sh.600519,351.2700,352.8000,346.7500,350.3100,351.2200,2691458,939129472.0000,0.214254,1,-0.259098,0,6.410853
2017-01-25,sh.600519,349.9800,349.9800,346.2000,347.6300,350.3100,2299036,799259968.0000,0.183015,1,-0.765035,0,6.361807
2017-01-26,sh.600519,348.1400,348.8000,341.3000,344.4200,347.6300,3782617,1303262144.0000,0.301116,1,-0.923393,0,6.303063
2017-02-03,sh.600519,346.0000,349.1800,345.0000,346.8500,344.4200,2093643,727140784.0000,0.166665,1,0.705532,0,6.347533
2017-02-06,sh.600519,348.4900,348.8900,344.9600,346.8500,346.8500,1568079,543401904.0000,0.124827,1,0.000000,0,6.347533
2017-02-07,sh.600519,346.8400,347.4000,343.1400,343.5800,346.8500,2051983,707114112.0000,0.163349,1,-0.942776,0,6.287690
2017-02-08,sh.600519,343.7600,345.5000,342.6700,344.2100,343.5800,1908854,656786320.0000,0.151955,1,0.183365,0,6.299220
2017-02-09,sh.600519,345.0000,348.7900,344.6100,347.6100,344.2100,2332438,808958176.0000,0.185674,1,0.987767,0,6.361441
2017-02-10,sh.600519,348.6200,349.8200,345.0000,345.0800,347.6100,2405659,835679328.0000,0.191503,1,-0.727827,0,6.315141
2017-02-13,sh.600519,344.0000,351.9000,341.9200,349.7500,345.0800,5358790,1869148352.0000,0.426588,1,1.353313,0,6.400604
2017-02-14,sh.600519,349.5400,352.6000,349.1000,350.2100,349.7500,2655868,931733728.0000,0.211421,1,0.131520,0,6.409023
2017-02-15,sh.600519,351.5000,352.4400,347.2000,348.5300,350.2100,2625696,917475856.0000,0.209019,1,-0.479710,0,6.378278
2017-02-16,sh.600519,348.5000,348.6200,345.5100,348.0900,348.5300,1764230,612607280.0000,0.140442,1,-0.126245,0,6.370226
2017-02-17,sh.600519,348.9000,354.4400,347.5000,350.5600,348.0900,2910234,1022647968.0000,0.231670,1,0.709587,0,6.415428
2017-02-20,sh.600519,350.4100,362.3200,350.0100,361.2900,350.5600,6185340,2215563600.0000,0.492386,1,3.060820,0,6.611792
2017-02-21,sh.600519,361.8800,362.4300,357.1800,358.7400,361.2900,2770577,994112864.0000,0.220553,1,-0.705809,0,6.565126
2017-02-22,sh.600519,360.6100,366.5200,360.0000,361.8900,358.7400,3713031,1347469104.0000,0.295577,1,0.878080,0,6.622773
2017-02-23,sh.600519,360.9700,365.4800,359.7600,361.7000,361.8900,2332806,844123200.0000,0.185704,1,-0.052503,0,6.619296
2017-02-24,sh.600519,362.0000,362.8900,360.0500,362.6200,361.7000,1769278,639123200.0000,0.140844,1,0.254350,0,6.636132
2017-02-27,sh.600519,362.4900,362.8500,356.8000,357.2000,362.6200,2540046,912927184.0000,0.202201,1,-1.494673,0,6.536943
2017-02-28,sh.600519,357.0000,359.2000,353.5800,354.6600,357.2000,2747351,975788672.0000,0.218704,1,-0.711089,0,6.490460
2017-03-01,sh.600519,355.1000,358.2000,355.0000,356.6100,354.6600,2194420,782349008.0000,0.174687,1,0.549817,0,6.526146
2017-03-02,sh.600519,356.7100,357.0000,354.5300,356.8200,356.6100,2210362,785560416.0000,0.175957,1,0.058894,0,6.529989
2017-03-03,sh.600519,355.0000,358.2200,355.0000,356.5400,356.8200,1415355,505108560.0000,0.112670,1,-0.078471,0,6.524865
2017-03-06,sh.600519,357.6600,359.5400,356.5500,358.9600,356.5400,2281884,818625872.0000,0.181650,1,0.678741,0,6.569152
2017-03-07,sh.600519,358.0300,368.8800,358.0300,367.2000,358.9600,4628698,1694198544.0000,0.368469,1,2.295526,0,6.719948
2017-03-08,sh.600519,367.1800,368.4900,365.5000,367.2800,367.2000,1603770,588667680.0000,0.127669,1,0.021783,0,6.721412
2017-03-09,sh.600519,367.0000,369.9800,365.5600,369.9000,367.2800,2340606,860084032.0000,0.186325,1,0.713351,0,6.769360
2017-03-10,sh.600519,369.9200,377.0000,368.3600,369.8500,369.9000,4095105,1524343088.0000,0.325992,1,-0.013514,0,6.768445
2017-03-13,sh.600519,370.0500,374.3300,367.5300,371.5500,369.8500,2767432,1027592800.0000,0.220302,1,0.459641,0,6.799556
2017-03-14,sh.600519,371.5500,373.8500,368.3400,369.5000,371.5500,2041649,756359632.0000,0.162526,1,-0.551740,0,6.762040
2017-03-15,sh.600519,369.5000,375.1500,369.0100,374.6800,369.5000,2515526,935994832.0000,0.200249,1,1.401893,0,6.856836
2017-03-16,sh.600519,376.5600,378.3000,372.8000,374.7700,374.6800,2502260,938231440.0000,0.199193,1,0.024020,0,6.858483
2017-03-17,sh.600519,373.1000,384.4500,373.1000,378.4800,374.7700,3470026,1315336848.0000,0.276232,1,0.989946,0,6.926378
2017-03-20,sh.600519,380.5000,386.7100,378.8800,386.4100,378.4800,3154594,1209603920.0000,0.251122,1,2.095221,0,7.071501
2017-03-21,sh.600519,386.5500,396.5000,386.5000,394.0100,386.4100,4846096,1901883744.0000,0.385775,1,1.966824,0,7.210585
2017-03-22,sh.600519,390.5300,394.6000,385.0000,394.4800,394.0100,4553271,1775217760.0000,0.362464,1,0.119287,0,7.219186
2017-03-23,sh.600519,392.0300,393.9900,386.6000,389.7900,394.4800,3450481,1345058752.0000,0.274677,1,-1.188908,0,7.133357
2017-03-24,sh.600519,392.3200,393.2200,385.0000,386.8200,389.7900,3328772,1292313392.0000,0.264988,1,-0.761949,0,7.079004
2017-03-27,sh.600519,386.0300,389.2600,378.3900,378.8200,386.8200,5369028,2054742976.0000,0.427403,1,-2.068145,0,6.932600
2017-03-28,sh.600519,379.9500,381.1500,376.6600,380.2600,378.8200,4118717,1558258560.0000,0.327872,1,0.380128,0,6.958953
2017-03-29,sh.600519,381.0100,385.8000,379.9000,383.6500,380.2600,3729967,1429610960.0000,0.296925,1,0.891491,0,7.020992
2017-03-30,sh.600519,383.0000,386.8900,382.6000,386.1400,383.6500,3161299,1216016528.0000,0.251656,1,0.649034,0,7.066560
2017-03-31,sh.600519,386.2000,388.0000,384.1800,386.3600,386.1400,2447422,945503280.0000,0.194828,1,0.056967,0,7.070586
2017-04-05,sh.600519,385.6600,394.9900,385.0000,389.6600,386.3600,4078998,1594997312.0000,0.324710,1,0.854130,0,7.130978
2017-04-06,sh.600519,389.0100,393.0000,386.6300,391.9100,389.6600,2885720,1125204240.0000,0.229719,1,0.577426,0,7.172154
2017-04-07,sh.600519,392.9900,394.0000,389.6000,392.8700,391.9100,2409723,945589200.0000,0.191827,1,0.244952,0,7.189722
2017-04-10,sh.600519,394.0000,394.0000,388.0000,389.2000,392.8700,2886948,1126296272.0000,0.229816,1,-0.934147,0,7.122560
2017-04-11,sh.600519,388.0500,390.7000,380.6000,385.2900,389.2000,4353072,1679537552.0000,0.346528,1,-1.004626,0,7.051005
2017-04-12,sh.600519,385.2900,391.0000,384.8000,390.2300,385.2900,2700291,1049245584.0000,0.214957,1,1.282152,0,7.141409
2017-04-13,sh.600519,390.7800,398.5900,390.5100,398.3900,390.2300,4564835,1805008864.0000,0.363385,1,2.091075,0,7.290741
2017-04-14,sh.600519,399.4300,399.8800,395.0000,395.4500,398.3900,2364656,938378992.0000,0.188239,1,-0.737971,0,7.236938
2017-04-17,sh.600519,391.0000,398.2800,388.5500,395.7900,395.4500,2879371,1136763712.0000,0.229213,1,0.085977,0,6.820720
