date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.603288,29.4600,29.7800,29.2600,29.7200,29.3300,966729,28483755.0000,0.355746,1,1.329695,0,8.747949
2017-01-04,sh.603288,29.6000,29.8200,29.4600,29.7300,29.7200,873663,25914738.0000,0.321499,1,0.033648,0,8.750892
2017-01-05,sh.603288,29.7400,30.1000,29.7000,29.8300,29.7300,1009974,30239190.0000,0.371660,1,0.336362,0,8.780327
2017-01-06,sh.603288,29.8900,29.9500,29.4700,29.6000,29.8300,827452,24477062.0000,0.304494,1,-0.771034,0,8.712627
2017-01-09,sh.603288,29.6000,30.1900,29.5000,30.1400,29.6000,1244643,37212792.0000,0.458016,1,1.824321,0,8.871574
2017-01-10,sh.603288,30.0000,30.2900,29.9500,30.2500,30.1400,770462,23210987.0000,0.283522,1,0.364965,0,8.903952
2017-01-11,sh.603288,30.1000,30.3100,29.8100,29.9100,30.2500,607533,18273703.0000,0.223566,1,-1.123968,0,8.803874
2017-01-12,sh.603288,29.9900,30.1400,29.8200,29.8800,29.9100,401641,12040778.0000,0.147800,1,-0.100303,0,8.795044
2017-01-13,sh.603288,29.7600,31.7000,29.1000,31.6500,29.8800,3186573,96733452.0000,1.172626,1,5.923697,0,9.316036
2017-01-16,sh.603288,30.9100,32.3000,30.0000,32.1100,31.6500,7053741,222585049.0000,2.595704,1,1.453400,0,9.451434
2017-01-17,sh.603288,31.6000,31.6200,31.0300,31.4000,32.1100,1596717,50042371.0000,0.587575,1,-2.211152,0,9.242449
2017-01-18,sh.603288,31.3700,31.5000,31.0200,31.1400,31.4000,985112,30770866.0000,0.362511,1,-0.828026,0,9.165919
2017-01-19,sh.603288,31.1200,31.2700,31.0000,31.1600,31.1400,648947,20213222.0000,0.238806,1,0.064228,0,9.171806
2017-01-20,sh.603288,31.1700,31.3900,31.0500,31.1900,31.1600,804949,25133605.0000,0.296213,1,0.096279,0,9.180637
2017-01-23,sh.603288,31.3100,31.3700,30.9600,31.0300,31.1900,766009,23844562.0000,0.281883,1,-0.512984,0,9.133541
2017-01-24,sh.603288,31.1900,31.3000,31.0400,31.1600,31.0300,740287,23095829.0000,0.272418,1,0.418947,0,9.171806
2017-01-25,sh.603288,31.1500,31.1800,31.0300,31.0800,31.1600,338324,10517292.0000,0.124500,1,-0.256739,0,9.148259
2017-01-26,sh.603288,31.2000,31.2400,31.0700,31.2100,31.0800,437336,13633234.0000,0.160935,1,0.418273,0,9.186524
2017-02-03,sh.603288,31.1300,31.1300,30.0000,30.0300,31.2100,2140326,64930901.0000,0.787618,1,-3.780834,0,8.839196
2017-02-06,sh.603288,29.9400,30.0300,29.6000,29.7600,30.0300,2017876,60181400.0000,0.742558,1,-0.899102,0,8.759723
2017-02-07,sh.603288,29.6400,29.8000,29.3500,29.7600,29.7600,1719996,50876168.0000,0.632941,1,0.000000,0,8.759723
2017-02-08,sh.603288,29.6900,29.9500,29.5300,29.9300,29.7600,1027839,30612079.0000,0.378234,1,0.571237,0,8.809761
2017-02-09,sh.603288,29.9000,30.1000,29.7500,29.7700,29.9300,1384578,41395687.0000,0.509511,1,-0.534580,0,8.762666
2017-02-10,sh.603288,29.7200,30.0500,29.7200,29.8900,29.7700,1840565,54989812.0000,0.677309,1,0.403087,0,8.797987
2017-02-13,sh.603288,29.9100,31.1300,29.9100,30.8400,29.8900,2073009,63396181.0000,0.076867,1,3.178323,0,9.077616
2017-02-14,sh.603288,30.8000,30.9800,30.6500,30.9200,30.8400,1090792,33658737.0000,0.040446,1,0.259403,0,9.101163
2017-02-15,sh.603288,30.9200,31.0700,30.6400,30.8000,30.9200,830934,25620707.0000,0.030811,1,-0.388101,0,9.065842
2017-02-16,sh.603288,30.8700,30.8700,30.5900,30.8100,30.8000,694524,21377547.0000,0.025753,1,0.032468,0,9.068785
2017-02-17,sh.603288,30.8000,30.9800,30.5800,30.7200,30.8100,908359,27917595.0000,0.033682,1,-0.292114,0,9.042294
2017-02-20,sh.603288,30.8700,31.0400,30.7300,31.0100,30.7200,819284,25334212.0000,0.030379,1,0.944013,0,9.127654
2017-02-21,sh.603288,31.0700,31.0700,30.5700,30.7800,31.0100,1202628,36930429.0000,0.044593,1,-0.741695,0,9.059955
2017-02-22,sh.603288,30.7200,30.7200,30.1000,30.4900,30.7800,1506388,45759985.0000,0.055857,1,-0.942173,0,8.974595
2017-02-23,sh.603288,30.4900,30.5000,30.3000,30.4000,30.4900,919138,27942396.0000,0.034081,1,-0.295179,0,8.948104
2017-02-24,sh.603288,30.4100,30.6400,30.3800,30.4800,30.4000,741424,22612196.0000,0.027492,1,0.263158,0,8.971651
2017-02-27,sh.603288,30.4000,31.1000,30.3200,31.0900,30.4800,1604412,49621851.0000,0.059491,1,2.001314,0,9.151202
2017-02-28,sh.603288,31.0900,31.1000,30.6900,30.8900,31.0900,1689989,52081620.0000,0.062664,1,-0.643296,0,9.092333
2017-03-01,sh.603288,30.8400,31.0000,30.7500,30.8500,30.8900,624312,19298090.0000,0.023149,1,-0.129489,0,9.080559
