date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002099,8.4700,8.5200,8.4000,8.4700,8.4800,7853720,66481885.0000,0.958930,1,-0.117916,0,2.773734
2017-01-04,sz.002099,8.4700,8.6100,8.3800,8.6000,8.4700,16202767,137719452.0000,1.978338,1,1.534830,0,2.816307
2017-01-05,sz.002099,8.5700,8.5900,8.5000,8.5200,8.6000,8516980,72678045.0000,1.039913,1,-0.930232,0,2.790108
2017-01-06,sz.002099,8.5300,8.5400,8.4100,8.4300,8.5200,8559652,72277139.0000,1.045123,1,-1.056340,0,2.760635
2017-01-09,sz.002099,8.4100,8.4300,8.2800,8.3400,8.4300,13162892,109842217.0000,1.607173,1,-1.067617,0,2.731162
2017-01-10,sz.002099,8.3400,8.4500,8.3200,8.4300,8.3400,7535521,63172287.0000,0.920078,1,1.079139,0,2.760635
2017-01-11,sz.002099,8.4100,8.4400,8.3100,8.3100,8.4300,6541781,54711980.0000,0.798744,1,-1.423486,0,2.721338
2017-01-12,sz.002099,8.3100,8.3400,8.1500,8.1700,8.3100,9071141,74714530.0000,1.107575,1,-1.684721,0,2.675491
2017-01-13,sz.002099,8.1700,8.2500,8.1500,8.1500,8.1700,7869100,64404445.0000,0.960808,1,-0.244804,0,2.668942
2017-01-16,sz.002099,8.1500,8.2000,7.4500,7.7900,8.1500,11652032,92100828.0000,1.422699,1,-4.417174,0,2.551050
2017-01-17,sz.002099,7.8000,7.8200,7.5200,7.7100,7.7900,12385236,94874275.0000,1.512222,1,-1.026957,0,2.524852
2017-01-18,sz.002099,7.7200,7.7200,7.5900,7.6100,7.7100,5580106,42607245.0000,0.681324,1,-1.297016,0,2.492104
2017-01-19,sz.002099,7.6400,7.6500,7.5600,7.5900,7.6100,5274134,40093207.0000,0.643965,1,-0.262812,0,2.485554
2017-01-20,sz.002099,7.5700,7.6800,7.5700,7.6700,7.5900,8786913,67210890.0000,1.072872,1,1.054017,0,2.511752
2017-01-23,sz.002099,7.6900,8.0000,7.6700,7.9000,7.6700,24691615,192668081.0000,3.014817,1,2.998697,0,2.587072
2017-01-24,sz.002099,7.8600,8.1000,7.8400,8.0400,7.9000,19541527,156471378.0000,2.385997,1,1.772150,0,2.632919
2017-01-25,sz.002099,8.0100,8.0600,7.9600,7.9900,8.0400,8478140,67770597.0000,1.035171,1,-0.621893,0,2.616545
2017-01-26,sz.002099,8.0000,8.0800,7.9900,8.0700,7.9900,4746953,38145068.0000,0.579597,1,1.001251,0,2.642743
2017-02-03,sz.002099,8.0900,8.0900,7.9000,7.9300,8.0700,6637175,52946285.0000,0.810391,1,-1.734819,0,2.596897
2017-02-06,sz.002099,7.9600,8.0000,7.8000,7.9900,7.9300,9287740,73615723.0000,1.134022,1,0.756620,0,2.616545
2017-02-07,sz.002099,7.9800,8.2200,7.9500,8.2100,7.9900,16625488,135217331.0000,2.029952,1,2.753445,0,2.688590
2017-02-08,sz.002099,8.1500,8.3500,8.1200,8.2800,8.2100,11343269,93358180.0000,1.385000,1,0.852615,0,2.711514
2017-02-09,sz.002099,8.2800,8.3600,8.2400,8.3000,8.2800,8402356,69627297.0000,1.025918,1,0.241551,0,2.718063
