date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600570,47.5000,48.1100,47.3300,47.9900,47.1400,7477440,356918192.0000,1.210323,1,1.803144,0,12.087881
2017-01-04,sh.600570,48.1900,48.5800,47.7100,48.2800,47.9900,9866157,475879680.0000,1.596969,1,0.604286,0,12.160927
2017-01-05,sh.600570,48.2900,48.4000,47.9100,47.9200,48.2800,6693385,321515840.0000,1.083414,1,-0.745652,0,12.070249
2017-01-06,sh.600570,47.7000,47.9000,46.5500,46.6300,47.9200,10072834,474215008.0000,1.630422,1,-2.691981,0,11.745320
2017-01-09,sh.600570,46.5300,47.0600,46.3500,46.9100,46.6300,5860641,274036512.0000,0.948623,1,0.600469,0,11.815847
2017-01-10,sh.600570,46.9400,47.1600,46.4500,46.5700,46.9100,5461043,255533384.0000,0.883943,1,-0.724792,0,11.730207
2017-01-11,sh.600570,45.5900,46.3600,45.1900,45.3900,46.5700,10416227,476036304.0000,1.686005,1,-2.533821,0,11.432984
2017-01-12,sh.600570,45.4200,45.9900,45.3000,45.4800,45.3900,6489149,295887328.0000,1.050355,1,0.198282,0,11.455654
2017-01-13,sh.600570,45.4800,45.6500,43.6500,43.8000,45.4800,12306721,544542576.0000,1.992007,1,-3.693932,0,11.032490
2017-01-16,sh.600570,43.8000,43.8000,43.8000,43.8000,43.8000,0,0.0000,,0,0.000000,0,11.032490
2017-01-17,sh.600570,43.8000,43.8000,43.8000,43.8000,43.8000,0,0.0000,,0,0.000000,0,11.032490
2017-01-18,sh.600570,42.9900,43.0000,41.4200,42.3600,43.8000,13495790,569788144.0000,2.184473,1,-3.287668,0,10.669778
2017-01-19,sh.600570,41.9800,42.8500,41.7000,42.3700,42.3600,7456874,315298848.0000,1.206994,1,0.023603,0,10.672297
2017-01-20,sh.600570,42.3000,44.2900,42.2100,43.6700,42.3700,13176783,573148032.0000,2.132838,1,3.068207,0,10.999745
2017-01-23,sh.600570,43.6800,44.2700,43.6300,43.8100,43.6700,7202121,315972944.0000,1.165759,1,0.320594,0,11.035009
