date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002007,35.7500,35.9600,35.4100,35.8000,35.7500,5425985,193466656.0000,0.675451,1,0.139858,0,8.231842
2017-01-04,sz.002007,35.7900,36.2000,35.4900,35.8300,35.8000,5807212,208311414.0000,0.722908,1,0.083806,0,8.238740
2017-01-05,sz.002007,35.7100,36.3600,35.6600,36.0000,35.8300,6218995,224210129.0000,0.774168,1,0.474458,0,8.277830
2017-01-06,sz.002007,35.9800,36.2000,35.5000,35.7400,36.0000,5599054,200626711.0000,0.696995,1,-0.722218,0,8.218046
2017-01-09,sz.002007,35.5900,35.7900,35.2500,35.4000,35.7400,4400105,156173692.0000,0.547745,1,-0.951315,0,8.139866
2017-01-10,sz.002007,35.4000,35.5000,35.2900,35.4900,35.4000,2755412,97552098.0000,0.343006,1,0.254238,0,8.160561
2017-01-11,sz.002007,35.3900,35.4700,35.0000,35.0000,35.4900,3016437,105976623.0000,0.375500,1,-1.380675,0,8.047890
2017-01-12,sz.002007,35.0100,35.1600,34.6100,34.6500,35.0000,2936476,102247651.0000,0.365546,1,-0.999996,0,7.967412
2017-01-13,sz.002007,34.7500,34.8600,33.9800,34.0000,34.6500,3978501,136502846.0000,0.495262,1,-1.875906,0,7.817951
2017-01-16,sz.002007,33.9300,34.1400,32.9500,33.3300,34.0000,5849166,196006520.0000,0.728130,1,-1.970583,0,7.663891
2017-01-17,sz.002007,33.2900,33.8500,33.2200,33.5300,33.3300,3752762,125813837.0000,0.467161,1,0.600051,0,7.709879
2017-01-18,sz.002007,33.5500,33.8100,33.4300,33.4400,33.5300,3661682,123200550.0000,0.455823,1,-0.268417,0,7.689184
2017-01-19,sz.002007,33.1900,33.5800,33.1800,33.3000,33.4400,2962533,98736484.0000,0.368789,1,-0.418658,0,7.656993
2017-01-20,sz.002007,33.3000,33.7800,33.3000,33.6700,33.3000,2597116,87292829.0000,0.323301,1,1.111108,0,7.742071
2017-01-23,sz.002007,33.6800,33.9700,33.6300,33.7500,33.6700,3628211,122607435.0000,0.451656,1,0.237606,0,7.760466
2017-01-24,sz.002007,33.7500,33.8400,33.3500,33.5700,33.7500,2539273,85251862.0000,0.316100,1,-0.533334,0,7.719077
2017-01-25,sz.002007,33.6500,33.8700,33.5100,33.8700,33.5700,3456363,116590045.0000,0.430263,1,0.893653,0,7.788059
2017-01-26,sz.002007,33.9000,34.4600,33.8500,34.3800,33.8700,4611927,157853834.0000,0.574113,1,1.505764,0,7.905328
2017-02-03,sz.002007,34.3300,34.5300,34.1100,34.3900,34.3800,2446590,84004874.0000,0.304562,1,0.029082,0,7.907627
2017-02-06,sz.002007,34.3000,35.1700,34.2100,35.0000,34.3900,5742023,200249754.0000,0.714793,1,1.773773,0,8.047890
2017-02-07,sz.002007,35.0000,35.0500,34.6800,34.7500,35.0000,3512323,122446335.0000,0.437230,1,-0.714286,0,7.990405
2017-02-08,sz.002007,34.9700,35.1300,34.7600,34.9200,34.7500,2866757,100118423.0000,0.356867,1,0.489203,0,8.029495
