date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.603799,35.6500,36.7500,35.6500,36.0300,35.1700,9811316,354725184.0000,3.616782,1,2.445268,0,8.740007
2017-01-04,sh.603799,36.0900,37.2000,35.6300,36.9100,36.0300,13402693,491241024.0000,4.940684,1,2.442412,0,8.953473
2017-01-05,sh.603799,36.7900,37.2800,36.5900,36.6400,36.9100,6960631,256770602.0000,2.565923,1,-0.731510,0,8.887978
2017-01-06,sh.603799,36.5000,36.8300,35.5000,35.5300,36.6400,8082111,289626768.0000,2.979338,1,-3.029478,0,8.618719
2017-01-09,sh.603799,35.5100,36.8000,34.9000,36.6100,35.5300,9958736,358337600.0000,3.671126,1,3.039690,0,8.880701
2017-01-10,sh.603799,36.7000,38.0800,36.5000,37.5000,36.6100,15728687,590487776.0000,5.798124,1,2.431028,0,9.096593
2017-01-11,sh.603799,38.6000,39.1600,37.5000,37.6300,37.5000,17605964,677218672.0000,6.490152,1,0.346670,0,9.128128
2017-01-12,sh.603799,37.5400,39.4500,37.2800,39.1900,37.6300,22375756,871220416.0000,8.248458,1,4.145622,0,9.506546
2017-01-13,sh.603799,39.8000,39.9800,38.3500,38.5100,39.1900,12128965,472164224.0000,4.471145,1,-1.735137,0,9.341595
2017-01-16,sh.603799,38.5800,39.5000,35.6800,37.0400,38.5100,18047210,683467984.0000,6.652810,1,-3.817184,0,8.985008
2017-01-17,sh.603799,37.1300,39.1200,36.8000,39.0800,37.0400,15821952,602003232.0000,5.832505,1,5.507562,0,9.479863
2017-01-18,sh.603799,38.9800,39.7100,38.6600,39.1700,39.0800,11990218,468928928.0000,4.419998,1,0.230287,0,9.501695
2017-01-19,sh.603799,38.8800,39.0000,37.4000,37.6000,39.1700,10980784,416855360.0000,4.047887,1,-4.008169,0,9.120851
2017-01-20,sh.603799,37.0000,38.2900,36.7400,37.7200,37.6000,8595033,323853568.0000,3.168419,1,0.319156,0,9.149960
2017-01-23,sh.603799,37.8500,38.8900,37.7600,38.5700,37.7200,9232574,354316976.0000,3.403438,1,2.253442,0,9.356149
2017-01-24,sh.603799,38.6500,38.6600,37.3600,37.4100,38.5700,6816005,257892366.0000,2.512609,1,-3.007519,0,9.074761
2017-01-25,sh.603799,37.5000,37.9800,37.4600,37.5400,37.4100,4328816,163118854.0000,1.595747,1,0.347504,0,9.106296
2017-01-26,sh.603799,37.5100,38.7000,37.5100,38.5100,37.5400,8116733,310590640.0000,2.992101,1,2.583904,0,9.341595
2017-02-03,sh.603799,38.7000,39.3400,38.2000,39.0000,38.5100,8263507,321516864.0000,3.046207,1,1.272401,0,9.460457
2017-02-06,sh.603799,38.7900,39.5000,38.3000,39.0100,39.0000,8984332,348737824.0000,3.311928,1,0.025637,0,9.462883
2017-02-07,sh.603799,39.2500,41.9800,38.9200,41.1600,39.0100,21561206,878547024.0000,7.948187,1,5.511412,0,9.984421
2017-02-08,sh.603799,40.7600,41.5500,40.5500,41.4900,41.1600,12358732,506853200.0000,4.555845,1,0.801754,0,10.064471
2017-02-09,sh.603799,41.9700,41.9900,40.7000,41.2100,41.4900,10868747,448790736.0000,4.006586,1,-0.674868,0,9.996550
2017-02-10,sh.603799,41.4400,43.2000,41.1800,41.3600,41.2100,15582096,656423808.0000,5.744086,1,0.363993,0,10.032936
2017-02-13,sh.603799,42.2500,43.3000,41.4500,42.9800,41.3600,17213158,730604016.0000,6.345350,1,3.916825,0,10.425909
2017-02-14,sh.603799,42.9800,43.2000,42.1400,42.3200,42.9800,9865203,418662592.0000,3.636646,1,-1.535598,0,10.265809
2017-02-15,sh.603799,42.3500,42.6000,40.7500,40.9700,42.3200,11721470,484884288.0000,4.320929,1,-3.189978,0,9.938331
2017-02-16,sh.603799,41.2500,45.0700,41.2500,45.0700,40.9700,31432154,1388838720.0000,11.586951,1,10.007320,0,10.932892
2017-02-17,sh.603799,40.5600,45.0700,40.5600,43.5200,45.0700,23803019,1034338464.0000,8.774595,1,-3.439093,0,10.556900
2017-02-20,sh.603799,43.7000,46.2500,43.1000,45.2500,43.5200,17824521,805789072.0000,6.570719,1,3.975183,0,10.976556
2017-02-21,sh.603799,45.7500,49.7800,44.8900,49.7800,45.2500,27252137,1300120496.0000,10.046056,1,10.011050,0,12.075424
2017-02-22,sh.603799,52.0700,53.9000,50.0000,51.4300,49.7800,36083035,1861965584.0000,13.301423,1,3.314588,0,12.475674
2017-02-23,sh.603799,54.5000,56.5700,52.5000,56.5700,51.4300,42988189,2371057520.0000,15.846895,1,9.994165,0,13.722514
2017-02-24,sh.603799,56.0000,56.2700,53.8200,54.5800,56.5700,33920462,1862259152.0000,12.504225,1,-3.517762,0,13.239788
2017-02-27,sh.603799,55.0000,57.7600,54.8100,55.8300,54.5800,34523953,1941439200.0000,12.726692,1,2.290216,0,13.543008
2017-02-28,sh.603799,56.8600,60.9500,56.2200,58.5500,55.8300,35198045,2041966784.0000,12.975185,1,4.871928,0,14.202814
2017-03-01,sh.603799,57.5100,60.2500,56.2300,58.0200,58.5500,28602998,1664404416.0000,10.544029,1,-0.905207,0,14.074249
2017-03-02,sh.603799,57.9000,60.6700,57.5500,59.8100,58.0200,29021424,1720157680.0000,10.698275,1,3.085145,0,14.508460
2017-03-03,sh.603799,60.3100,61.8800,56.5200,56.8000,59.8100,38273229,2258058576.0000,14.108802,1,-5.032607,0,13.778307
2017-03-06,sh.603799,55.3100,57.3000,55.0100,56.1900,56.8000,27557112,1548493888.0000,10.158480,1,-1.073945,0,13.630335
2017-03-07,sh.603799,56.1000,57.2300,52.1800,52.9700,56.1900,34092111,1846441008.0000,12.567501,1,-5.730553,0,12.849241
2017-03-08,sh.603799,53.1000,53.9700,52.5800,53.3400,52.9700,16396247,875730880.0000,6.044209,1,0.698507,0,12.938994
2017-03-09,sh.603799,54.2000,55.1000,53.3400,53.6800,53.3400,23320148,1263443888.0000,8.596592,1,0.637421,0,13.021470
2017-03-10,sh.603799,52.5000,55.2700,52.1000,54.4400,53.6800,24214151,1310271408.0000,8.926152,1,1.415794,0,13.205828
2017-03-13,sh.603799,54.2800,55.4000,53.3000,55.3400,54.4400,21734412,1182940768.0000,8.012037,1,1.653199,0,13.424146
2017-03-14,sh.603799,55.1000,56.0900,54.2900,54.3200,55.3400,21243673,1171668000.0000,7.831134,1,-1.843152,0,13.176719
2017-03-15,sh.603799,53.9900,57.3300,53.7000,56.9400,54.3200,32478317,1816989616.0000,11.972602,1,4.823267,0,13.812267
2017-03-16,sh.603799,57.4000,57.5500,56.1200,56.6700,56.9400,21326209,1207602576.0000,7.861559,1,-0.474184,0,13.746772
2017-03-17,sh.603799,56.3200,56.9700,55.1700,55.5900,56.6700,18737221,1052008096.0000,6.907171,1,-1.905767,0,13.484790
2017-03-20,sh.603799,54.7500,55.9300,50.9200,52.1000,55.5900,28544314,1515668672.0000,10.522396,1,-6.278111,0,12.638200
2017-03-21,sh.603799,52.2100,52.3800,51.1600,51.8400,52.1000,14925271,772389280.0000,5.501958,1,-0.499037,0,12.575130
2017-03-22,sh.603799,52.0000,53.0800,51.5100,52.3100,51.8400,15270878,801441520.0000,5.629360,1,0.906638,0,12.689141
2017-03-23,sh.603799,52.3000,53.2200,51.3200,52.9800,52.3100,15645190,821153296.0000,5.767344,1,1.280822,0,12.851667
2017-03-24,sh.603799,53.2200,53.4000,49.9500,50.0700,52.9800,21037122,1080852704.0000,7.754992,1,-5.492639,0,12.145771
2017-03-27,sh.603799,49.9000,51.1800,49.0200,50.2800,50.0700,12952741,650760512.0000,4.774817,1,0.419411,0,12.196712
2017-03-28,sh.603799,50.0500,51.1500,49.9800,50.4900,50.2800,12984592,658399376.0000,4.786558,1,0.417667,0,12.247653
2017-03-29,sh.603799,50.4300,50.9700,49.5400,49.8600,50.4900,11488204,576908816.0000,4.234939,1,-1.247774,0,12.094830
2017-03-30,sh.603799,49.6900,50.8000,49.1000,50.0200,49.8600,13902859,696232512.0000,5.125062,1,0.320898,0,12.133642
2017-03-31,sh.603799,50.5000,52.1800,50.2700,51.8000,50.0200,23961705,1229076720.0000,8.833092,1,3.558574,0,12.565427
2017-04-05,sh.603799,51.2000,55.9900,51.0200,55.6300,51.8000,40408816,2174756992.0000,14.896051,1,7.393826,0,7.580293
2017-04-06,sh.603799,55.0000,56.1800,54.0100,55.7400,55.6300,21598649,1189828176.0000,7.961990,1,0.197736,0,7.595282
2017-04-07,sh.603799,55.5000,56.2900,53.4200,54.4600,55.7400,18744723,1027408608.0000,6.909937,1,-2.296381,0,7.420865
2017-04-10,sh.603799,53.8000,54.8200,49.8000,49.9400,54.4600,20963486,1098458112.0000,7.727847,1,-8.299670,0,6.804958
2017-04-11,sh.603799,50.0500,50.9100,47.5000,49.3600,49.9400,18222121,898896704.0000,6.717288,1,-1.161390,0,6.725926
2017-04-12,sh.603799,52.0000,54.3000,50.9800,53.1600,49.3600,23731894,1256915088.0000,8.748376,1,7.698540,0,7.243724
2017-04-13,sh.603799,53.0800,53.3700,51.6800,52.6800,53.1600,12741727,670484448.0000,4.697030,1,-0.902934,0,7.178318
2017-04-14,sh.603799,53.2900,55.1800,52.7600,53.5400,52.6800,19116939,1037977584.0000,7.047148,1,1.632499,0,7.295504
2017-04-17,sh.603799,52.7000,56.0000,52.7000,55.1200,53.5400,21357291,1172014544.0000,7.873017,1,2.951061,0,7.510799
2017-04-18,sh.603799,55.5000,56.1500,54.5200,54.6600,55.1200,12431225,686144064.0000,4.582568,1,-0.834541,0,7.448118
2017-04-19,sh.603799,54.2000,54.2000,49.8000,51.2100,54.6600,21791577,1119510336.0000,8.033110,1,-6.311747,0,6.978012
2017-04-20,sh.603799,51.2800,51.9800,49.9000,51.6900,51.2100,12387351,631027040.0000,4.566395,1,0.937316,0,7.043418
2017-04-21,sh.603799,51.3000,51.8500,48.5800,49.0400,51.6900,12685128,638409424.0000,4.676166,1,-5.126713,0,6.682322
2017-04-24,sh.603799,48.0200,48.4100,44.1400,44.3400,49.0400,19041081,868280944.0000,7.019184,1,-9.584014,0,6.041887
2017-04-25,sh.603799,44.5000,45.5000,44.1500,44.6600,44.3400,9647892,432978112.0000,3.556538,1,0.721695,0,6.085491
2017-04-26,sh.603799,45.0000,47.3000,44.8800,46.8500,44.6600,15127960,701822608.0000,5.576676,1,4.903714,0,6.383906
2017-04-27,sh.603799,46.8500,48.1900,45.1500,47.7000,46.8500,12869831,603786784.0000,4.744253,1,1.814306,0,6.499730
2017-04-28,sh.603799,47.5000,48.1800,46.8800,47.3300,47.7000,8322405,394910240.0000,3.067919,1,-0.775679,0,6.100351
2017-05-02,sh.603799,47.0000,50.7000,47.0000,49.6900,47.3300,14361151,710459840.0000,5.294004,1,4.986260,0,6.404531
2017-05-03,sh.603799,49.5000,50.4200,48.7800,49.6600,49.6900,10594447,524112368.0000,3.905470,1,-0.060372,0,6.400664
2017-05-04,sh.603799,49.2000,49.8900,48.5500,48.6300,49.6600,7967907,392190832.0000,2.937239,1,-2.074101,0,6.267907
2017-05-05,sh.603799,48.0000,48.1600,44.2900,44.9500,48.6300,19324248,885810240.0000,7.123569,1,-7.567345,0,5.793593
