date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.603160,102.2300,104.5500,102.2300,104.1500,102.7400,1229242,127476500.0000,2.731649,1,1.372400,0,27.680161
2017-01-04,sh.603160,104.3000,108.2300,103.2200,107.4300,104.1500,2737360,290620672.0000,6.083022,1,3.149303,0,28.551894
2017-01-05,sh.603160,107.0000,107.8400,105.3300,105.4100,107.4300,1626505,172857437.0000,3.614456,1,-1.880291,0,28.015034
2017-01-06,sh.603160,105.6900,107.1500,103.3700,103.5300,105.4100,1646924,173001176.0000,3.659831,1,-1.783517,0,27.515383
2017-01-09,sh.603160,102.4800,102.9300,101.0000,102.2600,103.5300,1378864,140657586.0000,3.064142,1,-1.226694,0,27.177852
2017-01-10,sh.603160,102.3900,102.9900,101.1000,101.3900,102.2600,1048136,107024213.0000,2.329191,1,-0.850775,0,26.946631
2017-01-11,sh.603160,100.4000,100.4000,94.7000,94.8400,101.3900,3814503,371504352.0000,8.476673,1,-6.460206,0,25.205823
2017-01-12,sh.603160,94.3000,96.2500,92.8600,93.0300,94.8400,1501569,141583904.0000,3.336820,1,-1.908475,0,24.724776
2017-01-13,sh.603160,93.2300,93.2700,89.4900,90.0200,93.0300,2067420,188119801.0000,4.594267,1,-3.235518,0,23.924802
2017-01-16,sh.603160,88.6000,88.7000,82.4800,84.7400,90.0200,2609519,225092899.0000,5.798931,1,-5.865362,0,22.521526
2017-01-17,sh.603160,84.1000,90.3800,83.6000,90.2300,84.7400,2976569,260371196.0000,6.614598,1,6.478647,0,23.980614
2017-01-18,sh.603160,89.3100,89.4400,87.3200,87.3500,90.2300,1640311,144679458.0000,3.645136,1,-3.191849,0,23.215191
2017-01-19,sh.603160,85.2400,92.5300,85.2400,89.2900,87.3500,2815454,253796074.0000,6.256564,1,2.220953,0,23.730788
2017-01-20,sh.603160,88.4800,91.7900,88.1300,90.9000,89.2900,2324508,210463363.0000,5.165573,1,1.803114,0,24.158682
2017-01-23,sh.603160,90.9500,95.5000,90.5000,92.9700,90.9000,2359557,219533831.0000,5.243460,1,2.277227,0,24.708830
2017-01-24,sh.603160,92.5200,92.5500,90.3800,90.9600,92.9700,1406399,128241446.0000,3.125331,1,-2.161990,0,24.174628
2017-01-25,sh.603160,90.7000,92.2000,90.2800,91.5200,90.9600,1269078,115936107.0000,2.820173,1,0.615653,0,24.323460
2017-01-26,sh.603160,91.5700,91.9400,90.6000,91.1400,91.5200,848813,77317924.0000,1.886251,1,-0.415207,0,24.222467
2017-02-03,sh.603160,91.3000,91.3200,88.6000,88.6600,91.1400,1020700,91417214.0000,2.268222,1,-2.721084,0,23.563352
2017-02-06,sh.603160,88.6000,91.6800,88.6000,91.3900,88.6600,1613424,145528011.0000,3.585387,1,3.079174,0,24.288910
2017-02-07,sh.603160,91.1900,92.5300,90.0200,90.4000,91.3900,1396895,127354864.0000,3.104211,1,-1.083267,0,24.025795
2017-02-08,sh.603160,88.9600,90.4900,86.5000,90.1600,90.4000,2131292,188350918.0000,4.736204,1,-0.265484,0,23.962010
2017-02-09,sh.603160,89.8000,99.1800,89.5100,96.3100,90.1600,4829487,463910560.0000,10.732193,1,6.821199,0,25.596508
2017-02-10,sh.603160,95.5100,95.8600,93.9300,94.1500,96.3100,2368488,224249307.0000,5.263307,1,-2.242754,0,25.022441
2017-02-13,sh.603160,94.9000,97.6900,93.5200,96.0000,94.1500,2126852,203716294.0000,4.726338,1,1.964948,0,25.514119
2017-02-14,sh.603160,95.5600,96.7700,95.4300,95.8200,96.0000,1095752,105188555.0000,2.435004,1,-0.187500,0,25.466280
