date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002530,32.5000,32.7500,32.1800,32.4300,32.2300,971842,31541000.0000,0.567996,1,0.620542,0,22.782765
2017-01-04,sz.002530,32.4500,35.6600,32.0900,35.6600,32.4300,3381495,114339750.0000,1.976327,1,9.959912,0,25.051908
2017-01-05,sz.002530,35.6000,36.7700,35.2100,35.2400,35.6600,4862251,174787145.0000,2.841760,1,-1.177785,0,24.756849
2017-01-06,sz.002530,35.0600,35.5300,34.0000,34.2000,35.2400,1916641,65987671.0000,1.120188,1,-2.951194,0,24.026227
2017-01-09,sz.002530,34.0200,35.0000,34.0200,34.2500,34.2000,1170674,40342225.0000,0.684205,1,0.146197,0,24.061353
2017-01-10,sz.002530,34.5800,34.5900,33.8500,33.8800,34.2500,764200,26040901.0000,0.446639,1,-1.080289,0,23.801421
2017-01-11,sz.002530,33.8800,34.2900,33.6900,34.0000,33.8800,603928,20553462.0000,0.352968,1,0.354188,0,23.885723
2017-01-12,sz.002530,34.0000,34.4500,33.8100,34.4200,34.0000,1102592,37713900.0000,0.644414,1,1.235289,0,24.180782
2017-01-13,sz.002530,34.4000,35.6800,34.2200,34.9400,34.4200,1536026,53913053.0000,0.897736,1,1.510751,0,24.546093
2017-01-16,sz.002530,34.9400,35.4000,32.0000,34.9600,34.9400,2293281,78136398.0000,1.340316,1,0.057242,0,24.560144
2017-01-17,sz.002530,34.9600,35.4000,34.3600,35.2500,34.9600,1795156,62941001.0000,1.049185,1,0.829522,0,24.763875
2017-01-18,sz.002530,35.2000,35.7800,35.0100,35.5500,35.2500,1919850,68335521.0000,1.122063,1,0.851062,0,24.974631
2017-01-19,sz.002530,35.6600,35.7000,35.0000,35.0500,35.5500,1267565,44801220.0000,0.740833,1,-1.406470,0,24.623370
2017-01-20,sz.002530,35.0600,35.4000,34.8000,34.8200,35.0500,1071011,37460196.0000,0.625956,1,-0.656204,0,24.461791
2017-01-23,sz.002530,34.8200,35.1000,34.7000,34.7700,34.8200,1006212,35082199.0000,0.588084,1,-0.143593,0,24.426664
2017-01-24,sz.002530,35.0000,35.0000,33.6000,34.8500,34.7700,1518876,51960605.0000,0.887712,1,0.230078,0,24.482866
2017-01-25,sz.002530,34.5800,34.9800,34.0000,34.0200,34.8500,1757984,60492359.0000,1.027460,1,-2.381630,0,23.899774
2017-01-26,sz.002530,35.2800,35.2900,34.1000,34.3000,34.0200,892798,30722426.0000,0.521799,1,0.823042,0,24.096479
2017-02-03,sz.002530,34.3300,34.8000,33.6000,33.9300,34.3000,695906,23656584.0000,0.406725,1,-1.078714,0,23.836547
2017-02-06,sz.002530,33.9600,34.4700,33.9500,34.2200,33.9300,701893,23995838.0000,0.410224,1,0.854703,0,24.040278
