date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-05-03,sh.603505,4.4900,5.3900,4.4900,5.3900,3.7400,15832,84150.0000,0.026387,1,44.117650,0,2.723505
2017-05-04,sh.603505,5.9300,5.9300,5.9300,5.9300,5.3900,13151,77985.0000,0.021918,1,10.018550,0,2.996361
2017-05-05,sh.603505,6.5200,6.5200,6.5200,6.5200,5.9300,5851,38149.0000,0.009752,1,9.949413,0,3.294481
2017-05-08,sh.603505,7.1700,7.1700,7.1700,7.1700,6.5200,14981,107414.0000,0.024968,1,9.969327,0,3.622918
2017-05-09,sh.603505,7.8900,7.8900,7.8900,7.8900,7.1700,13411,105813.0000,0.022352,1,10.041840,0,3.986726
2017-05-10,sh.603505,8.6800,8.6800,8.6800,8.6800,7.8900,27800,241304.0000,0.046333,1,10.012680,0,4.385904
2017-05-11,sh.603505,9.5500,9.5500,9.5500,9.5500,8.6800,49600,473680.0000,0.082667,1,10.023040,0,4.825505
2017-05-12,sh.603505,10.5100,10.5100,10.5100,10.5100,9.5500,67653,711033.0000,0.112755,1,10.052360,0,5.310582
2017-05-15,sh.603505,11.5600,11.5600,11.5600,11.5600,10.5100,74971,866665.0000,0.124952,1,9.990486,0,5.841135
2017-05-16,sh.603505,12.7200,12.7200,12.7200,12.7200,11.5600,118132,1502639.0000,0.196887,1,10.034600,0,6.427270
2017-05-17,sh.603505,13.9900,13.9900,13.9900,13.9900,12.7200,270169,3779664.0000,0.450282,1,9.984273,0,7.068986
2017-05-18,sh.603505,15.3900,15.3900,15.3900,15.3900,13.9900,356948,5493430.0000,0.594913,1,10.007150,0,7.776390
2017-05-19,sh.603505,16.9300,16.9300,16.9300,16.9300,15.3900,362939,6144557.0000,0.604898,1,10.006500,0,8.554534
2017-05-22,sh.603505,18.6200,18.6200,18.6200,18.6200,16.9300,667938,12437006.0000,1.113230,1,9.982283,0,9.408472
2017-05-23,sh.603505,20.4800,20.4800,20.1100,20.4800,18.6200,25106749,514094480.0000,41.844582,1,9.989251,0,10.348308
2017-05-24,sh.603505,20.4800,22.5300,20.1200,22.5300,20.4800,19735883,427651024.0000,32.893138,1,10.009770,0,11.384150
2017-05-25,sh.603505,24.7800,24.7800,21.4000,23.2800,22.5300,45122233,1071028960.0000,75.203722,1,3.328895,0,11.763116
