date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.603885,23.3300,23.6400,23.3000,23.3700,23.3000,1689957,39639335.0000,0.786027,1,0.300436,0,3.926931
2017-01-04,sh.603885,23.3500,23.8000,23.3500,23.7500,23.3700,2150363,50799500.0000,1.000169,1,1.626013,0,3.990784
2017-01-05,sh.603885,23.7200,23.8800,23.6000,23.8400,23.7500,2140420,50887884.0000,0.995544,1,0.378948,0,4.005907
2017-01-06,sh.603885,23.8700,23.8800,23.5100,23.5200,23.8400,1422048,33547128.0000,0.661418,1,-1.342281,0,3.952136
2017-01-09,sh.603885,23.5200,23.6100,23.3300,23.5000,23.5200,1393574,32707919.0000,0.648174,1,-0.085036,0,3.948775
2017-01-10,sh.603885,23.5500,24.8000,23.3800,23.9300,23.5000,5122222,123221883.0000,2.382429,1,1.829788,0,4.021030
2017-01-11,sh.603885,23.7600,23.7600,23.2000,23.2100,23.9300,2582618,60533930.0000,1.201218,1,-3.008781,0,3.900046
2017-01-12,sh.603885,23.2000,23.3700,23.1000,23.1000,23.2100,1388200,32213203.0000,0.645674,1,-0.473928,0,3.881562
2017-01-13,sh.603885,23.1300,23.3700,22.7100,23.2900,23.1000,3163765,72940345.0000,1.471519,1,0.822513,0,3.913488
2017-01-16,sh.603885,23.4000,23.8400,22.9000,23.7800,23.2900,6083405,142836586.0000,2.829491,1,2.103906,0,3.995825
2017-01-17,sh.603885,23.6200,23.9200,23.4600,23.6900,23.7800,1457103,34474404.0000,0.677722,1,-0.378470,0,3.980702
2017-01-18,sh.603885,23.5300,23.7900,23.3200,23.3300,23.6900,1256330,29596500.0000,0.584340,1,-1.519631,0,3.920210
2017-01-19,sh.603885,23.3100,23.4400,23.1100,23.3000,23.3300,1380801,32076478.0000,0.642233,1,-0.128593,0,3.915169
2017-01-20,sh.603885,23.2000,23.6500,23.2000,23.6000,23.3000,1577035,37134777.0000,0.733505,1,1.287559,0,3.965579
2017-01-23,sh.603885,23.3900,23.9800,23.3900,23.9400,23.6000,2017315,48071844.0000,0.938286,1,1.440679,0,4.022710
2017-01-24,sh.603885,23.7800,23.9700,23.6500,23.7700,23.9400,1330473,31638087.0000,0.618825,1,-0.710109,0,3.994144
2017-01-25,sh.603885,23.8600,23.9300,23.6600,23.7400,23.7700,1072525,25505983.0000,0.498849,1,-0.126212,0,3.989103
2017-01-26,sh.603885,23.8400,23.9800,23.7200,23.8800,23.7400,954900,22773418.0000,0.444140,1,0.589719,0,4.012628
2017-02-03,sh.603885,23.9600,24.0000,23.5100,23.5800,23.8800,1002444,23721036.0000,0.466253,1,-1.256278,0,3.962218
2017-02-06,sh.603885,23.5500,24.9700,23.4100,24.1400,23.5800,4773857,115471423.0000,2.220399,1,2.374892,0,4.056317
2017-02-07,sh.603885,24.2800,24.2800,23.9100,23.9600,24.1400,1492924,35836181.0000,0.694383,1,-0.745652,0,4.026071
2017-02-08,sh.603885,23.9700,24.1000,23.7800,24.0200,23.9600,1253941,30020547.0000,0.583228,1,0.250423,0,4.036153
2017-02-09,sh.603885,24.1000,24.2400,23.9500,24.0400,24.0200,1737891,41880634.0000,0.808321,1,0.083266,0,4.039513
2017-02-10,sh.603885,24.0400,24.2500,23.9400,24.0300,24.0400,1523455,36679925.0000,0.708584,1,-0.041598,0,4.037833
2017-02-13,sh.603885,24.0000,24.1400,23.8700,23.9700,24.0300,1557808,37340893.0000,0.724562,1,-0.249694,0,4.027751
2017-02-14,sh.603885,23.9900,24.0600,23.7800,23.8400,23.9700,1719105,41113678.0000,0.799584,1,-0.542341,0,4.005907
2017-02-15,sh.603885,23.8900,24.3700,23.8200,24.0700,23.8400,4079541,98311497.0000,1.897461,1,0.964763,0,4.044554
2017-02-16,sh.603885,24.0000,24.0900,23.7500,23.9500,24.0700,2001777,47890022.0000,0.931059,1,-0.498542,0,4.024390
2017-02-17,sh.603885,23.9400,24.0500,23.7500,23.7800,23.9500,1863999,44523484.0000,0.866976,1,-0.709812,0,3.995825
2017-02-20,sh.603885,23.7500,23.8600,23.6600,23.8000,23.7800,2253700,53594562.0000,1.048233,1,0.084098,0,3.999185
2017-02-21,sh.603885,23.8900,24.1000,23.8000,24.0000,23.8000,2922713,70016456.0000,1.359401,1,0.840339,0,4.032792
2017-02-22,sh.603885,24.0000,24.0900,23.9500,24.0500,24.0000,1972985,47382440.0000,0.917667,1,0.208330,0,4.041194
2017-02-23,sh.603885,24.1000,24.3300,23.9500,24.0500,24.0500,2373393,57193400.0000,1.103904,1,0.000000,0,4.041194
2017-02-24,sh.603885,24.0600,25.5000,23.9500,24.8600,24.0500,8014351,198230733.0000,3.727605,1,3.367989,0,4.177300
2017-02-27,sh.603885,24.4000,24.5600,24.2000,24.3000,24.8600,4568453,111074023.0000,2.124862,1,-2.252620,0,4.083202
2017-02-28,sh.603885,24.2000,24.4400,24.2000,24.2500,24.3000,1983671,48185005.0000,0.922638,1,-0.205758,0,4.074800
