date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002773,56.5700,56.7000,56.2100,56.5700,56.7900,323660,18256902.0000,0.473187,1,-0.387394,0,13.834648
2017-01-04,sz.002773,56.5800,56.5800,56.0000,56.3600,56.5700,359995,20278913.0000,0.526308,1,-0.371220,0,13.783291
2017-01-05,sz.002773,56.3000,56.5000,55.0000,55.2800,56.3600,430940,23969918.0000,0.630029,1,-1.916256,0,13.519168
2017-01-06,sz.002773,55.0200,55.3000,54.5100,54.8000,55.2800,510860,28058888.0000,0.746871,1,-0.868306,0,13.401780
2017-01-09,sz.002773,54.7800,54.7800,54.1000,54.4900,54.8000,579372,31530194.0000,0.847035,1,-0.565689,0,13.325967
2017-01-10,sz.002773,54.5000,54.5200,53.7600,53.9400,54.4900,656176,35505325.0000,0.959322,1,-1.009365,0,13.191460
2017-01-11,sz.002773,53.8000,53.8800,52.2000,52.5000,53.9400,737094,39239187.0000,1.077623,1,-2.669630,0,12.839297
2017-01-12,sz.002773,52.4500,53.1000,52.2000,52.2100,52.5000,402572,21200818.0000,0.588556,1,-0.552383,0,12.768375
2017-01-13,sz.002773,52.4000,52.5700,50.0000,50.3400,52.2100,680811,34686605.0000,0.995338,1,-3.581687,0,12.311051
2017-01-16,sz.002773,50.0000,50.3400,48.1700,48.8000,50.3400,950413,46612196.0000,1.389493,1,-3.059199,0,11.937439
2017-01-17,sz.002773,49.2900,49.9900,48.0000,49.4200,48.8000,545038,26872471.0000,0.796839,1,1.270490,0,12.089103
2017-01-18,sz.002773,49.0100,49.8200,48.1500,48.9500,49.4200,1036456,50344085.0000,1.515287,1,-0.951027,0,11.974132
2017-01-19,sz.002773,48.5500,48.6200,46.7200,47.3500,48.9500,1158193,54968119.0000,1.693265,1,-3.268646,0,11.582740
2017-01-20,sz.002773,47.3500,48.9700,47.0300,48.2300,47.3500,581310,27900928.0000,0.849868,1,1.858503,0,11.798005
2017-01-23,sz.002773,48.4000,49.1900,48.0000,48.9800,48.2300,462369,22571713.0000,0.675978,1,1.555049,0,11.981470
2017-01-24,sz.002773,48.9800,49.1000,48.1100,48.8100,48.9800,407404,19784252.0000,0.595620,1,-0.347077,0,11.939885
2017-01-25,sz.002773,48.8200,50.7500,48.5000,50.0100,48.8100,366792,18210655.0000,0.536246,1,2.458506,0,12.233428
2017-01-26,sz.002773,50.0600,50.7500,49.8500,50.6200,50.0100,191484,9640203.0000,0.279947,1,1.219757,0,12.382646
2017-02-03,sz.002773,50.6100,50.7200,49.3900,49.7000,50.6200,212570,10567620.0000,0.310775,1,-1.817460,0,12.157596
2017-02-06,sz.002773,49.7600,50.3900,49.1500,50.1200,49.7000,372087,18644255.0000,0.543987,1,0.845067,0,12.260336
2017-02-07,sz.002773,49.8500,50.3400,49.3700,50.1700,50.1200,331430,16540902.0000,0.484547,1,0.099759,0,12.272567
2017-02-08,sz.002773,50.0200,50.4900,49.4500,50.4300,50.1700,344492,17193444.0000,0.503643,1,0.518242,0,12.336169
