date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002230,27.2900,27.5800,27.2000,27.3900,27.0900,7554768,207142381.0000,0.649310,1,1.107417,0,5.585670
2017-01-04,sz.002230,27.2600,28.0800,27.2600,28.0200,27.3900,14029479,390936896.0000,1.205793,1,2.300113,0,5.714146
2017-01-05,sz.002230,28.3300,28.8300,28.0800,28.1200,28.0200,14791482,420862752.0000,1.271285,1,0.356889,0,5.734539
2017-01-06,sz.002230,28.1700,28.1700,27.6800,27.7900,28.1200,8486382,235935586.0000,0.729380,1,-1.173542,0,5.667242
2017-01-09,sz.002230,27.8200,28.1100,27.7600,27.9400,27.7900,6280380,175422757.0000,0.539780,1,0.539761,0,5.697832
2017-01-10,sz.002230,27.9800,28.1600,27.7100,27.7400,27.9400,7158094,199994566.0000,0.615217,1,-0.715822,0,5.657046
2017-01-11,sz.002230,28.2500,28.4000,27.8100,27.8300,27.7400,10318445,289847664.0000,0.886840,1,0.324442,0,5.675399
2017-01-12,sz.002230,27.9200,28.0400,27.3800,27.4400,27.8300,7250155,200623681.0000,0.623130,1,-1.401363,0,5.595866
2017-01-13,sz.002230,27.4400,27.5600,27.0300,27.1000,27.4400,5992525,163227250.0000,0.515040,1,-1.239068,0,5.526530
2017-01-16,sz.002230,26.9800,26.9800,25.3000,26.4400,27.1000,11832118,312978208.0000,1.016936,1,-2.435424,0,5.391935
2017-01-17,sz.002230,26.4600,26.9500,26.1000,26.8200,26.4400,8215265,218599911.0000,0.706078,1,1.437213,0,5.469429
2017-01-18,sz.002230,26.5800,26.8000,26.4800,26.5000,26.8200,5067110,134975345.0000,0.435503,1,-1.193138,0,5.404171
2017-01-19,sz.002230,26.6000,26.7400,26.3500,26.3800,26.5000,4633769,123081102.0000,0.398259,1,-0.452833,0,5.379699
2017-01-20,sz.002230,26.4600,26.9300,26.4000,26.7500,26.3800,6435767,172276552.0000,0.553135,1,1.402581,0,5.455154
2017-01-23,sz.002230,26.7500,27.1300,26.7400,26.8700,26.7500,4917284,132316434.0000,0.422626,1,0.448601,0,5.479626
2017-01-24,sz.002230,26.8900,26.9900,26.7100,26.7300,26.8700,3438255,92142054.0000,0.295508,1,-0.521032,0,5.451075
2017-01-25,sz.002230,26.7000,26.9200,26.6600,26.8200,26.7300,3335396,89527228.0000,0.286668,1,0.336701,0,5.469429
2017-01-26,sz.002230,26.9100,27.2100,26.9100,27.0300,26.8200,5022650,136108207.0000,0.431682,1,0.783001,0,5.512255
2017-02-03,sz.002230,27.2100,28.2800,27.0600,28.0600,27.0300,17185848,480025376.0000,1.477074,1,3.810576,0,5.722303
2017-02-06,sz.002230,28.0800,30.5000,27.7800,29.9600,28.0600,50131991,1471657536.0000,4.308699,1,6.771203,0,6.109772
2017-02-07,sz.002230,29.8000,30.1200,29.4000,29.7600,29.9600,26341275,783728352.0000,2.263956,1,-0.667553,0,6.068986
2017-02-08,sz.002230,29.7500,30.4500,29.5900,30.0100,29.7600,24249270,729621696.0000,2.084154,1,0.840054,0,6.119969
2017-02-09,sz.002230,30.1600,30.3500,29.7400,29.9500,30.0100,17021155,510771344.0000,1.462919,1,-0.199932,0,6.107733
2017-02-10,sz.002230,29.9100,30.1400,29.2200,29.4500,29.9500,19876533,587317008.0000,1.708330,1,-1.669449,0,6.005768
2017-02-13,sz.002230,29.3200,29.6800,29.1600,29.2900,29.4500,15169946,445800096.0000,1.303813,1,-0.543293,0,5.973139
2017-02-14,sz.002230,29.3500,29.8300,29.3000,29.4200,29.2900,14706985,434411408.0000,1.264023,1,0.443835,0,5.999650
2017-02-15,sz.002230,29.4800,29.6400,29.1500,29.2800,29.4200,13483246,396038400.0000,1.158846,1,-0.475865,0,5.971099
2017-02-16,sz.002230,29.3500,30.1700,29.1300,29.9500,29.2800,22174101,657164256.0000,1.905799,1,2.288252,0,6.107733
2017-02-17,sz.002230,29.8200,29.9100,29.2000,29.2000,29.9500,13670993,403707568.0000,1.174982,1,-2.504174,0,5.954785
2017-02-20,sz.002230,29.3000,29.7800,29.2200,29.5000,29.2000,10296017,303587648.0000,0.884913,1,1.027395,0,6.015964
2017-02-21,sz.002230,29.5800,30.8400,29.4000,30.5900,29.5000,40007974,1216169120.0000,3.438569,1,3.694916,0,6.238249
2017-02-22,sz.002230,30.5100,31.0400,30.3000,30.7900,30.5900,32672164,1003042096.0000,2.808077,1,0.653811,0,6.279035
2017-02-23,sz.002230,30.7800,30.7800,30.2400,30.3200,30.7900,16808007,510918656.0000,1.444599,1,-1.526474,0,6.183187
2017-02-24,sz.002230,30.7500,31.3000,30.6100,30.7600,30.3200,26192671,810624816.0000,2.251184,1,1.451189,0,6.272917
2017-02-27,sz.002230,30.6800,31.5600,30.5600,31.1400,30.7600,35032547,1094280032.0000,3.010945,1,1.235368,0,6.350411
2017-02-28,sz.002230,31.0000,31.2700,30.4000,30.7600,31.1400,20871484,641422272.0000,1.793843,1,-1.220293,0,6.272917
2017-03-01,sz.002230,30.7600,30.9700,30.5000,30.5800,30.7600,12834629,393749344.0000,1.103099,1,-0.585177,0,6.236210
2017-03-02,sz.002230,30.7200,31.2000,30.3200,30.3300,30.5800,16886139,518958592.0000,1.451314,1,-0.817528,0,6.185227
2017-03-03,sz.002230,30.3600,30.9800,30.1100,30.8100,30.3300,20457403,626065104.0000,1.758254,1,1.582590,0,6.283114
2017-03-06,sz.002230,31.5000,32.5000,31.0300,31.9200,30.8100,52310214,1659238080.0000,4.495910,1,3.602728,0,6.509477
2017-03-07,sz.002230,31.9400,35.1100,31.6500,34.3700,31.9200,119984296,4049744736.0000,10.312301,1,7.675435,0,7.067745
2017-03-08,sz.002230,33.8000,34.2300,33.3300,33.6900,34.3700,60864987,2048670256.0000,5.231168,1,-1.978471,0,6.927912
2017-03-09,sz.002230,33.8100,35.1200,33.6000,33.6000,33.6900,66336306,2277120144.0000,5.701412,1,-0.267142,0,6.909405
2017-03-10,sz.002230,33.7000,34.6000,33.3100,34.2200,33.6000,44220941,1501834368.0000,3.800661,1,1.845246,0,7.036899
2017-03-13,sz.002230,34.9800,35.9700,34.3400,34.5900,34.2200,63329446,2222599584.0000,5.442981,1,1.081236,0,7.112985
2017-03-14,sz.002230,34.4000,35.5900,34.0100,34.4000,34.5900,55464573,1925068384.0000,4.767018,1,-0.549288,0,7.073914
2017-03-15,sz.002230,34.1800,34.2500,33.5000,33.7500,34.4000,39625389,1340872464.0000,3.405687,1,-1.889539,0,6.940250
2017-03-16,sz.002230,33.9200,34.5500,33.7600,34.5000,33.7500,37055946,1265238432.0000,3.184851,1,2.222222,0,7.094478
2017-03-17,sz.002230,34.9100,35.0500,33.5800,33.6100,34.5000,39616618,1361921360.0000,3.404933,1,-2.579708,0,6.911461
2017-03-20,sz.002230,33.6100,34.0000,33.0600,33.4800,33.6100,28923293,969475856.0000,2.485873,1,-0.386793,0,6.884728
2017-03-21,sz.002230,33.6200,35.8500,33.4000,35.0400,33.4800,71727984,2503850864.0000,6.164811,1,4.659502,0,6.582258
2017-03-22,sz.002230,34.7000,36.2500,34.5000,35.9300,35.0400,66535807,2352654960.0000,5.718559,1,2.539953,0,6.749445
2017-03-23,sz.002230,35.7600,36.3000,34.8500,35.6000,35.9300,47505916,1688662832.0000,4.082995,1,-0.918458,0,6.687454
2017-03-24,sz.002230,35.3800,36.7000,35.3800,36.2800,35.6000,52842323,1910334928.0000,4.541644,1,1.910113,0,6.815192
2017-03-27,sz.002230,36.1800,36.7800,35.8300,36.0400,36.2800,34756459,1259420400.0000,2.987216,1,-0.661516,0,6.770108
2017-03-28,sz.002230,36.0000,36.0000,35.0800,35.2700,36.0400,30438346,1077324208.0000,2.616087,1,-2.136516,0,6.625464
2017-03-29,sz.002230,35.4700,35.7000,34.8500,34.9300,35.2700,30934609,1091079312.0000,2.658740,1,-0.963992,0,6.561595
2017-03-30,sz.002230,34.7000,35.3800,34.5000,34.6400,34.9300,34638366,1208495808.0000,2.977067,1,-0.830234,0,6.507118
2017-03-31,sz.002230,34.7500,35.4800,34.5900,35.1000,34.6400,27960193,979624960.0000,2.403097,1,1.327942,0,6.593529
2017-04-05,sz.002230,34.9000,36.2000,34.8500,35.8100,35.1000,41174584,1476778048.0000,3.538836,1,2.022800,0,6.726903
2017-04-06,sz.002230,35.8000,35.9800,35.2100,35.3500,35.8100,27425911,976084688.0000,2.357177,1,-1.284565,0,6.640492
2017-04-07,sz.002230,35.1400,35.8500,35.1200,35.1700,35.3500,24138418,854157040.0000,2.074627,1,-0.509195,0,6.606679
2017-04-10,sz.002230,35.1300,35.1300,32.8400,33.0000,35.1700,59093633,1989373952.0000,5.078926,1,-6.170026,0,6.199045
2017-04-11,sz.002230,32.9900,33.3900,32.2200,33.1900,33.0000,34268224,1126288128.0000,2.945254,1,0.575753,0,6.234736
2017-04-12,sz.002230,32.9200,33.1400,32.3000,32.3600,33.1900,20050423,657397904.0000,1.723275,1,-2.500747,0,6.078821
2017-04-13,sz.002230,32.5400,33.2700,32.5400,32.8400,32.3600,17670205,581230784.0000,1.518703,1,1.483311,0,6.168989
2017-04-14,sz.002230,32.8300,33.1300,32.5000,32.5700,32.8400,15001106,491528496.0000,1.289301,1,-0.822169,0,6.118269
2017-04-17,sz.002230,32.4600,33.0000,31.9100,32.7100,32.5700,15694556,511405392.0000,1.348901,1,0.429841,0,6.144568
2017-04-18,sz.002230,31.5000,31.9500,30.2500,30.4400,32.7100,50912080,1583136000.0000,4.375745,1,-6.939770,0,5.419580
2017-04-19,sz.002230,30.5900,30.8900,30.2000,30.8100,30.4400,22892165,700429200.0000,1.967515,1,1.215502,0,5.485455
2017-04-20,sz.002230,30.9000,31.1500,30.6200,31.0600,30.8100,18312829,566158496.0000,1.573934,1,0.811425,0,5.529966
2017-04-21,sz.002230,31.0500,31.0800,30.5200,30.5700,30.9600,11268986,346337056.0000,0.968537,1,-1.259688,0,5.442726
2017-04-24,sz.002230,30.7500,31.1800,29.8100,30.8700,30.5700,22750144,693683424.0000,1.955309,1,0.981358,0,5.496138
2017-04-25,sz.002230,30.7600,31.4000,30.7000,30.8600,30.8700,16748715,520974448.0000,1.439503,1,-0.032395,0,5.494358
2017-04-26,sz.002230,30.9100,32.3900,30.9000,31.7600,30.8600,26112719,828898048.0000,2.244312,1,2.916395,0,5.654595
2017-04-27,sz.002230,31.6000,31.8700,30.6800,31.6100,31.7600,23727569,742169904.0000,2.039315,1,-0.472291,0,5.627889
2017-04-28,sz.002230,31.6300,31.8700,31.3500,31.7000,31.6100,13496821,427340944.0000,1.160012,1,0.284720,0,5.643912
2017-05-02,sz.002230,31.6300,31.7200,31.1700,31.3000,31.7000,11730702,368223120.0000,1.008220,1,-1.261834,0,5.572696
