date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000977,21.2900,21.4400,21.1000,21.2400,21.2000,7657499,162639270.0000,0.797884,1,0.188675,0,5.097014
2017-01-04,sz.000977,21.2800,21.4800,21.1700,21.4800,21.2400,8495370,181508409.0000,0.885187,1,1.129943,0,5.154607
2017-01-05,sz.000977,21.4700,21.4800,21.3400,21.4000,21.4800,5173290,110657916.0000,0.539038,1,-0.372439,0,5.135409
2017-01-06,sz.000977,21.3900,21.4000,20.8300,20.8500,21.4000,10182566,214110232.0000,1.060987,1,-2.570090,0,5.003424
2017-01-09,sz.000977,20.8400,21.0400,20.6000,20.8700,20.8500,6409604,133409879.0000,0.667858,1,0.095925,0,5.008224
2017-01-10,sz.000977,20.8700,20.9900,20.8100,20.8300,20.8700,3496204,73029463.0000,0.364292,1,-0.191667,0,4.998625
2017-01-11,sz.000977,20.7200,20.9300,20.5200,20.5600,20.8300,6373115,131772971.0000,0.664056,1,-1.296210,0,4.933832
2017-01-12,sz.000977,20.5100,20.6300,20.4800,20.5000,20.5600,4020940,82598636.0000,0.418968,1,-0.291826,0,4.919434
2017-01-13,sz.000977,20.5100,20.5800,20.2500,20.2600,20.5000,5825509,118826115.0000,0.606997,1,-1.170731,0,4.861841
2017-01-16,sz.000977,20.2200,20.2200,18.6400,19.1500,20.2600,12046070,234876838.0000,1.255158,1,-5.478779,0,4.595471
2017-01-17,sz.000977,19.2000,19.4000,18.8500,19.3100,19.1500,6801278,130316701.0000,0.708669,1,0.835508,0,4.633867
2017-01-18,sz.000977,19.2700,19.3700,19.1900,19.2200,19.3100,3529770,68089075.0000,0.367789,1,-0.466081,0,4.612269
2017-01-19,sz.000977,19.1900,19.3600,19.0600,19.2600,19.2200,3351494,64601274.0000,0.349214,1,0.208121,0,4.621868
2017-01-20,sz.000977,19.2600,19.9600,19.2200,19.7200,19.2600,6801139,134171418.0000,0.708654,1,2.388365,0,4.732256
2017-01-23,sz.000977,19.7400,19.8900,19.7000,19.7600,19.7200,4192301,82932353.0000,0.436823,1,0.202844,0,4.741854
2017-01-24,sz.000977,19.6800,19.7800,19.6100,19.6100,19.7600,3091968,60868573.0000,0.322172,1,-0.759107,0,4.705859
2017-01-25,sz.000977,19.5200,20.0300,19.5200,19.8000,19.6100,4348979,86173246.0000,0.453148,1,0.968886,0,4.751453
2017-01-26,sz.000977,19.8200,19.9900,19.8000,19.8200,19.8000,3487431,69277489.0000,0.363378,1,0.101012,0,4.756253
2017-02-03,sz.000977,19.8400,21.8000,19.7000,20.8500,19.8200,12670998,264046958.0000,1.273049,1,5.196774,0,5.003424
2017-02-06,sz.000977,20.8300,20.9900,20.5200,20.9300,20.8500,8129389,169322608.0000,0.816756,1,0.383693,0,5.022622
2017-02-07,sz.000977,20.8200,21.1900,20.7400,20.9400,20.9300,8157477,170788131.0000,0.819578,1,0.047779,0,5.025022
2017-02-08,sz.000977,20.8400,21.1200,20.7100,21.0100,20.9400,7652320,160427873.0000,0.768825,1,0.334287,0,5.041820
2017-02-09,sz.000977,21.2000,21.4500,21.0900,21.1000,21.0100,11491795,244520192.0000,1.154575,1,0.428368,0,5.063417
2017-02-10,sz.000977,21.0900,21.1200,20.7300,20.7800,21.1000,7696894,160729281.0000,0.773303,1,-1.516586,0,4.986626
2017-02-13,sz.000977,20.7700,21.0200,20.7300,20.8700,20.7800,5730566,119565331.0000,0.575747,1,0.433109,0,5.008224
2017-02-14,sz.000977,20.8800,21.4000,20.8100,21.0300,20.8700,7166050,151270639.0000,0.719969,1,0.766650,0,5.046619
2017-02-15,sz.000977,21.1500,21.2000,20.5800,20.6600,21.0300,6767173,141206907.0000,0.679894,1,-1.759395,0,4.957830
2017-02-16,sz.000977,20.6500,20.7900,20.5600,20.7400,20.6600,3801614,78644982.0000,0.381946,1,0.387221,0,4.977027
2017-02-17,sz.000977,20.7800,20.9200,20.5300,20.5800,20.7400,5994440,124128876.0000,0.602258,1,-0.771455,0,4.938632
