date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.300003,17.8800,18.0400,17.8100,17.9400,17.9300,4656032,83299594.0000,0.339345,1,0.055774,0,6.634934
2017-01-04,sz.300003,17.8800,18.0900,17.8700,18.0600,17.9400,2737043,49276486.0000,0.199484,1,0.668890,0,6.679315
2017-01-05,sz.300003,18.1100,18.1300,17.9200,17.9600,18.0600,2348449,42274041.0000,0.170699,1,-0.553712,0,6.642331
2017-01-06,sz.300003,17.9600,18.0600,17.6100,17.6600,17.9600,5601442,99418487.0000,0.396179,1,-1.670375,0,6.674036
2017-01-09,sz.300003,17.6500,17.8000,17.5300,17.6500,17.6600,3608551,63617439.0000,0.255226,1,-0.056626,0,6.670257
2017-01-10,sz.300003,17.7000,17.7800,17.5000,17.5300,17.6500,2933788,51686079.0000,0.207501,1,-0.679881,0,6.624906
2017-01-11,sz.300003,17.5300,17.5500,17.0000,17.0000,17.5300,5487468,94962259.0000,0.388118,1,-3.023392,0,6.424610
2017-01-12,sz.300003,17.0200,17.4000,17.0100,17.0500,17.0000,5125779,88141086.0000,0.362537,1,0.294113,0,6.443506
2017-01-13,sz.300003,17.2800,17.2800,17.0100,17.0500,17.0500,2585331,44211103.0000,0.182856,1,0.000000,0,6.443506
2017-01-16,sz.300003,17.1500,17.2700,16.4000,16.8400,17.0500,5857939,99153565.0000,0.414321,1,-1.231666,0,6.364143
2017-01-17,sz.300003,16.9900,16.9900,16.6500,16.7800,16.8400,3826761,64275065.0000,0.270660,1,-0.356291,0,6.341468
2017-01-18,sz.300003,16.7000,16.8800,16.7000,16.8300,16.7800,1677591,28208125.0000,0.118653,1,0.297969,0,6.360364
2017-01-19,sz.300003,16.8000,16.8000,16.4800,16.5300,16.8300,2831098,46917065.0000,0.200238,1,-1.782527,0,6.246988
2017-01-20,sz.300003,16.5900,16.7400,16.3500,16.5000,16.5300,5401921,89577996.0000,0.382068,1,-0.181492,0,6.235651
2017-01-23,sz.300003,16.5400,17.0700,16.5400,17.0000,16.5000,6514913,110238761.0000,0.460787,1,3.030303,0,6.424610
2017-01-24,sz.300003,16.9700,17.0400,16.7800,16.8800,17.0000,2184521,36856366.0000,0.154507,1,-0.705887,0,6.379260
2017-01-25,sz.300003,16.8600,17.0700,16.8000,16.8800,16.8800,2468570,41790696.0000,0.174597,1,0.000000,0,6.379260
2017-01-26,sz.300003,16.8800,17.0600,16.8800,17.0400,16.8800,3263048,55507687.0000,0.230789,1,0.947878,0,6.439726
2017-02-03,sz.300003,17.0800,17.0900,16.6900,16.7700,17.0400,3173747,53308196.0000,0.224473,1,-1.584510,0,6.337688
2017-02-06,sz.300003,16.7700,17.0500,16.7200,16.8900,16.7700,3880211,65486492.0000,0.274440,1,0.715557,0,6.383039
2017-02-07,sz.300003,16.8200,16.9400,16.7600,16.8600,16.8900,2198561,37032188.0000,0.155500,1,-0.177613,0,6.371701
2017-02-08,sz.300003,16.8700,17.0100,16.7000,16.8900,16.8600,4444474,75027277.0000,0.314349,1,0.177929,0,6.383039
2017-02-09,sz.300003,16.9800,17.1800,16.9500,17.0800,16.8900,7152205,121851309.0000,0.505862,1,1.124929,0,6.454843
2017-02-10,sz.300003,17.0000,17.1200,16.9800,17.0500,17.0800,3936306,67133806.0000,0.278407,1,-0.175648,0,6.443506
2017-02-13,sz.300003,17.1600,17.1600,17.0000,17.1300,17.0500,3628483,61946196.0000,0.256636,1,0.469208,0,6.473739
2017-02-14,sz.300003,17.1100,17.3300,17.1100,17.1500,17.1300,3533988,60894212.0000,0.249952,1,0.116757,0,6.481297
2017-02-15,sz.300003,17.2500,17.3800,17.0300,17.0700,17.1500,3880946,66955784.0000,0.274492,1,-0.466472,0,6.451064
2017-02-16,sz.300003,17.0600,17.1600,17.0100,17.0700,17.0700,2749471,46937450.0000,0.194465,1,0.000000,0,6.451064
2017-02-17,sz.300003,17.0700,17.2200,17.0200,17.0600,17.0700,2761030,47248716.0000,0.195282,1,-0.058584,0,6.447285
2017-02-20,sz.300003,17.0000,17.2800,17.0000,17.1900,17.0600,4104825,70161987.0000,0.290327,1,0.762023,0,6.496414
2017-02-21,sz.300003,17.2200,17.2700,17.0900,17.2500,17.1900,5156446,88655626.0000,0.364706,1,0.349037,0,6.519089
2017-02-22,sz.300003,17.2500,17.2900,17.0000,17.1000,17.2500,5140628,87874817.0000,0.363587,1,-0.869563,0,6.462402
2017-02-23,sz.300003,17.0500,17.1600,16.9800,17.0800,17.1000,5351472,91205607.0000,0.378499,1,-0.116962,0,6.454843
2017-02-24,sz.300003,17.2700,17.4200,17.0700,17.1600,17.0800,10839065,186728240.0000,0.766627,1,0.468384,0,6.485077
2017-02-27,sz.300003,17.1400,17.2000,16.8800,16.9500,17.1600,7288403,123972823.0000,0.515495,1,-1.223771,0,6.405714
2017-02-28,sz.300003,16.9500,17.0500,16.7500,17.0100,16.9500,6197028,104694495.0000,0.438304,1,0.353979,0,6.428389
2017-03-01,sz.300003,17.0400,17.3900,17.0400,17.3300,17.0100,11378239,196446948.0000,0.804761,1,1.881245,0,6.549323
2017-03-02,sz.300003,17.4000,17.4000,17.1400,17.2300,17.3300,7317763,125974555.0000,0.517572,1,-0.577036,0,6.511531
2017-03-03,sz.300003,17.2200,17.3200,17.1100,17.2800,17.2300,4501214,77702935.0000,0.318362,1,0.290198,0,6.530427
2017-03-06,sz.300003,17.2800,17.3900,17.2000,17.3700,17.2800,5518614,95529702.0000,0.390321,1,0.520834,0,6.564439
2017-03-07,sz.300003,17.3700,17.6800,17.3500,17.6600,17.3700,8293841,145058139.0000,0.586608,1,1.669539,0,6.674036
2017-03-08,sz.300003,17.6600,17.6600,17.2100,17.3100,17.6600,10944722,190324871.0000,0.774099,1,-1.981882,0,6.541764
2017-03-09,sz.300003,17.2500,17.3600,17.1900,17.3400,17.3100,4306428,74412781.0000,0.304586,1,0.173314,0,6.553102
2017-03-10,sz.300003,17.3000,17.3600,17.2100,17.2600,17.3400,3170715,54764636.0000,0.224259,1,-0.461361,0,6.522868
2017-03-13,sz.300003,17.2100,17.3500,17.1500,17.2500,17.2600,4504101,77751967.0000,0.318567,1,-0.057939,0,6.519089
2017-03-14,sz.300003,17.2800,17.2900,17.1200,17.1200,17.2500,5015042,86225898.0000,0.354704,1,-0.753618,0,6.469960
2017-03-15,sz.300003,17.1600,17.1800,17.0500,17.1100,17.1200,3786480,64763503.0000,0.267811,1,-0.058413,0,6.466181
2017-03-16,sz.300003,17.1100,17.2000,17.0600,17.1500,17.1100,5920622,101424583.0000,0.418754,1,0.233776,0,6.481297
2017-03-17,sz.300003,17.1500,17.2200,17.0600,17.0700,17.1500,4391435,75234263.0000,0.310598,1,-0.466472,0,6.451064
2017-03-20,sz.300003,17.0800,17.2000,17.0000,17.1900,17.0700,4023760,68670198.0000,0.284593,1,0.702993,0,6.496414
2017-03-21,sz.300003,17.2000,17.2000,17.1000,17.1800,17.1900,3821205,65601900.0000,0.270267,1,-0.058175,0,6.492635
2017-03-22,sz.300003,17.1100,17.4200,17.1000,17.4200,17.1800,9407290,162335127.0000,0.665360,1,1.396972,0,6.583335
2017-03-23,sz.300003,17.4200,17.7400,17.2900,17.4800,17.4200,10315962,180852135.0000,0.729628,1,0.344429,0,6.606010
2017-03-24,sz.300003,17.5500,17.6200,17.3700,17.5200,17.4800,4924590,86207757.0000,0.348307,1,0.228838,0,6.621127
2017-03-27,sz.300003,17.5000,17.5100,17.3000,17.3500,17.5200,4436386,77061727.0000,0.313777,1,-0.970320,0,6.556881
2017-03-28,sz.300003,17.3500,17.6800,17.3500,17.5300,17.3500,7062870,123979937.0000,0.499543,1,1.037466,0,6.624906
2017-03-29,sz.300003,17.5700,17.6100,17.3400,17.3700,17.5300,3430839,59870079.0000,0.242657,1,-0.912720,0,6.564439
2017-03-30,sz.300003,17.3500,17.4000,17.0300,17.0700,17.3700,4866741,83410236.0000,0.344215,1,-1.727122,0,6.451064
2017-03-31,sz.300003,17.1000,17.4300,17.1000,17.3300,17.0700,4051099,70157590.0000,0.286527,1,1.523141,0,5.578934
2017-04-05,sz.300003,17.3300,17.6500,17.3200,17.5400,17.3300,6329666,111107474.0000,0.447685,1,1.211777,0,5.646537
2017-04-06,sz.300003,17.5500,17.7900,17.4700,17.6200,17.5400,5857624,103596766.0000,0.414299,1,0.456100,0,5.672291
2017-04-07,sz.300003,17.7900,18.2800,17.7000,18.1200,17.6200,16195053,292992416.0000,1.145445,1,2.837684,0,5.833253
2017-04-10,sz.300003,18.1200,18.5100,18.1100,18.1800,18.1200,8960787,163983235.0000,0.633780,1,0.331123,0,5.852568
2017-04-11,sz.300003,18.1300,18.5100,18.0900,18.4300,18.1800,10016444,183713903.0000,0.708444,1,1.375137,0,5.933049
2017-04-12,sz.300003,18.4200,18.5900,18.2500,18.2700,18.4300,5774586,106503239.0000,0.408426,1,-0.868149,0,5.881542
2017-04-13,sz.300003,18.3400,18.6500,18.0500,18.1400,18.2700,5002251,91530571.0000,0.353800,1,-0.711555,0,5.839692
2017-04-14,sz.300003,18.1400,18.2500,17.9200,18.2300,18.1400,5568874,100942602.0000,0.393876,1,0.496142,0,5.868665
2017-04-17,sz.300003,18.1400,18.4700,18.1000,18.3000,18.2300,3735354,68360528.0000,0.264195,1,0.383981,0,5.891199
2017-04-18,sz.300003,18.3700,18.4400,18.1400,18.1400,18.3000,4584349,83746816.0000,0.324242,1,-0.874316,0,5.839692
2017-04-19,sz.300003,18.1400,18.2000,17.8000,18.0400,18.1400,4015659,72086008.0000,0.284020,1,-0.551260,0,5.807499
2017-04-20,sz.300003,18.0400,18.4300,17.9600,18.3200,18.0400,5230062,95713973.0000,0.369912,1,1.552100,0,5.897638
2017-04-21,sz.300003,18.3300,18.8400,18.3300,18.5100,18.3200,8270146,154101333.0000,0.584932,1,1.037121,0,5.958803
2017-04-24,sz.300003,18.4600,18.6000,18.0300,18.2800,18.5100,5290918,96828191.0000,0.374217,1,-1.242569,0,5.884761
2017-04-25,sz.300003,18.3400,18.8200,18.1300,18.7900,18.2800,7164357,133044140.0000,0.506721,1,2.789936,0,6.048942
2017-04-26,sz.300003,18.6700,18.8200,18.5200,18.6700,18.7900,5998649,111868624.0000,0.424273,1,-0.638642,0,6.010311
2017-04-27,sz.300003,18.6600,18.8600,18.3700,18.6200,18.6700,5492676,102383997.0000,0.388487,1,-0.267805,0,5.761666
2017-04-28,sz.300003,18.7000,18.7900,18.2300,18.2600,18.6200,5007920,92530635.0000,0.354201,1,-1.933408,0,5.650270
2017-05-02,sz.300003,18.3800,18.7000,18.2000,18.5500,18.2600,4724811,87568267.0000,0.334177,1,1.588165,0,5.740005
2017-05-03,sz.300003,18.5600,18.6900,18.2500,18.3700,18.5500,6590093,121322232.0000,0.466105,1,-0.970342,0,5.684307
2017-05-04,sz.300003,18.3300,18.5400,18.2100,18.4300,18.3700,5722203,105373818.0000,0.404721,1,0.326617,0,5.702873
2017-05-05,sz.300003,18.5700,18.7900,18.3500,18.7500,18.4300,9085651,169092871.0000,0.642611,1,1.736298,0,5.801892
2017-05-08,sz.300003,18.7900,19.1300,18.6400,18.8700,18.7500,11143457,211145652.0000,0.788156,1,0.640004,0,5.839024
2017-05-09,sz.300003,18.9000,19.1300,18.4200,19.0700,18.8700,8244258,154648880.0000,0.583101,1,1.059877,0,5.900911
2017-05-10,sz.300003,19.0500,19.2000,18.9100,19.0500,19.0700,8259044,157637569.0000,0.584147,1,-0.104879,0,5.894723
2017-05-11,sz.300003,18.9500,19.0600,18.6900,19.0000,19.0500,8697170,164130386.0000,0.615134,1,-0.262463,0,5.879251
2017-05-12,sz.300003,18.9800,19.0300,18.7000,18.8300,19.0000,5276705,99408618.0000,0.373211,1,-0.894737,0,5.826647
2017-05-15,sz.300003,18.8300,19.1400,18.7900,19.0200,18.8300,5924086,112365265.0000,0.418999,1,1.009031,0,5.885440
2017-05-16,sz.300003,18.9000,19.9300,18.9000,19.9300,19.0200,11620323,225605005.0000,0.821883,1,4.784437,0,6.167025
2017-05-17,sz.300003,19.9500,20.1200,19.5300,19.5300,19.9300,10363531,204895644.0000,0.732993,1,-2.007023,0,6.043251
2017-05-18,sz.300003,19.5700,19.7700,19.4300,19.6900,19.5300,7962948,156226846.0000,0.563204,1,0.819252,0,6.092761
2017-05-19,sz.300003,19.7000,20.1000,19.6000,20.1000,19.6900,7119802,142300662.0000,0.503570,1,2.082274,0,6.219629
2017-05-22,sz.300003,20.4500,20.4500,19.5400,19.6700,20.1000,7752517,154474767.0000,0.548321,1,-2.139305,0,6.086572
2017-05-23,sz.300003,19.6700,20.0000,19.4600,19.7000,19.6700,7495852,147720120.0000,0.530167,1,0.152520,0,6.095855
2017-05-24,sz.300003,19.5000,20.3500,19.4000,20.3500,19.7000,9517278,189734264.0000,0.673139,1,3.299490,0,6.296987
2017-05-25,sz.300003,20.5000,20.5500,20.0300,20.1300,20.3500,8016867,162269766.0000,0.567018,1,-1.081087,0,6.228912
2017-05-26,sz.300003,20.2000,20.4500,19.8100,19.9000,20.1300,7380253,147896658.0000,0.521991,1,-1.142571,0,6.157742
2017-05-31,sz.300003,19.8100,19.9800,19.5800,19.7100,19.9000,9258693,182524077.0000,0.654850,1,-0.954777,0,6.098949
2017-06-01,sz.300003,19.6000,19.9900,19.6000,19.9100,19.7100,6863214,136117215.0000,0.485422,1,1.014717,0,6.160836
2017-06-02,sz.300003,19.7200,20.0800,19.7000,19.8800,19.9100,6791982,134951104.0000,0.480384,1,-0.150681,0,6.151553
