date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.601012,13.4000,13.5600,13.3400,13.5100,13.3900,7281932,98330768.0000,0.416297,1,0.896190,0,2.805835
2017-01-04,sh.601012,13.5400,13.5500,13.3900,13.5300,13.5100,7039303,94920896.0000,0.402426,1,0.148035,0,2.809988
2017-01-05,sh.601012,13.5900,13.7300,13.4900,13.6400,13.5300,11854877,161869960.0000,0.677725,1,0.813013,0,2.832834
2017-01-06,sh.601012,13.7000,13.7000,13.5100,13.5200,13.6400,5934517,80751352.0000,0.339267,1,-0.879765,0,2.807912
2017-01-09,sh.601012,13.5300,14.1100,13.5300,13.9500,13.5200,26006455,362171744.0000,1.486748,1,3.180469,0,2.897216
2017-01-10,sh.601012,13.9000,14.1400,13.8500,14.0000,13.9500,14908847,209061740.0000,0.852041,1,0.358424,0,2.907601
2017-01-11,sh.601012,14.0400,14.1200,13.8800,13.9000,14.0000,10269656,144003336.0000,0.586911,1,-0.714288,0,2.886832
2017-01-12,sh.601012,13.9300,13.9800,13.6600,13.6900,13.9000,12625529,174597963.0000,0.721549,1,-1.510792,0,2.843218
2017-01-13,sh.601012,13.7000,13.9500,13.6800,13.9400,13.6900,10116282,139734183.0000,0.578146,1,1.826151,0,2.895140
2017-01-16,sh.601012,13.9500,14.2300,13.6800,14.0700,13.9400,26974494,377352944.0000,1.541592,1,0.932569,0,2.922139
2017-01-17,sh.601012,14.0500,14.1200,13.9400,14.0800,14.0700,9281769,130325832.0000,0.530453,1,0.071075,0,2.924216
2017-01-18,sh.601012,14.1300,14.4800,14.1000,14.2000,14.0800,18977631,271926928.0000,1.084572,1,0.852272,0,2.948037
2017-01-19,sh.601012,14.3900,14.3900,14.1100,14.2100,14.2000,15086536,214961745.0000,0.862196,1,0.070424,0,2.950113
2017-01-20,sh.601012,14.1600,14.3500,14.1400,14.1700,14.2100,11897441,169466226.0000,0.679939,1,-0.281492,0,2.941809
2017-01-23,sh.601012,14.1600,14.4000,14.1400,14.2800,14.1700,10984231,157069746.0000,0.627749,1,0.776285,0,2.964646
2017-01-24,sh.601012,14.3200,14.4200,14.2200,14.3600,14.2800,8205973,117733368.0000,0.468971,1,0.560223,0,2.981255
2017-01-25,sh.601012,14.3400,14.4400,14.3000,14.3400,14.3600,6612017,95122939.0000,0.377877,1,-0.139272,0,2.977102
2017-01-26,sh.601012,14.3600,14.6400,14.3100,14.6000,14.3400,15071966,218650577.0000,0.861363,1,1.813112,0,3.031081
2017-02-03,sh.601012,14.5900,14.6400,14.4700,14.4800,14.6000,7896440,114731071.0000,0.449585,1,-0.821924,0,3.006168
2017-02-06,sh.601012,14.5000,14.5500,14.3000,14.4500,14.4800,9802369,141367974.0000,0.558099,1,-0.207180,0,2.999939
