date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2019-12-03,sh.688310,31.8000,32.4500,30.4900,31.0300,24.7900,13853767,431891649.0000,72.829300,1,25.171400,0,11.822268
2019-12-04,sh.688310,29.9000,29.9000,27.0300,27.9900,31.0300,9402738,263769366.0000,49.430200,1,-9.797000,0,10.664044
2019-12-05,sh.688310,27.9000,28.2500,27.1800,27.4400,27.9900,5774053,159505046.0000,30.354200,1,-1.965000,0,10.454497
2019-12-06,sh.688310,27.4500,27.5700,26.8100,26.9800,27.4400,4090298,110938376.0000,21.502700,1,-1.676400,0,10.279239
2019-12-09,sh.688310,26.9800,27.4500,26.8200,27.2800,26.9800,4015873,108916185.0000,21.111500,1,1.111900,0,10.393538
2019-12-10,sh.688310,27.0000,29.2400,26.8500,28.1100,27.2800,7942990,223671977.0000,41.756300,1,3.042500,0,10.709763
2019-12-11,sh.688310,27.8300,28.3700,27.4100,27.5400,28.1100,4847702,134455011.0000,25.484400,1,-2.027700,0,10.492596
2019-12-12,sh.688310,27.6200,28.0900,27.5000,27.5900,27.5400,2744675,76111852.0000,14.428800,1,0.181600,0,10.511646
2019-12-13,sh.688310,27.7100,27.8600,27.1100,27.3600,27.5900,3209301,87813679.0000,16.871300,1,-0.833600,0,10.424017
2019-12-16,sh.688310,27.3000,27.7500,27.3000,27.7400,27.3600,2203022,60611666.0000,11.581300,1,1.388900,0,10.568795
2019-12-17,sh.688310,27.7500,28.1300,27.5700,27.9500,27.7400,2963640,82508355.0000,15.579900,1,0.757000,0,10.648804
2019-12-18,sh.688310,28.0300,29.3800,28.0300,29.0800,27.9500,5358916,154024871.0000,28.171800,1,4.042900,0,11.079328
2019-12-19,sh.688310,29.2500,29.9100,29.1000,29.5300,29.0800,4313218,127270844.0000,22.674600,1,1.547500,0,11.250776
2019-12-20,sh.688310,29.5000,29.9500,29.2800,29.3900,29.5300,3127935,92637462.0000,16.443600,1,-0.474100,0,11.197437
2019-12-23,sh.688310,29.3000,29.4400,28.3300,28.3800,29.3900,2539395,73130111.0000,13.349600,1,-3.436500,0,10.812632
2019-12-24,sh.688310,28.7500,29.2900,28.5500,29.0100,28.3800,1756321,50776804.0000,9.233000,1,2.219900,0,11.052659
2019-12-25,sh.688310,29.0800,29.4500,28.5600,29.0000,29.0100,1828010,53129509.0000,9.609900,1,-0.034500,0,11.048849
2019-12-26,sh.688310,29.1000,30.5000,29.1000,29.9000,29.0000,3684007,109761195.0000,19.366800,1,3.103400,0,11.391744
2019-12-27,sh.688310,29.9200,30.1500,29.0800,29.1500,29.9000,1746722,51713428.0000,9.182500,1,-2.508400,0,11.105998
2019-12-30,sh.688310,28.8900,29.0200,28.4000,28.8800,29.1500,1317016,37900724.0000,6.923600,1,-0.926200,0,11.003129
2019-12-31,sh.688310,28.7000,29.1700,28.7000,28.9700,28.8800,1212461,35163456.0000,6.373900,1,0.311600,0,11.037419
2020-01-02,sh.688310,29.2000,29.6000,29.0400,29.5800,28.9700,1905321,55968811.0000,10.016300,1,2.105600,0,11.269826
2020-01-03,sh.688310,29.5900,30.2500,29.5100,29.9000,29.5800,1572292,46925729.0000,8.265500,1,1.081800,0,11.391744
2020-01-06,sh.688310,29.8200,30.6000,29.5900,29.9900,29.9000,2007394,60330553.0000,10.552900,1,0.301000,0,11.426033
2020-01-07,sh.688310,30.2200,30.9300,29.9300,30.6600,29.9900,1857179,56648176.0000,9.763200,1,2.234100,0,11.681300
2020-01-08,sh.688310,30.2800,31.3000,30.2000,30.3500,30.6600,1971504,60590026.0000,10.364200,1,-1.011100,0,11.563192
2020-01-09,sh.688310,30.8200,31.4600,30.6500,31.1100,30.3500,1448940,45028585.0000,7.617100,1,2.504100,0,11.852748
2020-01-10,sh.688310,31.0800,31.6800,30.2300,31.2600,31.1100,1873590,58036582.0000,9.849500,1,0.482200,0,11.909897
2020-01-13,sh.688310,31.0000,31.8800,31.0000,31.8000,31.2600,1284182,40445315.0000,6.750900,1,1.727400,0,12.115634
2020-01-14,sh.688310,31.7800,32.4500,31.7000,32.0000,31.8000,1905365,61088207.0000,10.016500,1,0.628900,0,12.191833
2020-01-15,sh.688310,31.7600,32.1000,31.1500,31.8800,32.0000,1472913,46448929.0000,7.743100,1,-0.375000,0,12.146114
2020-01-16,sh.688310,31.9100,32.4000,31.6700,32.2900,31.8800,1652079,52978899.0000,8.685000,1,1.286100,0,12.302321
2020-01-17,sh.688310,32.2700,33.6700,31.9400,32.8500,32.2900,5096248,166654153.0000,26.791000,1,1.734300,0,12.515678
2020-01-20,sh.688310,33.6700,34.3300,33.0200,33.7200,32.8500,3331404,112342102.0000,17.513200,1,2.648400,0,12.847144
2020-01-21,sh.688310,32.8000,33.3900,32.1100,32.9300,33.7200,3629618,119214996.0000,19.080900,1,-2.342800,0,12.546158
2020-01-22,sh.688310,32.5600,33.1800,31.5600,33.0900,32.9300,1864295,60628241.0000,9.800600,1,0.485900,0,12.607117
2020-01-23,sh.688310,33.1900,33.4500,31.3100,32.1500,33.0900,2345976,75778282.0000,12.332800,1,-2.840700,0,12.248982
2020-02-03,sh.688310,29.5000,36.4800,29.0300,34.5800,32.1500,6350379,207602984.0000,33.384000,1,7.558300,0,13.174799
2020-02-04,sh.688310,32.2800,37.5800,31.1500,35.2700,34.5800,6023093,210320105.0000,31.663400,1,1.995400,0,13.437686
2020-02-05,sh.688310,35.0000,40.0800,34.4000,39.3900,35.2700,6645162,246573525.0000,34.933600,1,11.681300,0,15.007384
2020-02-06,sh.688310,38.4000,40.7000,36.8000,37.7000,39.3900,6187122,239246509.0000,32.525700,1,-4.290400,0,14.363503
2020-02-07,sh.688310,37.7900,38.4900,36.0100,36.8600,37.7000,3932327,146382906.0000,20.672300,1,-2.228100,0,14.043468
2020-02-10,sh.688310,36.8600,37.1500,35.5800,36.2600,36.8600,2579272,93424498.0000,13.559200,1,-1.627800,0,13.814871
2020-02-11,sh.688310,36.0500,37.9500,35.6000,36.9400,36.2600,3147155,116158018.0000,16.544600,1,1.875300,0,14.073947
2020-02-12,sh.688310,36.5000,37.8700,36.1000,37.1400,36.9400,2886322,106805241.0000,15.173400,1,0.541400,0,14.150146
2020-02-13,sh.688310,37.0600,37.8800,36.5500,36.9200,37.1400,2685501,99904604.0000,14.117700,1,-0.592400,0,14.066327
2020-02-14,sh.688310,38.6000,40.3300,36.5000,37.3900,36.9200,3597396,137834059.0000,18.911500,1,1.273000,0,14.245395
2020-02-17,sh.688310,36.5400,37.7900,36.5400,37.5000,37.3900,2709898,100739247.0000,14.245900,1,0.294200,0,14.287304
2020-02-18,sh.688310,37.7800,37.8000,36.7100,37.0000,37.5000,1828544,67759594.0000,9.612700,1,-1.333300,0,14.096807
2020-02-19,sh.688310,36.9200,37.3100,35.7700,35.8000,37.0000,2133552,77517325.0000,11.216100,1,-3.243200,0,14.096807
2020-02-20,sh.688310,35.8400,36.1700,34.6600,35.3600,35.8000,1762015,62236538.0000,9.262900,1,-1.229000,0,13.471975
2020-02-21,sh.688310,35.3000,35.7400,35.0700,35.1900,35.3600,1068820,37868485.0000,5.618800,1,-0.480800,0,13.407206
2020-02-24,sh.688310,35.0000,36.2800,35.0000,35.7900,35.1900,1276098,45499402.0000,6.708500,1,1.705000,0,13.635803
2020-02-25,sh.688310,35.5300,36.8800,35.2000,36.5900,35.7900,2010693,72935940.0000,10.570200,1,2.235300,0,13.940599
2020-02-26,sh.688310,36.2000,36.6000,34.3000,34.8200,36.5900,1750065,62117791.0000,9.200100,1,-4.837400,0,13.266238
