date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2019-01-23,sh.601615,5.7000,6.8400,5.7000,6.8400,4.7500,272954,1865751.0000,0.098932,1,44.000000,0,2.200541
2019-01-24,sh.601615,7.5200,7.5200,7.5200,7.5200,6.8400,181002,1361135.0000,0.065604,1,9.941518,0,2.419308
2019-01-25,sh.601615,8.2700,8.2700,8.2700,8.2700,7.5200,395709,3272513.0000,0.143425,1,9.973411,0,2.660596
2019-01-28,sh.601615,9.1000,9.1000,9.1000,9.1000,8.2700,1209195,11003675.0000,0.438273,1,10.036270,0,2.927620
2019-01-29,sh.601615,10.0100,10.0100,10.0100,10.0100,9.1000,6963149,69701121.0000,2.523794,1,9.999998,0,3.220382
2019-01-30,sh.601615,10.9500,11.0100,10.5100,10.9000,10.0100,187655200,2019880408.0000,68.015658,1,8.891103,0,3.506710
2019-01-31,sh.601615,10.0000,10.1500,9.8100,9.8100,10.9000,91203266,901496478.0000,33.056639,1,-9.999992,0,3.156039
2019-02-01,sh.601615,9.8100,10.5800,9.6100,10.2400,9.8100,109872093,1114490472.0000,39.823158,1,4.383276,0,3.294377
2019-02-11,sh.601615,10.3000,11.2600,10.0200,11.2600,10.2400,116567837,1251383496.0000,42.250032,1,9.960942,0,3.622528
2019-02-12,sh.601615,11.6000,11.8700,10.6600,10.8100,11.2600,155938390,1765278460.0000,56.519895,1,-3.996446,0,3.477756
2019-02-13,sh.601615,10.5300,11.0800,10.5300,10.9200,10.8100,105017544,1134041527.0000,38.063626,1,1.017573,0,3.513145
2019-02-14,sh.601615,10.7300,12.0100,10.7300,11.4800,10.9200,141816777,1639752911.0000,51.401514,1,5.128201,0,3.693306
2019-02-15,sh.601615,11.5000,12.1900,11.2500,11.7000,11.4800,115296821,1347112426.0000,41.789352,1,1.916379,0,3.764083
2019-02-18,sh.601615,11.5800,12.1200,11.2500,11.9300,11.7000,104974875,1227219961.0000,38.048161,1,1.965816,0,3.838078
2019-02-19,sh.601615,12.2100,13.1200,12.2100,13.1200,11.9300,123730202,1587653086.0000,44.846032,1,9.974850,0,4.220921
2019-02-20,sh.601615,13.5100,13.7500,11.8100,11.9200,13.1200,159745837,1995752834.0000,57.899905,1,-9.146340,0,3.834861
2019-02-21,sh.601615,11.5000,12.2900,11.2100,12.2500,11.9200,116447779,1361607794.0000,42.206516,1,2.768456,0,3.941027
2019-02-22,sh.601615,11.9400,12.1700,11.8100,11.8900,12.2500,79003359,945595168.0000,28.634780,1,-2.938773,0,3.825210
2019-02-25,sh.601615,11.8000,12.4900,11.8000,12.2400,11.8900,91717821,1117465316.0000,33.243139,1,2.943645,0,3.937810
2019-02-26,sh.601615,12.3000,13.4000,11.9200,12.7100,12.2400,119723390,1526452729.0000,43.393762,1,3.839872,0,4.089017
2019-02-27,sh.601615,12.7500,12.9600,12.0100,12.3800,12.7100,88438171,1099085731.0000,32.054430,1,-2.596380,0,3.982851
2019-02-28,sh.601615,12.1000,12.4900,11.8200,11.8300,12.3800,60684257,734557325.0000,21.995019,1,-4.442651,0,3.805907
2019-03-01,sh.601615,11.9300,12.2600,11.7200,12.2000,11.8300,53778020,649324138.0000,19.491852,1,3.127640,0,3.924942
2019-03-04,sh.601615,12.2100,12.7900,11.9300,12.2700,12.2000,77497184,955314855.0000,28.088867,1,0.573776,0,3.947462
2019-03-05,sh.601615,12.1000,12.5600,11.9500,12.4200,12.2700,68773867,840569293.0000,24.927099,1,1.222491,0,3.995719
2019-03-06,sh.601615,12.5000,13.6600,12.2900,13.6600,12.4200,84708599,1130827864.0000,30.702646,1,9.983895,0,4.394648
2019-03-07,sh.601615,14.9500,15.0300,14.3500,15.0300,13.6600,61463723,910234951.0000,22.277536,1,10.029280,0,4.835399
2019-03-08,sh.601615,16.5300,16.5300,14.3900,14.7500,15.0300,134209530,2136574347.0000,48.644266,1,-1.862939,0,4.745319
2019-03-11,sh.601615,15.5000,16.2300,14.5200,15.4000,14.7500,151347057,2370802517.0000,54.855765,1,4.406777,0,4.954435
2019-03-12,sh.601615,15.3900,16.9400,15.0500,16.9400,15.4000,149567605,2420467236.0000,54.210803,1,10.000010,0,5.449878
2019-03-13,sh.601615,16.9400,18.6300,16.5100,17.4500,16.9400,164581480,2926322662.0000,59.652584,1,3.010627,0,5.613953
2019-03-14,sh.601615,16.0900,16.3000,15.7100,15.7100,17.4500,48488513,767535868.0000,17.574669,1,-9.971351,0,5.054167
2019-03-15,sh.601615,14.9100,15.4800,14.2000,14.6500,15.7100,96849904,1429085069.0000,35.103264,1,-6.747297,0,4.713147
2019-03-18,sh.601615,14.7000,15.0900,14.4000,14.8100,14.6500,59849908,887729877.0000,21.692609,1,1.092156,0,4.764622
2019-03-19,sh.601615,14.7500,15.1000,14.6100,14.8900,14.8100,53509268,796652057.0000,19.394443,1,0.540175,0,4.790359
2019-03-20,sh.601615,14.9100,15.8600,14.8200,15.3100,14.8900,73133486,1125837735.0000,26.507244,1,2.820685,0,4.925480
2019-03-21,sh.601615,15.0200,15.9000,14.8000,15.3700,15.3100,73181835,1114529873.0000,26.524768,1,0.391897,0,4.944783
2019-03-22,sh.601615,15.1700,15.4700,14.8000,14.8700,15.3700,47154220,708761979.0000,17.091055,1,-3.253090,0,4.783925
2019-03-25,sh.601615,14.4800,14.5400,13.9100,13.9200,14.8700,48812547,694811329.0000,17.692116,1,-6.388701,0,4.478294
2019-03-26,sh.601615,13.9900,14.3400,13.7100,14.0900,13.9200,35555100,501547566.0000,12.886952,1,1.221265,0,4.532986
2019-03-27,sh.601615,14.2000,14.2500,13.7300,13.8200,14.0900,26648306,370935143.0000,9.658683,1,-1.916256,0,4.446122
2019-03-28,sh.601615,13.6800,13.6800,13.0000,13.0600,13.8200,37071272,494541324.0000,13.436489,1,-5.499271,0,4.201618
2019-03-29,sh.601615,13.1000,13.5800,12.7000,13.4400,13.0600,34669319,456390896.0000,12.565900,1,2.909641,0,4.323870
2019-04-01,sh.601615,13.5200,14.6100,13.4300,14.1000,13.4400,46394594,651834092.0000,16.815728,1,4.910720,0,4.536203
2019-04-02,sh.601615,14.1400,14.4000,14.0100,14.3500,14.1000,42400145,602599808.0000,15.367939,1,1.773050,0,4.616632
2019-04-03,sh.601615,14.2100,14.5500,14.1200,14.3000,14.3500,32427851,464483952.0000,11.753480,1,-0.348433,0,4.600546
2019-04-04,sh.601615,15.1800,15.1800,14.5100,14.5100,14.3000,53592088,793215428.0000,19.424461,1,1.468532,0,4.668107
2019-04-08,sh.601615,14.5000,14.8500,13.7000,13.9600,14.5100,42393297,605481866.0000,15.365457,1,-3.790491,0,4.491163
2019-04-09,sh.601615,13.7300,13.7800,13.4700,13.6200,13.9600,27456254,373418280.0000,9.951524,1,-2.435531,0,4.381779
2019-04-10,sh.601615,13.3900,13.7600,13.2900,13.4300,13.6200,21089804,285814413.0000,7.644003,1,-1.395004,0,4.320653
2019-04-11,sh.601615,13.5800,13.6100,12.8900,12.9100,13.4300,29181181,383916118.0000,10.576724,1,-3.871932,0,4.153360
2019-04-12,sh.601615,12.8300,13.0700,12.5100,12.7500,12.9100,24676740,315586014.0000,8.944088,1,-1.239348,0,4.101886
2019-04-15,sh.601615,12.9100,13.0800,12.7000,13.0400,12.7500,27312251,353268559.0000,9.899330,1,2.274509,0,4.195184
2019-04-16,sh.601615,12.9700,13.0600,12.5700,13.0500,13.0400,25363879,325176290.0000,9.193142,1,0.076689,0,4.198401
2019-04-17,sh.601615,13.0900,13.5500,13.0500,13.1700,13.0500,28342000,377246043.0000,10.272563,1,0.919539,0,4.237007
2019-04-18,sh.601615,13.1500,13.1500,12.7600,12.7800,13.1700,22603830,291331988.0000,8.192762,1,-2.961278,0,4.111537
2019-04-19,sh.601615,12.7900,12.9900,12.6000,12.8900,12.7800,18430970,235710039.0000,6.680308,1,0.860725,0,4.146926
2019-04-22,sh.601615,12.9400,13.3300,12.5800,13.0100,12.8900,31490638,408103514.0000,11.413787,1,0.930953,0,4.185532
2019-04-23,sh.601615,12.8900,13.1800,12.7100,12.8400,13.0100,23000151,297743704.0000,8.336408,1,-1.306688,0,4.130840
2019-04-24,sh.601615,12.7300,12.9800,12.6200,12.8700,12.8400,18337074,234754917.0000,6.646275,1,0.233643,0,4.140492
2019-04-25,sh.601615,13.4500,14.1600,13.4500,14.1600,12.8700,43808262,610245482.0000,15.878312,1,10.023310,0,4.555506
2019-04-26,sh.601615,14.1600,14.8500,13.9200,14.2800,14.1600,105383171,1528960931.0000,38.196148,1,0.847457,0,4.594112
2019-04-29,sh.601615,13.8200,14.0400,12.8500,12.8500,14.2800,55011291,732266105.0000,19.938851,1,-10.014000,0,3.096932
2019-04-30,sh.601615,12.2500,12.4400,11.6200,11.8700,12.8500,45478077,549183468.0000,16.483536,1,-7.626463,0,2.860746
2019-05-06,sh.601615,11.3400,11.3400,10.6800,10.6800,11.8700,28061297,306613433.0000,10.170822,1,-10.025270,0,2.573948
2019-05-07,sh.601615,10.7800,11.2900,10.7500,10.9600,10.6800,28046723,307196255.0000,10.165539,1,2.621720,0,2.641430
2019-05-08,sh.601615,10.5800,11.3400,10.4500,11.0400,10.9600,28783324,315750553.0000,10.432520,1,0.729926,0,2.660710
2019-05-09,sh.601615,10.8200,11.2500,10.8200,10.8500,11.0400,20837630,229610342.0000,7.552602,1,-1.721011,0,2.614919
2019-05-10,sh.601615,10.9600,11.1900,10.5100,11.1300,10.8500,34425408,379399569.0000,12.477495,1,2.580643,0,2.682401
2019-05-13,sh.601615,10.9900,11.2900,10.9100,11.2100,11.1300,25942035,288782862.0000,9.402695,1,0.718777,0,2.701681
2019-05-14,sh.601615,11.0100,11.1700,10.9300,10.9300,11.2100,20310458,224104854.0000,7.361529,1,-2.497767,0,2.634200
2019-05-15,sh.601615,11.0900,11.5000,11.0200,11.3400,10.9300,30655238,345575818.0000,11.110996,1,3.751142,0,2.733012
2019-05-16,sh.601615,11.3600,11.5900,11.1600,11.4300,11.3400,30011040,341631344.0000,10.877506,1,0.793652,0,2.754703
2019-05-17,sh.601615,11.3000,11.3900,10.5300,10.6700,11.4300,29133510,319867013.0000,10.559445,1,-6.649171,0,2.571538
2019-05-20,sh.601615,10.5500,10.7000,10.1100,10.4100,10.6700,18224227,188054786.0000,6.605374,1,-2.436741,0,2.508876
2019-05-21,sh.601615,10.3700,10.6400,10.3000,10.6200,10.4100,13923287,146800615.0000,5.046498,1,2.017292,0,2.559488
2019-05-22,sh.601615,10.6100,10.8900,10.4500,10.6300,10.6200,17882109,190524589.0000,6.481373,1,0.094164,0,2.561898
2019-05-23,sh.601615,10.5200,10.6100,10.2100,10.2400,10.6300,14885561,154682701.0000,5.395274,1,-3.668865,0,2.467905
2019-05-24,sh.601615,10.0300,10.9500,10.0200,10.6600,10.2400,26240561,275706279.0000,9.510896,1,4.101563,0,2.569128
2019-05-27,sh.601615,10.6500,10.8500,10.4000,10.8400,10.6600,25412124,270376696.0000,9.210628,1,1.688558,0,2.612509
2019-05-28,sh.601615,10.8000,10.9900,10.6000,10.6600,10.8400,21777957,235611519.0000,7.893424,1,-1.660519,0,2.569128
2019-05-29,sh.601615,10.5800,11.1000,10.5100,10.7800,10.6600,24030561,261583907.0000,8.709881,1,1.125703,0,2.598049
2019-05-30,sh.601615,10.7500,11.3500,10.4900,11.2400,10.7800,38211316,417992320.0000,13.849698,1,4.267162,0,2.708912
2019-05-31,sh.601615,11.7100,12.1600,11.5300,11.5500,11.2400,54732457,647797165.0000,19.837788,1,2.758011,0,2.783623
2019-06-03,sh.601615,11.4500,11.6000,10.8200,10.8400,11.5500,36115118,402994011.0000,13.089930,1,-6.147186,0,2.612509
2019-06-04,sh.601615,10.7000,10.7900,10.4000,10.5000,10.8400,22374964,235454977.0000,8.109809,1,-3.136533,0,2.530567
2019-06-05,sh.601615,10.6200,10.6700,10.3500,10.3700,10.5000,15208200,159487719.0000,5.512215,1,-1.238096,0,2.499236
2019-06-06,sh.601615,10.3000,10.4000,10.0300,10.0800,10.3700,14182072,144166732.0000,5.140294,1,-2.796528,0,2.429344
2019-06-10,sh.601615,10.1500,10.2900,10.1100,10.2300,10.0800,8477300,86517575.0000,3.072599,1,1.488091,0,2.465495
2019-06-11,sh.601615,10.3000,10.6400,10.2000,10.6200,10.2300,16464134,172148516.0000,5.967428,1,3.812320,0,2.559488
2019-06-12,sh.601615,10.6000,10.7300,10.4200,10.4400,10.6200,15489896,163520852.0000,5.614315,1,-1.694918,0,2.516106
2019-06-13,sh.601615,10.4700,10.7200,10.4400,10.6000,10.4400,13030800,137918802.0000,4.723016,1,1.532575,0,2.554667
2019-06-14,sh.601615,10.6500,10.6800,10.1800,10.2100,10.6000,14543228,151353415.0000,5.271195,1,-3.679248,0,2.460675
2019-06-17,sh.601615,10.2900,10.4100,10.2200,10.3800,10.2100,6829101,70465235.0000,2.475209,1,1.665035,0,2.501646
2019-06-18,sh.601615,10.3800,10.5500,10.2600,10.5000,10.3800,9565958,99812648.0000,3.467183,1,1.156068,0,2.530567
2019-06-19,sh.601615,11.0000,11.5500,10.7100,11.1000,10.5000,47853210,536698151.0000,17.344404,1,5.714290,0,2.675171
2019-06-20,sh.601615,10.8800,11.1800,10.7200,10.9700,11.1000,32765267,358172771.0000,11.875776,1,-1.171172,0,2.643840
2019-06-21,sh.601615,10.9500,11.4000,10.9500,11.2800,10.9700,30893049,347163545.0000,11.197191,1,2.825884,0,2.718552
2019-06-24,sh.601615,11.3600,11.3900,11.0800,11.1400,11.2800,14760108,164804051.0000,5.349804,1,-1.241129,0,2.684811
2019-06-25,sh.601615,11.0100,11.1200,10.7700,10.9200,11.1400,15309844,166954260.0000,5.549055,1,-1.974868,0,2.631789
2019-06-26,sh.601615,10.9000,11.0600,10.8300,10.9500,10.9200,10868958,119257267.0000,3.939456,1,0.274723,0,2.639020
2019-06-27,sh.601615,11.1200,11.3400,11.0900,11.0900,10.9500,16540859,185255885.0000,5.995237,1,1.278542,0,2.672761
2019-06-28,sh.601615,11.0800,11.2900,10.8000,10.8400,11.0900,14519548,159771722.0000,5.262613,1,-2.254283,0,2.612509
2019-07-01,sh.601615,11.1300,11.2400,11.0300,11.1800,10.8400,15828898,176553655.0000,5.737187,1,3.136533,0,2.694451
2019-07-02,sh.601615,11.1500,11.3900,11.1400,11.2400,11.1800,16865311,189626013.0000,6.112835,1,0.536668,0,2.708912
2019-07-03,sh.601615,11.2300,11.2900,11.1100,11.1900,11.2400,13152125,147455359.0000,4.766990,1,-0.444842,0,2.696861
2019-07-04,sh.601615,11.1900,11.2800,11.0200,11.0500,11.1900,11002598,122589844.0000,3.987893,1,-1.251112,0,2.663120
2019-07-05,sh.601615,11.1200,11.1600,10.9700,11.1300,11.0500,8419754,93461977.0000,3.051741,1,0.723981,0,2.682401
2019-07-08,sh.601615,11.1200,11.1200,10.4700,10.5100,11.1300,15384661,165117966.0000,5.576173,1,-5.570529,0,2.532977
2019-07-09,sh.601615,10.4700,10.9500,10.4700,10.7600,10.5100,11881105,127671905.0000,4.306308,1,2.378687,0,2.593228
2019-07-10,sh.601615,10.7400,10.8400,10.5500,10.6300,10.7600,8716228,93272090.0000,3.159198,1,-1.208179,0,2.561898
2019-07-11,sh.601615,10.6800,10.8200,10.4200,10.5000,10.6300,8297350,88001143.0000,3.007376,1,-1.222955,0,2.530567
2019-07-12,sh.601615,10.4900,10.5000,10.3100,10.4300,10.4400,6484596,67580646.0000,2.350343,1,-0.095779,0,2.513696
2019-07-15,sh.601615,10.4700,10.5600,10.2300,10.5500,10.4300,8859943,92367188.0000,3.211288,1,1.150526,0,2.542617
2019-07-16,sh.601615,10.5600,10.6200,10.4300,10.5700,10.5500,6581376,69334893.0000,2.385421,1,0.189569,0,2.547437
2019-07-17,sh.601615,10.5600,10.7200,10.4900,10.6700,10.5700,9201942,97841570.0000,3.335245,1,0.946077,0,2.571538
2019-07-18,sh.601615,10.5100,10.5700,10.3400,10.3700,10.6700,8076100,84291017.0000,2.927184,1,-2.811623,0,2.499236
