date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600016,9.0800,9.1600,9.0500,9.1100,9.0800,58352389,531505648.0000,0.197458,1,0.330394,0,1.017805
2017-01-04,sh.600016,9.1000,9.1200,9.0400,9.1100,9.1100,73120372,663889520.0000,0.247431,1,0.000000,0,1.017805
2017-01-05,sh.600016,9.1100,9.1200,9.0700,9.0800,9.1100,56243309,511452912.0000,0.190321,1,-0.329305,0,1.014453
2017-01-06,sh.600016,9.0800,9.0900,9.0100,9.0100,9.0800,55732553,503621296.0000,0.188593,1,-0.770922,0,1.006633
2017-01-09,sh.600016,9.0000,9.0400,8.9800,9.0200,9.0100,49114801,442818752.0000,0.166199,1,0.110990,0,1.007750
2017-01-10,sh.600016,9.0100,9.0500,9.0100,9.0300,9.0200,38946271,351732176.0000,0.131790,1,0.110857,0,1.008867
2017-01-11,sh.600016,9.0300,9.0500,8.9800,8.9900,9.0300,38822892,350048432.0000,0.131372,1,-0.442968,0,1.004398
2017-01-12,sh.600016,9.0000,9.0300,8.9800,9.0000,8.9900,22511184,202778273.0000,0.076175,1,0.111237,0,1.005515
2017-01-13,sh.600016,8.9900,9.1000,8.9800,9.0800,9.0000,59021403,534243616.0000,0.199722,1,0.888888,0,1.014453
2017-01-16,sh.600016,9.0700,9.2700,8.9700,9.2000,9.0800,196318555,1798612064.0000,0.664321,1,1.321585,0,1.027860
2017-01-17,sh.600016,9.1600,9.1900,9.1300,9.1500,9.2000,31710844,290563856.0000,0.107306,1,-0.543480,0,1.022274
2017-01-18,sh.600016,9.1700,9.2000,9.1300,9.1800,9.1500,23076975,211871129.0000,0.078090,1,0.327876,0,1.025626
2017-01-19,sh.600016,9.1500,9.2600,9.1400,9.1800,9.1800,24707934,227509736.0000,0.083609,1,0.000000,0,1.025626
2017-01-20,sh.600016,9.1800,9.2400,9.1500,9.2200,9.1800,27038313,248813297.0000,0.091495,1,0.435729,0,1.030095
2017-01-23,sh.600016,9.2400,9.2600,9.1900,9.2200,9.2200,23741568,218992125.0000,0.080339,1,0.000000,0,1.030095
2017-01-24,sh.600016,9.2200,9.2900,9.2100,9.2700,9.2200,27881995,258024163.0000,0.094350,1,0.542301,0,1.035681
2017-01-25,sh.600016,9.2400,9.2600,9.2000,9.2200,9.2700,16776054,154747457.0000,0.056768,1,-0.539376,0,1.030095
2017-01-26,sh.600016,9.2300,9.2900,9.2300,9.2500,9.2200,19569744,181256712.0000,0.066222,1,0.325377,0,1.033446
2017-02-03,sh.600016,9.2800,9.2800,9.1700,9.1700,9.2500,24803969,228389826.0000,0.083934,1,-0.864864,0,1.024508
2017-02-06,sh.600016,9.2100,9.2300,9.1500,9.1600,9.1700,42566220,391284368.0000,0.144039,1,-0.109054,0,1.023391
2017-02-07,sh.600016,9.1600,9.1900,9.1000,9.1400,9.1600,42115167,385290960.0000,0.142513,1,-0.218335,0,1.021157
2017-02-08,sh.600016,9.1100,9.1400,9.0600,9.1200,9.1400,39744917,361346736.0000,0.134493,1,-0.218823,0,1.018922
2017-02-09,sh.600016,9.1200,9.1500,9.0900,9.1200,9.1200,45953000,418873632.0000,0.155500,1,0.000000,0,1.018922
2017-02-10,sh.600016,9.1300,9.1400,9.0800,9.1100,9.1200,97265021,885695664.0000,0.329134,1,-0.109652,0,1.017805
2017-02-13,sh.600016,9.1200,9.1800,9.1000,9.1400,9.1100,102536449,937052256.0000,0.346972,1,0.329316,0,1.021157
2017-02-14,sh.600016,9.1400,9.1500,9.0800,9.1000,9.1400,64756099,589274960.0000,0.219128,1,-0.437636,0,1.016688
2017-02-15,sh.600016,9.1100,9.1800,9.0800,9.1500,9.1000,144318419,1318307664.0000,0.488358,1,0.549442,0,1.022274
2017-02-16,sh.600016,9.1400,9.1700,9.1000,9.1200,9.1500,95450196,869849744.0000,0.322993,1,-0.327866,0,1.018922
2017-02-17,sh.600016,9.1200,9.1400,9.0300,9.0300,9.1200,107446237,975385808.0000,0.363586,1,-0.986844,0,1.008867
2017-02-20,sh.600016,9.0400,9.1500,9.0300,9.1400,9.0300,157680614,1436019392.0000,0.533574,1,1.218168,0,1.021157
2017-02-21,sh.600016,9.1600,9.1900,9.1000,9.1300,9.1400,120469003,1100914720.0000,0.407654,1,-0.109412,0,1.020039
2017-02-22,sh.600016,9.1200,9.1200,9.0700,9.0900,9.1300,90558399,823358544.0000,0.306440,1,-0.438116,0,1.015571
2017-02-23,sh.600016,9.1000,9.1100,9.0700,9.0800,9.0900,56167373,510267984.0000,0.190064,1,-0.110014,0,1.014453
2017-02-24,sh.600016,9.0800,9.1000,9.0500,9.0700,9.0800,77910682,706880080.0000,0.263641,1,-0.110135,0,1.013336
2017-02-27,sh.600016,9.0700,9.0800,9.0200,9.0400,9.0700,80756890,729999856.0000,0.273273,1,-0.330758,0,1.009984
2017-02-28,sh.600016,9.0400,9.0600,9.0200,9.0300,9.0400,44034624,397968688.0000,0.149008,1,-0.110622,0,1.008867
2017-03-01,sh.600016,9.0500,9.0500,9.0200,9.0400,9.0300,68994871,623486880.0000,0.233471,1,0.110744,0,1.009984
2017-03-02,sh.600016,9.0400,9.0600,8.9500,8.9700,9.0400,115946009,1043224528.0000,0.392349,1,-0.774333,0,1.002164
2017-03-03,sh.600016,8.9600,8.9900,8.9300,8.9700,8.9700,61988854,554774656.0000,0.209764,1,0.000000,0,1.002164
2017-03-06,sh.600016,8.9600,8.9700,8.9400,8.9600,8.9700,59574979,533330384.0000,0.201595,1,-0.111485,0,1.001046
