date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002714,23.1500,23.7600,23.1500,23.3200,23.2800,8499602,200119707.0000,2.768149,1,0.171817,0,4.725482
2017-01-04,sz.002714,23.4000,23.7500,23.3400,23.7000,23.3200,6294416,148724941.0000,2.049964,1,1.629507,0,4.802484
2017-01-05,sz.002714,23.7600,23.8400,23.6000,23.6100,23.7000,4706547,111638692.0000,1.532827,1,-0.379748,0,4.784246
2017-01-06,sz.002714,23.6100,23.8500,23.4700,23.6700,23.6100,4913805,116121579.0000,1.600327,1,0.254127,0,4.796405
2017-01-09,sz.002714,23.6700,23.7500,23.3100,23.4500,23.6700,2955173,69496686.0000,0.962440,1,-0.929444,0,4.751825
2017-01-10,sz.002714,23.5600,23.8500,23.5000,23.8300,23.4500,5390298,127987948.0000,1.755511,1,1.620466,0,4.828826
2017-01-11,sz.002714,23.7800,23.8900,23.4800,23.5100,23.8300,4552849,107668217.0000,1.482771,1,-1.342844,0,4.763983
2017-01-12,sz.002714,23.5300,23.6000,23.3000,23.3200,23.5100,3848000,90334135.0000,1.253216,1,-0.808169,0,4.725482
2017-01-13,sz.002714,23.5500,23.6400,23.0800,23.1400,23.3200,3950039,92218100.0000,1.286448,1,-0.771871,0,4.689007
2017-01-16,sz.002714,23.1100,23.2600,22.5200,22.9000,23.1400,6020596,138773364.0000,1.960787,1,-1.037164,0,4.640375
2017-01-17,sz.002714,22.9100,23.1500,22.7100,23.0000,22.9000,3376160,77362848.0000,1.099547,1,0.436683,0,4.660638
2017-01-18,sz.002714,23.0000,23.5800,22.9400,23.3500,23.0000,5545722,129468033.0000,1.806130,1,1.521741,0,4.731561
2017-01-19,sz.002714,23.3600,23.6800,23.3000,23.5800,23.3500,4245895,100099446.0000,1.382802,1,0.985009,0,4.778167
2017-01-20,sz.002714,23.6200,23.9200,23.6200,23.8500,23.5800,4487101,106864427.0000,1.461358,1,1.145040,0,4.832879
2017-01-23,sz.002714,23.8400,23.9900,23.6300,23.7500,23.8500,4465586,106130487.0000,1.454351,1,-0.419289,0,4.812615
2017-01-24,sz.002714,23.8000,24.3100,23.7100,24.1800,23.7500,8457797,203056446.0000,2.754534,1,1.810528,0,4.899749
2017-01-25,sz.002714,24.0600,24.2600,23.9600,24.1300,24.1800,3268913,78881119.0000,1.064619,1,-0.206787,0,4.889617
2017-01-26,sz.002714,24.1900,24.2800,23.9600,23.9600,24.1300,3686088,88866468.0000,1.200485,1,-0.704518,0,4.855169
2017-02-03,sz.002714,23.9000,23.9000,23.5500,23.6000,23.9600,3524272,83375470.0000,1.147784,1,-1.502499,0,4.782220
2017-02-06,sz.002714,23.6000,24.2000,23.5500,23.7800,23.6000,4947381,118185624.0000,0.828689,1,0.762713,0,4.818695
2017-02-07,sz.002714,23.8500,24.0000,23.7000,23.9700,23.7800,4281670,102218484.0000,0.717182,1,0.798985,0,4.857195
2017-02-08,sz.002714,23.9500,23.9500,23.6800,23.8000,23.9700,4506111,107100958.0000,0.754776,1,-0.709220,0,4.822747
2017-02-09,sz.002714,23.8000,23.9300,23.7300,23.8600,23.8000,4079193,97227482.0000,0.683267,1,0.252107,0,4.834905
