date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2018-06-11,sz.300750,30.1700,36.2000,30.1700,36.2000,25.1400,78829,2845471.8000,0.036286,1,43.993640,0,3.128442
2018-06-12,sz.300750,39.8200,39.8200,39.8200,39.8200,36.2000,26579,1058375.7800,0.012235,1,9.999997,0,3.441286
2018-06-13,sz.300750,43.8000,43.8000,43.8000,43.8000,39.8200,45030,1972314.0000,0.020728,1,9.994976,0,3.785242
2018-06-14,sz.300750,48.1800,48.1800,48.1800,48.1800,43.8000,74267,3578184.0600,0.034186,1,10.000000,0,4.163766
2018-06-15,sz.300750,53.0000,53.0000,53.0000,53.0000,48.1800,256510,13595030.0000,0.118075,1,10.004150,0,4.580316
2018-06-19,sz.300750,58.3000,58.3000,58.3000,58.3000,53.0000,1117428,65146052.4000,0.514366,1,9.999999,0,5.038347
2018-06-20,sz.300750,64.1300,64.1300,64.1300,64.1300,58.3000,1310382,84034797.6600,0.603185,1,9.999996,0,5.542182
2018-06-21,sz.300750,70.5400,70.5400,70.5400,70.5400,64.1300,1231660,86881296.4000,0.566948,1,9.995328,0,6.096141
2018-06-22,sz.300750,72.0000,72.7100,63.4900,66.5500,70.5400,128170599,8599728955.5200,58.998525,1,-5.656362,0,5.751321
2018-06-25,sz.300750,68.2000,71.6000,67.2200,69.1900,66.5500,69981999,4868406844.0200,32.213587,1,3.966941,0,5.979473
2018-06-26,sz.300750,67.8900,75.5500,67.1000,74.1800,69.1900,62553547,4537098812.2500,28.794178,1,7.212021,0,6.410714
2018-06-27,sz.300750,74.2100,74.9300,71.7700,74.0900,74.1800,44138862,3241043472.7300,20.317669,1,-0.121332,0,6.402936
2018-06-28,sz.300750,73.3000,75.3900,67.4400,68.2100,74.0900,53080981,3770134240.6900,24.433838,1,-7.936291,0,5.894780
2018-06-29,sz.300750,68.6800,74.3000,67.7700,71.9600,68.2100,45698575,3231958793.3500,21.035624,1,5.497727,0,6.218859
2018-07-02,sz.300750,70.7900,71.4800,69.1100,70.0000,71.9600,32470182,2278646004.6800,14.946430,1,-2.723734,0,6.049474
2018-07-03,sz.300750,70.2000,71.1900,65.8500,69.2900,70.0000,33910064,2337186967.5600,15.609225,1,-1.014284,0,5.988115
2018-07-04,sz.300750,68.1500,68.1500,65.5000,65.9200,69.2900,26282197,1749919477.5500,12.098023,1,-4.863621,0,5.696876
2018-07-05,sz.300750,65.0000,71.8800,64.8800,68.8100,65.9200,34337783,2343510066.9600,15.806110,1,4.384101,0,5.946633
2018-07-06,sz.300750,68.8100,74.5000,68.7000,70.8800,68.8100,49213427,3511358606.6200,22.653554,1,3.008283,0,6.125524
2018-07-09,sz.300750,70.8000,71.5700,69.1100,71.5500,70.8800,31068979,2183986505.8800,14.301439,1,0.945268,0,6.183426
2018-07-10,sz.300750,75.0000,75.8900,71.6600,72.4000,71.5500,36484401,2666043239.8500,16.794225,1,1.187978,0,6.256884
2018-07-11,sz.300750,70.0000,78.9400,69.5800,77.0600,72.4000,49120805,3695050773.7400,22.610919,1,6.436458,0,6.659606
2018-07-12,sz.300750,76.0300,84.7700,75.6000,84.7700,77.0600,43085212,3430182907.1400,19.832660,1,10.005190,0,7.325913
2018-07-13,sz.300750,82.0000,88.4700,81.0300,82.7000,84.7700,48202055,4049051405.3000,22.188007,1,-2.441901,0,7.147021
2018-07-16,sz.300750,82.7000,84.7500,80.1000,83.9000,82.7000,29515196,2439742028.8000,13.586213,1,1.451033,0,7.250726
2018-07-17,sz.300750,83.1100,84.1700,79.6600,82.2800,83.9000,28615349,2336837084.7800,13.172002,1,-1.930873,0,7.110724
2018-07-18,sz.300750,82.2800,84.3700,80.1100,82.2800,82.2800,27113839,2233771784.9600,12.480838,1,0.000000,0,7.110724
2018-07-19,sz.300750,82.0000,85.1500,80.6700,82.8900,82.2800,25074483,2089886953.7600,11.542097,1,0.741372,0,7.163441
2018-07-20,sz.300750,82.5000,91.1800,82.0100,90.9300,82.8900,42695635,3750334637.7700,19.653333,1,9.699603,0,7.858266
2018-07-23,sz.300750,89.0000,90.5400,87.5500,88.6200,90.9300,25014352,2223986140.5700,11.514418,1,-2.540413,0,7.658634
