date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000001,9.1100,9.1800,9.0900,9.1600,9.1000,45984049,420595184.0000,0.314288,1,0.659335,0,0.882238
2017-01-04,sz.000001,9.1500,9.1800,9.1400,9.1600,9.1600,44932953,411503440.0000,0.307104,1,0.000000,0,0.882238
2017-01-05,sz.000001,9.1700,9.1800,9.1500,9.1700,9.1600,34437291,315769696.0000,0.235369,1,0.109173,0,0.883201
2017-01-06,sz.000001,9.1700,9.1700,9.1100,9.1300,9.1700,35815420,327176432.0000,0.244788,1,-0.436205,0,0.879349
2017-01-09,sz.000001,9.1300,9.1700,9.1100,9.1500,9.1300,36108157,329994608.0000,0.213431,1,0.219053,0,0.881275
2017-01-10,sz.000001,9.1500,9.1600,9.1400,9.1500,9.1500,24105395,220575131.0000,0.142484,1,0.000000,0,0.881275
2017-01-11,sz.000001,9.1400,9.1700,9.1300,9.1400,9.1500,30343089,277553200.0000,0.179354,1,-0.109282,0,0.880312
2017-01-12,sz.000001,9.1300,9.1700,9.1300,9.1500,9.1400,42800677,391869408.0000,0.252989,1,0.109401,0,0.881275
2017-01-13,sz.000001,9.1400,9.1900,9.1200,9.1600,9.1500,43430137,397601904.0000,0.256710,1,0.109292,0,0.882238
2017-01-16,sz.000001,9.1500,9.1600,9.0700,9.1400,9.1600,68316586,623025824.0000,0.403810,1,-0.218335,0,0.880312
2017-01-17,sz.000001,9.1200,9.1600,9.1000,9.1500,9.1400,54555237,498179696.0000,0.322469,1,0.109401,0,0.881275
2017-01-18,sz.000001,9.1400,9.1900,9.1300,9.1700,9.1500,57426939,526426592.0000,0.339443,1,0.218584,0,0.883201
2017-01-19,sz.000001,9.1500,9.2400,9.1500,9.1800,9.1700,43771286,402445632.0000,0.258726,1,0.109054,0,0.884164
2017-01-20,sz.000001,9.1700,9.2300,9.1700,9.2200,9.1800,39332857,361865152.0000,0.232491,1,0.435729,0,0.888017
2017-01-23,sz.000001,9.2200,9.2600,9.2000,9.2200,9.2200,42029931,388019072.0000,0.248433,1,0.000000,0,0.888017
2017-01-24,sz.000001,9.2300,9.2800,9.2000,9.2700,9.2200,47024408,434787728.0000,0.277955,1,0.542301,0,0.892832
2017-01-25,sz.000001,9.2700,9.2800,9.2500,9.2600,9.2700,30440196,281976288.0000,0.179928,1,-0.107877,0,0.891869
2017-01-26,sz.000001,9.2700,9.3400,9.2600,9.3300,9.2600,42071258,391844288.0000,0.248678,1,0.755936,0,0.898611
2017-02-03,sz.000001,9.3400,9.3600,9.2300,9.2600,9.3300,31547224,292617936.0000,0.186471,1,-0.750265,0,0.891869
2017-02-06,sz.000001,9.2600,9.3200,9.2600,9.3100,9.2600,51678611,480441328.0000,0.305465,1,0.539959,0,0.896685
2017-02-07,sz.000001,9.3100,9.3200,9.2700,9.3000,9.3100,39688497,368755280.0000,0.234593,1,-0.107414,0,0.895722
2017-02-08,sz.000001,9.2900,9.3000,9.2400,9.3000,9.3000,36027242,333975408.0000,0.212952,1,0.000000,0,0.895722
2017-02-09,sz.000001,9.3000,9.3300,9.2800,9.3100,9.3000,34285513,319201024.0000,0.202657,1,0.107529,0,0.896685
2017-02-10,sz.000001,9.3200,9.3600,9.3100,9.3300,9.3100,48274323,450701344.0000,0.285343,1,0.214817,0,0.898611
2017-02-13,sz.000001,9.3400,9.4400,9.3300,9.4100,9.3300,63836475,599951024.0000,0.377329,1,0.857448,0,0.906316
2017-02-14,sz.000001,9.4100,9.4200,9.3700,9.4000,9.4100,36240460,340318432.0000,0.214213,1,-0.106272,0,0.905353
2017-02-15,sz.000001,9.4000,9.5400,9.3900,9.4500,9.4000,75661306,716759648.0000,0.447224,1,0.531917,0,0.910169
2017-02-16,sz.000001,9.4500,9.5000,9.4200,9.4600,9.4500,41116113,388636224.0000,0.243032,1,0.105822,0,0.911132
2017-02-17,sz.000001,9.4600,9.4900,9.3700,9.3900,9.4600,42377497,400161792.0000,0.250488,1,-0.739954,0,0.904390
2017-02-20,sz.000001,9.4000,9.5800,9.4000,9.5600,9.3900,89875539,855710800.0000,0.531242,1,1.810437,0,0.920764
2017-02-21,sz.000001,9.5500,9.6200,9.5400,9.5700,9.5600,64658421,618761072.0000,0.382187,1,0.104595,0,0.921727
2017-02-22,sz.000001,9.5700,9.5700,9.5000,9.5700,9.5700,46296611,441528336.0000,0.273653,1,0.000000,0,0.921727
2017-02-23,sz.000001,9.5500,9.5700,9.4800,9.5100,9.5700,33532781,319293840.0000,0.198208,1,-0.626954,0,0.915948
2017-02-24,sz.000001,9.5000,9.5400,9.4800,9.5000,9.5100,33250014,316020784.0000,0.196536,1,-0.105155,0,0.914985
2017-02-27,sz.000001,9.5000,9.5000,9.4200,9.4300,9.5000,40734112,384781008.0000,0.240774,1,-0.736839,0,0.908243
2017-02-28,sz.000001,9.4300,9.5100,9.4200,9.4800,9.4300,36971970,350366896.0000,0.218536,1,0.530215,0,0.913058
2017-03-01,sz.000001,9.4900,9.5500,9.4700,9.4900,9.4800,34699373,330157968.0000,0.205103,1,0.105488,0,0.914022
2017-03-02,sz.000001,9.5100,9.5400,9.4200,9.4300,9.4900,40362870,382395888.0000,0.238580,1,-0.632239,0,0.908243
2017-03-03,sz.000001,9.4100,9.4300,9.3600,9.4000,9.4300,34265508,321952544.0000,0.202539,1,-0.318141,0,0.905353
2017-03-06,sz.000001,9.4000,9.4600,9.3900,9.4500,9.4000,40451138,381212304.0000,0.239101,1,0.531917,0,0.910169
2017-03-07,sz.000001,9.4400,9.4600,9.4000,9.4500,9.4500,29467282,277747408.0000,0.174177,1,0.000000,0,0.910169
2017-03-08,sz.000001,9.4300,9.4500,9.4000,9.4200,9.4500,24443839,230425150.0000,0.144484,1,-0.317458,0,0.907280
2017-03-09,sz.000001,9.4100,9.4300,9.3600,9.3800,9.4200,37816992,354813680.0000,0.223531,1,-0.424628,0,0.903427
2017-03-10,sz.000001,9.3800,9.4100,9.3600,9.4000,9.3800,39018225,366140048.0000,0.230632,1,0.213214,0,0.905353
2017-03-13,sz.000001,9.3900,9.4500,9.3700,9.4400,9.4000,54530444,513148480.0000,0.322322,1,0.425532,0,0.909206
2017-03-14,sz.000001,9.4300,9.4600,9.4100,9.4400,9.4400,40448435,381594064.0000,0.239085,1,0.000000,0,0.909206
2017-03-15,sz.000001,9.4200,9.4800,9.4200,9.4800,9.4400,54656086,515943744.0000,0.323065,1,0.423728,0,0.913058
2017-03-16,sz.000001,9.4800,9.5300,9.4500,9.5200,9.4800,63595381,603450064.0000,0.375904,1,0.421951,0,0.916911
2017-03-17,sz.000001,9.4500,9.4600,9.3000,9.3100,9.5200,158364708,1482736992.0000,0.936073,1,-2.205883,0,0.877282
2017-03-20,sz.000001,9.2900,9.3100,9.2200,9.2500,9.3100,71502177,661887008.0000,0.422640,1,-0.644473,0,0.871628
2017-03-21,sz.000001,9.2500,9.2600,9.2000,9.2400,9.2500,55464874,511914336.0000,0.327846,1,-0.108111,0,0.870686
