date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600703,13.3800,14.0900,13.2700,13.9500,13.3900,51189847,710354576.0000,1.266419,1,4.182221,0,3.394357
2017-01-04,sh.600703,13.9900,14.2700,13.7200,13.9200,13.9500,44036063,614600080.0000,1.089437,1,-0.215052,0,3.387057
2017-01-05,sh.600703,13.9000,14.2500,13.8000,14.1900,13.9200,30587647,429051568.0000,0.756728,1,1.939652,0,3.452754
2017-01-06,sh.600703,14.2500,14.3300,13.7400,13.7700,14.1900,25746959,360396592.0000,0.636971,1,-2.959825,0,3.350559
2017-01-09,sh.600703,13.6000,14.0400,13.6000,13.7900,13.7700,17179683,238616740.0000,0.425019,1,0.145240,0,3.355425
2017-01-10,sh.600703,13.8000,14.2500,13.8000,13.9000,13.7900,14252219,199169386.0000,0.352595,1,0.797677,0,3.382191
2017-01-11,sh.600703,13.9900,13.9900,13.4600,13.5000,13.9000,26489486,361182512.0000,0.655341,1,-2.877695,0,3.284861
2017-01-12,sh.600703,13.6100,13.8000,13.4500,13.6000,13.5000,12751880,174021987.0000,0.315477,1,0.740744,0,3.309194
2017-01-13,sh.600703,13.5900,13.8200,13.5300,13.7400,13.6000,15578206,212923888.0000,0.385399,1,1.029407,0,3.343259
2017-01-16,sh.600703,13.6300,14.0400,13.4300,14.0200,13.7400,44749176,611739920.0000,1.107079,1,2.037851,0,3.411389
2017-01-17,sh.600703,13.9000,14.0500,13.7700,13.9900,14.0200,19032810,264839703.0000,0.470865,1,-0.213985,0,3.404090
2017-01-18,sh.600703,14.0100,14.2700,13.8500,13.9700,13.9900,28319261,397700704.0000,0.700609,1,-0.142956,0,3.399223
2017-01-19,sh.600703,13.9100,14.5600,13.8400,14.4700,13.9700,36859501,528740960.0000,0.911891,1,3.579098,0,3.520885
2017-01-20,sh.600703,14.4700,14.7000,14.3500,14.3800,14.4700,20957004,303690944.0000,0.518469,1,-0.621978,0,3.498986
2017-01-23,sh.600703,14.3500,14.5500,14.2500,14.3300,14.3800,17387037,249296668.0000,0.430149,1,-0.347706,0,3.486820
2017-01-24,sh.600703,14.3300,14.5500,14.1700,14.1900,14.3300,15681279,225014430.0000,0.387949,1,-0.976974,0,3.452754
2017-01-25,sh.600703,14.2100,14.6400,14.0800,14.6000,14.1900,22850281,330257536.0000,0.565308,1,2.889364,0,3.552517
2017-01-26,sh.600703,14.5500,14.9300,14.4900,14.6900,14.6000,21820255,322207728.0000,0.539825,1,0.616433,0,3.574416
2017-02-03,sh.600703,14.6300,14.8000,14.3500,14.4400,14.6900,16081076,232935886.0000,0.394296,1,-1.701838,0,3.513585
2017-02-06,sh.600703,14.3600,14.7600,14.3600,14.5200,14.4400,11478352,167222500.0000,0.281441,1,0.554023,0,3.533051
2017-02-07,sh.600703,14.5000,14.5800,14.1700,14.2500,14.5200,17560628,251370551.0000,0.430574,1,-1.859507,0,3.467354
2017-02-08,sh.600703,14.2800,14.3600,14.0400,14.3300,14.2500,12722639,180689406.0000,0.311950,1,0.561403,0,3.486820
2017-02-09,sh.600703,14.3300,14.7500,14.3300,14.4500,14.3300,15728820,228799185.0000,0.385659,1,0.837403,0,3.516018
2017-02-10,sh.600703,14.4500,14.5300,14.2500,14.5100,14.4500,19126396,274576000.0000,0.468965,1,0.415228,0,3.530618
2017-02-13,sh.600703,14.4400,14.6100,14.4000,14.4700,14.5100,16208323,235071089.0000,0.397416,1,-0.275672,0,3.520885
2017-02-14,sh.600703,14.4800,14.6000,14.3500,14.5200,14.4700,11279911,163280119.0000,0.276575,1,0.345544,0,3.533051
2017-02-15,sh.600703,14.4800,14.7900,14.2500,14.3300,14.5200,25004806,363519760.0000,0.613100,1,-1.308544,0,3.486820
2017-02-16,sh.600703,14.3000,14.6000,14.2200,14.4300,14.3300,11797525,170088119.0000,0.289267,1,0.697839,0,3.511152
2017-02-17,sh.600703,14.4900,14.7500,14.4100,14.5400,14.4300,21060277,307378368.0000,0.516383,1,0.762298,0,3.537917
2017-02-20,sh.600703,14.7000,15.2800,14.7000,15.2700,14.5400,37828643,569521968.0000,0.927531,1,5.020637,0,3.715543
2017-02-21,sh.600703,15.2900,15.3500,15.0900,15.3000,15.2700,17413477,264963471.0000,0.426966,1,0.196462,0,3.722843
2017-02-22,sh.600703,15.3500,15.3800,15.1300,15.2600,15.3000,14122458,214966524.0000,0.346272,1,-0.261438,0,3.713110
2017-02-23,sh.600703,15.2200,15.3900,14.9500,15.1400,15.2600,16939058,256061254.0000,0.415333,1,-0.786369,0,3.683911
2017-02-24,sh.600703,15.1000,15.3000,14.9100,15.1300,15.1400,13452766,202866504.0000,0.329852,1,-0.066052,0,3.681478
2017-02-27,sh.600703,15.1800,15.3000,14.8600,14.9300,15.1300,16356086,246256526.0000,0.401039,1,-1.321876,0,3.632813
2017-02-28,sh.600703,14.8400,15.2300,14.8400,15.0200,14.9300,15473031,231915689.0000,0.379387,1,0.602814,0,3.654713
2017-03-01,sh.600703,15.0200,15.0500,14.7100,14.7800,15.0200,28288713,419004368.0000,0.693619,1,-1.597874,0,3.596315
2017-03-02,sh.600703,14.7900,14.8900,14.7400,14.8500,14.7800,10927474,161933539.0000,0.267934,1,0.473617,0,3.613348
2017-03-03,sh.600703,14.8500,15.2500,14.7100,15.1700,14.8500,16365507,245622385.0000,0.401270,1,2.154880,0,3.691211
2017-03-06,sh.600703,15.1800,15.3600,15.0800,15.2000,15.1700,13926532,211641956.0000,0.341468,1,0.197757,0,3.698511
2017-03-07,sh.600703,15.1900,15.3500,15.1000,15.2700,15.2000,11838260,180324490.0000,0.290265,1,0.460531,0,3.715543
2017-03-08,sh.600703,15.2700,15.3000,15.0700,15.1900,15.2700,10129775,153604425.0000,0.248375,1,-0.523909,0,3.696077
2017-03-09,sh.600703,15.1000,15.4500,14.9200,15.4200,15.1900,18657040,283551872.0000,0.457457,1,1.514157,0,3.752042
2017-03-10,sh.600703,15.3500,15.8200,15.3200,15.6300,15.4200,24424310,382789408.0000,0.598866,1,1.361868,0,3.803140
2017-03-13,sh.600703,15.6000,15.8400,15.4200,15.6900,15.6300,13822076,216638708.0000,0.338907,1,0.383874,0,3.817739
2017-03-14,sh.600703,15.7100,16.1800,15.4700,15.7700,15.6900,26259477,415878288.0000,0.643863,1,0.509884,0,3.837205
2017-03-15,sh.600703,15.6900,15.7700,15.4500,15.7300,15.7700,12964299,202095282.0000,0.317875,1,-0.253652,0,3.827472
2017-03-16,sh.600703,15.7400,16.0800,15.4600,15.6900,15.7300,22412515,351174864.0000,0.549538,1,-0.254291,0,3.817739
