date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002555,16.4900,16.7000,16.4900,16.6600,16.4000,3147440,52282915.0000,0.505463,1,1.585367,0,8.257684
2017-01-04,sz.002555,16.6700,17.1500,16.5400,17.0500,16.6600,5159266,87091177.0000,0.828552,1,2.340933,0,8.450992
2017-01-05,sz.002555,17.0500,17.1000,16.9200,17.0200,17.0500,3319763,56478651.0000,0.533137,1,-0.175946,0,8.436122
2017-01-06,sz.002555,17.0200,17.0900,16.7800,16.8800,17.0200,2457771,41450983.0000,0.394705,1,-0.822569,0,8.366730
2017-01-09,sz.002555,16.8800,16.9700,16.7100,16.8700,16.8800,1999306,33641854.0000,0.321078,1,-0.059232,0,8.361773
2017-01-10,sz.002555,16.9400,16.9400,16.7100,16.8400,16.8700,2560511,43108230.0000,0.411205,1,-0.177835,0,8.346903
2017-01-11,sz.002555,16.8000,16.8400,16.5000,16.5000,16.8400,2236623,37206995.0000,0.359190,1,-2.019003,0,8.178379
2017-01-12,sz.002555,16.4500,16.6800,16.4000,16.5700,16.5000,2613844,43363453.0000,0.419770,1,0.424241,0,8.213075
2017-01-13,sz.002555,16.5100,16.6300,16.2300,16.2500,16.5700,2318163,37923032.0000,0.372285,1,-1.931199,0,8.054464
2017-01-16,sz.002555,16.3000,16.3600,14.7000,15.9200,16.2500,4364442,69290592.0000,0.700907,1,-2.030769,0,7.890897
2017-01-17,sz.002555,15.8700,16.1000,15.6000,15.9700,15.9200,2815590,44801046.0000,0.452169,1,0.314072,0,7.915680
2017-01-18,sz.002555,15.8200,16.2600,15.8000,16.0400,15.9700,2320120,37409659.0000,0.372599,1,0.438326,0,7.950376
2017-01-19,sz.002555,16.0000,16.1700,15.9100,16.1300,16.0400,1737165,27924126.0000,0.278980,1,0.561086,0,7.994985
