date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600031,6.1000,6.2500,6.0900,6.2400,6.1000,18369538,113993086.0000,0.241904,1,2.295080,0,2.125270
2017-01-04,sh.600031,6.2300,6.3000,6.2100,6.3000,6.2400,19571754,122670200.0000,0.257736,1,0.961545,0,2.145706
2017-01-05,sh.600031,6.3000,6.7300,6.2900,6.5900,6.3000,75646437,496207552.0000,0.996170,1,4.603174,0,2.244476
2017-01-06,sh.600031,6.5700,6.6600,6.4900,6.5200,6.5900,24438279,159993854.0000,0.321822,1,-1.062218,0,2.220635
2017-01-09,sh.600031,6.5100,6.8200,6.4900,6.7400,6.5200,54897031,369076720.0000,0.722926,1,3.374230,0,2.295564
2017-01-10,sh.600031,6.7000,6.7500,6.6100,6.6500,6.7400,21715520,144689660.0000,0.285967,1,-1.335307,0,2.264911
2017-01-11,sh.600031,6.6100,6.6500,6.4800,6.4800,6.6500,23298443,152314308.0000,0.306812,1,-2.556392,0,2.207011
2017-01-12,sh.600031,6.4700,6.5600,6.4100,6.4300,6.4800,13840313,89730329.0000,0.182260,1,-0.771608,0,2.189982
2017-01-13,sh.600031,6.4300,6.5500,6.3500,6.5000,6.4300,21685514,140428383.0000,0.285571,1,1.088650,0,2.213823
2017-01-16,sh.600031,6.4800,6.6400,6.3000,6.5000,6.5000,69054421,449077552.0000,0.909361,1,0.000000,0,2.213823
2017-01-17,sh.600031,6.5300,6.6900,6.4900,6.6700,6.5000,38024932,251628091.0000,0.500741,1,2.615386,0,2.271723
2017-01-18,sh.600031,6.6600,6.7300,6.6000,6.6600,6.6700,22177521,147780106.0000,0.292051,1,-0.149928,0,2.268317
2017-01-19,sh.600031,6.6300,6.7000,6.5600,6.5900,6.6600,15833846,104756871.0000,0.208512,1,-1.051046,0,2.244476
2017-01-20,sh.600031,6.5800,6.6400,6.4800,6.6400,6.5900,16307083,107278972.0000,0.214744,1,0.758721,0,2.261506
2017-01-23,sh.600031,6.6500,6.9000,6.6500,6.7500,6.6400,44430034,301658000.0000,0.585089,1,1.656629,0,2.298970
2017-01-24,sh.600031,6.7500,6.8400,6.7100,6.8000,6.7500,34598574,235109265.0000,0.455620,1,0.740744,0,2.316000
2017-01-25,sh.600031,6.7800,6.9400,6.7400,6.7700,6.8000,30750021,210491801.0000,0.404940,1,-0.441180,0,2.305782
2017-01-26,sh.600031,6.7800,6.8900,6.7300,6.8800,6.7700,26097709,177813418.0000,0.343675,1,1.624817,0,2.343247
2017-02-03,sh.600031,6.8800,6.9500,6.7900,6.8800,6.8800,26995226,185337753.0000,0.355494,1,0.000000,0,2.343247
2017-02-06,sh.600031,6.8700,7.0000,6.8300,6.9600,6.8800,30681758,212958721.0000,0.404041,1,1.162790,0,2.370494
2017-02-07,sh.600031,6.9500,7.1800,6.9400,7.1700,6.9600,75322055,536179424.0000,0.991898,1,3.017242,0,2.442017
2017-02-08,sh.600031,7.1900,7.2000,7.0000,7.1400,7.1700,58463984,413725072.0000,0.769898,1,-0.418413,0,2.431800
2017-02-09,sh.600031,7.1100,7.2700,7.0800,7.2400,7.1400,70687349,507460784.0000,0.930865,1,1.400559,0,2.465859
2017-02-10,sh.600031,7.2500,7.6000,7.1900,7.3600,7.2400,109200863,806085440.0000,1.438040,1,1.657464,0,2.506729
2017-02-13,sh.600031,7.3400,7.4200,7.2600,7.3900,7.3600,69926319,513116336.0000,0.920843,1,0.407605,0,2.516947
2017-02-14,sh.600031,7.4200,7.5200,7.3500,7.4700,7.3900,56633055,420657600.0000,0.745787,1,1.082543,0,2.544194
2017-02-15,sh.600031,7.4500,7.4500,7.1800,7.2400,7.4700,80870521,588962240.0000,1.064965,1,-3.078983,0,2.465859
2017-02-16,sh.600031,7.2500,7.4500,7.2500,7.3000,7.2400,51658909,379098416.0000,0.680284,1,0.828735,0,2.486294
2017-02-17,sh.600031,7.2900,7.4100,7.2600,7.2900,7.3000,49770444,364418976.0000,0.655415,1,-0.136989,0,2.482888
2017-02-20,sh.600031,7.2600,7.4400,7.2500,7.3000,7.2900,75546323,555539552.0000,0.994852,1,0.137177,0,2.486294
2017-02-21,sh.600031,7.3300,7.4200,7.2100,7.3200,7.3000,70613212,515915584.0000,0.929889,1,0.273972,0,2.493106
2017-02-22,sh.600031,7.3500,7.5200,7.2500,7.4400,7.3200,90768941,673774464.0000,1.195315,1,1.639343,0,2.533976
2017-02-23,sh.600031,7.4700,7.5400,7.4000,7.4900,7.4400,66718386,497916976.0000,0.878599,1,0.672039,0,2.551006
2017-02-24,sh.600031,7.4700,7.5000,7.3300,7.4100,7.4900,45403559,334973984.0000,0.597909,1,-1.068090,0,2.523758
2017-02-27,sh.600031,7.4100,7.4400,7.2600,7.2700,7.4100,49537546,363721936.0000,0.652348,1,-1.889337,0,2.476076
2017-02-28,sh.600031,7.3100,7.3300,7.2500,7.3000,7.2700,27358500,199341837.0000,0.360278,1,0.412658,0,2.486294
2017-03-01,sh.600031,7.3000,7.3300,7.2200,7.3200,7.3000,48791227,354697920.0000,0.642520,1,0.273972,0,2.493106
2017-03-02,sh.600031,7.3000,7.3800,7.1500,7.2700,7.3200,57580764,418459168.0000,0.758267,1,-0.683063,0,2.476076
2017-03-03,sh.600031,7.2100,7.2200,7.0800,7.1100,7.2700,44759230,319009440.0000,0.589424,1,-2.200823,0,2.421582
2017-03-06,sh.600031,7.1400,7.2900,7.1400,7.2900,7.1100,61401481,443215776.0000,0.808582,1,2.531643,0,2.482888
2017-03-07,sh.600031,7.3000,7.4000,7.2500,7.3800,7.2900,48905879,358819872.0000,0.644030,1,1.234570,0,2.513541
2017-03-08,sh.600031,7.4200,7.5500,7.3800,7.4000,7.3800,68304121,510297056.0000,0.899481,1,0.271002,0,2.520353
2017-03-09,sh.600031,7.4000,7.4800,7.3000,7.3700,7.4000,31682477,233541101.0000,0.417219,1,-0.405408,0,2.510135
2017-03-10,sh.600031,7.4000,7.6100,7.4000,7.5000,7.3700,64564209,485370464.0000,0.850231,1,1.763909,0,2.554411
2017-03-13,sh.600031,7.5800,7.7500,7.5300,7.6600,7.5000,87744932,671845712.0000,1.155492,1,2.133331,0,2.608906
2017-03-14,sh.600031,7.6300,7.8400,7.6100,7.6700,7.6600,67787010,523642224.0000,0.892671,1,0.130551,0,2.612311
2017-03-15,sh.600031,7.7000,7.7000,7.5600,7.6000,7.6700,34938160,265812079.0000,0.460092,1,-0.912649,0,2.588470
2017-03-16,sh.600031,7.6000,7.6700,7.4000,7.4800,7.6000,85899208,642189376.0000,1.131186,1,-1.578946,0,2.547600
2017-03-17,sh.600031,7.4800,7.5300,7.4000,7.4800,7.4800,47899451,357209616.0000,0.630777,1,0.000000,0,2.547600
2017-03-20,sh.600031,7.4700,7.4800,7.3500,7.4200,7.4800,43672203,323310368.0000,0.575109,1,-0.802138,0,2.527164
2017-03-21,sh.600031,7.3900,7.4900,7.3800,7.4500,7.4200,37706971,280880240.0000,0.496554,1,0.404309,0,2.537382
2017-03-22,sh.600031,7.4100,7.6300,7.3800,7.5100,7.4500,74937747,564566080.0000,0.986837,1,0.805375,0,2.557817
2017-03-23,sh.600031,7.5100,7.5500,7.3700,7.4800,7.5100,68131145,507918704.0000,0.897203,1,-0.399470,0,2.547600
2017-03-24,sh.600031,7.5000,7.6200,7.4000,7.6100,7.4800,63503640,476334400.0000,0.836264,1,1.737969,0,2.591876
2017-03-27,sh.600031,7.6300,7.7400,7.5100,7.5300,7.6100,54057279,411071952.0000,0.711867,1,-1.051247,0,2.564629
2017-03-28,sh.600031,7.5100,7.5200,7.4100,7.4500,7.5300,30988480,231151965.0000,0.408080,1,-1.062422,0,2.537382
2017-03-29,sh.600031,7.4500,7.6100,7.4300,7.4900,7.4500,43128949,324224976.0000,0.567955,1,0.536912,0,2.551006
2017-03-30,sh.600031,7.4800,7.5300,7.2800,7.3100,7.4900,61896572,458725264.0000,0.815101,1,-2.403202,0,2.489700
2017-03-31,sh.600031,7.3100,7.3700,7.1600,7.2000,7.3100,42259367,306879872.0000,0.556503,1,-1.504790,0,2.452237
2017-04-05,sh.600031,7.6800,7.6800,7.3000,7.3500,7.2000,263711343,1960810384.0000,3.472750,1,2.083335,0,2.503325
2017-04-06,sh.600031,7.3400,7.4200,7.2100,7.3300,7.3500,89649889,653979456.0000,1.180577,1,-0.272109,0,2.496513
2017-04-07,sh.600031,7.3200,7.3600,7.2100,7.2500,7.3300,61464615,446606624.0000,0.809412,1,-1.091404,0,2.469266
2017-04-10,sh.600031,7.2600,7.3300,7.2200,7.2600,7.2500,44454283,322988544.0000,0.585407,1,0.137934,0,2.472672
2017-04-11,sh.600031,7.2900,7.4000,7.2100,7.3400,7.2600,90436454,659622880.0000,1.190935,1,1.101927,0,2.499919
2017-04-12,sh.600031,7.2800,7.2800,7.0600,7.0900,7.3400,86425951,618806944.0000,1.138122,1,-3.405995,0,2.414772
2017-04-13,sh.600031,7.0600,7.1200,7.0400,7.0700,7.0900,30834317,217865305.0000,0.406050,1,-0.282087,0,2.407960
2017-04-14,sh.600031,7.0600,7.1300,6.8900,6.9100,7.0700,47433828,332343904.0000,0.624644,1,-2.263088,0,2.353466
2017-04-17,sh.600031,6.9000,6.9100,6.7200,6.8100,6.9100,55434244,376555344.0000,0.730000,1,-1.447177,0,2.319407
