date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600009,26.5500,26.7800,26.4000,26.6500,26.5200,3486243,92910016.0000,0.318822,1,0.490193,0,2.377942
2017-01-04,sh.600009,26.6900,26.8500,26.6300,26.7900,26.6500,5534021,148157228.0000,0.506094,1,0.525333,0,2.390434
2017-01-05,sh.600009,26.8600,26.9600,26.7800,26.8300,26.7900,5135146,138031092.0000,0.469617,1,0.149306,0,2.394004
2017-01-06,sh.600009,26.8100,26.9500,26.8100,26.9000,26.8300,4241979,114077175.0000,0.387935,1,0.260901,0,2.400250
2017-01-09,sh.600009,26.9000,27.0000,26.8100,26.8900,26.9000,4849690,130555208.0000,0.443511,1,-0.037176,0,2.399357
2017-01-10,sh.600009,26.9000,27.1000,26.7900,26.9200,26.8900,3763613,101341276.0000,0.344188,1,0.111568,0,2.402034
2017-01-11,sh.600009,26.9000,26.9900,26.7000,26.7500,26.9200,4193486,112556096.0000,0.383500,1,-0.631501,0,2.386865
2017-01-12,sh.600009,26.8000,26.9100,26.6800,26.7700,26.7500,4942373,132389278.0000,0.451987,1,0.074768,0,2.388650
2017-01-13,sh.600009,26.7700,26.9800,26.5000,26.7500,26.7700,6134977,164082978.0000,0.561053,1,-0.074712,0,2.386865
2017-01-16,sh.600009,26.6500,26.9600,26.4500,26.7800,26.7500,20359311,544940192.0000,1.861888,1,0.112152,0,2.389542
2017-01-17,sh.600009,26.7900,26.8300,26.6300,26.7600,26.7800,5677503,151650700.0000,0.519216,1,-0.074684,0,2.387758
2017-01-18,sh.600009,26.8000,27.0000,26.7700,26.9000,26.7600,6746788,181407205.0000,0.617004,1,0.523167,0,2.400250
2017-01-19,sh.600009,26.9600,27.1000,26.9000,27.0000,26.9000,5701892,153955583.0000,0.521446,1,0.371749,0,2.409172
2017-01-20,sh.600009,26.9600,27.2400,26.9500,27.1600,27.0000,4084652,110916588.0000,0.373547,1,0.592592,0,2.423449
2017-01-23,sh.600009,27.1600,27.2500,27.0300,27.1700,27.1600,4240045,115242484.0000,0.387758,1,0.036820,0,2.424341
2017-01-24,sh.600009,27.1600,27.2100,27.0500,27.1700,27.1700,1894465,51462292.0000,0.173252,1,0.000000,0,2.424341
2017-01-25,sh.600009,27.2000,27.5200,27.1700,27.4900,27.1700,5438354,149097209.0000,0.497345,1,1.177768,0,2.452894
2017-01-26,sh.600009,27.4200,27.6000,27.3400,27.5000,27.4900,2685821,73933940.0000,0.245622,1,0.036378,0,2.453787
2017-02-03,sh.600009,27.5800,27.6700,27.4300,27.6300,27.5000,3167560,87376407.0000,0.289678,1,0.472724,0,2.465386
2017-02-06,sh.600009,27.6000,27.7600,27.5700,27.6800,27.6300,3151898,87284261.0000,0.288246,1,0.180967,0,2.469848
2017-02-07,sh.600009,27.7200,27.8000,27.3100,27.4900,27.6800,5161174,141871479.0000,0.471997,1,-0.686418,0,2.452894
2017-02-08,sh.600009,27.6000,27.7000,27.3700,27.6200,27.4900,2658498,73280192.0000,0.243123,1,0.472903,0,2.464494
