date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600183,11.0200,11.1300,10.8800,10.9700,11.0000,13301820,146306242.0000,0.925309,1,-0.272725,0,3.312546
2017-01-04,sh.600183,11.0500,12.0700,11.0500,12.0700,10.9700,45688167,538037488.0000,3.178188,1,10.027340,0,3.644707
2017-01-05,sh.600183,12.1900,12.1900,11.8100,11.9500,12.0700,48856251,585469232.0000,3.398568,1,-0.994200,0,3.608471
2017-01-06,sh.600183,11.8500,11.9300,11.6300,11.7400,11.9500,25072240,295060752.0000,1.744090,1,-1.757322,0,3.545058
2017-01-09,sh.600183,11.6200,11.8700,11.6200,11.7400,11.7400,22845962,267978190.0000,1.589225,1,0.000000,0,3.545058
2017-01-10,sh.600183,11.7400,11.7900,11.4600,11.5600,11.7400,17724993,206285183.0000,1.232997,1,-1.533214,0,3.490705
2017-01-11,sh.600183,11.5500,11.6300,11.2300,11.3900,11.5600,21837902,249362549.0000,1.519101,1,-1.470589,0,3.439371
2017-01-12,sh.600183,11.3300,11.4400,11.1000,11.2700,11.3900,15507472,175149238.0000,1.078740,1,-1.053555,0,3.403135
2017-01-13,sh.600183,11.2800,11.5600,11.2400,11.3400,11.2700,16356234,186280221.0000,1.134963,1,0.621115,0,3.432779
2017-01-16,sh.600183,11.3000,11.4000,10.2100,10.7900,11.3400,22064606,238494260.0000,1.531068,1,-4.850090,0,3.266286
2017-01-17,sh.600183,10.6900,10.9800,10.5000,10.8900,10.7900,11655032,125315935.0000,0.808745,1,0.926788,0,3.296558
2017-01-18,sh.600183,11.0000,11.2600,10.9800,11.0200,10.8900,12935733,143713169.0000,0.897614,1,1.193757,0,3.335911
2017-01-19,sh.600183,10.9900,11.1600,10.8800,10.9000,11.0200,9076982,100024666.0000,0.629854,1,-1.088937,0,3.299585
2017-01-20,sh.600183,10.8800,11.3300,10.8800,11.2500,10.9000,13889904,155210872.0000,0.963824,1,3.211013,0,3.405535
