date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-12-13,sz.002916,23.1600,27.7900,23.1600,27.7900,19.3000,29866,822337.1400,0.042666,1,,0,4.344763
2017-12-14,sz.002916,30.5700,30.5700,30.5700,30.5700,27.7900,14602,446383.1400,0.020860,1,,0,4.779395
2017-12-15,sz.002916,33.6300,33.6300,33.6300,33.6300,30.5700,24885,836882.5500,0.035550,1,,0,5.257804
2017-12-18,sz.002916,36.9900,36.9900,36.9900,36.9900,33.6300,32395,1198291.0500,0.046279,1,,0,5.783115
2017-12-19,sz.002916,40.6900,40.6900,40.6900,40.6900,36.9900,99222,4037343.1800,0.141746,1,,0,6.361583
2017-12-20,sz.002916,44.7600,44.7600,44.7600,44.7600,40.6900,130822,5855592.7200,0.186889,1,,0,6.997898
2017-12-21,sz.002916,49.2400,49.2400,49.2400,49.2400,44.7600,305646,15050009.0400,0.436637,1,,0,7.698313
2017-12-22,sz.002916,54.1600,54.1600,54.1600,54.1600,49.2400,431387,23363919.9200,0.616267,1,,0,8.467519
2017-12-25,sz.002916,59.5800,59.5800,59.5800,59.5800,54.1600,501199,29861436.4200,0.715999,1,,0,9.314896
2017-12-26,sz.002916,65.5400,65.5400,65.5400,65.5400,59.5800,427280,28003931.2000,0.610400,1,,0,10.246698
2017-12-27,sz.002916,72.0900,72.0900,72.0900,72.0900,65.5400,516917,37264546.5300,0.738453,1,,0,11.270742
2017-12-28,sz.002916,79.3000,79.3000,79.3000,79.3000,72.0900,2982907,236544525.1000,4.261296,1,,0,12.397973
2017-12-29,sz.002916,87.0000,87.2300,83.6000,87.2300,79.3000,44805613,3872659607.2500,64.008019,1,,0,13.637770
2018-01-02,sz.002916,87.2300,87.2300,87.2300,87.2300,87.2300,0,0.0000,,0,0.000000,0,13.637770
2018-01-03,sz.002916,87.2300,87.2300,87.2300,87.2300,87.2300,0,0.0000,,0,0.000000,0,13.637770
2018-01-04,sz.002916,87.2300,95.9500,86.1100,95.9500,87.2300,27274110,2536362341.7800,38.963014,1,9.996552,0,15.001078
2018-01-05,sz.002916,101.5000,103.5000,92.6100,92.8000,95.9500,32529340,3152738004.6800,46.470486,1,-3.282954,0,14.508599
2018-01-08,sz.002916,95.9400,102.0000,94.0800,99.0000,92.8000,27813970,2706073962.1500,39.734243,1,6.681031,0,15.477923
2018-01-09,sz.002916,96.6100,97.4400,92.0600,92.2400,99.0000,22943895,2160253669.3300,32.776993,1,-6.828285,0,14.421047
2018-01-10,sz.002916,90.0800,97.8500,90.0200,95.0000,92.2400,22434182,2126405964.7500,32.048831,1,2.992197,0,14.852553
2018-01-11,sz.002916,93.5400,102.5000,93.0000,96.1000,95.0000,26530546,2586440766.5400,37.900780,1,1.157893,0,15.024530
2018-01-12,sz.002916,95.0000,100.0000,94.0400,94.0400,96.1000,21183371,2052320430.9600,30.261959,1,-2.143598,0,14.702464
2018-01-15,sz.002916,95.3000,96.8800,84.6400,84.7100,94.0400,26354980,2385099344.0900,37.649971,1,-9.921311,0,13.243787
2018-01-16,sz.002916,82.0000,84.5000,80.3500,82.1500,84.7100,19495805,1602897274.1800,27.851150,1,-3.022073,0,12.843550
2018-01-17,sz.002916,83.0000,86.6800,81.1100,83.8000,82.1500,17334683,1455976167.2300,24.763833,1,2.008523,0,13.101515
2018-01-18,sz.002916,82.0000,82.7300,79.8000,79.9100,83.8000,14981758,1213874214.1500,21.402511,1,-4.642004,0,12.493342
2018-01-19,sz.002916,80.9700,83.3500,80.0100,81.3800,79.9100,13310938,1084904245.1400,19.015626,1,1.839561,0,12.723166
2018-01-22,sz.002916,78.8000,78.9700,73.2400,73.4000,81.3800,17952857,1345809568.7500,25.646939,1,-9.805844,0,11.475551
2018-01-23,sz.002916,73.4500,80.7000,72.3200,79.5500,73.4000,20172740,1541526239.2400,28.818200,1,8.378749,0,12.437059
2018-01-24,sz.002916,77.8000,82.8000,77.8000,79.5900,79.5500,16932150,1355822500.4200,24.188786,1,0.050274,0,12.443312
2018-01-25,sz.002916,78.7100,84.5000,78.2300,79.7500,79.5900,15853668,1299569612.9400,22.648097,1,0.201035,0,12.468327
2018-01-26,sz.002916,79.8400,82.0000,78.8000,80.1000,79.7500,9478596,761298311.6900,13.540851,1,0.438870,0,12.523047
2018-01-29,sz.002916,81.2000,83.6000,80.5000,81.3300,80.1000,11591864,949732087.6600,16.559806,1,1.535585,0,12.715349
2018-01-30,sz.002916,80.0800,80.0900,74.9000,76.7900,81.3300,13517132,1044092284.4000,19.310189,1,-5.582197,0,12.005553
2018-01-31,sz.002916,76.0000,76.3600,69.1100,69.3000,76.7900,15495948,1107911920.4700,22.137069,1,-9.753871,0,10.834546
2018-02-01,sz.002916,69.9000,71.4500,67.9000,69.7500,69.3000,10272231,719788091.1100,14.674616,1,0.649346,0,10.904901
2018-02-02,sz.002916,68.0500,70.3100,66.5100,67.8200,69.7500,8318225,569640998.6600,11.883179,1,-2.767025,0,10.603159
2018-02-05,sz.002916,64.9300,68.1500,64.5100,65.3000,67.8200,7751011,512581746.7400,11.072873,1,-3.715713,0,10.209176
2018-02-06,sz.002916,63.0100,65.9200,61.0700,61.0700,65.3000,9433245,599993096.7800,13.476064,1,-6.477799,0,9.547846
2018-02-07,sz.002916,63.5000,66.0000,58.5800,64.1900,61.0700,12766493,800274031.5100,18.237847,1,5.108896,0,10.035635
2018-02-08,sz.002916,63.2000,66.6600,63.1300,65.5700,64.1900,10833376,706591025.9600,15.476251,1,2.149863,0,10.251388
2018-02-09,sz.002916,62.9800,65.8500,61.2600,63.2800,65.5700,10217529,652218458.5800,14.596470,1,-3.492452,0,9.893364
2018-02-12,sz.002916,64.0700,66.1300,64.0700,64.5300,63.2800,10087054,656409799.8200,14.410077,1,1.975348,0,10.088792
2018-02-13,sz.002916,65.0500,65.2700,61.1500,61.2000,64.5300,9842696,620309155.2400,14.060994,1,-5.160388,0,9.568171
2018-02-14,sz.002916,61.5500,62.6900,60.7200,61.0000,61.2000,5994707,369830884.2900,8.563867,1,-0.326799,0,9.536902
2018-02-22,sz.002916,61.8000,63.5800,60.6100,63.3600,61.0000,7470919,468127082.6300,10.672741,1,3.868853,0,9.905871
2018-02-23,sz.002916,63.4800,69.7000,63.0000,69.7000,63.3600,12182674,799319790.9300,17.403820,1,10.006310,0,10.897083
2018-02-26,sz.002916,72.0000,73.9700,70.6000,73.1500,69.7000,17381708,1258228573.4300,24.831011,1,4.949792,0,11.436466
2018-02-27,sz.002916,74.9900,76.5000,72.5800,72.7000,73.1500,15913126,1179286770.8500,22.733037,1,-0.615181,0,11.366111
2018-02-28,sz.002916,70.9600,73.8400,70.5100,71.0000,72.7000,11457226,824774816.6100,16.367466,1,-2.338373,0,11.100329
2018-03-01,sz.002916,70.0000,74.4800,69.9000,73.3100,71.0000,11683494,847134433.7300,16.690706,1,3.253518,0,11.461480
2018-03-02,sz.002916,72.3000,73.5000,70.5000,70.7500,73.3100,9869278,707055021.3800,14.098969,1,-3.492017,0,11.061243
2018-03-05,sz.002916,71.9700,77.8300,71.5600,77.8300,70.7500,18050413,1360745722.5500,25.786304,1,10.007070,0,12.168149
2018-03-06,sz.002916,80.0500,80.9300,76.5000,77.2300,77.8300,18588452,1466227007.1700,26.554931,1,-0.770909,0,12.074344
2018-03-07,sz.002916,76.5200,80.4800,75.7100,78.1100,77.2300,14386978,1130412789.0200,20.552826,1,1.139450,0,12.211925
2018-03-08,sz.002916,78.2100,79.5800,77.3300,79.1900,78.1100,11450572,899604440.7000,16.357960,1,1.382668,0,12.380775
2018-03-09,sz.002916,79.2700,82.7000,78.5300,80.9000,79.1900,15123569,1217710704.9000,21.605099,1,2.159362,0,12.648121
2018-03-12,sz.002916,82.0000,83.9800,80.2000,81.5000,80.9000,14730554,1205974692.6600,21.043649,1,0.741654,0,12.741927
2018-03-13,sz.002916,79.4700,79.4700,75.6300,75.7200,81.5000,15708874,1218663892.7600,22.441249,1,-7.092023,0,6.692889
2018-03-14,sz.002916,75.6000,76.4600,74.4200,74.5500,75.7200,8087806,611323621.5100,11.554009,1,-1.545164,0,6.589473
2018-03-15,sz.002916,73.5000,74.4600,70.7000,74.0700,74.5500,10683161,778723443.0400,15.261659,1,-0.643868,0,6.547046
2018-03-16,sz.002916,73.9600,75.4000,72.8700,72.8800,74.0700,6564862,487034925.8700,9.378374,1,-1.606592,0,6.441862
2018-03-19,sz.002916,72.6000,76.5500,72.3600,75.1500,72.8800,9485905,712357914.8700,13.551293,1,3.114715,0,6.642507
2018-03-20,sz.002916,73.9000,76.4800,73.5300,76.4300,75.1500,8666456,655799131.4500,12.380651,1,1.703258,0,6.755646
2018-03-21,sz.002916,77.0400,79.3800,72.4400,73.2200,76.4300,11410484,872666656.9000,16.300691,1,-4.199920,0,6.471914
2018-03-22,sz.002916,73.2900,74.5500,72.0500,73.4100,73.2200,7259595,532504458.6400,10.370850,1,0.259495,0,6.488708
2018-03-23,sz.002916,69.7700,70.9600,66.0700,66.0700,73.4100,11379781,774659912.0200,16.256830,1,-9.998643,0,5.839926
2018-03-26,sz.002916,65.7000,69.4600,65.0100,69.2000,66.0700,8762898,593796630.1300,12.518426,1,4.737395,0,6.116587
2018-03-27,sz.002916,70.1800,73.3600,69.2000,71.9300,69.2000,9955554,711223861.5000,14.222220,1,3.945092,0,6.357891
2018-03-28,sz.002916,70.0800,71.4900,69.8300,70.1000,71.9300,6323889,447159847.6400,9.034127,1,-2.544143,0,6.196138
2018-03-29,sz.002916,70.9100,73.3600,70.6600,71.1500,70.1000,6620430,475577696.3100,9.457757,1,1.497865,0,6.288947
2018-03-30,sz.002916,72.1000,78.2700,72.1000,78.2700,71.1500,15515656,1184308823.7600,22.165223,1,10.007020,0,6.918284
2018-04-02,sz.002916,81.6900,86.1000,80.1000,83.5200,78.2700,26641459,2245848478.1800,38.059227,1,6.707551,0,7.382331
2018-04-03,sz.002916,82.2000,89.9400,82.1500,86.6500,83.5200,25566479,2181911247.0100,36.523541,1,3.747612,0,7.658992
2018-04-04,sz.002916,86.8800,86.8800,81.2100,82.2300,86.6500,15358092,1288158933.3900,21.940131,1,-5.100979,0,7.268308
2018-04-09,sz.002916,82.7000,85.5300,81.6000,83.8200,82.2300,12184172,1023241743.4600,17.405960,1,1.933596,0,7.408848
2018-04-10,sz.002916,82.9200,82.9200,78.2500,81.1800,83.8200,12801224,1025565372.3800,18.287463,1,-3.149606,0,7.175499
