date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000895,20.9800,21.0800,20.8500,21.0400,20.9300,6098785,127791856.0000,0.184866,1,0.525564,0,5.316056
2017-01-04,sz.000895,21.0300,21.0900,20.9000,20.9800,21.0400,7049278,147783137.0000,0.213678,1,-0.285178,0,5.300896
2017-01-05,sz.000895,21.0200,21.0500,20.8300,20.8500,20.9800,4636257,97086340.0000,0.140534,1,-0.619634,0,5.268049
2017-01-06,sz.000895,20.8500,20.9800,20.5100,20.5800,20.8500,7311027,151322759.0000,0.221612,1,-1.294966,0,5.199830
2017-01-09,sz.000895,20.5500,20.6700,20.5100,20.6100,20.5800,3975292,81962659.0000,0.120499,1,0.145776,0,5.207410
2017-01-10,sz.000895,20.6000,20.8700,20.6000,20.8700,20.6100,7156918,148932180.0000,0.216940,1,1.261525,0,5.273103
2017-01-11,sz.000895,20.8900,20.9400,20.7700,20.7700,20.8700,5835627,121613199.0000,0.176890,1,-0.479158,0,5.247836
2017-01-12,sz.000895,20.7500,20.8300,20.5000,20.5600,20.7700,5033385,103929061.0000,0.152572,1,-1.011078,0,5.194777
2017-01-13,sz.000895,20.6000,20.6500,20.2400,20.2800,20.5600,6767142,137843439.0000,0.205126,1,-1.361862,0,5.124031
2017-01-16,sz.000895,20.3100,20.3400,20.0000,20.2100,20.2800,5285451,106537121.0000,0.160213,1,-0.345176,0,5.106344
2017-01-17,sz.000895,20.0100,20.4300,20.0100,20.3700,20.2100,4322467,87611727.0000,0.131023,1,0.791696,0,5.146771
2017-01-18,sz.000895,20.3700,21.0000,20.2500,20.9900,20.3700,12035651,249841027.0000,0.364825,1,3.043686,0,5.303422
2017-01-19,sz.000895,20.9900,21.0200,20.8000,20.9000,20.9900,5195614,108695266.0000,0.157489,1,-0.428776,0,5.280683
2017-01-20,sz.000895,20.8600,21.1700,20.8200,21.1000,20.9000,6319354,133204111.0000,0.191552,1,0.956942,0,5.331216
2017-01-23,sz.000895,21.0800,21.3200,21.0600,21.2500,21.1000,8251301,175146222.0000,0.250113,1,0.710899,0,5.369115
2017-01-24,sz.000895,21.1100,21.6500,21.1100,21.6400,21.2500,11089834,237814939.0000,0.336155,1,1.835291,0,5.467654
2017-01-25,sz.000895,21.6100,21.8000,21.4500,21.6200,21.6400,5470634,118311040.0000,0.165826,1,-0.092415,0,5.462601
2017-01-26,sz.000895,21.6300,21.7500,21.3700,21.4000,21.6200,9556023,206432509.0000,0.289662,1,-1.017582,0,5.407015
2017-02-03,sz.000895,21.3900,21.3900,21.1700,21.1900,21.4000,3598027,76459058.0000,0.109063,1,-0.981304,0,5.353955
2017-02-06,sz.000895,21.2000,21.4300,21.1600,21.2000,21.1900,4919241,104630469.0000,0.149112,1,0.047193,0,5.356482
2017-02-07,sz.000895,21.2800,21.3500,21.1700,21.2500,21.2000,3865613,82106471.0000,0.117174,1,0.235845,0,5.369115
2017-02-08,sz.000895,21.2800,21.3500,21.1500,21.3300,21.2500,4239667,90112733.0000,0.128513,1,0.376470,0,5.389328
2017-02-09,sz.000895,21.3300,21.5500,21.1200,21.2400,21.3300,6509710,138504795.0000,0.197322,1,-0.421942,0,5.366589
2017-02-10,sz.000895,21.2100,21.4000,21.2000,21.2900,21.2400,4479518,95481422.0000,0.135783,1,0.235410,0,5.379222
2017-02-13,sz.000895,21.2900,21.6800,21.2400,21.5300,21.2900,7776082,167251113.0000,0.235709,1,1.127289,0,5.439861
2017-02-14,sz.000895,21.5300,21.7500,21.5100,21.6800,21.5300,9538505,206265867.0000,0.289131,1,0.696700,0,5.477761
2017-02-15,sz.000895,21.6900,21.8300,21.4500,21.4900,21.6800,8481414,183853536.0000,0.257089,1,-0.876386,0,5.429755
2017-02-16,sz.000895,21.4000,21.5200,21.3300,21.5000,21.4900,5029346,107760878.0000,0.152450,1,0.046534,0,5.432281
2017-02-17,sz.000895,21.6500,21.6500,21.4300,21.5100,21.5000,5347843,115169130.0000,0.162104,1,0.046513,0,5.434808
2017-02-20,sz.000895,21.5000,22.1800,21.4800,22.0000,21.5100,15239036,332852016.0000,0.461926,1,2.278009,0,5.558613
2017-02-21,sz.000895,21.9300,22.0100,21.8000,21.9600,22.0000,8958093,196316176.0000,0.271538,1,-0.181822,0,5.548507
2017-02-22,sz.000895,21.9300,22.0200,21.8500,21.9600,21.9600,6262492,137533386.0000,0.189829,1,0.000000,0,5.548507
2017-02-23,sz.000895,21.9700,22.1200,21.7800,22.0600,21.9600,7853509,172410737.0000,0.238056,1,0.455375,0,5.573773
