date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002405,19.4200,19.7700,19.3800,19.5600,19.3500,10862777,212560652.0000,1.073735,1,1.085267,0,7.643482
2017-01-04,sz.002405,19.6200,19.7500,19.3600,19.6300,19.5600,13627589,267268276.0000,1.347024,1,0.357872,0,7.670836
2017-01-05,sz.002405,19.7000,20.2900,19.5600,20.0900,19.6300,24231316,483668720.0000,2.395153,1,2.343357,0,7.850591
2017-01-06,sz.002405,20.0900,20.2300,19.6300,19.6300,20.0900,15714462,312509744.0000,1.553302,1,-2.289701,0,7.670836
2017-01-09,sz.002405,19.6600,20.3000,19.4500,20.2400,19.6300,24319885,486624352.0000,2.403908,1,3.107492,0,7.909206
2017-01-10,sz.002405,20.1400,20.3000,19.8800,19.9000,20.2400,16838710,338028832.0000,1.664429,1,-1.679843,0,7.776344
2017-01-11,sz.002405,19.8300,20.2200,19.7100,19.9400,19.9000,18218783,364463456.0000,1.800842,1,0.201010,0,7.791975
2017-01-12,sz.002405,19.8600,19.9800,19.4600,19.5500,19.9400,19106087,376178448.0000,1.888548,1,-1.955874,0,7.639574
2017-01-13,sz.002405,19.5000,19.6500,18.7100,18.7900,19.5500,16867856,323228960.0000,1.667309,1,-3.887460,0,7.342588
2017-01-16,sz.002405,18.6800,18.7700,16.9700,17.8100,18.7900,20352232,365763280.0000,2.011724,1,-5.215548,0,6.959633
2017-01-17,sz.002405,17.7900,18.1300,17.3300,18.0300,17.8100,11529105,205251908.0000,1.139599,1,1.235268,0,7.045602
2017-01-18,sz.002405,17.8800,19.5000,17.7700,18.5700,18.0300,19372981,362034816.0000,1.914929,1,2.995003,0,7.256619
2017-01-19,sz.002405,18.4100,18.8100,18.3100,18.4100,18.5700,10578386,196425267.0000,1.045624,1,-0.861604,0,7.194095
2017-01-20,sz.002405,18.3400,18.8400,18.3300,18.5900,18.4100,9071376,169079195.0000,0.896664,1,0.977731,0,7.264434
2017-01-23,sz.002405,18.7300,19.0900,18.6100,18.7000,18.5900,9396428,176842894.0000,0.928793,1,0.591719,0,7.307419
2017-01-24,sz.002405,18.7000,18.7400,18.3500,18.4000,18.7000,6758566,125215182.0000,0.668053,1,-1.604284,0,7.190188
2017-01-25,sz.002405,18.3900,18.5500,18.3300,18.4200,18.4000,5220210,96271651.0000,0.515994,1,0.108698,0,7.198003
2017-01-26,sz.002405,18.4400,18.6600,18.4400,18.6100,18.4200,6654927,123523136.0000,0.657809,1,1.031490,0,7.272250
2017-02-03,sz.002405,18.6400,18.9800,18.6300,18.8000,18.6100,8567289,161362446.0000,0.846837,1,1.020949,0,7.346496
2017-02-06,sz.002405,18.7800,18.9500,18.6600,18.8500,18.8000,8386095,157934428.0000,0.828927,1,0.265964,0,7.366035
2017-02-07,sz.002405,18.8700,18.8800,18.5900,18.6200,18.8500,6867590,128510426.0000,0.678829,1,-1.220157,0,7.276157
2017-02-08,sz.002405,18.6200,18.7600,18.5200,18.7200,18.6200,6962549,130028099.0000,0.688216,1,0.537049,0,7.315234
2017-02-09,sz.002405,18.7400,18.9400,18.7200,18.8900,18.7200,9574994,180332624.0000,0.946444,1,0.908120,0,7.381665
2017-02-10,sz.002405,18.9100,18.9400,18.6600,18.6800,18.8900,8808046,165124537.0000,0.870635,1,-1.111695,0,7.299604
2017-02-13,sz.002405,18.7000,18.7600,18.5100,18.7000,18.6800,8223277,153365777.0000,0.812833,1,0.107069,0,7.307419
2017-02-14,sz.002405,18.7300,19.0000,18.6800,18.7000,18.7000,10077816,189787685.0000,0.996145,1,0.000000,0,7.307419
2017-02-15,sz.002405,18.7000,18.7000,18.1400,18.2300,18.7000,14317850,263849164.0000,1.415253,1,-2.513375,0,7.123757
2017-02-16,sz.002405,18.1900,18.3000,18.1100,18.2700,18.2300,9135710,166452933.0000,0.903023,1,0.219424,0,7.139387
2017-02-17,sz.002405,18.2000,18.3000,18.0500,18.0800,18.2700,9489776,172332374.0000,0.938020,1,-1.039959,0,7.065141
