date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.002032,34.5500,35.1000,34.4300,34.6600,34.9200,681731,23658793.0000,0.163054,1,-0.744554,0,5.212719
2017-01-04,sz.002032,34.7000,34.7700,34.1100,34.6100,34.6600,874340,30087142.0000,0.208454,1,-0.144256,0,5.205199
2017-01-05,sz.002032,34.6100,34.6100,33.7800,33.8600,34.6100,885545,30137992.0000,0.211125,1,-2.167004,0,5.092402
2017-01-06,sz.002032,33.8900,34.0900,33.5200,33.5900,33.8600,729152,24627240.0000,0.173839,1,-0.797402,0,5.051795
2017-01-09,sz.002032,33.5800,33.9700,33.4200,33.8400,33.5900,595868,20065647.0000,0.142063,1,0.744269,0,5.089394
2017-01-10,sz.002032,33.8800,34.0500,33.7000,34.0200,33.8400,635464,21532060.0000,0.151503,1,0.531916,0,5.116466
2017-01-11,sz.002032,34.1800,34.1800,33.5000,33.5400,34.0200,779845,26376680.0000,0.185925,1,-1.410933,0,5.044276
2017-01-12,sz.002032,33.3500,34.1500,33.2600,33.6500,33.5400,670312,22746053.0000,0.159811,1,0.327968,0,5.060819
2017-01-13,sz.002032,33.6500,33.7000,33.2000,33.6000,33.6500,517412,17312800.0000,0.123358,1,-0.148597,0,5.053299
2017-01-16,sz.002032,33.6000,33.8100,32.2000,33.2000,33.6000,696018,23126655.0000,0.165940,1,-1.190469,0,4.993141
2017-01-17,sz.002032,33.1900,33.1900,32.4100,32.9400,33.2000,710854,23255005.0000,0.169477,1,-0.783139,0,4.954038
2017-01-18,sz.002032,32.7200,33.2900,32.7200,33.0900,32.9400,293628,9726750.0000,0.070005,1,0.455378,0,4.976598
2017-01-19,sz.002032,33.1800,33.7500,33.1500,33.6700,33.0900,750188,25167385.0000,0.178855,1,1.752789,0,5.063827
2017-01-20,sz.002032,33.6500,35.4900,33.4200,35.3000,33.6700,1237279,42827588.0000,0.294983,1,4.841108,0,5.308972
2017-01-23,sz.002032,35.1500,35.9400,34.8100,35.1000,35.3000,523329,18453830.0000,0.124768,1,-0.566574,0,5.278893
2017-01-24,sz.002032,35.0900,35.1000,34.5100,34.6000,35.1000,520414,18036270.0000,0.124073,1,-1.424501,0,5.203695
2017-01-25,sz.002032,34.5700,35.1200,34.1600,34.6500,34.6000,375202,12952442.0000,0.089453,1,0.144517,0,5.211215
2017-01-26,sz.002032,34.6500,34.8500,34.5500,34.7100,34.6500,242072,8395012.0000,0.057713,1,0.173153,0,5.220239
2017-02-03,sz.002032,34.7100,35.1500,33.6200,34.0000,34.7100,784129,26637530.0000,0.186947,1,-2.045517,0,5.113458
2017-02-06,sz.002032,34.0300,34.4000,33.8500,34.2900,34.0000,429250,14701071.0000,0.102339,1,0.852944,0,5.157073
2017-02-07,sz.002032,34.3000,34.5000,34.1000,34.3000,34.2900,782121,26804428.0000,0.186468,1,0.029158,0,5.158577
2017-02-08,sz.002032,34.2200,34.7700,34.0000,34.4500,34.3000,868708,29893649.0000,0.207111,1,0.437322,0,5.181136
2017-02-09,sz.002032,34.4400,34.7600,34.3000,34.7600,34.4500,849091,29296372.0000,0.202434,1,0.899848,0,5.227759
2017-02-10,sz.002032,34.8800,34.9500,34.3000,34.5600,34.7600,971920,33709590.0000,0.231718,1,-0.575365,0,5.197679
2017-02-13,sz.002032,34.5600,34.6800,34.0000,34.3800,34.5600,1812067,62125600.0000,0.432020,1,-0.520834,0,5.170608
