date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2018-10-19,sh.601162,2.1500,2.5800,2.1500,2.5800,1.7900,2015667,5184038.0000,0.389125,1,44.134080,0,1.161278
2018-10-22,sh.601162,2.8400,2.8400,2.8400,2.8400,2.5800,580358,1648217.0000,0.112038,1,10.077520,0,1.278306
2018-10-23,sh.601162,3.1200,3.1200,3.1200,3.1200,2.8400,1999768,6239276.0000,0.386056,1,9.859155,0,1.404336
2018-10-24,sh.601162,3.4300,3.4300,3.4300,3.4300,3.1200,1638758,5620940.0000,0.316363,1,9.935904,0,1.543869
2018-10-25,sh.601162,3.7700,3.7700,3.7700,3.7700,3.4300,4075915,15366200.0000,0.786856,1,9.912534,0,1.696906
2018-10-26,sh.601162,4.1500,4.1500,4.1500,4.1500,3.7700,1548920,6428018.0000,0.299019,1,10.079580,0,1.867947
2018-10-29,sh.601162,4.5700,4.5700,4.5700,4.5700,4.1500,2237197,10223990.0000,0.431891,1,10.120480,0,2.056992
2018-10-30,sh.601162,5.0300,5.0300,5.0300,5.0300,4.5700,12332852,62034246.0000,2.380859,1,10.065650,0,2.264041
2018-10-31,sh.601162,5.5300,5.5300,5.5300,5.5300,5.0300,4763056,26339700.0000,0.919509,1,9.940357,0,2.489095
2018-11-01,sh.601162,6.0800,6.0800,6.0800,6.0800,5.5300,2394508,14558609.0000,0.462260,1,9.945745,0,2.736654
2018-11-02,sh.601162,6.6900,6.6900,6.6900,6.6900,6.0800,3715584,24857257.0000,0.717294,1,10.032900,0,3.011220
2018-11-05,sh.601162,7.3600,7.3600,7.3600,7.3600,6.6900,4586506,33756684.0000,0.885426,1,10.014950,0,3.312792
2018-11-06,sh.601162,8.1000,8.1000,7.6000,7.6700,7.3600,381228064,2988130164.0000,73.596151,1,4.211956,0,3.452325
2018-11-07,sh.601162,7.3100,7.5600,7.0100,7.3600,7.6700,232851445,1696514211.0000,44.952016,1,-4.041720,0,3.312792
2018-11-08,sh.601162,7.4000,7.4400,6.7000,6.8000,7.3600,238808494,1676938054.0000,46.102026,1,-7.608695,0,3.060732
2018-11-09,sh.601162,6.6500,6.8800,6.5400,6.6300,6.8000,139903711,936963702.0000,27.008438,1,-2.500001,0,2.984213
2018-11-12,sh.601162,6.5700,7.0900,6.4600,6.9300,6.6300,187938479,1270041530.0000,36.281560,1,4.524882,0,3.119246
2018-11-13,sh.601162,6.7900,7.5000,6.7400,7.0600,6.9300,237292790,1668199228.0000,45.809419,1,1.875904,0,3.177760
2018-11-14,sh.601162,6.9100,7.0900,6.7100,6.7600,7.0600,152531167,1051580594.0000,29.446171,1,-4.249288,0,3.042727
2018-11-15,sh.601162,6.6600,7.1400,6.6200,7.0200,6.7600,166129090,1153075898.0000,32.071253,1,3.846150,0,3.159755
