date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.300033,69.2500,71.4500,69.2100,70.3600,68.7800,3683691,259927706.0000,1.397348,1,2.297182,0,15.428453
2017-01-04,sz.300033,70.0200,73.1000,70.0000,72.5500,70.3600,7206841,518713968.0000,2.733798,1,3.112567,0,15.908673
2017-01-05,sz.300033,72.5500,72.8000,71.4400,72.0000,72.5500,3857402,277190592.0000,1.463242,1,-0.758102,0,15.788070
2017-01-06,sz.300033,72.0000,72.2000,70.6000,71.2800,72.0000,2924321,208526665.0000,1.109293,1,-1.000002,0,15.630189
2017-01-09,sz.300033,71.4100,72.7500,70.8500,71.9900,71.2800,3859545,278642640.0000,1.464055,1,0.996071,0,15.785877
2017-01-10,sz.300033,71.7000,73.3000,71.0700,71.9700,71.9900,4173009,300892544.0000,1.582963,1,-0.027777,0,15.781491
2017-01-11,sz.300033,71.5500,72.4000,70.7000,70.8100,71.9700,3155578,225159061.0000,1.197017,1,-1.611788,0,15.527128
2017-01-12,sz.300033,70.9600,71.1400,68.7300,68.7600,70.8100,4655984,324871072.0000,1.766172,1,-2.895065,0,15.077607
2017-01-13,sz.300033,68.7700,68.9200,66.7700,67.1800,68.7600,5424896,365960368.0000,2.057846,1,-2.297850,0,14.731146
2017-01-16,sz.300033,67.0000,68.4100,65.0000,66.4400,67.1800,5970052,398149232.0000,2.264642,1,-1.101515,0,14.568880
2017-01-17,sz.300033,65.9000,69.0500,65.8600,68.4800,66.4400,5760582,391147184.0000,2.185183,1,3.070441,0,15.016208
2017-01-18,sz.300033,67.7000,68.7500,67.6200,67.9200,68.4800,2974786,202429553.0000,1.128437,1,-0.817765,0,14.893412
2017-01-19,sz.300033,67.9900,69.0400,67.1800,68.6100,67.9200,3673921,250787398.0000,1.393642,1,1.015905,0,15.044715
2017-01-20,sz.300033,68.6400,70.3000,67.8800,69.5500,68.6100,5001449,347645104.0000,1.897218,1,1.370066,0,15.250837
2017-01-23,sz.300033,69.5500,70.1100,69.1000,69.8100,69.5500,2451667,170660108.0000,0.930000,1,0.373824,0,15.307849
2017-01-24,sz.300033,69.4100,69.8800,68.4800,68.8800,69.8100,2160044,148785928.0000,0.819377,1,-1.332188,0,15.103920
2017-01-25,sz.300033,68.8000,69.9500,68.5000,69.7800,68.8800,2158076,150166364.0000,0.818631,1,1.306623,0,15.301271
2017-01-26,sz.300033,70.0000,72.8800,69.8100,72.3800,69.7800,7308628,525495200.0000,2.772409,1,3.725994,0,15.871396
2017-02-03,sz.300033,72.0000,72.3000,70.7500,71.0500,72.3800,2402465,171197370.0000,0.911336,1,-1.837516,0,15.579755
2017-02-06,sz.300033,71.0000,73.0000,70.9800,72.6600,71.0500,3840570,277654672.0000,1.456858,1,2.266011,0,15.932794
2017-02-07,sz.300033,72.2500,72.8000,71.0100,71.9900,72.6600,3417186,245660144.0000,1.296254,1,-0.922111,0,15.785877
2017-02-08,sz.300033,71.9900,73.4000,71.3500,73.2000,71.9900,4646365,337533056.0000,1.762523,1,1.680788,0,16.051204
2017-02-09,sz.300033,72.9700,73.2700,72.3800,72.6700,73.2000,4052320,295042480.0000,1.537181,1,-0.724042,0,15.934986
2017-02-10,sz.300033,69.0000,70.1200,68.0200,69.0200,72.6700,13131972,907810144.0000,4.981399,1,-5.022707,0,12.564472
2017-02-13,sz.300033,69.0500,70.6800,66.6100,68.8500,69.0200,10724212,734367184.0000,4.068055,1,-0.246303,0,12.533525
2017-02-14,sz.300033,68.5000,68.5000,67.1000,67.4700,68.8500,7845913,530817376.0000,2.976219,1,-2.004353,0,12.282308
2017-02-15,sz.300033,67.5000,68.4300,67.4200,67.6500,67.4700,4677712,317592432.0000,1.774414,1,0.266786,0,12.315075
2017-02-16,sz.300033,67.5000,68.1400,67.4500,68.1400,67.6500,3168442,215003464.0000,1.201897,1,0.724313,0,12.404276
2017-02-17,sz.300033,68.1100,69.2700,67.9000,68.1700,68.1400,3882129,265894342.0000,1.472622,1,0.044025,0,12.409737
2017-02-20,sz.300033,67.8000,68.0000,66.2000,68.0000,68.1700,5539987,372331376.0000,2.101504,1,-0.249374,0,12.378790
2017-02-21,sz.300033,67.8000,69.1900,67.6000,68.7000,68.0000,5991044,412171584.0000,2.272605,1,1.029407,0,12.506219
2017-02-22,sz.300033,68.6600,69.0600,67.8800,68.6400,68.7000,3915839,267880140.0000,1.485410,1,-0.087333,0,12.495296
2017-02-23,sz.300033,68.7500,68.8700,67.9200,68.4400,68.6400,3355748,228912938.0000,1.272948,1,-0.291371,0,12.458888
2017-02-24,sz.300033,68.5900,69.5000,68.4000,68.7700,68.4400,4228615,291434336.0000,1.604056,1,0.482166,0,12.518961
2017-02-27,sz.300033,69.2400,69.5500,68.0700,68.7400,68.7700,5571043,385272752.0000,2.113284,1,-0.043622,0,12.513500
2017-02-28,sz.300033,68.5000,69.1600,68.5000,68.8000,68.7400,2499121,171977253.0000,0.948001,1,0.087293,0,12.524423
2017-03-01,sz.300033,68.8600,69.2400,68.5000,68.5600,68.8000,3555217,244913656.0000,1.348614,1,-0.348845,0,12.480733
2017-03-02,sz.300033,68.5800,68.8800,67.5800,67.6900,68.5600,3512011,239035402.0000,1.332224,1,-1.268954,0,12.322357
2017-03-03,sz.300033,67.6000,68.0800,67.0000,67.8900,67.6900,3566021,240742385.0000,1.352712,1,0.295460,0,12.358765
