date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000338,9.9600,10.1000,9.9500,9.9700,9.9600,12982497,130069694.0000,0.601193,1,0.100404,0,1.279121
2017-01-04,sz.000338,10.0200,10.3000,10.0200,10.3000,9.9700,27810372,283732608.0000,1.287842,1,3.309929,0,1.321459
2017-01-05,sz.000338,10.3000,10.3400,10.2200,10.3300,10.3000,20013755,205701273.0000,0.926796,1,0.291260,0,1.325308
2017-01-06,sz.000338,10.3500,10.4500,10.1600,10.2900,10.3300,18218173,187674524.0000,0.843647,1,-0.387221,0,1.320176
2017-01-09,sz.000338,10.2700,10.4200,10.2100,10.4100,10.2900,17352590,179447473.0000,0.803563,1,1.166180,0,1.335572
2017-01-10,sz.000338,10.3800,10.6200,10.3500,10.5700,10.4100,27544205,290064912.0000,1.275516,1,1.536982,0,1.356099
2017-01-11,sz.000338,10.5900,10.6500,10.4700,10.5100,10.5700,20224261,213546347.0000,0.936544,1,-0.567639,0,1.348402
2017-01-12,sz.000338,10.5200,10.6700,10.2500,10.2900,10.5100,17296959,180791828.0000,0.800987,1,-2.093247,0,1.320176
2017-01-13,sz.000338,10.2900,10.4900,10.2400,10.4800,10.2900,16728024,173857383.0000,0.774641,1,1.846449,0,1.344553
2017-01-16,sz.000338,10.4800,10.5200,10.0300,10.3400,10.4800,22974485,236435153.0000,1.063902,1,-1.335872,0,1.326591
2017-01-17,sz.000338,10.3100,10.3600,10.0900,10.2200,10.3400,19607881,200160919.0000,0.908001,1,-1.160540,0,1.311195
2017-01-18,sz.000338,10.3200,10.4800,10.2900,10.4600,10.2200,25117965,260826650.0000,1.163162,1,2.348334,0,1.341987
2017-01-19,sz.000338,10.4200,10.8500,10.4200,10.7500,10.4600,38546693,412942048.0000,1.785019,1,2.772466,0,1.379193
2017-01-20,sz.000338,10.7200,10.9400,10.6100,10.7500,10.7500,23939801,259290915.0000,1.108603,1,0.000000,0,1.379193
2017-01-23,sz.000338,10.7500,11.0200,10.7500,10.9500,10.7500,22671172,247533075.0000,1.049856,1,1.860463,0,1.404852
2017-01-24,sz.000338,11.0000,11.1800,10.9500,11.0900,10.9500,30176957,334223840.0000,1.397433,1,1.278542,0,1.422814
2017-01-25,sz.000338,11.2000,11.2500,11.0200,11.1500,11.0900,21779076,242371401.0000,1.008545,1,0.541023,0,1.430512
2017-01-26,sz.000338,11.1500,11.2000,11.0300,11.1100,11.1500,13449361,149266345.0000,0.622813,1,-0.358744,0,1.425380
2017-02-03,sz.000338,11.1100,11.1300,10.9300,11.1100,11.1100,14860453,164054216.0000,0.688157,1,0.000000,0,1.425380
