date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.300498,35.4300,36.1800,35.2800,35.4500,35.2200,17551208,625566800.0000,0.588792,1,0.653037,0,5.249986
2017-01-04,sz.300498,35.5600,36.1200,35.1800,35.9200,35.4500,18245844,654237344.0000,0.612095,1,1.325804,0,5.319591
2017-01-05,sz.300498,35.8500,36.3100,35.4600,35.8400,35.9200,12202739,438419168.0000,0.409366,1,-0.222712,0,5.307743
2017-01-06,sz.300498,35.7700,36.5000,35.6600,36.3700,35.8400,16222553,588575680.0000,0.544219,1,1.478791,0,5.386234
2017-01-09,sz.300498,36.3000,36.3300,35.5200,35.8300,36.3700,12035739,432201968.0000,0.403764,1,-1.484732,0,5.306262
2017-01-10,sz.300498,35.8300,36.2000,35.5100,35.5400,35.8300,8934805,320155904.0000,0.299737,1,-0.809380,0,5.263314
2017-01-11,sz.300498,35.4100,35.7900,35.3600,35.4800,35.5400,7082485,251686634.0000,0.237597,1,-0.168828,0,5.254429
2017-01-12,sz.300498,35.4400,36.1000,35.4400,35.9000,35.4800,9870787,354851200.0000,0.331136,1,1.183771,0,5.316629
2017-01-13,sz.300498,35.7900,36.0900,34.8800,34.8800,35.9000,12601821,445731824.0000,0.422754,1,-2.841227,0,5.165571
2017-01-16,sz.300498,34.8100,35.2300,34.1000,34.9800,34.8800,9905400,344662944.0000,0.332297,1,0.286693,0,5.180381
2017-01-17,sz.300498,34.9600,35.3000,34.6900,35.1000,34.9800,7904310,276647600.0000,0.265167,1,0.343050,0,5.198152
2017-01-18,sz.300498,35.1600,35.2000,34.7600,34.9000,35.1000,4112929,143805617.0000,0.137977,1,-0.569792,0,5.168533
2017-01-19,sz.300498,34.9000,35.0100,34.7100,34.8100,34.9000,3576110,124572247.0000,0.119968,1,-0.257880,0,5.155205
2017-01-20,sz.300498,34.7800,35.4700,34.7200,35.2200,34.8100,6550519,230654819.0000,0.219751,1,1.177822,0,5.215924
2017-01-23,sz.300498,35.2100,35.6600,35.1700,35.3000,35.2200,5127208,181639391.0000,0.172003,1,0.227138,0,5.227772
2017-01-24,sz.300498,35.3100,35.4300,34.8100,34.9200,35.3000,4073436,142590566.0000,0.136652,1,-1.076490,0,5.171495
2017-01-25,sz.300498,34.9200,35.4300,34.9000,35.2900,34.9200,4600004,162338491.0000,0.154317,1,1.059573,0,5.226291
2017-01-26,sz.300498,35.3000,35.6000,35.2400,35.5200,35.2900,5827565,206690998.0000,0.195498,1,0.651741,0,5.260353
2017-02-03,sz.300498,35.3000,35.4900,35.0000,35.1500,35.5200,3905980,137571527.0000,0.131034,1,-1.041664,0,5.205557
2017-02-06,sz.300498,35.2100,35.4500,35.0500,35.3000,35.1500,6981771,246085533.0000,0.234218,1,0.426736,0,5.227772
2017-02-07,sz.300498,35.3000,35.3000,34.8600,34.9600,35.3000,6201365,217101312.0000,0.208038,1,-0.963173,0,5.177419
2017-02-08,sz.300498,34.9600,35.0200,34.7000,34.9800,34.9600,4548432,158558495.0000,0.152587,1,0.057210,0,5.180381
2017-02-09,sz.300498,34.9700,35.1800,34.9100,35.0100,34.9800,5366971,187909239.0000,0.180046,1,0.085760,0,5.184824
2017-02-10,sz.300498,35.0000,35.1800,34.9200,35.1000,35.0100,5636509,197587032.0000,0.189088,1,0.257070,0,5.198152
2017-02-13,sz.300498,35.1100,35.2900,34.8600,35.1700,35.1000,7535580,264290718.0000,0.252797,1,0.199429,0,5.208519
2017-02-14,sz.300498,35.1700,35.1700,34.5800,34.6000,35.1700,14244742,494910656.0000,0.477870,1,-1.620699,0,5.124105
2017-02-15,sz.300498,34.6000,34.6200,34.1000,34.1300,34.6000,11841598,406383600.0000,0.397251,1,-1.358374,0,5.054500
2017-02-16,sz.300498,34.1000,34.3000,33.9700,34.2200,34.1300,4888235,167069546.0000,0.163986,1,0.263698,0,5.067828
2017-02-17,sz.300498,34.1900,34.2900,33.8500,33.8700,34.2200,8104116,275582240.0000,0.271870,1,-1.022800,0,5.015995
2017-02-20,sz.300498,34.2500,34.3900,33.8600,34.1600,33.8700,11548924,393701744.0000,0.387433,1,0.856218,0,5.058943
2017-02-21,sz.300498,34.2800,34.7700,34.1900,34.6500,34.1600,12460140,430113584.0000,0.418001,1,1.434431,0,5.131509
2017-02-22,sz.300498,34.5900,34.6300,33.9900,34.2300,34.6500,14554169,497806096.0000,0.488250,1,-1.212127,0,5.069309
2017-02-23,sz.300498,34.2000,34.2400,33.9800,34.2400,34.2300,7100636,242108302.0000,0.238206,1,0.029220,0,5.070790
2017-02-24,sz.300498,34.2400,34.5000,34.0800,34.3800,34.2400,9385847,322338608.0000,0.314868,1,0.408877,0,5.091524
2017-02-27,sz.300498,34.2000,34.3500,33.9300,34.0800,34.3800,9067178,309065648.0000,0.304177,1,-0.872598,0,5.047095
2017-02-28,sz.300498,34.0800,34.2200,34.0100,34.1400,34.0800,4492435,153314546.0000,0.150708,1,0.176049,0,5.055981
2017-03-01,sz.300498,34.1700,34.3500,34.0300,34.2300,34.1400,5508855,188531570.0000,0.184806,1,0.263621,0,5.069309
2017-03-02,sz.300498,34.4500,34.4500,34.0900,34.1000,34.2300,4991065,170892211.0000,0.167436,1,-0.379787,0,5.050057
2017-03-03,sz.300498,34.0100,34.2400,34.0100,34.1300,34.1000,5309780,181199352.0000,0.178128,1,0.087984,0,5.054500
2017-03-06,sz.300498,34.1000,34.2100,34.0500,34.1600,34.1300,7840629,267611805.0000,0.263030,1,0.087896,0,5.058943
2017-03-07,sz.300498,34.2000,34.3000,34.0000,34.3000,34.1600,8818291,301071408.0000,0.295828,1,0.409834,0,5.079676
2017-03-08,sz.300498,34.2500,34.2500,34.1000,34.1500,34.3000,4216708,144009392.0000,0.141458,1,-0.437311,0,5.057462
2017-03-09,sz.300498,34.1500,34.1500,33.1800,33.3200,34.1500,18809932,631358544.0000,0.631018,1,-2.430459,0,4.934542
2017-03-10,sz.300498,33.3100,33.4400,33.0700,33.3900,33.3200,6766961,225230198.0000,0.227012,1,0.210083,0,4.944909
2017-03-13,sz.300498,33.3000,33.7400,33.1800,33.5700,33.3900,6625508,222084190.0000,0.222267,1,0.539084,0,4.971566
2017-03-14,sz.300498,33.5600,33.5700,33.3000,33.3900,33.5700,5559028,185691304.0000,0.186489,1,-0.536194,0,4.944909
2017-03-15,sz.300498,33.3300,33.5500,33.1200,33.4400,33.3900,5731087,191222089.0000,0.192261,1,0.149743,0,4.952314
2017-03-16,sz.300498,33.5100,33.7200,33.4600,33.4800,33.4400,5516768,185130178.0000,0.185072,1,0.119620,0,4.958238
2017-03-17,sz.300498,33.4800,33.5100,33.2000,33.2300,33.4800,6640559,221515368.0000,0.222771,1,-0.746714,0,4.921214
2017-03-20,sz.300498,33.2200,33.3500,33.1900,33.3000,33.2300,5098643,169536610.0000,0.171045,1,0.210652,0,4.931581
2017-03-21,sz.300498,33.3600,33.4900,33.2200,33.4300,33.3000,4940872,164868264.0000,0.165752,1,0.390394,0,4.950833
2017-03-22,sz.300498,33.3700,33.4100,33.1200,33.1800,33.4300,5458199,181388699.0000,0.183107,1,-0.747831,0,4.913809
2017-03-23,sz.300498,33.1800,33.2900,33.0000,33.0700,33.1800,6681064,221553128.0000,0.224130,1,-0.331527,0,4.897519
2017-03-24,sz.300498,33.0900,33.5400,33.0100,33.5000,33.0700,7533056,250788565.0000,0.252712,1,1.300273,0,4.961200
2017-03-27,sz.300498,33.5000,33.6100,33.2700,33.3100,33.5000,5948019,198529650.0000,0.199539,1,-0.567160,0,4.933061
2017-03-28,sz.300498,33.2600,33.5200,33.2600,33.3600,33.3100,4346771,145080863.0000,0.145822,1,0.150103,0,4.940466
2017-03-29,sz.300498,33.3600,33.4800,33.0700,33.0800,33.3600,5122215,170400063.0000,0.171835,1,-0.839325,0,4.899000
2017-03-30,sz.300498,33.0900,33.1700,32.7100,32.7300,33.0800,7732456,253743269.0000,0.259401,1,-1.058048,0,4.847166
2017-03-31,sz.300498,32.7300,32.9100,32.7200,32.8600,32.7300,4188501,137496795.0000,0.140512,1,0.397192,0,4.866419
2017-04-05,sz.300498,32.7000,33.2600,32.6600,33.1700,32.8600,6003681,198667760.0000,0.201406,1,0.943389,0,4.912328
2017-04-06,sz.300498,33.2000,33.6800,33.1000,33.5600,33.1700,9034103,302274480.0000,0.303068,1,1.175771,0,4.970085
2017-04-07,sz.300498,33.6500,33.6500,33.1200,33.1900,33.5600,9911476,329782736.0000,0.332501,1,-1.102511,0,4.740056
2017-04-10,sz.300498,33.2200,33.3100,32.7400,32.8000,33.1900,6767160,222509077.0000,0.227019,1,-1.175051,0,4.684358
2017-04-11,sz.300498,32.8200,33.1700,32.8100,33.1500,32.8000,7093459,234144461.0000,0.237965,1,1.067080,0,4.734344
2017-04-12,sz.300498,33.2000,33.2000,32.8400,32.8500,33.1500,4601760,151598232.0000,0.154376,1,-0.904987,0,4.691499
2017-04-13,sz.300498,32.8800,33.1000,32.7500,32.7700,32.8500,4861502,159694011.0000,0.163089,1,-0.243525,0,4.680074
2017-04-14,sz.300498,32.7500,32.9400,32.6700,32.8000,32.7700,4165869,136629211.0000,0.139753,1,0.091543,0,4.684358
2017-04-17,sz.300498,32.7500,32.7600,32.0000,32.0700,32.8000,8431096,271987888.0000,0.282839,1,-2.225608,0,4.356520
2017-04-18,sz.300498,32.0700,32.1900,31.7000,31.7300,32.0700,5402303,172744067.0000,0.181232,1,-1.060181,0,4.310333
2017-04-19,sz.300498,31.6800,31.6800,30.5100,31.5100,31.7300,10956037,340860288.0000,0.367543,1,-0.693348,0,4.280448
2017-04-20,sz.300498,31.4500,31.5900,31.1200,31.5800,31.5100,5432422,170471743.0000,0.182242,1,0.222151,0,4.289957
2017-04-21,sz.300498,31.5000,31.7400,31.3700,31.6000,31.5800,3378760,106585576.0000,0.113348,1,0.063333,0,4.292674
2017-04-24,sz.300498,31.4500,31.5800,31.0000,31.4800,31.6000,5581321,174394055.0000,0.187237,1,-0.379750,0,4.276372
2017-04-25,sz.300498,31.3900,31.4900,31.2300,31.4900,31.4800,4370687,137119410.0000,0.146624,1,0.031767,0,4.277731
2017-04-26,sz.300498,31.4000,31.7600,31.3200,31.7300,31.4900,4757505,150330216.0000,0.159600,1,0.762146,0,4.310333
2017-04-27,sz.300498,31.7200,32.1300,31.5000,31.9200,31.7300,5789471,184249247.0000,0.194220,1,0.598804,0,4.336144
2017-04-28,sz.300498,31.9200,31.9900,31.7900,31.9100,31.9200,2176838,69409198.0000,0.073027,1,-0.031329,0,4.334785
2017-05-02,sz.300498,31.9700,32.1200,31.7000,31.9000,31.9100,3886129,124253912.0000,0.130368,1,-0.031339,0,4.333427
2017-05-03,sz.300498,31.6800,31.9100,31.2300,31.3100,31.9000,4886218,154095704.0000,0.163918,1,-1.849530,0,4.253279
