date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000858,34.4800,34.8800,34.3000,34.6600,34.4800,15534740,537407600.0000,0.409266,1,0.522043,0,2.898392
2017-01-04,sz.000858,34.6600,35.9500,34.5500,35.9000,34.6600,46053667,1637950784.0000,1.213294,1,3.577616,0,3.002086
2017-01-05,sz.000858,36.0300,36.2400,35.7000,35.9300,35.9000,25815923,927811504.0000,0.680126,1,0.083562,0,3.004594
2017-01-06,sz.000858,35.9300,36.6000,35.7600,36.1000,35.9300,33652039,1220341984.0000,0.886570,1,0.473137,0,3.018810
2017-01-09,sz.000858,36.0000,36.8000,35.9300,36.4500,36.1000,26692245,974179040.0000,0.703213,1,0.969535,0,3.048079
2017-01-10,sz.000858,36.4000,36.9700,36.4000,36.5000,36.4500,22885904,840655872.0000,0.602934,1,0.137172,0,3.052260
2017-01-11,sz.000858,36.6000,36.7900,35.6500,35.8600,36.5000,22294346,802004096.0000,0.587349,1,-1.753423,0,2.998741
2017-01-12,sz.000858,35.9900,36.0000,35.4100,35.6000,35.8600,15825878,564764864.0000,0.416936,1,-0.725048,0,2.976999
2017-01-13,sz.000858,35.6800,35.8900,35.3200,35.6900,35.6000,15631495,557529856.0000,0.411815,1,0.252809,0,2.984525
2017-01-16,sz.000858,35.4700,35.9700,34.8800,35.4500,35.6900,19198129,679701408.0000,0.505779,1,-0.672451,0,2.964455
2017-01-17,sz.000858,35.4000,36.1600,35.3200,35.7600,35.4500,17756018,635715024.0000,0.467786,1,0.874464,0,2.990378
2017-01-18,sz.000858,35.7700,37.0400,35.4000,36.9500,35.7600,44741831,1642819008.0000,1.178733,1,3.327747,0,3.089890
2017-01-19,sz.000858,37.0500,37.0600,36.6300,36.8500,36.9500,19015209,699761872.0000,0.500960,1,-0.270642,0,3.081528
2017-01-20,sz.000858,36.9000,37.0000,36.6800,36.9100,36.8500,16535872,608985856.0000,0.435641,1,0.162826,0,3.086545
2017-01-23,sz.000858,37.1500,38.1000,37.0800,37.3800,36.9100,39390729,1481709280.0000,1.037757,1,1.273371,0,3.125849
2017-01-24,sz.000858,37.5500,37.8400,37.0000,37.4200,37.3800,19021290,711031408.0000,0.501120,1,0.107001,0,3.129193
2017-01-25,sz.000858,37.0800,37.5800,36.8100,37.2700,37.4200,18676334,696743616.0000,0.492032,1,-0.400849,0,3.116650
2017-01-26,sz.000858,37.4000,37.4900,36.9800,37.0000,37.2700,14243808,529488016.0000,0.375256,1,-0.724445,0,3.094072
2017-02-03,sz.000858,37.1000,37.1800,36.3200,36.4100,37.0000,14552029,533432448.0000,0.383376,1,-1.594595,0,3.044734
2017-02-06,sz.000858,36.4200,36.8500,36.3900,36.4500,36.4100,13931545,509472928.0000,0.367030,1,0.109862,0,3.048079
2017-02-07,sz.000858,36.5800,36.8500,36.3900,36.4500,36.4500,12108227,442424464.0000,0.318994,1,0.000000,0,3.048079
2017-02-08,sz.000858,36.5100,37.3400,36.2600,37.0900,36.4500,19983088,737094272.0000,0.526459,1,1.755828,0,3.101598
2017-02-09,sz.000858,37.1600,37.8500,37.1000,37.3400,37.0900,22521013,845962352.0000,0.593321,1,0.674036,0,3.122504
2017-02-10,sz.000858,37.4000,38.1000,37.3700,37.8300,37.3400,28284154,1071008768.0000,0.745152,1,1.312270,0,3.163479
2017-02-13,sz.000858,37.8300,39.2600,37.7100,38.5800,37.8300,39356687,1521216048.0000,1.036860,1,1.982553,0,3.226197
2017-02-14,sz.000858,38.7000,38.9000,38.3000,38.6600,38.5800,16832098,650070240.0000,0.443445,1,0.207356,0,3.232887
2017-02-15,sz.000858,38.8700,39.1500,38.3000,38.4000,38.6600,14712002,567692944.0000,0.387591,1,-0.672525,0,3.211145
2017-02-16,sz.000858,38.4400,38.7700,38.2200,38.4600,38.4000,12140073,466093472.0000,0.319833,1,0.156244,0,3.216162
2017-02-17,sz.000858,38.5200,39.6900,38.5000,38.9500,38.4600,24153708,944939376.0000,0.636335,1,1.274055,0,3.257138
2017-02-20,sz.000858,39.0200,41.4000,39.0200,41.4000,38.9500,47690952,1928243168.0000,1.256428,1,6.290118,0,3.462015
2017-02-21,sz.000858,41.3000,41.3300,40.4200,40.8600,41.4000,24245020,990510352.0000,0.638740,1,-1.304350,0,3.416859
2017-02-22,sz.000858,40.9000,41.5900,40.6000,41.2800,40.8600,29154767,1200108160.0000,0.768089,1,1.027896,0,3.451980
2017-02-23,sz.000858,41.1000,41.8600,40.2000,40.4800,41.2800,21183618,867247808.0000,0.558087,1,-1.937983,0,3.385082
2017-02-24,sz.000858,40.4000,40.4800,39.8200,40.2900,40.4800,16424697,658625168.0000,0.432712,1,-0.469364,0,3.369193
2017-02-27,sz.000858,40.2600,40.2800,39.2900,39.3900,40.2900,21824501,865270112.0000,0.574971,1,-2.233809,0,3.293932
2017-02-28,sz.000858,39.5000,39.8500,39.3000,39.5600,39.3900,12119871,479096768.0000,0.319301,1,0.431587,0,3.308148
2017-03-01,sz.000858,39.5200,40.3200,39.5000,39.9800,39.5600,17462272,698692368.0000,0.460047,1,1.061674,0,3.343270
2017-03-02,sz.000858,39.9000,40.1900,39.7100,39.9600,39.9800,11794003,471215072.0000,0.310716,1,-0.050026,0,3.341597
