date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.601155,11.7800,11.9000,11.6900,11.8800,11.7500,10324169,121794679.0000,1.465077,1,1.106384,0,2.112129
2017-01-04,sh.601155,11.8300,12.1100,11.7600,12.0500,11.8800,10452266,125299322.0000,1.483255,1,1.430977,0,2.142353
2017-01-05,sh.601155,12.0800,12.1300,11.9400,12.0400,12.0500,7282508,87710703.0000,1.033443,1,-0.082989,0,2.140575
2017-01-06,sh.601155,12.0100,12.0900,11.9400,12.0100,12.0400,6329730,76038514.0000,0.898236,1,-0.249167,0,2.135241
2017-01-09,sh.601155,12.1000,12.3800,12.0100,12.2600,12.0100,13512842,165910061.0000,1.917574,1,2.081599,0,2.179689
2017-01-10,sh.601155,12.4200,12.7900,12.4200,12.5000,12.2600,21348440,268988416.0000,3.029505,1,1.957584,0,2.222358
2017-01-11,sh.601155,12.4500,12.7300,12.4500,12.5000,12.5000,11630818,146257998.0000,1.650501,1,0.000000,0,2.222358
2017-01-12,sh.601155,12.5000,12.7500,12.2500,12.2600,12.5000,13515175,169075003.0000,1.917905,1,-1.919998,0,2.179689
2017-01-13,sh.601155,12.2500,12.4400,11.9900,12.3600,12.2600,12191643,148849538.0000,1.730086,1,0.815656,0,2.197468
2017-01-16,sh.601155,12.3200,12.7300,12.1500,12.7000,12.3600,28821414,358525968.0000,4.089976,1,2.750810,0,2.257916
2017-01-17,sh.601155,12.6000,12.9000,12.4700,12.7700,12.7000,16656995,211325187.0000,2.363753,1,0.551186,0,2.270361
2017-01-18,sh.601155,12.7000,12.8300,12.5500,12.5700,12.7700,11268492,142678623.0000,1.599084,1,-1.566177,0,2.234803
2017-01-19,sh.601155,12.5000,12.7500,12.4200,12.7400,12.5700,9000425,113371685.0000,1.277228,1,1.352427,0,2.265027
2017-01-20,sh.601155,12.7000,13.0200,12.6600,12.7900,12.7400,15625078,201580651.0000,2.217316,1,0.392466,0,2.273917
2017-01-23,sh.601155,12.7900,12.9000,12.7100,12.8300,12.7900,8148356,104333187.0000,1.156313,1,0.312744,0,2.281028
2017-01-24,sh.601155,12.8300,13.1500,12.7600,12.9600,12.8300,16373956,213034076.0000,2.323588,1,1.013251,0,2.304141
2017-01-25,sh.601155,12.9500,13.1200,12.8800,13.0700,12.9600,9524474,124276796.0000,1.351595,1,0.848763,0,2.323697
2017-01-26,sh.601155,13.0600,13.2100,12.8300,12.8700,13.0700,11005335,143062789.0000,1.561740,1,-1.530221,0,2.288140
2017-02-03,sh.601155,12.7600,12.8500,12.6200,12.6500,12.8700,8265291,105209688.0000,1.172907,1,-1.709404,0,2.249026
2017-02-06,sh.601155,12.6200,12.9600,12.6000,12.8500,12.6500,11352424,145348894.0000,1.610995,1,1.581034,0,2.284584
2017-02-07,sh.601155,12.8300,12.9600,12.7500,12.8400,12.8500,6620861,85042085.0000,0.939550,1,-0.077823,0,2.282806
2017-02-08,sh.601155,12.8400,13.0000,12.7100,12.9500,12.8400,10942248,141043911.0000,1.552788,1,0.856695,0,2.302363
2017-02-09,sh.601155,13.0000,13.3100,12.9900,13.2400,12.9500,23452799,308820688.0000,3.328129,1,2.239382,0,2.353922
2017-02-10,sh.601155,13.2900,13.3800,13.1500,13.1800,13.2400,16827940,223229694.0000,2.388012,1,-0.453168,0,2.343254
2017-02-13,sh.601155,13.1700,13.3300,13.0700,13.1200,13.1800,11637252,153331509.0000,1.651414,1,-0.455238,0,2.332587
2017-02-14,sh.601155,13.1000,13.4500,13.1000,13.4400,13.1200,14570750,193715677.0000,2.067699,1,2.439022,0,2.389479
2017-02-15,sh.601155,13.4500,13.5200,13.0000,13.0300,13.4400,17648550,234474013.0000,2.504462,1,-3.050594,0,2.316586
2017-02-16,sh.601155,13.0100,13.2200,12.9200,13.1800,13.0300,9863908,129042842.0000,1.399763,1,1.151194,0,2.343254
2017-02-17,sh.601155,13.2300,13.3500,13.1200,13.2800,13.1800,10683375,141325542.0000,1.516051,1,0.758721,0,2.361033
2017-02-20,sh.601155,13.2800,13.7700,13.2800,13.6900,13.2800,22861170,310990720.0000,3.244172,1,3.087348,0,2.433926
2017-02-21,sh.601155,13.6800,14.1000,13.6100,13.8700,13.6900,21084840,293157408.0000,2.992098,1,1.314831,0,2.465928
2017-02-22,sh.601155,13.8900,14.7300,13.7500,14.5200,13.8700,27078856,386681728.0000,3.842694,1,4.686378,0,2.581491
