date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.601166,16.1400,16.3600,16.1400,16.2400,16.1400,48199929,782612592.0000,0.252987,1,0.619581,0,0.972755
2017-01-04,sh.601166,16.2400,16.3800,16.2000,16.3200,16.2400,42410084,692194080.0000,0.222598,1,0.492610,0,0.977547
2017-01-05,sh.601166,16.3200,16.3900,16.3200,16.3300,16.3200,27695726,453017568.0000,0.145367,1,0.061276,0,0.978146
2017-01-06,sh.601166,16.3000,16.3800,16.1600,16.1700,16.3300,27775310,451178048.0000,0.145784,1,-0.979791,0,0.968562
2017-01-09,sh.601166,16.1900,16.2900,16.1700,16.2400,16.1700,25154829,408435456.0000,0.132030,1,0.432899,0,0.972755
2017-01-10,sh.601166,16.2400,16.2800,16.1900,16.2200,16.2400,22350495,362840096.0000,0.117311,1,-0.123156,0,0.971557
2017-01-11,sh.601166,16.2500,16.2800,16.1300,16.1500,16.2200,25058385,405846592.0000,0.131524,1,-0.431564,0,0.967364
2017-01-12,sh.601166,16.1500,16.2000,16.1100,16.1200,16.1500,19419846,313786704.0000,0.101929,1,-0.185751,0,0.965567
2017-01-13,sh.601166,16.1200,16.2900,16.0500,16.2600,16.1200,48681502,788212800.0000,0.255515,1,0.868483,0,0.973953
2017-01-16,sh.601166,16.2300,16.5900,16.1800,16.5500,16.2600,132750624,2181130224.0000,0.696768,1,1.783512,0,0.991323
2017-01-17,sh.601166,16.4800,16.5800,16.4100,16.4200,16.5500,42783043,705812624.0000,0.224555,1,-0.785493,0,0.983537
2017-01-18,sh.601166,16.4600,16.6800,16.4300,16.6500,16.4200,45018120,747244768.0000,0.236287,1,1.400728,0,0.997313
2017-01-19,sh.601166,16.6200,16.7500,16.6200,16.6400,16.6500,36688891,612445056.0000,0.192569,1,-0.060061,0,0.996714
2017-01-20,sh.601166,16.6700,16.8300,16.6400,16.7800,16.6400,44233056,740437408.0000,0.232166,1,0.841354,0,1.005100
2017-01-23,sh.601166,16.8200,16.8500,16.6600,16.7300,16.7800,37060810,620970912.0000,0.194521,1,-0.297981,0,1.002105
2017-01-24,sh.601166,16.7500,16.9500,16.6900,16.9200,16.7300,52779298,887774448.0000,0.277023,1,1.135688,0,1.013486
2017-01-25,sh.601166,16.9200,16.9500,16.8200,16.9300,16.9200,30796006,520021920.0000,0.161639,1,0.059103,0,1.014085
2017-01-26,sh.601166,16.9400,17.1000,16.9300,17.0700,16.9300,38764027,660720416.0000,0.203461,1,0.826931,0,1.022471
2017-02-03,sh.601166,17.0900,17.1100,16.6900,16.7300,17.0700,42366030,713054432.0000,0.222367,1,-1.991799,0,1.002105
2017-02-06,sh.601166,16.8000,16.8000,16.6600,16.7200,16.7300,39874207,666701648.0000,0.209288,1,-0.059774,0,1.001506
2017-02-07,sh.601166,16.7200,16.7500,16.6200,16.6600,16.7200,40464716,674635072.0000,0.212387,1,-0.358849,0,0.997912
2017-02-08,sh.601166,16.6400,16.7100,16.5600,16.6700,16.6600,43172468,718214016.0000,0.226599,1,0.060025,0,0.998511
2017-02-09,sh.601166,16.7000,16.8000,16.6700,16.6900,16.6700,40258937,673550672.0000,0.211307,1,0.119979,0,0.999709
2017-02-10,sh.601166,16.7500,16.8200,16.7200,16.7600,16.6900,47136740,790409632.0000,0.247407,1,0.419411,0,1.003902
2017-02-13,sh.601166,16.7900,16.9600,16.7700,16.8700,16.7600,61620876,1038993584.0000,0.323429,1,0.656328,0,1.010491
2017-02-14,sh.601166,16.9000,16.9000,16.7100,16.7400,16.8700,50106525,840191392.0000,0.262994,1,-0.770605,0,1.002704
2017-02-15,sh.601166,16.7600,16.9300,16.7300,16.8000,16.7400,87300394,1470551056.0000,0.458214,1,0.358420,0,1.006298
2017-02-16,sh.601166,16.8300,16.9000,16.7500,16.7800,16.8000,65678172,1103597488.0000,0.344725,1,-0.119039,0,1.005100
2017-02-17,sh.601166,16.7900,16.8700,16.6700,16.6900,16.7800,50947337,854581248.0000,0.267407,1,-0.536354,0,0.999709
2017-02-20,sh.601166,16.6800,17.0900,16.6600,16.9100,16.6900,141651685,2394063248.0000,0.743487,1,1.318150,0,1.012887
2017-02-21,sh.601166,16.9400,17.0300,16.8700,16.9200,16.9100,78490303,1329912688.0000,0.411972,1,0.059138,0,1.013486
2017-02-22,sh.601166,16.9200,16.9200,16.8500,16.8800,16.9200,49883512,842089424.0000,0.261824,1,-0.236412,0,1.011090
2017-02-23,sh.601166,16.8900,17.0200,16.8100,16.8800,16.8800,48574164,820865344.0000,0.254951,1,0.000000,0,1.011090
2017-02-24,sh.601166,16.8900,16.9600,16.8600,16.9000,16.8800,41088584,694939568.0000,0.215662,1,0.118486,0,1.012288
2017-02-27,sh.601166,16.9000,16.9400,16.7800,16.8100,16.9000,47432700,800391696.0000,0.248960,1,-0.532545,0,1.006897
2017-02-28,sh.601166,16.8100,16.8900,16.7300,16.7500,16.8100,40489651,679985056.0000,0.212518,1,-0.356927,0,1.003303
2017-03-01,sh.601166,16.7700,16.8300,16.6300,16.6600,16.7500,76999636,1287839760.0000,0.404148,1,-0.537314,0,0.997912
2017-03-02,sh.601166,16.7000,16.7600,16.5000,16.5000,16.6600,79573541,1322539888.0000,0.417658,1,-0.960383,0,0.988328
2017-03-03,sh.601166,16.5000,16.5200,16.4400,16.4800,16.5000,41525082,684633952.0000,0.217953,1,-0.121215,0,0.987130
2017-03-06,sh.601166,16.4800,16.6200,16.4700,16.5300,16.4800,42430340,702616000.0000,0.222704,1,0.303405,0,0.990125
2017-03-07,sh.601166,16.5300,16.6100,16.5000,16.5900,16.5300,31978700,528922528.0000,0.167847,1,0.362973,0,0.993719
2017-03-08,sh.601166,16.5800,16.6000,16.5100,16.5300,16.5900,30166028,498894912.0000,0.158332,1,-0.361660,0,0.990125
2017-03-09,sh.601166,16.5100,16.5100,16.3700,16.3900,16.5300,38629269,634268256.0000,0.202753,1,-0.846953,0,0.981740
2017-03-10,sh.601166,16.4000,16.4500,16.3500,16.4100,16.3900,28600024,468900832.0000,0.150113,1,0.122028,0,0.982938
2017-03-13,sh.601166,16.4000,16.5700,16.3500,16.5500,16.4100,35330583,582334736.0000,0.185440,1,0.853135,0,0.991323
2017-03-14,sh.601166,16.5600,16.6000,16.5000,16.5200,16.5500,38242778,632803184.0000,0.200725,1,-0.181261,0,0.989526
2017-03-15,sh.601166,16.5200,16.5600,16.4600,16.5100,16.5200,28775786,474694560.0000,0.151035,1,-0.060534,0,0.988927
2017-03-16,sh.601166,16.5500,16.6100,16.5000,16.5800,16.5100,60084743,994780064.0000,0.315367,1,0.423984,0,0.993120
2017-03-17,sh.601166,16.5700,16.5800,16.3500,16.3700,16.5800,63431338,1043398064.0000,0.332932,1,-1.266581,0,0.980542
