date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.300014,29.2500,29.3900,28.7600,28.9400,29.2000,7262648,210793474.0000,1.773040,1,-0.890412,0,6.730847
2017-01-04,sz.300014,29.0100,31.5000,28.8000,30.9000,28.9400,20654535,627514112.0000,5.042419,1,6.772630,0,7.186702
2017-01-05,sz.300014,30.8000,30.8000,30.1500,30.2000,30.9000,10913722,332912208.0000,2.664381,1,-2.265368,0,7.023897
2017-01-06,sz.300014,30.1000,30.3900,29.6000,29.6500,30.2000,8838965,264798769.0000,2.157868,1,-1.821196,0,6.895978
2017-01-09,sz.300014,30.5000,31.3000,29.8100,30.3200,29.6500,15466235,473021504.0000,3.775792,1,2.259697,0,7.051806
2017-01-10,sz.300014,30.1200,30.9800,30.1200,30.3400,30.3200,8725669,265815368.0000,2.130209,1,0.065965,0,7.056458
2017-01-11,sz.300014,30.3400,30.8700,30.1200,30.4900,30.3400,8777242,267780500.0000,2.142800,1,0.494396,0,7.091345
2017-01-12,sz.300014,30.4700,31.1500,30.3800,30.8500,30.4900,11542679,355992032.0000,2.817930,1,1.180717,0,7.175073
2017-01-13,sz.300014,31.0000,31.4800,30.2500,30.2800,30.8500,12971031,401145936.0000,3.166635,1,-1.847649,0,7.042503
2017-01-16,sz.300014,30.2000,30.3000,27.2500,28.5100,30.2800,13555823,389646864.0000,3.309401,1,-5.845444,0,6.630838
2017-01-17,sz.300014,28.0100,29.1800,27.7600,29.0000,28.5100,9515856,271345760.0000,2.323119,1,1.718694,0,6.744802
2017-01-18,sz.300014,28.8400,28.9800,28.3800,28.3800,29.0000,6265919,179814129.0000,1.529707,1,-2.137934,0,6.600602
2017-01-19,sz.300014,28.2900,28.7000,28.1000,28.4000,28.3800,4661906,132598916.0000,1.138117,1,0.070474,0,6.605254
2017-01-20,sz.300014,28.4500,29.1500,28.1700,28.8500,28.4000,7059004,203504740.0000,1.723324,1,1.584510,0,6.709915
2017-01-23,sz.300014,28.9000,29.3500,28.8500,29.0000,28.8500,5654350,164458482.0000,1.380404,1,0.519929,0,6.744802
2017-01-24,sz.300014,29.0000,29.0400,28.6200,28.7000,29.0000,3881703,111664544.0000,0.947645,1,-1.034480,0,6.675028
2017-01-25,sz.300014,28.8200,28.9600,28.6000,28.7500,28.7000,3514918,101149386.0000,0.858102,1,0.174213,0,6.686657
2017-01-26,sz.300014,28.9900,29.2800,28.7500,29.0800,28.7500,4857186,141290568.0000,1.185791,1,1.147826,0,6.763408
2017-02-03,sz.300014,29.1500,29.2000,28.6100,28.7900,29.0800,3295079,94994567.0000,0.804432,1,-0.997246,0,6.695960
2017-02-06,sz.300014,28.7100,29.4000,28.7000,29.2600,28.7900,5162700,150501189.0000,1.260377,1,1.632509,0,6.805272
2017-02-07,sz.300014,29.2100,29.5900,29.0200,29.4100,29.2600,7238170,211960541.0000,1.767064,1,0.512644,0,6.840159
2017-02-08,sz.300014,29.3900,30.5000,29.0900,30.0500,29.4100,9859272,294126704.0000,2.406957,1,2.176129,0,6.989010
2017-02-09,sz.300014,30.0500,31.4800,29.7300,30.7500,30.0500,12696249,389259552.0000,3.099552,1,2.329453,0,7.151815
2017-02-10,sz.300014,30.7500,31.1200,30.1500,30.5300,30.7500,8666994,265184339.0000,2.115885,1,-0.715445,0,7.100648
2017-02-13,sz.300014,30.4300,30.8900,30.3900,30.5500,30.5300,5811336,177892401.0000,1.418729,1,0.065505,0,7.105300
2017-02-14,sz.300014,30.5200,30.8700,30.4400,30.7500,30.5500,5388694,165154514.0000,1.315549,1,0.654667,0,7.151815
2017-02-15,sz.300014,30.6800,30.7500,29.6300,29.7800,30.7500,9177609,276876912.0000,2.240542,1,-3.154469,0,6.926213
2017-02-16,sz.300014,29.6500,30.5600,29.6400,30.0900,29.7800,6631482,199890191.0000,1.618953,1,1.040965,0,6.998313
2017-02-17,sz.300014,30.1100,30.3100,29.5000,29.6600,30.0900,6046800,180754930.0000,1.476213,1,-1.429047,0,6.898304
2017-02-20,sz.300014,29.6600,30.5000,29.4600,30.3600,29.6600,6486797,194749143.0000,1.583630,1,2.360084,0,7.061109
2017-02-21,sz.300014,30.5400,31.4400,30.1700,31.2000,30.3600,14425362,447090352.0000,3.521683,1,2.766799,0,7.256476
2017-02-22,sz.300014,31.0600,32.1600,30.8800,31.2000,31.2000,15720586,494221264.0000,3.837888,1,0.000000,0,7.256476
2017-02-23,sz.300014,31.1000,32.1000,30.8600,31.7800,31.2000,16639515,525648752.0000,4.062227,1,1.858974,0,7.391372
2017-02-24,sz.300014,31.7800,32.2900,31.5500,31.7000,31.7800,12045209,384511504.0000,2.940613,1,-0.251730,0,7.372766
2017-02-27,sz.300014,31.9700,32.1900,31.0600,31.2100,31.7000,9516392,301829648.0000,2.323249,1,-1.545747,0,7.258802
2017-02-28,sz.300014,32.0000,32.4500,31.6800,31.8600,31.2100,13282587,425237248.0000,3.242696,1,2.082671,0,6.998763
2017-03-01,sz.300014,31.8500,32.2500,31.6400,31.7800,31.8600,10437002,333031408.0000,2.547999,1,-0.251098,0,6.981189
2017-03-02,sz.300014,32.2600,33.9700,31.9300,33.3500,31.7800,24002788,790075440.0000,5.859833,1,4.940207,0,7.326074
2017-03-03,sz.300014,33.0000,36.5800,32.9200,35.6400,33.3500,37049209,1292441392.0000,9.044873,1,6.866570,0,7.829124
2017-03-06,sz.300014,35.9000,37.4800,35.3200,35.9300,35.6400,32149613,1164527296.0000,7.848728,1,0.813695,0,7.892829
2017-03-07,sz.300014,35.7300,36.8000,35.5100,35.5800,35.9300,20196024,728434656.0000,4.930482,1,-0.974112,0,7.815944
2017-03-08,sz.300014,35.7000,36.1600,35.5100,35.5800,35.5800,14496397,519000784.0000,3.539025,1,0.000000,0,7.815944
2017-03-09,sz.300014,35.5900,36.5300,35.2900,36.4000,35.5800,22301191,806522688.0000,5.444419,1,2.304665,0,7.996075
2017-03-10,sz.300014,36.2800,38.9800,36.1000,37.7600,36.4000,34675617,1295775648.0000,8.465404,1,3.736255,0,8.294830
2017-03-13,sz.300014,37.5800,38.1700,36.9300,37.2000,37.7600,23572028,880687648.0000,5.754670,1,-1.483045,0,8.171813
2017-03-14,sz.300014,37.1300,37.5000,36.2000,36.3600,37.2000,18025468,664583968.0000,4.400581,1,-2.258065,0,7.987288
2017-03-15,sz.300014,36.2000,36.7900,36.0200,36.1300,36.3600,14399747,523973680.0000,3.515429,1,-0.632562,0,7.936764
2017-03-16,sz.300014,36.4300,36.8900,36.3000,36.7900,36.1300,14499421,531301712.0000,3.539763,1,1.826736,0,8.081748
2017-03-17,sz.300014,36.9800,37.7000,35.7100,35.7400,36.7900,20745930,762281568.0000,5.064731,1,-2.854034,0,7.851091
2017-03-20,sz.300014,35.8600,36.2900,35.1900,35.9400,35.7400,13557838,484235088.0000,3.309893,1,0.559589,0,7.895026
2017-03-21,sz.300014,36.1100,36.1300,35.4000,36.0300,35.9400,11020522,393978320.0000,2.690455,1,0.250418,0,7.914796
2017-03-22,sz.300014,35.7700,37.5800,35.6000,37.3000,36.0300,24250456,891692336.0000,5.920296,1,3.524842,0,8.193780
2017-03-23,sz.300014,37.1500,37.6800,35.7500,36.5700,37.3000,19564673,721139616.0000,4.776350,1,-1.957103,0,8.033420
2017-03-24,sz.300014,36.4200,37.2800,36.2800,36.6100,36.5700,13059779,479299856.0000,3.188301,1,0.109382,0,8.042206
2017-03-27,sz.300014,36.6200,38.3800,36.3700,38.0500,36.6100,23698952,888506032.0000,5.785657,1,3.933348,0,8.358535
2017-03-28,sz.300014,37.8800,38.9300,37.4300,37.9900,38.0500,26274802,1005862464.0000,6.404250,1,-0.157681,0,8.345354
2017-03-29,sz.300014,37.8100,38.2300,36.9800,36.9900,37.9900,20207115,762279440.0000,4.925305,1,-2.632272,0,8.159490
2017-03-30,sz.300014,36.9500,36.9500,34.0200,34.8000,36.9900,26118098,923466128.0000,6.366055,1,-5.920525,0,7.676405
2017-03-31,sz.300014,34.8800,36.3800,34.6100,35.7300,34.8000,18072054,644122912.0000,4.404903,1,2.672415,0,7.881551
2017-04-05,sz.300014,35.8200,38.2000,35.8200,37.9800,35.7300,25307825,948417312.0000,6.168558,1,6.297229,0,8.377870
2017-04-06,sz.300014,38.1800,39.7700,37.3100,39.1000,37.9800,27754808,1062078256.0000,6.764988,1,2.948918,0,8.624927
2017-04-07,sz.300014,38.8400,39.5700,38.4000,38.5400,39.1000,18724456,728003792.0000,4.563920,1,-1.432219,0,8.501398
2017-04-10,sz.300014,38.1500,38.9500,37.2400,37.4800,38.5400,18024767,685982816.0000,4.393377,1,-2.750393,0,8.267577
2017-04-11,sz.300014,37.2000,38.3500,35.0700,37.4300,37.4800,22705795,837694288.0000,5.534336,1,-0.133403,0,8.256548
2017-04-12,sz.300014,36.8100,37.8700,36.3000,36.3900,37.4300,11940599,442053104.0000,2.910415,1,-2.778522,0,8.027138
2017-04-13,sz.300014,36.0100,37.2900,36.0100,37.1000,36.3900,10459342,385175968.0000,2.549372,1,1.951083,0,8.183754
2017-04-14,sz.300014,37.0600,37.2600,35.5000,35.5200,37.1000,12624043,455672112.0000,3.076999,1,-4.258755,0,7.835228
2017-04-17,sz.300014,35.1500,36.2800,35.0800,35.2300,35.5200,9394047,334428560.0000,2.289716,1,-0.816444,0,7.771258
2017-04-18,sz.300014,35.2700,35.5700,33.5000,33.5100,35.2300,13588391,467768368.0000,3.312050,1,-4.882206,0,7.391849
2017-04-19,sz.300014,33.2100,34.4900,33.0200,34.4600,33.5100,9955985,335305952.0000,2.426683,1,2.834977,0,7.601406
2017-04-20,sz.300014,34.2800,34.6600,33.5900,34.0400,34.4600,8045642,273334624.0000,1.961054,1,-1.218799,0,7.508760
2017-04-21,sz.300014,34.0600,34.8300,33.8000,33.9100,34.0400,7313445,251074832.0000,1.782587,1,-0.381907,0,7.480084
