date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.601933,4.9300,5.0500,4.9000,5.0200,4.9100,49129093,245830488.0000,0.754802,1,2.240329,0,2.559335
2017-01-04,sh.601933,5.0100,5.0400,4.9600,5.0200,5.0200,33080806,165432101.0000,0.508242,1,0.000000,0,2.559335
2017-01-05,sh.601933,5.0100,5.0900,4.9900,5.0000,5.0200,51213090,257905107.0000,0.786820,1,-0.398406,0,2.549138
2017-01-06,sh.601933,4.9900,5.1200,4.9300,5.0500,5.0000,73207902,366775360.0000,1.124740,1,1.000004,0,2.574630
2017-01-09,sh.601933,5.0300,5.0900,5.0100,5.0700,5.0500,37816214,191143057.0000,0.580995,1,0.396039,0,2.584826
2017-01-10,sh.601933,5.0700,5.2300,5.0400,5.1300,5.0700,99210487,512128208.0000,1.524235,1,1.183431,0,2.615416
2017-01-11,sh.601933,5.1100,5.1800,5.0800,5.1500,5.1300,52699301,271328144.0000,0.809653,1,0.389863,0,2.625612
2017-01-12,sh.601933,5.1500,5.1700,5.0000,5.0300,5.1500,57222477,289835696.0000,0.879146,1,-2.330095,0,2.564433
2017-01-13,sh.601933,5.0300,5.0500,4.9100,4.9600,5.0300,35262961,175796543.0000,0.541768,1,-1.391653,0,2.528745
2017-01-16,sh.601933,4.9500,5.0100,4.8600,4.9500,4.9600,98563728,486481952.0000,1.514298,1,-0.201618,0,2.523647
2017-01-17,sh.601933,4.9800,4.9800,4.8800,4.9300,4.9500,45974300,226760095.0000,0.706333,1,-0.404040,0,2.513450
2017-01-18,sh.601933,5.0100,5.1000,5.0000,5.0600,4.9300,68009986,343942128.0000,1.044881,1,2.636919,0,2.579728
2017-01-19,sh.601933,5.0700,5.0700,5.0100,5.0200,5.0600,21409939,107803649.0000,0.328935,1,-0.790513,0,2.559335
2017-01-20,sh.601933,5.0200,5.1000,5.0100,5.0700,5.0200,27788968,140864054.0000,0.426940,1,0.996020,0,2.584826
2017-01-23,sh.601933,5.0600,5.1100,5.0400,5.0700,5.0700,25797270,130965423.0000,0.396340,1,0.000000,0,2.584826
2017-01-24,sh.601933,5.0800,5.1100,5.0400,5.0900,5.0700,26226315,133434078.0000,0.402932,1,0.394477,0,2.595023
2017-01-25,sh.601933,5.0700,5.1100,5.0600,5.0800,5.0900,15721825,79907068.0000,0.241545,1,-0.196468,0,2.589924
2017-01-26,sh.601933,5.0700,5.1000,5.0600,5.0900,5.0800,18672183,94868666.0000,0.286873,1,0.196855,0,2.595023
2017-02-03,sh.601933,5.0900,5.0900,5.0200,5.0300,5.0900,19967760,100872358.0000,0.306778,1,-1.178781,0,2.564433
2017-02-06,sh.601933,5.0200,5.0400,4.9500,5.0000,5.0300,29172199,145492322.0000,0.448191,1,-0.596426,0,2.549138
