date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600588,21.0000,21.2600,20.9300,20.9700,20.8200,4720251,99555685.0000,0.323224,1,0.720459,0,5.902371
2017-01-04,sh.600588,21.0800,21.5700,20.9800,21.4700,20.9700,6975300,148970723.0000,0.477641,1,2.384359,0,6.043105
2017-01-05,sh.600588,21.4700,21.5500,21.3700,21.4700,21.4700,3340834,71701937.0000,0.228767,1,0.000000,0,6.043105
2017-01-06,sh.600588,21.4700,21.5300,21.2300,21.3500,21.4700,3388345,72321041.0000,0.232020,1,-0.558914,0,6.009329
2017-01-09,sh.600588,21.4000,21.4400,20.9800,21.1900,21.3500,4465648,94516189.0000,0.305790,1,-0.749414,0,5.964294
2017-01-10,sh.600588,21.1700,21.2500,20.8300,20.9500,21.1900,7660953,160759352.0000,0.524591,1,-1.132609,0,5.896742
2017-01-11,sh.600588,20.9900,21.1700,20.7300,20.8700,20.9500,5226726,109395511.0000,0.357905,1,-0.381861,0,5.874224
2017-01-12,sh.600588,20.8000,20.9500,20.4400,20.6600,20.8700,13168841,272362768.0000,0.901749,1,-1.006234,0,5.815116
2017-01-13,sh.600588,20.7000,20.7000,19.1100,19.2600,20.6600,14737215,289854992.0000,1.009145,1,-6.776378,0,5.421062
2017-01-16,sh.600588,19.2800,19.4100,17.5200,18.2700,19.2600,11277895,209800752.0000,0.772265,1,-5.140186,0,5.142409
2017-01-17,sh.600588,18.3000,18.7300,18.0300,18.5900,18.2700,5819302,107179760.0000,0.398482,1,1.751504,0,5.232479
2017-01-18,sh.600588,18.5700,18.6000,18.2600,18.3900,18.5900,3934641,72305564.0000,0.269428,1,-1.075851,0,5.176185
2017-01-19,sh.600588,18.4400,18.4400,18.2000,18.3800,18.3900,2415669,44248525.0000,0.165415,1,-0.054379,0,5.173371
2017-01-20,sh.600588,18.3900,19.5600,18.2900,19.3000,18.3800,24623996,471514112.0000,1.686152,1,5.005441,0,5.432321
2017-01-23,sh.600588,19.2000,19.7800,19.1100,19.4100,19.3000,22243287,433586800.0000,1.523131,1,0.569951,0,5.463282
2017-01-24,sh.600588,19.4400,19.4400,19.0400,19.0900,19.4100,5477194,104991207.0000,0.375056,1,-1.648633,0,5.373212
2017-01-25,sh.600588,19.0900,19.3300,19.0600,19.0900,19.0900,4879012,93518235.0000,0.334095,1,0.000000,0,5.373212
2017-01-26,sh.600588,19.1600,19.2000,19.0600,19.0900,19.0900,3167658,60540538.0000,0.216909,1,0.000000,0,5.373212
2017-02-03,sh.600588,19.0900,19.3800,18.9000,19.1000,19.0900,4285642,82175263.0000,0.293464,1,0.052385,0,5.376027
2017-02-06,sh.600588,19.1000,19.2000,18.9200,19.1800,19.1000,4790816,91383668.0000,0.328056,1,0.418848,0,5.398545
2017-02-07,sh.600588,19.2000,19.2500,18.9400,19.0400,19.1800,3134766,59830028.0000,0.214656,1,-0.729924,0,5.359139
2017-02-08,sh.600588,19.0100,19.0200,18.8000,18.9900,19.0400,5181564,98019079.0000,0.354813,1,-0.262611,0,5.345066
2017-02-09,sh.600588,19.0400,19.1000,18.9400,19.0400,18.9900,5856763,111414957.0000,0.401048,1,0.263302,0,5.359139
2017-02-10,sh.600588,19.0600,19.2400,19.0300,19.0500,19.0400,5571717,106521923.0000,0.381529,1,0.052512,0,5.361954
2017-02-13,sh.600588,19.0300,19.4400,18.9600,19.2800,19.0500,8746437,168344428.0000,0.598921,1,1.207357,0,5.426691
2017-02-14,sh.600588,19.2600,19.4400,19.1800,19.2200,19.2800,3275046,63174190.0000,0.224262,1,-0.311210,0,5.409803
2017-02-15,sh.600588,19.2400,19.4500,19.0200,19.0500,19.2200,4458168,85827755.0000,0.305277,1,-0.884496,0,5.361954
2017-02-16,sh.600588,19.0100,19.1800,19.0100,19.0800,19.0500,3689645,70360127.0000,0.252652,1,0.157484,0,5.370398
2017-02-17,sh.600588,19.1000,19.2300,18.8600,18.8700,19.0800,4967404,94389837.0000,0.340148,1,-1.100624,0,5.311290
2017-02-20,sh.600588,18.8800,18.9300,18.4500,18.6600,18.8700,8157612,151936903.0000,0.558601,1,-1.112883,0,5.252181
2017-02-21,sh.600588,18.6600,19.0700,18.6100,18.9300,18.6600,7485968,141632564.0000,0.512609,1,1.446948,0,5.328178
2017-02-22,sh.600588,19.0000,19.3200,18.8000,19.1900,18.9300,8626164,164334221.0000,0.590685,1,1.373482,0,5.401359
2017-02-23,sh.600588,19.2000,19.2500,18.9200,19.0900,19.1900,4722616,89811886.0000,0.323386,1,-0.521107,0,5.373212
2017-02-24,sh.600588,19.0300,19.2400,18.9500,19.1800,19.0900,6238921,119367242.0000,0.427216,1,0.471452,0,5.398545
2017-02-27,sh.600588,19.1900,19.3700,19.0200,19.0600,19.1800,6456258,123916223.0000,0.442099,1,-0.625656,0,5.364768
2017-02-28,sh.600588,19.0600,19.2200,18.7900,19.2100,19.0600,8091348,153993328.0000,0.554063,1,0.786987,0,5.406989
2017-03-01,sh.600588,19.2100,19.2700,19.0700,19.2400,19.2100,4918807,94411224.0000,0.336820,1,0.156172,0,5.415433
2017-03-02,sh.600588,19.2400,19.2900,19.0000,19.0300,19.2400,4218146,80729721.0000,0.288842,1,-1.091471,0,5.356324
2017-03-03,sh.600588,19.0300,19.0600,18.7200,18.9200,19.0300,5280042,99614908.0000,0.361556,1,-0.578038,0,5.325363
2017-03-06,sh.600588,18.9200,19.3600,18.8800,19.2900,18.9200,7827514,150290856.0000,0.535997,1,1.955607,0,5.429506
2017-03-07,sh.600588,19.2200,19.3800,19.1100,19.3700,19.2900,6531837,125718623.0000,0.447274,1,0.414722,0,5.452023
2017-03-08,sh.600588,19.4400,19.9500,19.4400,19.6400,19.3700,12116972,238688498.0000,0.829722,1,1.393901,0,5.527734
2017-03-09,sh.600588,19.5500,19.6400,19.2500,19.4400,19.6400,5693592,110243681.0000,0.389874,1,-1.018324,0,5.471443
2017-03-10,sh.600588,19.4600,19.5600,19.2100,19.2200,19.4400,4157045,80227958.0000,0.284658,1,-1.131693,0,5.409524
2017-03-13,sh.600588,19.3100,19.3600,19.0200,19.2700,19.2200,4467104,85825168.0000,0.305889,1,0.260152,0,5.423596
2017-03-14,sh.600588,19.2800,19.3600,19.0800,19.1800,19.2700,5900640,113255139.0000,0.404052,1,-0.467048,0,5.398266
2017-03-15,sh.600588,19.2000,19.2000,18.9200,19.0900,19.1800,4897697,93235079.0000,0.335375,1,-0.469240,0,5.372935
2017-03-16,sh.600588,19.0100,19.2100,19.0100,19.1300,19.0900,6861490,131125577.0000,0.469847,1,0.209529,0,5.384193
2017-03-17,sh.600588,19.1600,19.2500,18.9300,18.9500,19.1300,6926271,132374300.0000,0.474283,1,-0.940922,0,5.333532
2017-03-20,sh.600588,18.8000,19.0400,18.7300,18.9700,18.9500,5538834,104630079.0000,0.379277,1,0.105533,0,4.883197
2017-03-21,sh.600588,18.9700,18.9800,18.7500,18.8100,18.9700,5141612,96836755.0000,0.352077,1,-0.843436,0,4.842010
2017-03-22,sh.600588,18.7400,18.7400,18.2900,18.5900,18.8100,6783341,125752826.0000,0.464496,1,-1.169587,0,4.785378
2017-03-23,sh.600588,18.5900,18.7200,18.2900,18.5500,18.5900,3890938,72126050.0000,0.266436,1,-0.215174,0,4.775081
2017-03-24,sh.600588,18.5800,18.7400,18.5200,18.7100,18.5500,4214563,78531906.0000,0.288596,1,0.862533,0,4.816268
2017-03-27,sh.600588,18.7500,18.8000,18.4600,18.5700,18.7100,4511267,83741046.0000,0.308913,1,-0.748260,0,4.780230
2017-03-28,sh.600588,18.5500,18.6100,18.4200,18.5600,18.5700,3957085,73270632.0000,0.270965,1,-0.053852,0,4.777656
2017-03-29,sh.600588,18.5600,18.6300,18.2100,18.2700,18.5600,4595779,84670125.0000,0.314700,1,-1.562495,0,4.703005
2017-03-30,sh.600588,18.2700,18.3400,17.7900,17.8400,18.2700,9353410,168396242.0000,0.640484,1,-2.353587,0,4.592316
2017-03-31,sh.600588,17.8400,18.0000,17.7700,17.7900,17.8400,3857656,68968185.0000,0.264157,1,-0.280265,0,4.579445
2017-04-05,sh.600588,17.8200,18.1600,17.8200,18.1200,17.7900,5105742,92139625.0000,0.349621,1,1.854974,0,4.664392
2017-04-06,sh.600588,18.1800,18.1900,17.9400,18.0500,18.1200,4769876,86172901.0000,0.326622,1,-0.386322,0,4.646373
2017-04-07,sh.600588,18.1100,18.1100,17.9300,18.0300,18.0500,4206860,75781697.0000,0.288069,1,-0.110795,0,4.641225
2017-04-10,sh.600588,18.0200,18.0700,17.8500,17.8800,18.0300,6310131,113140927.0000,0.432092,1,-0.831955,0,4.602612
2017-04-11,sh.600588,17.8500,18.7400,17.8300,18.6000,17.8800,11780818,217334185.0000,0.806703,1,4.026853,0,4.787952
2017-04-12,sh.600588,18.5800,18.5800,18.0900,18.1300,18.6000,8462274,154285250.0000,0.579463,1,-2.526888,0,4.666966
2017-04-13,sh.600588,18.1400,18.3300,18.0500,18.1000,18.1300,3955814,71780467.0000,0.270878,1,-0.165465,0,4.659244
2017-04-14,sh.600588,18.1500,18.4000,17.8900,17.9800,18.1000,4921533,88732436.0000,0.337007,1,-0.662988,0,4.628354
2017-04-17,sh.600588,17.9900,18.1300,17.6600,17.8800,17.9800,4949020,88602874.0000,0.338889,1,-0.556176,0,4.602612
2017-04-18,sh.600588,17.8800,18.0000,17.6000,17.6200,17.8800,3912475,69633583.0000,0.267911,1,-1.454129,0,4.535684
2017-04-19,sh.600588,17.6100,18.0100,17.5600,17.8400,17.6200,5718605,101692110.0000,0.391587,1,1.248577,0,4.592316
2017-04-20,sh.600588,17.9800,18.5500,17.8600,18.4000,17.8400,10742324,195720635.0000,0.735591,1,3.139010,0,4.736469
2017-04-21,sh.600588,18.4000,18.5300,18.1100,18.2000,18.4000,4297991,78492431.0000,0.294309,1,-1.086950,0,4.684986
2017-04-24,sh.600588,18.2000,18.2100,17.5300,17.7200,18.2000,5798151,103159487.0000,0.397034,1,-2.637371,0,4.561426
2017-04-25,sh.600588,17.8500,18.0000,17.6000,17.9000,17.7200,3844985,68605185.0000,0.263289,1,1.015803,0,4.607761
2017-04-26,sh.600588,17.7900,17.7900,17.5000,17.6300,17.7700,4043652,71248371.0000,0.276893,1,-0.787852,0,4.538258
2017-04-27,sh.600588,17.7100,17.7100,16.6000,17.1800,17.6300,7853865,133798977.0000,0.537801,1,-2.552461,0,4.422420
2017-04-28,sh.600588,17.1000,17.2100,16.9300,17.1400,17.1800,3251134,55526369.0000,0.222625,1,-0.232834,0,4.412124
2017-05-02,sh.600588,17.1500,17.3000,17.0500,17.1400,17.1400,2445245,41957359.0000,0.167441,1,0.000000,0,4.533195
2017-05-03,sh.600588,17.0400,17.1900,17.0100,17.1200,17.1400,2733479,46719873.0000,0.187178,1,-0.116678,0,4.527905
2017-05-04,sh.600588,17.1100,17.3000,16.9400,17.1200,17.1200,3325286,56952900.0000,0.227702,1,0.000000,0,4.527905
2017-05-05,sh.600588,17.1200,17.1400,16.8900,16.9700,17.1200,2961360,50280604.0000,0.202782,1,-0.876177,0,4.488233
2017-05-08,sh.600588,17.0000,17.1500,16.8000,16.8700,16.9700,2856175,48425697.0000,0.195579,1,-0.589266,0,4.461785
2017-05-09,sh.600588,16.8300,16.8300,16.4300,16.6900,16.8700,4038452,67037588.0000,0.276537,1,-1.066985,0,4.414179
2017-05-10,sh.600588,16.6900,16.7900,16.0200,16.0500,16.6900,4758389,78231390.0000,0.325835,1,-3.834639,0,4.244911
2017-05-11,sh.600588,16.0600,16.0600,14.4500,15.1900,16.0500,13292488,202429915.0000,0.910216,1,-5.358253,0,4.017458
2017-05-12,sh.600588,15.0200,15.1300,14.5600,14.8200,15.1900,10849997,161508831.0000,0.742964,1,-2.435812,0,3.919600
2017-05-15,sh.600588,15.1300,15.2800,14.6200,14.7900,14.8200,8736175,130568084.0000,0.598218,1,-0.202427,0,3.911666
2017-05-16,sh.600588,14.8000,15.4600,14.5700,15.4200,14.7900,9987645,149498907.0000,0.683914,1,4.259635,0,4.078289
2017-05-17,sh.600588,15.3000,15.5400,15.1500,15.2000,15.4200,7792993,119187983.0000,0.533633,1,-1.426720,0,4.020103
2017-05-18,sh.600588,14.9100,15.9000,14.9100,15.8800,15.2000,16378378,255858460.0000,1.121526,1,4.473686,0,4.199950
2017-05-19,sh.600588,15.6900,16.1600,15.6000,16.0000,15.8800,8804689,140014608.0000,0.602910,1,0.755667,0,4.231687
2017-05-22,sh.600588,15.9000,16.0000,15.3900,15.4200,16.0000,6094615,95348953.0000,0.417335,1,-3.625000,0,4.078289
