date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600233,25.6900,26.4900,25.6900,25.9900,25.4900,10942443,285869392.0000,3.315892,1,1.961554,0,9.344024
2017-01-04,sh.600233,25.8200,26.3800,25.6000,26.0800,25.9900,10774550,280155232.0000,3.265015,1,0.346288,0,9.376381
2017-01-05,sh.600233,25.9800,28.2500,25.8200,27.0500,26.0800,19518539,531556688.0000,5.914709,1,3.719322,0,9.725119
2017-01-06,sh.600233,26.7500,27.0000,26.3400,26.5500,27.0500,10017139,266253544.0000,3.035497,1,-1.848429,0,9.545357
2017-01-09,sh.600233,26.5900,27.1000,26.2800,26.7200,26.5500,8368155,222824434.0000,2.535805,1,0.640302,0,9.606476
2017-01-10,sh.600233,26.5600,26.7000,26.1500,26.4000,26.7200,6977714,184038374.0000,2.114459,1,-1.197604,0,9.491429
2017-01-11,sh.600233,26.2000,26.6000,26.1600,26.2500,26.4000,5926013,156067506.0000,1.795762,1,-0.568180,0,9.437500
2017-01-12,sh.600233,26.3800,26.4900,24.8500,24.9500,26.2500,9234844,235353165.0000,2.798438,1,-4.952378,0,8.970119
2017-01-13,sh.600233,24.9400,25.1000,23.8500,24.0500,24.9500,8673824,211140104.0000,2.628432,1,-3.607221,0,8.646548
2017-01-16,sh.600233,24.0200,24.0200,21.9000,23.2800,24.0500,11471555,264850284.0000,3.476229,1,-3.201657,0,8.369714
2017-01-17,sh.600233,23.1400,23.7500,22.8000,23.6400,23.2800,5937290,138959692.0000,1.799179,1,1.546386,0,8.499143
2017-01-18,sh.600233,23.6400,23.6500,23.1800,23.2300,23.6400,3833426,89551475.0000,1.161644,1,-1.734348,0,8.351738
2017-01-19,sh.600233,23.2300,23.6000,23.0600,23.1600,23.2300,4187527,97851629.0000,1.268948,1,-0.301333,0,8.326572
2017-01-20,sh.600233,23.1800,23.6000,23.1700,23.4900,23.1600,5063534,118877394.0000,1.534404,1,1.424870,0,8.445214
2017-01-23,sh.600233,23.3500,24.2500,23.3000,24.0000,23.4900,6871762,163444235.0000,2.082352,1,2.171138,0,8.628572
2017-01-24,sh.600233,24.0700,25.1400,23.6500,24.9500,24.0000,10143294,249044435.0000,3.073725,1,3.958337,0,8.970119
2017-01-25,sh.600233,24.7100,26.8800,24.5000,26.1100,24.9500,12551068,325762192.0000,3.803354,1,4.649298,0,9.387167
2017-01-26,sh.600233,26.1600,26.7000,25.5100,25.8500,26.1100,7773013,201792450.0000,2.355458,1,-0.995788,0,9.293691
2017-02-03,sh.600233,25.9900,26.1500,25.3800,25.6000,25.8500,4366754,111929561.0000,1.323259,1,-0.967118,0,9.203810
2017-02-06,sh.600233,25.6500,25.7400,25.2100,25.4900,25.6000,5406158,137462944.0000,1.638230,1,-0.429690,0,9.164262
2017-02-07,sh.600233,25.5300,25.9600,25.3500,25.6400,25.4900,6329288,162340689.0000,1.917966,1,0.588465,0,9.218191
2017-02-08,sh.600233,25.7000,25.7100,25.2000,25.5400,25.6400,5144711,130665462.0000,1.559003,1,-0.390010,0,9.182238
2017-02-09,sh.600233,25.4900,26.5400,25.3200,26.5000,25.5400,12451610,322294176.0000,3.773215,1,3.758806,0,9.527381
2017-02-10,sh.600233,28.0000,28.0000,26.6300,26.8000,26.5000,26150969,714564240.0000,7.924536,1,1.132073,0,9.635238
2017-02-13,sh.600233,26.5500,27.1000,26.0100,26.6500,26.8000,10864127,288050816.0000,3.292160,1,-0.559700,0,9.581310
2017-02-14,sh.600233,26.5400,26.5400,26.0600,26.1300,26.6500,9552402,250659814.0000,2.894667,1,-1.951221,0,9.394357
2017-02-15,sh.600233,26.1400,26.4500,25.5100,25.5500,26.1300,10455057,270195184.0000,3.168199,1,-2.219671,0,9.185834
2017-02-16,sh.600233,25.5000,25.7900,25.3300,25.4500,25.5500,6902431,176231135.0000,2.091646,1,-0.391383,0,9.149881
2017-02-17,sh.600233,25.4000,25.4000,24.5000,24.5400,25.4500,12250384,303733952.0000,3.712238,1,-3.575638,0,8.822714
2017-02-20,sh.600233,24.1500,24.1500,23.1000,23.8500,24.5400,14279285,336476256.0000,4.327056,1,-2.811738,0,8.574643
2017-02-21,sh.600233,23.8000,24.5600,23.6000,24.4800,23.8500,9140422,222287180.0000,2.769825,1,2.641506,0,8.801143
2017-02-22,sh.600233,24.5000,25.4600,24.5000,25.0100,24.4800,12484488,312833552.0000,3.783178,1,2.165035,0,8.991691
2017-02-23,sh.600233,25.1500,25.3000,24.6100,24.9200,25.0100,8693081,216240410.0000,2.634267,1,-0.359857,0,8.959334
2017-02-24,sh.600233,25.2000,27.3000,25.0600,26.4100,24.9200,30888898,811185472.0000,9.360272,1,5.979132,0,9.495024
2017-02-27,sh.600233,26.4000,27.9300,25.2600,26.6100,26.4100,30872385,827779136.0000,9.355268,1,0.757292,0,9.566929
2017-02-28,sh.600233,26.4900,29.2700,26.0000,29.2700,26.6100,55825598,1600768304.0000,16.916848,1,9.996242,0,10.523262
2017-03-01,sh.600233,29.2700,31.9800,27.5000,28.2900,29.2700,76391845,2290025632.0000,23.149044,1,-3.348136,0,10.170929
2017-03-02,sh.600233,27.2100,27.5800,26.4000,26.7400,28.2900,39635583,1069204912.0000,12.010783,1,-5.478972,0,9.613667
2017-03-03,sh.600233,26.3000,26.5500,25.1100,25.1600,26.7400,30117337,773448480.0000,9.126466,1,-5.908751,0,9.045619
2017-03-06,sh.600233,25.0000,25.7700,25.0000,25.4100,25.1600,18376680,465923232.0000,5.568691,1,0.993641,0,9.135500
2017-03-07,sh.600233,25.2500,25.5000,24.9600,25.1000,25.4100,15339364,386007824.0000,4.648292,1,-1.219990,0,9.024048
2017-03-08,sh.600233,24.9000,25.3500,24.5200,25.1700,25.1000,17930155,447118000.0000,5.433380,1,0.278883,0,9.049214
2017-03-09,sh.600233,24.9800,24.9800,24.5100,24.5600,25.1700,10465703,258735983.0000,3.171425,1,-2.423522,0,8.829905
2017-03-10,sh.600233,24.5100,24.7900,24.4700,24.5200,24.5600,8618792,212019909.0000,2.611755,1,-0.162862,0,8.815524
2017-03-13,sh.600233,24.5600,24.6700,24.1400,24.5400,24.5200,7969002,194245445.0000,2.414849,1,0.081568,0,8.822714
2017-03-14,sh.600233,24.5500,25.1800,24.3100,25.1600,24.5400,13378804,332111984.0000,4.054183,1,2.526483,0,9.045619
2017-03-15,sh.600233,25.0300,25.1400,24.6300,24.7000,25.1600,9172983,227847040.0000,2.779692,1,-1.828295,0,8.880238
2017-03-16,sh.600233,24.7400,25.1900,24.7400,24.9200,24.7000,10330104,257865846.0000,3.130335,1,0.890685,0,8.959334
2017-03-17,sh.600233,24.9500,25.1200,24.8000,24.8400,24.9200,9158664,228418978.0000,2.775353,1,-0.321027,0,8.930572
2017-03-20,sh.600233,24.7600,24.7700,24.2300,24.3900,24.8400,8265931,201608284.0000,2.504828,1,-1.811597,0,8.768786
2017-03-21,sh.600233,24.3400,24.5500,24.2100,24.3300,24.3900,5104200,124444691.0000,1.546727,1,-0.246000,0,8.747214
2017-03-22,sh.600233,24.2200,24.2500,23.8000,24.0400,24.3300,8020352,192845181.0000,2.430410,1,-1.191940,0,8.642953
2017-03-23,sh.600233,24.0400,24.2600,23.8000,23.9900,24.0400,6884508,165238221.0000,2.086215,1,-0.207991,0,8.624976
2017-03-24,sh.600233,23.9300,24.1200,23.8200,23.9600,23.9900,5281438,126426718.0000,1.600436,1,-0.125055,0,8.614191
2017-03-27,sh.600233,24.0200,24.6700,23.9000,24.4800,23.9600,10725134,261468349.0000,3.250041,1,2.170286,0,8.801143
2017-03-28,sh.600233,24.4800,24.5200,24.1100,24.1600,24.4800,4856459,117608750.0000,1.471654,1,-1.307188,0,8.686095
2017-03-29,sh.600233,24.1600,24.2700,23.8100,23.8200,24.1600,5690731,136150662.0000,1.724464,1,-1.407285,0,8.563857
2017-03-30,sh.600233,23.8300,23.9000,22.7900,22.9600,23.8200,9571044,222306950.0000,2.900316,1,-3.610414,0,8.254667
2017-03-31,sh.600233,22.9600,23.2400,22.7300,22.9900,22.9600,4733938,108763899.0000,1.434527,1,0.130665,0,8.265453
2017-04-05,sh.600233,23.0000,23.4500,22.8800,23.4000,22.9900,6271622,145534345.0000,1.900492,1,1.783383,0,8.412857
2017-04-06,sh.600233,23.4000,23.5800,23.2100,23.2800,23.4000,4251282,99208597.0000,1.288267,1,-0.512816,0,8.369714
2017-04-07,sh.600233,23.2800,24.6900,23.2500,24.0400,23.2800,12205306,293522240.0000,3.698578,1,3.264606,0,8.642953
2017-04-10,sh.600233,24.3800,24.3800,23.5000,23.7700,24.0400,5937548,141097408.0000,1.799257,1,-1.123130,0,8.545881
2017-04-11,sh.600233,23.7400,23.8700,23.3100,23.5800,23.7700,6396634,150574800.0000,1.938374,1,-0.799329,0,8.477572
2017-04-12,sh.600233,23.3100,23.4700,23.2000,23.2000,23.5800,3899006,90845097.0000,1.181517,1,-1.611532,0,8.340953
2017-04-13,sh.600233,23.2000,23.4200,23.0000,23.0700,23.2000,3751952,86917508.0000,1.136955,1,-0.560349,0,8.294214
2017-04-14,sh.600233,23.1000,23.2000,22.5000,22.5700,23.0700,5162826,117327826.0000,1.564493,1,-2.167317,0,8.114453
2017-04-17,sh.600233,22.5700,22.7500,22.2000,22.3900,22.5700,3448900,77499809.0000,1.045121,1,-0.797520,0,8.049738
2017-04-18,sh.600233,22.3900,22.6000,22.0500,22.2400,22.3900,2933030,65446728.0000,0.888797,1,-0.669940,0,7.995810
2017-04-19,sh.600233,22.2400,22.2400,21.3800,21.6200,22.2400,5661670,122550202.0000,1.715658,1,-2.787765,0,7.772905
2017-04-20,sh.600233,21.6000,22.3000,21.5000,21.7800,21.6200,4119770,90179404.0000,1.248415,1,0.740055,0,7.830429
2017-04-21,sh.600233,21.7200,21.8700,21.6100,21.6200,21.7800,2432515,52772261.0000,0.737126,1,-0.734618,0,7.772905
2017-04-24,sh.600233,21.6200,21.6200,20.1100,20.2800,21.6200,4438400,91765179.0000,1.344970,1,-6.197965,0,7.291143
2017-04-25,sh.600233,20.3000,20.8500,20.3000,20.4000,20.2800,3558856,73126588.0000,1.078441,1,0.591711,0,7.334286
2017-04-26,sh.600233,20.4100,20.6600,20.2500,20.3200,20.4000,2782771,56700123.0000,0.843264,1,-0.392157,0,7.305524
2017-04-27,sh.600233,20.3400,20.6000,19.3400,20.5400,20.3200,6913912,138096605.0000,2.095125,1,1.082683,0,7.384619
2017-04-28,sh.600233,20.5300,20.5300,19.7700,20.3200,20.5400,4237224,85322890.0000,1.284007,1,-1.071087,0,6.756456
2017-05-02,sh.600233,20.3000,20.5200,20.0300,20.2100,20.3200,3214646,65084001.0000,0.974135,1,-0.541342,0,6.719881
2017-05-03,sh.600233,20.0700,20.3000,20.0100,20.0600,20.2100,2711638,54497174.0000,0.821708,1,-0.742205,0,6.670006
2017-05-04,sh.600233,20.0000,20.0000,19.7800,19.7900,20.0600,4293094,85114509.0000,1.300938,1,-1.345955,0,6.580230
2017-05-05,sh.600233,19.7700,19.7700,19.1900,19.2500,19.7900,4270774,82851257.0000,1.294174,1,-2.728655,0,6.400679
2017-05-08,sh.600233,19.2800,19.4000,19.0300,19.0700,19.2500,3275400,62942519.0000,0.992545,1,-0.935067,0,6.340828
2017-05-09,sh.600233,19.4000,20.9800,19.3000,20.1400,19.0700,11454680,232700195.0000,3.471115,1,5.610906,0,6.696606
2017-05-10,sh.600233,20.1000,20.2600,19.6100,19.6200,20.1400,6193451,122901768.0000,1.876803,1,-2.581919,0,6.523705
2017-05-11,sh.600233,19.6100,19.6100,18.6100,19.1300,19.6200,5031463,95995901.0000,1.524686,1,-2.497460,0,6.360778
2017-05-12,sh.600233,19.1300,19.6800,19.1000,19.6600,19.1300,5775234,112347963.0000,1.750071,1,2.770521,0,6.537005
2017-05-15,sh.600233,19.9500,20.0800,19.6000,19.6800,19.6600,3147053,62212361.0000,0.953652,1,0.101732,0,6.543655
2017-05-16,sh.600233,19.7000,21.2900,19.3500,21.0900,19.6800,12199366,251253712.0000,3.696778,1,7.164633,0,7.012484
2017-05-17,sh.600233,20.8800,21.4900,20.7000,20.7100,21.0900,8164634,171491432.0000,2.474132,1,-1.801807,0,6.886133
2017-05-18,sh.600233,20.5800,20.9400,20.3300,20.6400,20.7100,4432093,91624346.0000,1.343058,1,-0.338000,0,6.862857
2017-05-19,sh.600233,20.5600,20.7900,20.2200,20.2800,20.6400,2709897,55359602.0000,0.821181,1,-1.744180,0,6.743156
2017-05-22,sh.600233,20.1800,20.4500,19.8500,19.8700,20.2800,3059308,61488983.0000,0.927063,1,-2.021695,0,6.606830
2017-05-23,sh.600233,19.8600,21.1000,19.7100,19.9600,19.8700,8079405,164333794.0000,2.448305,1,0.452935,0,6.636755
2017-05-24,sh.600233,19.6400,20.2900,19.0000,20.1100,19.9600,7065540,139738102.0000,2.141073,1,0.751511,0,6.686631
2017-05-25,sh.600233,20.0000,20.1900,19.6200,19.8800,20.1100,4648146,92315320.0000,1.408529,1,-1.143717,0,6.610155
2017-05-26,sh.600233,19.8900,20.0900,19.6700,19.7200,19.8800,3271502,64778566.0000,0.991364,1,-0.804828,0,6.556955
2017-05-31,sh.600233,19.8000,20.2000,19.8000,19.8700,19.7200,4317106,86209176.0000,1.308214,1,0.760657,0,6.606830
2017-06-01,sh.600233,19.8600,19.9000,19.0000,19.1000,19.8700,6089250,117647655.0000,1.845227,1,-3.875191,0,6.350803
2017-06-02,sh.600233,19.2600,19.2900,18.6000,19.0900,19.1000,4646648,87876152.0000,1.408075,1,-0.052357,0,6.347478
2017-06-05,sh.600233,19.0800,19.4100,18.9500,19.2000,19.0900,4954875,95267408.0000,1.501477,1,0.576221,0,6.384053
2017-06-06,sh.600233,19.2000,19.2800,19.0600,19.2400,19.2000,2390487,45843672.0000,0.724390,1,0.208328,0,6.397353
2017-06-07,sh.600233,19.2500,19.6300,19.1100,19.5800,19.2400,5481808,106364886.0000,1.661154,1,1.767153,0,6.510404
2017-06-08,sh.600233,19.5700,19.5800,19.4000,19.4300,19.5800,3563840,69395792.0000,1.079952,1,-0.766086,0,6.460529
2017-06-09,sh.600233,19.4400,19.6800,19.1500,19.4200,19.4300,4785707,92794983.0000,1.450214,1,-0.051468,0,6.457204
2017-06-12,sh.600233,19.3500,19.3500,19.0800,19.0900,19.4200,3337490,63993922.0000,1.011361,1,-1.699279,0,6.347478
2017-06-13,sh.600233,19.0900,19.2500,19.0000,19.1900,19.0900,3355944,64207777.0000,1.016953,1,0.523836,0,6.380728
2017-06-14,sh.600233,19.2300,19.4400,19.0400,19.2600,19.1900,3687928,70867552.0000,1.117554,1,0.364772,0,6.404004
2017-06-15,sh.600233,19.4100,20.0000,19.3100,19.9800,19.2600,11123761,220480866.0000,3.370837,1,3.738314,0,6.643406
2017-06-16,sh.600233,20.0500,20.0700,19.6300,19.7600,19.9800,4352189,86019551.0000,1.318845,1,-1.101098,0,6.570255
2017-06-19,sh.600233,19.7600,20.3700,19.7600,20.1300,19.7600,6491791,130904950.0000,1.967209,1,1.872464,0,6.693281
2017-06-20,sh.600233,20.1300,20.2900,19.9200,20.0800,20.1300,3442579,68918244.0000,1.043206,1,-0.248382,0,6.676656
2017-06-21,sh.600233,20.1700,20.2500,19.9600,20.0900,20.0800,2859624,57421972.0000,0.866553,1,0.049802,0,6.679981
2017-06-22,sh.600233,20.1500,20.3000,19.8700,19.8800,20.0900,4568177,92126185.0000,1.384296,1,-1.045301,0,6.610155
2017-06-23,sh.600233,19.8900,19.9000,19.3600,19.6500,19.8800,3766527,73798157.0000,1.141372,1,-1.156939,0,6.533680
2017-06-26,sh.600233,19.6600,19.7600,19.3000,19.7500,19.6500,4887571,95797566.0000,1.481082,1,0.508908,0,6.566930
2017-06-27,sh.600233,19.7500,19.9500,19.6000,19.6800,19.6000,3648831,72038959.0000,1.105706,1,0.408163,0,6.543655
2017-06-28,sh.600233,19.5900,19.7600,19.3000,19.3100,19.6800,3594508,69673417.0000,1.089245,1,-1.880085,0,6.420629
2017-06-29,sh.600233,19.4300,19.5000,19.3000,19.3400,19.3100,1854102,35923003.0000,0.561849,1,0.155363,0,6.430604
2017-06-30,sh.600233,19.2300,20.1200,19.2100,19.5900,19.3400,5519162,108978959.0000,1.672473,1,1.292658,0,6.513729
2017-07-03,sh.600233,19.5100,19.6200,19.3500,19.5400,19.5900,2480703,48277691.0000,0.751728,1,-0.255228,0,6.497104
