date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600036,17.6000,17.9800,17.5700,17.9600,17.6000,30458320,543437232.0000,0.147648,1,2.045447,0,1.142623
2017-01-04,sh.600036,17.9000,18.1100,17.8500,18.0200,17.9600,25665746,461916736.0000,0.124416,1,0.334083,0,1.146440
2017-01-05,sh.600036,18.0500,18.2100,18.0300,18.1000,18.0200,24563935,445323280.0000,0.119075,1,0.443951,0,1.151530
2017-01-06,sh.600036,18.1000,18.1600,17.9600,17.9600,18.1000,17487854,315460240.0000,0.084773,1,-0.773488,0,1.142623
2017-01-09,sh.600036,18.0500,18.1300,17.9100,17.9400,17.9600,17346031,312457104.0000,0.084086,1,-0.111351,0,1.141351
2017-01-10,sh.600036,17.9500,18.0900,17.9100,17.9400,17.9400,10668237,191855417.0000,0.051715,1,0.000000,0,1.141351
2017-01-11,sh.600036,18.0300,18.0700,17.9300,17.9600,17.9400,13428968,241615359.0000,0.065098,1,0.111475,0,1.142623
2017-01-12,sh.600036,17.9500,18.1300,17.9400,18.0000,17.9600,14095858,254229662.0000,0.068330,1,0.222722,0,1.145168
2017-01-13,sh.600036,18.0000,18.3800,17.9800,18.2200,18.0000,25117871,456928160.0000,0.121760,1,1.222218,0,1.159165
2017-01-16,sh.600036,18.1800,18.5900,18.1600,18.5800,18.2200,75104666,1385245872.0000,0.364074,1,1.975854,0,1.182068
2017-01-17,sh.600036,18.5000,18.5900,18.4300,18.4500,18.5800,23566010,435835488.0000,0.114238,1,-0.699673,0,1.173797
2017-01-18,sh.600036,18.4900,18.6100,18.4700,18.5900,18.4500,17879565,331977184.0000,0.086672,1,0.758804,0,1.182704
2017-01-19,sh.600036,18.5500,18.7400,18.5100,18.5200,18.5900,13117422,244232036.0000,0.063587,1,-0.376545,0,1.178251
2017-01-20,sh.600036,18.5400,18.6500,18.4700,18.5900,18.5200,21739051,403155088.0000,0.105381,1,0.377968,0,1.182704
2017-01-23,sh.600036,18.6800,18.7600,18.4100,18.5000,18.5900,19879818,369761616.0000,0.096369,1,-0.484132,0,1.176978
2017-01-24,sh.600036,18.5900,18.8800,18.5000,18.8700,18.5000,25543630,479286640.0000,0.123824,1,2.000005,0,1.200518
2017-01-25,sh.600036,18.8100,18.9500,18.6800,18.8800,18.8700,15272178,287271136.0000,0.074033,1,0.052985,0,1.201154
2017-01-26,sh.600036,18.9000,19.2500,18.8200,19.0000,18.8800,27318666,521508256.0000,0.132429,1,0.635598,0,1.208789
2017-02-03,sh.600036,19.0800,19.0800,18.6600,18.7000,19.0000,23307310,437172384.0000,0.112984,1,-1.578943,0,1.189702
2017-02-06,sh.600036,18.8800,18.9000,18.5400,18.6200,18.7000,24044319,449830960.0000,0.116556,1,-0.427807,0,1.184613
2017-02-07,sh.600036,18.6300,18.6800,18.5500,18.5700,18.6200,22941249,426839072.0000,0.111209,1,-0.268535,0,1.181432
2017-02-08,sh.600036,18.5500,18.6000,18.4800,18.6000,18.5700,19710326,365540224.0000,0.095547,1,0.161555,0,1.183340
2017-02-09,sh.600036,18.5900,18.9300,18.5900,18.7300,18.6000,22249868,418114736.0000,0.107858,1,0.698920,0,1.191611
2017-02-10,sh.600036,18.8600,18.9700,18.7300,18.9000,18.7300,39642813,748379536.0000,0.192171,1,0.907635,0,1.202426
2017-02-13,sh.600036,18.9000,19.0900,18.8900,18.9700,18.9000,25330996,480693328.0000,0.122793,1,0.370369,0,1.206880
2017-02-14,sh.600036,19.0000,19.0300,18.8100,18.8700,18.9700,23787741,449426416.0000,0.115312,1,-0.527140,0,1.200518
2017-02-15,sh.600036,18.9700,19.2300,18.9000,19.1300,18.8700,59684478,1140926368.0000,0.289324,1,1.377839,0,1.217059
2017-02-16,sh.600036,19.1900,19.3400,19.0400,19.1400,19.1300,35223424,674770080.0000,0.170748,1,0.052275,0,1.217695
2017-02-17,sh.600036,19.1900,19.2300,18.9800,19.0200,19.1400,17980608,343397824.0000,0.087162,1,-0.626954,0,1.210061
2017-02-20,sh.600036,19.0300,19.5000,18.9800,19.4000,19.0200,44635085,864176288.0000,0.216371,1,1.997893,0,1.234237
2017-02-21,sh.600036,19.4300,19.8100,19.3900,19.4100,19.4000,30056784,588854416.0000,0.145702,1,0.051548,0,1.234873
2017-02-22,sh.600036,19.4300,19.5700,19.3000,19.4000,19.4100,22550262,437723376.0000,0.109314,1,-0.051521,0,1.234237
2017-02-23,sh.600036,19.4100,19.4400,19.2700,19.3800,19.4000,15656602,303013872.0000,0.075896,1,-0.103095,0,1.232964
2017-02-24,sh.600036,19.3800,19.5000,19.2700,19.4300,19.3800,20702260,401104880.0000,0.100355,1,0.258004,0,1.236145
2017-02-27,sh.600036,19.3800,19.5700,19.2600,19.4100,19.4300,25452155,494391312.0000,0.123381,1,-0.102936,0,1.234873
2017-02-28,sh.600036,19.4000,19.5800,19.3600,19.4400,19.4100,16595374,323451600.0000,0.080447,1,0.154563,0,1.236782
2017-03-01,sh.600036,19.4500,19.5100,19.2800,19.3400,19.4400,23983933,464816272.0000,0.116264,1,-0.514405,0,1.230419
2017-03-02,sh.600036,19.3800,19.4500,19.0700,19.1000,19.3400,24151335,463994960.0000,0.117075,1,-1.240950,0,1.215151
2017-03-03,sh.600036,19.0700,19.1700,18.9500,19.0100,19.1000,16972146,323332720.0000,0.082273,1,-0.471205,0,1.209425
2017-03-06,sh.600036,19.0100,19.3900,19.0000,19.0600,19.0100,23808114,457260944.0000,0.115411,1,0.263015,0,1.212606
