date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600977,23.1000,23.2500,22.9400,23.1800,23.0900,7405987,171309103.0000,1.585864,1,0.389780,0,4.521311
2017-01-04,sh.600977,23.1700,23.6700,23.1100,23.6500,23.1800,14114779,331298928.0000,3.022437,1,2.027607,0,4.612985
2017-01-05,sh.600977,23.5900,23.7500,23.4600,23.5200,23.6500,8362088,197017777.0000,1.790597,1,-0.549679,0,4.587629
2017-01-06,sh.600977,23.5100,23.5100,22.9800,23.1500,23.5200,9938378,230311859.0000,2.128132,1,-1.573133,0,4.515459
2017-01-09,sh.600977,23.0000,23.0800,22.7300,23.0500,23.1500,8746027,200352117.0000,1.872811,1,-0.431967,0,4.495954
2017-01-10,sh.600977,22.9100,23.1800,22.8800,22.9800,23.0500,6267843,144309545.0000,1.342151,1,-0.303686,0,4.482300
2017-01-11,sh.600977,22.9100,23.0000,22.0600,22.1000,22.9800,11570634,260721994.0000,2.477652,1,-3.829413,0,4.310654
2017-01-12,sh.600977,22.0500,22.2200,21.5100,21.5900,22.1000,11383000,248397343.0000,2.437473,1,-2.307693,0,4.211178
2017-01-13,sh.600977,21.5700,21.6800,20.8000,20.8700,21.5900,13534738,286286208.0000,2.898231,1,-3.334874,0,4.070740
2017-01-16,sh.600977,20.7800,20.7800,19.3200,19.9000,20.8700,16404734,330020064.0000,3.512791,1,-4.647826,0,3.881539
2017-01-17,sh.600977,19.8200,20.5900,19.7000,20.3600,19.9000,11851658,238570382.0000,2.537828,1,2.311563,0,3.971264
2017-01-18,sh.600977,20.3200,20.3300,19.9500,19.9900,20.3600,5702425,114850476.0000,1.221076,1,-1.817293,0,3.899094
2017-01-19,sh.600977,19.8900,20.8000,19.6700,20.4700,19.9900,15916859,324353264.0000,3.408321,1,2.401198,0,3.992719
2017-01-20,sh.600977,20.3900,21.3400,20.3300,21.1900,20.4700,18921571,397865568.0000,4.051728,1,3.517349,0,4.133157
