date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.601668,8.8300,8.9300,8.7500,8.8700,8.8600,219172938,1942065840.0000,0.731874,1,0.112869,0,1.572051
2017-01-04,sh.601668,8.8400,9.0400,8.8100,8.9700,8.8700,265395729,2371518464.0000,0.886224,1,1.127400,0,1.589774
2017-01-05,sh.601668,8.9500,8.9900,8.8300,8.9300,8.9700,218051153,1939765136.0000,0.728128,1,-0.445930,0,1.582685
2017-01-06,sh.601668,8.9500,9.0300,8.8600,8.8800,8.9300,186092250,1661014128.0000,0.621409,1,-0.559913,0,1.573823
2017-01-09,sh.601668,8.8800,9.0300,8.8000,8.9500,8.8800,252163216,2251141792.0000,0.842037,1,0.788285,0,1.586229
2017-01-10,sh.601668,8.9400,9.0100,8.8500,8.8800,8.9500,199857612,1782490704.0000,0.667375,1,-0.782119,0,1.573823
2017-01-11,sh.601668,8.8500,8.8800,8.6600,8.7400,8.8800,284839808,2496122816.0000,0.951152,1,-1.576581,0,1.549010
2017-01-12,sh.601668,8.7000,8.7800,8.5800,8.6000,8.7400,186428105,1620699808.0000,0.622531,1,-1.601824,0,1.524198
2017-01-13,sh.601668,8.5900,8.6400,8.3900,8.5400,8.6000,321367808,2735919664.0000,1.073128,1,-0.697679,0,1.513564
2017-01-16,sh.601668,8.5000,8.6900,8.3300,8.6500,8.5400,397900560,3388723168.0000,1.328691,1,1.288052,0,1.533060
2017-01-17,sh.601668,8.5800,8.6500,8.5200,8.6000,8.6500,113078739,971109344.0000,0.377599,1,-0.578026,0,1.524198
2017-01-18,sh.601668,8.6000,8.8400,8.5700,8.7400,8.6000,229339508,2005566656.0000,0.765823,1,1.627900,0,1.549010
2017-01-19,sh.601668,8.6800,8.7900,8.6000,8.6700,8.7400,149478820,1299433776.0000,0.499148,1,-0.800912,0,1.536604
2017-01-20,sh.601668,8.6500,8.7500,8.6200,8.7200,8.6700,99587687,866630224.0000,0.332549,1,0.576704,0,1.545466
2017-01-23,sh.601668,8.7000,8.8400,8.7000,8.8300,8.7200,159641947,1399826336.0000,0.533085,1,1.261464,0,1.564961
2017-01-24,sh.601668,8.8100,8.8700,8.7800,8.8000,8.8300,132862936,1172354400.0000,0.443663,1,-0.339748,0,1.559644
2017-01-25,sh.601668,8.8100,9.0700,8.7800,8.9800,8.8000,279320592,2510736752.0000,0.932722,1,2.045447,0,1.591546
2017-01-26,sh.601668,9.0000,9.0600,8.8700,8.9400,8.9800,197663638,1767986864.0000,0.660049,1,-0.445434,0,1.584457
2017-02-03,sh.601668,8.9100,8.9300,8.8000,8.8400,8.9400,113636422,1006476672.0000,0.379461,1,-1.118562,0,1.566734
2017-02-06,sh.601668,8.8300,8.9700,8.8100,8.8700,8.8400,171876438,1527506288.0000,0.573939,1,0.339363,0,1.572051
2017-02-07,sh.601668,8.8800,8.8800,8.7300,8.8000,8.8700,159638045,1403837504.0000,0.533072,1,-0.789174,0,1.559644
2017-02-08,sh.601668,8.7800,8.8500,8.7200,8.8400,8.8000,146922412,1292247584.0000,0.490611,1,0.454545,0,1.566734
2017-02-09,sh.601668,8.8300,8.9900,8.8100,8.8700,8.8400,391760576,3484080496.0000,1.308188,1,0.339363,0,1.572051
2017-02-10,sh.601668,8.8700,9.3100,8.8600,9.1800,8.8700,774991104,7060793856.0000,2.587892,1,3.494931,0,1.626993
2017-02-13,sh.601668,9.1600,9.2800,9.1100,9.2100,9.1800,417995904,3833961296.0000,1.395794,1,0.326794,0,1.632310
2017-02-14,sh.601668,9.2200,9.2500,9.1200,9.2000,9.2100,290221264,2659811088.0000,0.977614,1,-0.108580,0,1.630537
2017-02-15,sh.601668,9.1800,9.1900,9.0100,9.0400,9.2000,275215136,2504221840.0000,0.927066,1,-1.739129,0,1.602180
2017-02-16,sh.601668,9.0400,9.0800,8.9700,9.0700,9.0400,193496468,1746537808.0000,0.651795,1,0.331855,0,1.607497
2017-02-17,sh.601668,9.0400,9.0600,8.8800,8.8900,9.0700,194913531,1746865472.0000,0.656569,1,-1.984557,0,1.575595
2017-02-20,sh.601668,8.8800,9.0900,8.8600,9.0700,8.8900,254501493,2293606320.0000,0.857292,1,2.024740,0,1.607497
2017-02-21,sh.601668,9.0900,9.1100,8.9800,9.0600,9.0700,224489344,2029800688.0000,0.756195,1,-0.110246,0,1.605725
2017-02-22,sh.601668,9.0500,9.0800,9.0000,9.0500,9.0600,169570613,1532605568.0000,0.571201,1,-0.110378,0,1.603952
2017-02-23,sh.601668,9.0600,9.0700,8.9000,8.9600,9.0500,199722348,1790373920.0000,0.672767,1,-0.994477,0,1.588002
2017-02-24,sh.601668,8.9500,9.0400,8.9200,9.0300,8.9600,170193168,1529701024.0000,0.573298,1,0.781247,0,1.600408
2017-02-27,sh.601668,9.0100,9.0200,8.8200,8.8300,9.0300,214379115,1909097456.0000,0.722139,1,-2.214838,0,1.564961
2017-02-28,sh.601668,8.8400,8.8900,8.8100,8.8500,8.8300,111156420,983211664.0000,0.374432,1,0.226506,0,1.568506
2017-03-01,sh.601668,8.8500,8.9500,8.8100,8.8500,8.8500,178531474,1583176064.0000,0.601386,1,0.000000,0,1.568506
2017-03-02,sh.601668,8.8700,8.8800,8.6700,8.6800,8.8500,235609909,2066290496.0000,0.793655,1,-1.920905,0,1.538377
2017-03-03,sh.601668,8.6500,8.6900,8.5500,8.6800,8.6800,183172712,1576755024.0000,0.617020,1,0.000000,0,1.538377
2017-03-06,sh.601668,8.6700,8.6700,8.5900,8.6300,8.6800,116054471,1001440400.0000,0.390931,1,-0.576039,0,1.529515
