date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2019-06-28,sh.601698,3.2600,3.9200,3.2600,3.9200,2.7200,236595,923426.0000,0.059149,1,44.117650,0,1.605929
2019-07-01,sh.601698,4.3100,4.3100,4.3100,4.3100,3.9200,170867,736437.0000,0.042717,1,9.948977,0,1.765702
2019-07-02,sh.601698,4.7400,4.7400,4.7400,4.7400,4.3100,162136,768525.0000,0.040534,1,9.976794,0,1.941863
2019-07-03,sh.601698,5.2100,5.2100,5.2100,5.2100,4.7400,404148,2105611.0000,0.101037,1,9.915618,0,2.134410
2019-07-04,sh.601698,5.7300,5.7300,5.7300,5.7300,5.2100,553125,3169406.0000,0.138281,1,9.980806,0,2.347441
2019-07-05,sh.601698,6.3000,6.3000,6.3000,6.3000,5.7300,910003,5733019.0000,0.227501,1,9.947647,0,2.580957
2019-07-08,sh.601698,6.9300,6.9300,6.9300,6.9300,6.3000,1436196,9952838.0000,0.359049,1,9.999994,0,2.839052
2019-07-09,sh.601698,7.6200,7.6200,7.6200,7.6200,6.9300,1803002,13738875.0000,0.450750,1,9.956711,0,3.121728
2019-07-10,sh.601698,8.3800,8.3800,8.3800,8.3800,7.6200,1762684,14771292.0000,0.440671,1,9.973756,0,3.433082
2019-07-11,sh.601698,9.2200,9.2200,9.2200,9.2200,8.3800,1086550,10017991.0000,0.271637,1,10.023870,0,3.777210
2019-07-12,sh.601698,10.1400,10.1400,10.1400,10.1400,9.2200,21911864,222186301.0000,5.477966,1,9.978309,0,4.154111
2019-07-15,sh.601698,11.0000,11.1500,10.7500,11.1500,10.1400,135431270,1494044635.0000,33.857817,1,9.960545,0,4.567884
2019-07-16,sh.601698,12.2700,12.2700,11.9000,12.2700,11.1500,96127722,1173472024.0000,24.031931,1,10.044850,0,5.026720
2019-07-17,sh.601698,12.8800,13.1200,11.6500,11.7300,12.2700,260239693,3193670937.0000,65.059923,1,-4.400985,0,4.805495
2019-07-18,sh.601698,11.6400,12.9000,11.4600,12.9000,11.7300,257902515,3191154134.0000,64.475629,1,9.974425,0,5.284816
2019-07-19,sh.601698,12.2000,12.6200,12.0300,12.3600,12.9000,169950172,2092081913.0000,42.487543,1,-4.186047,0,5.063591
2019-07-22,sh.601698,12.3500,12.6300,11.1200,11.1400,12.3600,154694689,1802352693.0000,38.673672,1,-9.870544,0,4.563787
2019-07-23,sh.601698,10.8300,10.9400,10.3800,10.8100,11.1400,130883820,1396333296.0000,32.720955,1,-2.962297,0,4.428594
2019-07-24,sh.601698,10.6500,11.3700,10.6100,11.1000,10.8100,133189755,1469489108.0000,33.297439,1,2.682701,0,4.547400
2019-07-25,sh.601698,10.9700,11.0200,10.6000,10.7300,11.1000,99511548,1070710000.0000,24.877887,1,-3.333341,0,4.395820
