date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.601766,9.7500,9.8900,9.7500,9.8400,9.7700,60555344,595123728.0000,0.264230,1,0.716476,0,2.674237
2017-01-04,sh.601766,9.8500,9.9700,9.8300,9.9400,9.8400,87247071,865910448.0000,0.380697,1,1.016254,0,2.701414
2017-01-05,sh.601766,9.9400,9.9400,9.8700,9.9000,9.9400,70332394,696281552.0000,0.306891,1,-0.402414,0,2.690543
2017-01-06,sh.601766,9.9100,10.0500,9.9000,9.9400,9.9000,98758783,984292960.0000,0.430928,1,0.404040,0,2.701414
2017-01-09,sh.601766,9.9200,10.1400,9.9100,10.1400,9.9400,129091714,1295934416.0000,0.563284,1,2.012080,0,2.755769
2017-01-10,sh.601766,10.1200,10.1400,10.0100,10.0600,10.1400,79123623,795310464.0000,0.345251,1,-0.788954,0,2.734027
2017-01-11,sh.601766,10.0500,10.0900,9.9400,9.9700,10.0600,76861991,768807840.0000,0.335383,1,-0.894634,0,2.709567
2017-01-12,sh.601766,9.9500,10.0500,9.8700,9.8700,9.9700,70340782,701010480.0000,0.306928,1,-1.003013,0,2.682390
2017-01-13,sh.601766,9.8500,9.9400,9.7500,9.9000,9.8700,102148627,1004812336.0000,0.445720,1,0.303949,0,2.690543
2017-01-16,sh.601766,9.8500,10.0600,9.6800,10.0100,9.9000,185394371,1831437776.0000,0.808957,1,1.111117,0,2.720438
2017-01-17,sh.601766,9.9500,9.9600,9.8300,9.9400,10.0100,55108393,545627088.0000,0.240462,1,-0.699307,0,2.841006
2017-01-18,sh.601766,9.9200,10.0100,9.9000,9.9500,9.9400,51606730,514719520.0000,0.225183,1,0.100606,0,2.843864
2017-01-19,sh.601766,9.9300,9.9300,9.8400,9.8600,9.9500,38769749,382867856.0000,0.169170,1,-0.904524,0,2.818141
2017-01-20,sh.601766,9.8500,9.9500,9.8400,9.9300,9.8600,38044315,377089728.0000,0.166004,1,0.709946,0,2.838148
2017-01-23,sh.601766,9.9200,10.0200,9.9100,9.9700,9.9300,39578652,394836512.0000,0.172699,1,0.402819,0,2.849580
2017-01-24,sh.601766,9.9800,10.0100,9.9400,9.9800,9.9700,47261630,471212304.0000,0.206223,1,0.100294,0,2.852438
2017-01-25,sh.601766,9.9900,10.0300,9.9600,10.0100,9.9800,45732391,457493696.0000,0.199551,1,0.300608,0,2.861013
2017-01-26,sh.601766,10.0200,10.0400,9.9900,10.0000,10.0100,37138512,371687264.0000,0.162052,1,-0.099902,0,2.858155
2017-02-03,sh.601766,10.0300,10.0600,9.9700,9.9700,10.0000,26523171,265158660.0000,0.115732,1,-0.299997,0,2.849580
2017-02-06,sh.601766,9.9800,10.0500,9.9600,10.0000,9.9700,46993836,470268304.0000,0.205055,1,0.300900,0,2.858155
2017-02-07,sh.601766,10.0100,10.0100,9.9200,9.9500,10.0000,39686346,395277872.0000,0.173169,1,-0.500002,0,2.843864
2017-02-08,sh.601766,9.9200,9.9500,9.8300,9.9500,9.9500,49429585,488567984.0000,0.215683,1,0.000000,0,2.843864
2017-02-09,sh.601766,9.9300,10.1200,9.9100,10.0500,9.9500,89941358,904244544.0000,0.392454,1,1.005029,0,2.872445
2017-02-10,sh.601766,10.0500,10.5400,10.0500,10.3500,10.0500,231866963,2399237680.0000,1.011738,1,2.985076,0,2.958190
2017-02-13,sh.601766,10.3500,10.6800,10.3100,10.4100,10.3500,195348098,2044915936.0000,0.852390,1,0.579705,0,2.975339
2017-02-14,sh.601766,10.3800,10.4800,10.3200,10.4400,10.4100,85350183,886704544.0000,0.372420,1,0.288182,0,2.983914
2017-02-15,sh.601766,10.4300,10.6500,10.3400,10.3700,10.4400,157538888,1656240000.0000,0.687412,1,-0.670495,0,2.963906
2017-02-16,sh.601766,10.3700,10.4000,10.2600,10.3800,10.3700,76932149,795275008.0000,0.335689,1,0.096434,0,2.966765
2017-02-17,sh.601766,10.3600,10.3900,10.2100,10.2500,10.3800,80457157,826819152.0000,0.351070,1,-1.252410,0,2.929609
2017-02-20,sh.601766,10.2600,10.3800,10.2500,10.3700,10.2500,123184678,1270543248.0000,0.537509,1,1.170731,0,2.963906
2017-02-21,sh.601766,10.3900,10.5000,10.3700,10.4700,10.3700,103678718,1081419744.0000,0.452396,1,0.964324,0,2.992488
2017-02-22,sh.601766,10.4700,10.4700,10.3800,10.4400,10.4700,62650368,652809728.0000,0.273371,1,-0.286540,0,2.983914
2017-02-23,sh.601766,10.4400,10.5800,10.4000,10.4700,10.4400,102314193,1071951280.0000,0.446442,1,0.287363,0,2.992488
2017-02-24,sh.601766,10.4600,10.4600,10.3100,10.4000,10.4700,68872459,714291056.0000,0.300521,1,-0.668583,0,2.972481
2017-02-27,sh.601766,10.3700,10.4300,10.2600,10.2900,10.4000,56231253,581889424.0000,0.245362,1,-1.057689,0,2.941041
2017-02-28,sh.601766,10.2900,10.3400,10.2700,10.3200,10.2900,41796129,430442160.0000,0.182375,1,0.291543,0,2.949616
2017-03-01,sh.601766,10.3200,10.4400,10.2800,10.4000,10.3200,81420660,845837264.0000,0.355274,1,0.775193,0,2.972481
2017-03-02,sh.601766,10.4000,10.4800,10.2500,10.2600,10.4000,69016488,714055584.0000,0.301149,1,-1.346148,0,2.932467
2017-03-03,sh.601766,10.2100,10.2900,10.1600,10.2700,10.2600,62598566,638602672.0000,0.273145,1,0.097468,0,2.935325
2017-03-06,sh.601766,10.2700,10.2900,10.2100,10.2500,10.2700,38778747,396797536.0000,0.169209,1,-0.194746,0,2.929609
2017-03-07,sh.601766,10.2400,10.2500,10.1500,10.2000,10.2500,57475099,585088496.0000,0.250789,1,-0.487807,0,2.915318
2017-03-08,sh.601766,10.1800,10.2700,10.1400,10.1900,10.2000,36408916,371816080.0000,0.158868,1,-0.098041,0,2.912460
2017-03-09,sh.601766,10.1700,10.1800,10.0500,10.1500,10.1900,58422419,590233648.0000,0.254923,1,-0.392541,0,2.901027
2017-03-10,sh.601766,10.1100,10.1400,10.0400,10.0500,10.1500,32925731,331932224.0000,0.143669,1,-0.985216,0,2.872445
2017-03-13,sh.601766,10.0400,10.1300,9.9500,10.1200,10.0500,44697898,448835456.0000,0.195037,1,0.696514,0,2.892453
2017-03-14,sh.601766,10.1200,10.1700,10.0500,10.1100,10.1200,45272472,457910656.0000,0.197544,1,-0.098816,0,2.889594
2017-03-15,sh.601766,10.0900,10.1700,10.0400,10.1400,10.1100,46938296,475058176.0000,0.204812,1,0.296743,0,2.898169
2017-03-16,sh.601766,10.1400,10.2200,10.1300,10.2000,10.1400,50786383,517310656.0000,0.221603,1,0.591711,0,2.915318
2017-03-17,sh.601766,10.2200,10.2500,10.0700,10.1200,10.2000,57736676,587717168.0000,0.251931,1,-0.784313,0,2.892453
2017-03-20,sh.601766,10.1300,10.2500,10.0900,10.2100,10.1200,60717137,617837808.0000,0.264936,1,0.889330,0,2.918176
2017-03-21,sh.601766,10.2000,10.3300,10.1700,10.2700,10.2100,69122626,709950624.0000,0.301613,1,0.587663,0,2.935325
2017-03-22,sh.601766,10.2700,10.4500,10.2100,10.2900,10.2700,107816542,1112686736.0000,0.470451,1,0.194737,0,2.941041
2017-03-23,sh.601766,10.3000,10.3700,10.1100,10.2200,10.2900,81277423,832600144.0000,0.354649,1,-0.680269,0,2.921034
2017-03-24,sh.601766,10.2100,10.6600,10.1800,10.5500,10.2200,249641843,2613521904.0000,1.089297,1,3.228962,0,3.015353
2017-03-27,sh.601766,10.5200,10.6600,10.4300,10.4600,10.5500,118568183,1248427664.0000,0.517365,1,-0.853082,0,2.989630
2017-03-28,sh.601766,10.5000,10.5400,10.3900,10.4700,10.4600,86252868,903451600.0000,0.376359,1,0.095604,0,2.992488
2017-03-29,sh.601766,10.4500,10.6300,10.4000,10.5000,10.4700,118554484,1247671632.0000,0.517306,1,0.286530,0,3.001062
2017-03-30,sh.601766,10.4500,10.4600,10.2100,10.3100,10.5000,126996220,1312402032.0000,0.554141,1,-1.809520,0,2.821809
2017-03-31,sh.601766,10.3000,10.3000,10.1100,10.2400,10.3100,101416860,1032289920.0000,0.442526,1,-0.678959,0,2.802650
2017-04-05,sh.601766,10.3000,10.6900,10.3000,10.6400,10.2400,229301817,2418217936.0000,1.000545,1,3.906255,0,2.912128
