date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600028,5.4200,5.5200,5.4000,5.5100,5.4100,102820610,562683776.0000,0.107600,1,1.848436,0,0.963031
2017-01-04,sh.600028,5.4800,5.5900,5.4600,5.5700,5.5100,100782981,559970896.0000,0.105468,1,1.088928,0,0.973518
2017-01-05,sh.600028,5.5500,5.8100,5.5400,5.7500,5.5700,238697795,1359467408.0000,0.249794,1,3.231595,0,1.004978
2017-01-06,sh.600028,5.7800,6.0100,5.7400,5.8700,5.7500,328612080,1945425232.0000,0.343888,1,2.086955,0,1.025952
2017-01-09,sh.600028,5.8700,6.0300,5.8300,5.8600,5.8700,208412805,1234397664.0000,0.218101,1,-0.170353,0,1.024204
2017-01-10,sh.600028,5.8000,5.9100,5.7400,5.9000,5.8600,128579670,748621136.0000,0.134557,1,0.682593,0,1.031195
2017-01-11,sh.600028,5.8600,5.9100,5.7600,5.7600,5.9000,113645456,663075248.0000,0.118929,1,-2.372879,0,1.006726
2017-01-12,sh.600028,5.7800,5.9100,5.7400,5.8300,5.7600,147131914,859151616.0000,0.153972,1,1.215272,0,1.018961
2017-01-13,sh.600028,5.8200,5.9700,5.7800,5.8900,5.8300,131748720,776759360.0000,0.137873,1,1.029159,0,1.029447
2017-01-16,sh.600028,5.8900,5.9800,5.8300,5.9600,5.8900,255364546,1515296304.0000,0.267236,1,1.188458,0,1.041682
2017-01-17,sh.600028,5.9400,6.0700,5.9400,5.9900,5.9600,196082021,1178091472.0000,0.205197,1,0.503351,0,1.046925
2017-01-18,sh.600028,6.0000,6.0200,5.9300,5.9700,5.9900,105178283,627752512.0000,0.110068,1,-0.333890,0,1.043430
2017-01-19,sh.600028,5.9400,5.9600,5.7700,5.8600,5.9700,227103441,1325492112.0000,0.237661,1,-1.842540,0,1.024204
2017-01-20,sh.600028,5.8200,5.8800,5.8000,5.8600,5.8600,77271346,451542576.0000,0.080863,1,0.000000,0,1.024204
2017-01-23,sh.600028,5.8700,5.9000,5.8100,5.8700,5.8600,120774518,707945328.0000,0.126389,1,0.170644,0,1.025952
2017-01-24,sh.600028,5.8700,6.0700,5.8500,6.0600,5.8700,220296860,1320861536.0000,0.230538,1,3.236798,0,1.059160
2017-01-25,sh.600028,6.0400,6.0800,5.9800,6.0500,6.0600,99044084,598337920.0000,0.103648,1,-0.165012,0,1.057412
2017-01-26,sh.600028,6.0500,6.0900,5.9700,6.0300,6.0500,88310889,532030976.0000,0.092416,1,-0.330578,0,1.053916
2017-02-03,sh.600028,6.0300,6.0400,5.9000,5.9500,6.0300,59164260,351674880.0000,0.061915,1,-1.326706,0,1.039934
2017-02-06,sh.600028,5.9500,5.9900,5.8900,5.9500,5.9500,91671807,543982192.0000,0.095933,1,0.000000,0,1.039934
2017-02-07,sh.600028,5.9200,5.9400,5.8300,5.8700,5.9500,120022911,705701200.0000,0.125602,1,-1.344537,0,1.025952
2017-02-08,sh.600028,5.8300,5.8800,5.7900,5.8500,5.8700,145172865,846179504.0000,0.151922,1,-0.340715,0,1.022456
2017-02-09,sh.600028,5.8500,5.8500,5.7400,5.8100,5.8500,297648624,1724814080.0000,0.311486,1,-0.683760,0,1.015465
