date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000063,15.9900,16.2700,15.9000,16.2000,15.9500,20062983,324116416.0000,0.585899,1,1.567404,0,2.139682
2017-01-04,sz.000063,16.2000,16.2200,16.0600,16.1500,16.2000,18185991,293351552.0000,0.531086,1,-0.308649,0,2.133078
2017-01-05,sz.000063,16.1800,16.2000,15.8500,15.8800,16.1500,30229481,482052096.0000,0.882792,1,-1.671824,0,2.097417
2017-01-06,sz.000063,15.8700,15.9400,15.6100,15.6300,15.8800,23102502,363094496.0000,0.674663,1,-1.574307,0,2.064397
2017-01-09,sz.000063,15.5500,15.5500,14.9100,15.0500,15.6300,77286913,1166409632.0000,2.257010,1,-3.710812,0,1.987791
2017-01-10,sz.000063,15.0100,15.1500,14.9600,15.0000,15.0500,30724511,461663984.0000,0.897248,1,-0.332227,0,1.981187
2017-01-11,sz.000063,14.9800,15.0100,14.8000,14.9300,15.0000,24737224,368236832.0000,0.722401,1,-0.466665,0,1.971942
2017-01-12,sz.000063,14.9000,15.1800,14.8600,15.1700,14.9300,35905761,540847808.0000,1.048556,1,1.607500,0,2.003641
2017-01-13,sz.000063,15.1200,15.1500,14.8500,14.9000,15.1700,15265363,228271946.0000,0.445795,1,-1.779832,0,1.967979
2017-01-16,sz.000063,14.8800,14.8800,14.4500,14.6400,14.9000,30856422,449877296.0000,0.901100,1,-1.744962,0,1.933639
2017-01-17,sz.000063,14.6300,14.7900,14.5700,14.7900,14.6400,12104716,177649943.0000,0.353494,1,1.024588,0,1.953450
2017-01-18,sz.000063,14.7900,15.0000,14.7300,14.9900,14.7900,20178306,301009280.0000,0.589267,1,1.352264,0,1.979866
2017-01-19,sz.000063,14.9500,15.0500,14.8400,14.8600,14.9900,11508438,172010595.0000,0.336081,1,-0.867246,0,1.962696
2017-01-20,sz.000063,14.8500,15.0300,14.8500,14.9800,14.8600,11296301,169270722.0000,0.329886,1,0.807536,0,1.978545
2017-01-23,sz.000063,14.9800,15.0800,14.9600,14.9900,14.9800,11537061,173439679.0000,0.336917,1,0.066757,0,1.979866
2017-01-24,sz.000063,15.0400,15.1000,14.9000,15.0800,14.9900,16262715,244264712.0000,0.474920,1,0.600401,0,1.991753
2017-01-25,sz.000063,15.0500,15.2900,14.9500,15.2900,15.0800,22278994,337373408.0000,0.650614,1,1.392573,0,2.019490
2017-01-26,sz.000063,15.2200,15.2800,15.1300,15.1500,15.2900,16977622,257988226.0000,0.495798,1,-0.915633,0,2.000999
2017-02-03,sz.000063,15.1300,15.1300,14.9800,15.0000,15.1500,10108094,151809039.0000,0.295092,1,-0.990096,0,1.981710
2017-02-06,sz.000063,15.0000,15.1100,14.9800,15.0700,15.0000,9363077,140862143.0000,0.273342,1,0.466665,0,1.990958
2017-02-07,sz.000063,15.0700,15.0700,14.8800,14.9300,15.0700,13704698,204992481.0000,0.400089,1,-0.928994,0,1.972462
2017-02-08,sz.000063,14.9100,15.0100,14.8200,14.9900,14.9300,13495686,201072937.0000,0.393988,1,0.401872,0,1.980389
2017-02-09,sz.000063,15.0000,15.1500,14.9400,15.1500,14.9900,21708115,327030800.0000,0.633738,1,1.067377,0,2.001527
2017-02-10,sz.000063,15.1500,15.2500,15.0700,15.2100,15.1500,24527740,372148528.0000,0.716053,1,0.396042,0,2.009454
2017-02-13,sz.000063,15.2000,15.3100,15.1600,15.2700,15.2100,21181908,323294176.0000,0.618376,1,0.394480,0,2.017381
2017-02-14,sz.000063,15.2300,15.7500,15.1700,15.5100,15.2700,52264641,810321328.0000,1.525793,1,1.571708,0,2.049088
2017-02-15,sz.000063,15.5900,15.7200,15.3300,15.3700,15.5100,33878612,527432096.0000,0.989039,1,-0.902646,0,2.030592
2017-02-16,sz.000063,15.3500,15.4900,15.2600,15.4000,15.3700,17220380,265160113.0000,0.502725,1,0.195184,0,2.034555
2017-02-17,sz.000063,15.4000,15.4600,15.1100,15.1800,15.4000,19963225,305737408.0000,0.582798,1,-1.428567,0,2.005490
2017-02-20,sz.000063,15.2200,15.7400,15.2100,15.6800,15.1800,42482023,661450896.0000,1.240203,1,3.293808,0,2.071547
2017-02-21,sz.000063,15.6700,15.7800,15.4900,15.7100,15.6800,25565206,399398608.0000,0.746340,1,0.191325,0,2.075511
2017-02-22,sz.000063,15.6900,15.7000,15.4900,15.5200,15.7100,32502741,506141952.0000,0.948872,1,-1.209418,0,2.050409
2017-02-23,sz.000063,15.5500,15.7500,15.5000,15.6600,15.5200,33679954,526953424.0000,0.983239,1,0.902058,0,2.068905
2017-02-24,sz.000063,15.6700,15.7400,15.4200,15.5900,15.6600,35201004,548462448.0000,1.027644,1,-0.446997,0,2.059657
2017-02-27,sz.000063,15.6600,15.8700,15.5800,15.6500,15.5900,45502185,714687152.0000,1.328372,1,0.384859,0,2.067584
2017-02-28,sz.000063,15.6500,15.8800,15.6400,15.8000,15.6500,36443835,574740656.0000,1.063875,1,0.958470,0,2.087483
2017-03-01,sz.000063,15.8600,15.8700,15.7100,15.7500,15.8000,27874794,439842496.0000,0.813726,1,-0.316457,0,2.080877
2017-03-02,sz.000063,15.8000,15.8500,15.6100,15.6200,15.7500,22117741,347350720.0000,0.645665,1,-0.825398,0,2.063702
2017-03-03,sz.000063,15.5600,15.6000,15.4400,15.5700,15.6200,22824464,354142320.0000,0.666296,1,-0.320104,0,2.057096
2017-03-06,sz.000063,15.5400,15.5700,15.3300,15.5600,15.5700,42549206,656175840.0000,1.242105,1,-0.064221,0,2.055774
2017-03-07,sz.000063,15.5000,15.5300,15.2000,15.2800,15.5600,45872108,703384416.0000,1.339107,1,-1.799490,0,2.018781
2017-03-08,sz.000063,15.2800,15.2800,15.2800,15.2800,15.2800,0,0.0000,,0,0.000000,0,2.018781
2017-03-09,sz.000063,15.2800,15.2800,15.2800,15.2800,15.2800,0,0.0000,,0,0.000000,0,2.018781
2017-03-10,sz.000063,15.2800,15.2800,15.2800,15.2800,15.2800,0,0.0000,,0,0.000000,0,2.018781
2017-03-13,sz.000063,15.2800,15.2800,15.2800,15.2800,15.2800,0,0.0000,,0,0.000000,0,2.018781
2017-03-14,sz.000063,15.2800,15.2800,15.2800,15.2800,15.2800,0,0.0000,,0,0.000000,0,2.018781
2017-03-15,sz.000063,15.2800,15.2800,15.2800,15.2800,15.2800,0,0.0000,,0,0.000000,0,2.018781
2017-03-16,sz.000063,16.8100,16.8100,16.5000,16.8100,15.2800,336313744,5643965696.0000,9.817736,1,10.013090,0,2.220923
2017-03-17,sz.000063,17.0000,17.7800,16.8500,17.1600,16.8100,251089297,4340764672.0000,7.329847,1,2.082096,0,2.267165
2017-03-20,sz.000063,17.4500,17.5000,17.1100,17.2200,17.1600,115382381,1996411104.0000,3.368265,1,0.349647,0,2.275092
2017-03-21,sz.000063,17.1600,17.3300,16.9500,17.0500,17.2200,93304824,1596416032.0000,2.723772,1,-0.987225,0,2.252632
2017-03-22,sz.000063,16.9000,17.5400,16.8500,17.3000,17.0500,99889405,1720565248.0000,2.915991,1,1.466276,0,2.285662
