date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sh.600030,16.0800,16.2300,16.0400,16.1900,16.0600,62306948,1007139760.0000,0.634835,1,0.809471,0,1.406525
2017-01-04,sh.600030,16.1800,16.2700,16.1300,16.2200,16.1900,51671772,837514080.0000,0.526475,1,0.185292,0,1.409132
2017-01-05,sh.600030,16.2400,16.2600,16.1200,16.1500,16.2200,47862289,774027872.0000,0.487661,1,-0.431564,0,1.403050
2017-01-06,sh.600030,16.1700,16.1700,15.9900,16.0100,16.1500,51664011,829398336.0000,0.526396,1,-0.866869,0,1.390888
2017-01-09,sh.600030,16.0100,16.1200,15.9700,16.0700,16.0100,39840735,639524640.0000,0.405931,1,0.374762,0,1.396100
2017-01-10,sh.600030,16.0300,16.2100,16.0200,16.1100,16.0700,45401866,732620896.0000,0.462592,1,0.248917,0,1.399575
2017-01-11,sh.600030,16.1400,16.2400,16.1000,16.1000,16.1100,39877610,644507920.0000,0.406307,1,-0.062075,0,1.398707
2017-01-12,sh.600030,16.1100,16.2800,16.0900,16.1500,16.1000,55959482,906327632.0000,0.570162,1,0.310554,0,1.403050
2017-01-13,sh.600030,16.1400,16.3500,16.0200,16.2100,16.1500,82520818,1337353952.0000,0.840791,1,0.371514,0,1.408263
2017-01-16,sh.600030,16.1800,16.4300,16.0200,16.3600,16.2100,172090679,2795618928.0000,1.753404,1,0.925364,0,1.421294
2017-01-17,sh.600030,16.2600,16.3200,16.1200,16.2600,16.3600,45559832,739153888.0000,0.464202,1,-0.611249,0,1.412607
2017-01-18,sh.600030,16.2100,16.4300,16.1800,16.2700,16.2600,48046708,783819440.0000,0.489540,1,0.061502,0,1.413476
2017-01-19,sh.600030,16.2300,16.3900,16.2300,16.2700,16.2700,39838794,650136880.0000,0.405911,1,0.000000,0,1.413476
2017-01-20,sh.600030,16.2800,16.4300,16.2500,16.4100,16.2700,63159672,1034923920.0000,0.643524,1,0.860476,0,1.425638
2017-01-23,sh.600030,16.4000,16.5900,16.4000,16.4400,16.4100,47498745,783002800.0000,0.483957,1,0.182819,0,1.428244
2017-01-24,sh.600030,16.4600,16.4600,16.3500,16.3800,16.4400,40238033,659456240.0000,0.409979,1,-0.364972,0,1.423032
2017-01-25,sh.600030,16.3800,16.3900,16.3200,16.3900,16.3800,32219153,527012736.0000,0.328276,1,0.061051,0,1.423901
2017-01-26,sh.600030,16.4300,16.5600,16.4300,16.4800,16.3900,46823371,772904800.0000,0.477076,1,0.549116,0,1.431719
2017-02-03,sh.600030,16.5500,16.5500,16.3600,16.3700,16.4800,27282298,448302080.0000,0.277975,1,-0.667468,0,1.422163
2017-02-06,sh.600030,16.4100,16.4300,16.2600,16.3400,16.3700,44795827,731107104.0000,0.456417,1,-0.183266,0,1.419557
2017-02-07,sh.600030,16.3300,16.3600,16.2400,16.3000,16.3400,31790936,517756864.0000,0.323913,1,-0.244804,0,1.416082
2017-02-08,sh.600030,16.2900,16.6000,16.1900,16.5200,16.3000,80007811,1312889872.0000,0.815187,1,1.349701,0,1.435195
2017-02-09,sh.600030,16.4700,16.6600,16.4500,16.5100,16.5200,64766663,1071782096.0000,0.659897,1,-0.060534,0,1.434326
2017-02-10,sh.600030,16.5100,16.7600,16.5100,16.6700,16.5100,80278442,1335785776.0000,0.817944,1,0.969109,0,1.448226
2017-02-13,sh.600030,16.6900,16.8300,16.6500,16.6900,16.6700,74956790,1255339232.0000,0.763723,1,0.119979,0,1.449963
2017-02-14,sh.600030,16.7500,16.8100,16.5700,16.6400,16.6900,60529946,1009170384.0000,0.616730,1,-0.299587,0,1.445620
2017-02-15,sh.600030,16.6300,16.7700,16.5300,16.5600,16.6400,60140353,1001180448.0000,0.612760,1,-0.480769,0,1.438670
2017-02-16,sh.600030,16.5600,16.7400,16.5100,16.7200,16.5600,66838949,1112893760.0000,0.681011,1,0.966183,0,1.452570
2017-02-17,sh.600030,16.7700,17.0800,16.6200,16.6700,16.7200,121073121,2043050928.0000,1.233594,1,-0.299038,0,1.448226
2017-02-20,sh.600030,16.6700,16.9200,16.5800,16.8800,16.6700,94261932,1575748480.0000,0.960420,1,1.259743,0,1.466470
2017-02-21,sh.600030,16.8800,17.1000,16.8300,16.9100,16.8800,89535428,1519152032.0000,0.912262,1,0.177729,0,1.469076
2017-02-22,sh.600030,16.8800,16.9300,16.7100,16.8000,16.9100,61725349,1036997632.0000,0.628910,1,-0.650506,0,1.459520
2017-02-23,sh.600030,16.8000,16.8100,16.6200,16.6600,16.8000,54082440,902652560.0000,0.551037,1,-0.833330,0,1.447357
2017-02-24,sh.600030,16.6700,16.7300,16.5900,16.7100,16.6600,51481022,857433296.0000,0.524532,1,0.300115,0,1.451701
2017-02-27,sh.600030,16.6500,16.7200,16.5000,16.5400,16.7100,60497117,1003574880.0000,0.616395,1,-1.017344,0,1.436932
2017-02-28,sh.600030,16.5200,16.6000,16.4900,16.5500,16.5400,33324703,551095552.0000,0.339540,1,0.060449,0,1.437801
2017-03-01,sh.600030,16.5500,16.6600,16.5200,16.5400,16.5500,40324254,668369712.0000,0.410857,1,-0.060413,0,1.436932
2017-03-02,sh.600030,16.6100,16.7700,16.4500,16.4600,16.5400,63644825,1057107312.0000,0.648467,1,-0.483687,0,1.429982
2017-03-03,sh.600030,16.4300,16.4500,16.2900,16.3700,16.4600,56690939,926687952.0000,0.577615,1,-0.546769,0,1.422163
2017-03-06,sh.600030,16.3400,16.4400,16.3100,16.4300,16.3700,38429348,630126464.0000,0.391550,1,0.366521,0,1.427376
2017-03-07,sh.600030,16.4100,16.4700,16.3500,16.4500,16.4300,42030758,689571648.0000,0.428245,1,0.121731,0,1.429113
2017-03-08,sh.600030,16.4400,16.4400,16.3300,16.3700,16.4500,33280627,545008656.0000,0.339091,1,-0.486322,0,1.422163
2017-03-09,sh.600030,16.3500,16.3800,16.2200,16.3300,16.3700,48945646,797450864.0000,0.498699,1,-0.244355,0,1.418688
2017-03-10,sh.600030,16.3100,16.3600,16.2300,16.2400,16.3300,24907768,405594912.0000,0.253781,1,-0.551134,0,1.410869
2017-03-13,sh.600030,16.2400,16.3500,16.1200,16.3400,16.2400,47268572,768771040.0000,0.481612,1,0.615766,0,1.419557
2017-03-14,sh.600030,16.3400,16.4100,16.3100,16.3700,16.3400,34460568,563861312.0000,0.351113,1,0.183603,0,1.422163
2017-03-15,sh.600030,16.3600,16.3700,16.2600,16.3000,16.3700,37111807,605252880.0000,0.378126,1,-0.427621,0,1.416082
2017-03-16,sh.600030,16.3600,16.6000,16.3500,16.5800,16.3000,96128252,1588258976.0000,0.979435,1,1.717796,0,1.440407
2017-03-17,sh.600030,16.5900,16.6400,16.3000,16.3100,16.5800,62631441,1029942000.0000,0.638142,1,-1.628471,0,1.416951
2017-03-20,sh.600030,16.3600,16.3600,16.2200,16.3000,16.3100,47066225,766333888.0000,0.479550,1,-0.061313,0,1.416082
2017-03-21,sh.600030,16.3000,16.3400,16.1800,16.2200,16.3000,50697241,822822624.0000,0.516546,1,-0.490797,0,1.409132
2017-03-22,sh.600030,16.1500,16.2000,16.0300,16.0700,16.2200,58682799,945320224.0000,0.597910,1,-0.924782,0,1.396100
2017-03-23,sh.600030,16.0700,16.2000,16.0500,16.1500,16.0700,45538968,734449984.0000,0.463989,1,0.497822,0,1.371364
2017-03-24,sh.600030,16.1300,16.3700,16.0600,16.2900,16.1500,74546641,1208092448.0000,0.759544,1,0.866881,0,1.383252
2017-03-27,sh.600030,16.2600,16.3900,16.2300,16.2600,16.2900,42286651,689104976.0000,0.430852,1,-0.184166,0,1.380704
2017-03-28,sh.600030,16.3000,16.3300,16.1700,16.1900,16.2600,30903378,501754400.0000,0.314870,1,-0.430502,0,1.374760
2017-03-29,sh.600030,16.2300,16.2500,16.1200,16.1400,16.1900,36554081,590997168.0000,0.372444,1,-0.308840,0,1.370515
2017-03-30,sh.600030,16.1300,16.1900,15.9900,16.0700,16.1400,70522577,1132955264.0000,0.718543,1,-0.433703,0,1.364571
2017-03-31,sh.600030,16.0700,16.1400,16.0000,16.1100,16.0700,38650423,620769680.0000,0.393803,1,0.248917,0,1.367967
2017-04-05,sh.600030,16.1300,16.3300,16.1200,16.2900,16.1100,57809522,938804736.0000,0.589012,1,1.117320,0,1.383252
2017-04-06,sh.600030,16.2900,16.3200,16.2200,16.2400,16.2900,45085730,733385312.0000,0.459371,1,-0.306944,0,1.379006
2017-04-07,sh.600030,16.2500,16.3200,16.1700,16.2800,16.2400,48625806,790358624.0000,0.495440,1,0.246311,0,1.382403
2017-04-10,sh.600030,16.2700,16.3800,16.2200,16.2400,16.2800,46388408,755752576.0000,0.472644,1,-0.245706,0,1.379006
2017-04-11,sh.600030,16.2600,16.2900,16.0600,16.2700,16.2400,55900184,903644960.0000,0.569558,1,0.184733,0,1.381554
2017-04-12,sh.600030,16.3000,16.4900,16.2400,16.3700,16.2700,94787162,1552713920.0000,0.965771,1,0.614630,0,1.390045
2017-04-13,sh.600030,16.3000,16.3500,16.2400,16.2900,16.3700,37720783,614649744.0000,0.384331,1,-0.488698,0,1.383252
2017-04-14,sh.600030,16.2800,16.3100,16.0900,16.1800,16.2900,59255956,958928352.0000,0.603749,1,-0.675265,0,1.373911
2017-04-17,sh.600030,16.1100,16.2300,16.0200,16.1800,16.1800,40787009,657361968.0000,0.415572,1,0.000000,0,1.373911
2017-04-18,sh.600030,16.1300,16.2100,16.0200,16.0300,16.1800,34323930,553041248.0000,0.349721,1,-0.927068,0,1.361174
2017-04-19,sh.600030,16.0100,16.0600,15.8600,16.0500,16.0300,59929605,956459536.0000,0.610613,1,0.124757,0,1.362872
2017-04-20,sh.600030,16.0600,16.1100,15.9500,16.1000,16.0500,38438790,616781712.0000,0.391647,1,0.311534,0,1.367118
2017-04-21,sh.600030,16.0800,16.2600,16.0400,16.2500,16.1000,46651847,754076880.0000,0.475328,1,0.931675,0,1.379855
2017-04-24,sh.600030,16.2000,16.3400,16.0400,16.3000,16.2500,83536193,1353693184.0000,0.851137,1,0.307688,0,1.384101
2017-04-25,sh.600030,16.2000,16.2500,16.1100,16.1200,16.3000,36791115,595355552.0000,0.374859,1,-1.104285,0,1.368816
2017-04-26,sh.600030,16.1300,16.3400,16.0500,16.2000,16.1200,53165455,862191856.0000,0.541694,1,0.496277,0,1.375610
2017-04-27,sh.600030,16.1900,16.2500,16.1000,16.2300,16.2000,42792544,692090032.0000,0.436006,1,0.185178,0,1.378157
2017-04-28,sh.600030,16.2300,16.2900,16.1500,16.2300,16.2300,37879942,614555792.0000,0.385953,1,0.000000,0,1.378157
