date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2019-06-18,sz.300782,42.3500,50.8200,42.3500,50.8200,35.2900,39796,2012694.0000,0.159184,1,44.006800,0,9.847690
2019-06-19,sz.300782,55.9000,55.9000,55.9000,55.9000,50.8200,18272,1021404.8000,0.073088,1,9.996069,0,10.832071
2019-06-20,sz.300782,61.4900,61.4900,61.4900,61.4900,55.9000,17991,1106266.5900,0.071964,1,10.000000,0,11.915278
2019-06-21,sz.300782,67.6400,67.6400,67.6400,67.6400,61.4900,34593,2339870.5200,0.138372,1,10.001620,0,13.107000
2019-06-24,sz.300782,74.4000,74.4000,74.4000,74.4000,67.6400,147502,10974148.8000,0.590008,1,9.994089,0,14.416925
2019-06-25,sz.300782,81.8400,81.8400,81.8400,81.8400,74.4000,136930,11206351.2000,0.547720,1,9.999992,0,15.858618
2019-06-26,sz.300782,90.0200,90.0200,90.0200,90.0200,81.8400,87662,7891333.2400,0.350648,1,9.995113,0,17.443704
2019-06-27,sz.300782,99.0200,99.0200,99.0200,99.0200,90.0200,121686,12049347.7200,0.486744,1,9.997778,0,19.187687
2019-06-28,sz.300782,108.9200,108.9200,108.9200,108.9200,99.0200,282635,30784604.2000,1.130540,1,9.997982,0,21.106068
2019-07-01,sz.300782,119.8100,119.8100,119.8100,119.8100,108.9200,158228,18957296.6800,0.632912,1,9.998163,0,23.216287
2019-07-02,sz.300782,131.7900,131.7900,131.7900,131.7900,119.8100,306093,40339996.4700,1.224372,1,9.999162,0,25.537722
2019-07-03,sz.300782,144.9700,144.9700,136.8100,144.9700,131.7900,16198740,2315985768.6500,64.794960,1,10.000760,0,28.091688
2019-07-04,sz.300782,150.0000,159.4700,148.2000,159.4700,144.9700,11131589,1715228304.1700,44.526356,1,10.002070,0,30.901439
2019-07-05,sz.300782,175.4200,175.4200,175.4200,175.4200,159.4700,762628,133780203.7600,3.050512,1,10.001880,0,33.992164
2019-07-08,sz.300782,186.9800,192.9600,176.1000,185.1900,175.4200,10873114,2017805818.4800,43.492456,1,5.569493,0,35.885354
2019-07-09,sz.300782,188.0000,188.1000,176.0200,180.0000,185.1900,6372042,1157555662.0200,25.488168,1,-2.802528,0,34.879657
2019-07-10,sz.300782,184.3100,190.5000,180.7000,189.5000,180.0000,6594697,1226946380.0500,26.378788,1,5.277778,0,36.720528
2019-07-11,sz.300782,186.0000,193.7900,183.5100,189.0000,189.5000,5889802,1109264141.9900,23.559208,1,-0.263852,0,36.623640
2019-07-12,sz.300782,184.8600,187.5000,180.1400,184.4000,189.0000,4407673,809670187.3800,17.630692,1,-2.433866,0,35.732271
2019-07-15,sz.300782,202.8400,202.8400,198.0000,202.8400,184.4000,3486170,706833353.0000,13.944680,1,10.000000,0,39.305498
2019-07-16,sz.300782,213.0900,223.1200,209.0000,223.1200,202.8400,3511858,761070184.9800,14.047432,1,9.998027,0,43.235273
2019-07-17,sz.300782,227.5800,239.0000,215.2500,217.2000,223.1200,7305301,1655747676.6300,29.221204,1,-2.653280,0,42.088120
2019-07-18,sz.300782,218.0000,221.8000,210.1100,215.3500,217.2000,5273356,1141398704.4500,21.093424,1,-0.851745,0,41.729634
2019-07-19,sz.300782,215.3500,216.8800,205.0100,206.0500,215.3500,5185652,1096301156.4700,20.742608,1,-4.318552,0,39.927519
2019-07-22,sz.300782,211.0000,216.5800,203.0000,208.7500,206.0500,5532280,1162459190.1100,22.129120,1,1.310360,0,40.450714
2019-07-23,sz.300782,204.2100,228.9900,204.1100,224.0300,208.7500,4711614,1026972576.9000,18.846456,1,7.319759,0,43.411609
2019-07-24,sz.300782,224.0300,246.4300,224.0300,244.3000,224.0300,5017896,1198837771.7900,20.071584,1,9.047897,0,47.339446
2019-07-25,sz.300782,242.0000,246.0000,225.5500,231.0000,244.3000,4504140,1060885546.7800,18.016560,1,-5.444127,0,44.762227
