date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST,pbMRQ
2017-01-03,sz.000938,57.6400,57.6600,56.9500,57.5400,57.3900,1286492,73758905.0000,0.624286,1,0.261372,0,2.516211
2017-01-04,sz.000938,57.5300,58.2200,57.4100,58.0700,57.5400,1480728,85693352.0000,0.718541,1,0.921096,0,2.539388
2017-01-05,sz.000938,58.2000,58.2300,57.7500,57.8800,58.0700,803976,46572975.0000,0.390139,1,-0.327189,0,2.531080
2017-01-06,sz.000938,58.0200,58.3700,57.0100,57.3000,57.8800,1347235,77549163.0000,0.653762,1,-1.002076,0,2.505716
2017-01-09,sz.000938,57.0700,57.7200,57.0700,57.3300,57.3000,968346,55541609.0000,0.469901,1,0.052361,0,2.507028
2017-01-10,sz.000938,57.5100,57.5100,56.8500,56.9300,57.3300,988362,56517286.0000,0.479614,1,-0.697718,0,2.489536
2017-01-11,sz.000938,56.9300,57.3500,56.7600,56.8400,56.9300,1042851,59396210.0000,0.506056,1,-0.158089,0,2.485601
2017-01-12,sz.000938,57.1700,57.4800,56.8100,57.1000,56.8400,860041,49090946.0000,0.417345,1,0.457421,0,2.496970
2017-01-13,sz.000938,57.1000,57.3500,56.0300,56.2300,57.1000,1378335,77876771.0000,0.668854,1,-1.523641,0,2.458925
2017-01-16,sz.000938,56.2000,56.2900,50.8600,52.7400,56.2300,2955083,157513612.0000,1.433989,1,-6.206648,0,2.306309
2017-01-17,sz.000938,52.0700,53.0300,51.4000,52.7500,52.7400,1375585,72029493.0000,0.667519,1,0.018958,0,2.306746
2017-01-18,sz.000938,52.7700,52.9400,52.1100,52.5800,52.7500,1029637,54044192.0000,0.499644,1,-0.322271,0,2.299312
2017-01-19,sz.000938,52.7500,52.7800,51.9500,52.4100,52.5800,686744,35966321.0000,0.333251,1,-0.323321,0,2.291878
2017-01-20,sz.000938,52.2600,53.8500,52.2600,53.6100,52.4100,1482292,79043091.0000,0.719300,1,2.289641,0,2.344353
2017-01-23,sz.000938,53.7100,54.2900,53.6500,53.9000,53.6100,1509207,81580632.0000,0.732361,1,0.540945,0,2.357035
